BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,NumberOfPixels,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
275,0,302,41,706,706,15,0,26.8542,143.448,2.31122,117.543,0.801328,14.9909,94.1905,19.7214,45.5804,2.31122,64.5142,31.5198,90.4901,24.211,13.5651,18.7872,[276:1:285:17:281:26:284:37:289:41:299:41:302:26:296:20:297:8:290:1]
319,0,322,1,3,3,3,0,0,0.666667,0,6.47375,0.948439,0.977205,6.13996,0,0,0,121,59,133.333,5.65685,8.48528,12.8149,[320:1]
321,0,352,41,811,811,27,0,38.8861,134.963,1.86299,126.238,0.799695,16.067,100.952,23.5429,43.8602,1.86299,78.291,33.4353,87.8113,27.5159,21.0454,26.4499,[350:1:324:1:330:13:322:24:329:41:338:37:343:21:351:15]
437,0,439,1,2,2,2,0,0,0.25,0,4.57764,1.09516,0.797885,5.01326,0,0,0,99.5,55.5,114,0.5,0.5,4,[438:1]
441,0,500,49,1401,1401,42,0,118.776,230.423,1.39283,231.849,0.572293,21.1176,132.686,35.7869,49.8453,1.39283,76.1042,36.5682,88.9743,34.2457,23.144,28.8722,[442:1:447:6:452:29:466:35:470:27:476:27:487:39:490:48:500:46:498:30:486:27:497:1:469:3:465:6:464:17:457:15:445:1]
370,7,386,24,237,237,0,0,16.6758,21.9464,1.1472,56.1376,0.972131,8.68559,54.5732,16.2185,18.6058,1.1472,55.2785,25.3713,78.7004,26.989,13.6176,23.7426,[383:8:372:11:372:24:383:24:386:20]
12,11,48,53,654,654,0,0,22.1937,170.979,2.7756,127.944,0.708557,14.4283,90.6554,17.3207,48.0753,2.7756,74.8731,39.922,91.7508,38.1488,29.7974,36.9142,[48:12:37:12:18:22:21:27:13:51:17:53:23:49:34:29:47:18]
50,12,51,14,2,2,0,0,0,0.25,0,4.57764,1.09516,0.797885,5.01326,0,0,0,133.5,80,143.5,10.5,21,25.5,[51:13]
51,12,84,51,652,652,0,0,23.7842,129.721,2.3354,116.662,0.775886,14.4062,90.5167,18.8538,44.0311,2.3354,75.7577,36.1166,93.9141,39.3744,17.2202,24.2319,[54:13:52:16:58:20:61:39:73:51:79:50:84:45:82:34:76:27:67:23:68:14]
397,13,410,21,77,77,0,0,3.80609,10.1504,1.63306,33.1542,0.938236,4.95074,31.1064,7.74818,12.6532,1.63306,107.584,64.0649,126.597,19.7946,16.9892,14.7712,[398:16:400:21:407:21:410:18:404:14]
49,14,50,15,1,1,0,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,124,48,91,0,0,0,[50:15]
49,16,50,17,1,1,0,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,124,56,108,0,0,0,[50:17]
424,16,444,35,280,280,0,0,20.1149,25.3847,1.12338,60.62,0.978516,9.4407,59.3177,17.8144,20.0123,1.12338,45.7179,25.9786,77.0786,25.8018,19.3951,29.9055,[437:17:430:18:425:26:425:31:430:35:439:33:444:28]
94,23,108,44,197,197,0,0,10.869,25.4927,1.53149,54.3763,0.915016,7.91878,49.7552,12.7977,19.5995,1.53149,59.4873,23.797,64.5888,17.371,11.4302,26.9519,[102:24:95:37:105:44:108:40:107:27]
348,30,380,58,654,654,0,0,37.2105,73.7889,1.40819,94.5596,0.958712,14.4283,90.6554,24.3171,34.2433,1.40819,83.6453,37.4434,99.6758,23.2505,11.74,17.0695,[376:34:372:31:363:31:349:43:350:55:362:58:376:50:380:45]
31,37,47,58,263,263,0,0,15.6468,28.4842,1.34924,59.6046,0.964503,9.14962,57.4887,15.7539,21.2558,1.34924,39.7605,27.4144,74.4601,25.4724,23.37,34.298,[37:38:32:44:32:51:37:57:45:58:47:46:41:38]
286,43,299,65,163,163,0,0,8.13816,34.9859,2.0734,62.5161,0.723947,7.20309,45.2584,10.0048,20.7439,2.0734,96.1104,43.4847,104.933,23.5416,14.6431,18.6436,[298:44:291:44:294:51:287:57:288:62:293:65:299:61:296:54]
188,44,249,91,1700,1700,0,0,110.584,233.096,1.45185,216.91,0.673828,23.2621,146.16,38.6117,56.0583,1.45185,65.0224,30.6441,84.9853,32.0913,18.0032,24.2762,[189:82:195:85:203:77:205:67:209:64:214:67:209:88:213:91:222:90:222:85:231:75:240:77:249:66:249:59:237:54:228:45:206:45:190:69]
102,52,114,70,158,158,0,0,8.77649,18.142,1.43775,46.3317,0.961734,7.09175,44.5588,11.8288,17.0069,1.43775,88.5506,45.6899,105.873,13.2515,8.67114,12.8441,[108:53:103:59:103:64:109:70:114:65:114:59]
377,56,396,78,275,275,0,0,17.6566,28.771,1.27651,62.7461,0.936881,9.35603,58.7856,16.5619,21.1414,1.27651,75.1345,30.28,84.6727,24.1628,13.8742,22.4312,[384:57:378:64:383:76:390:78:396:64]
236,65,281,134,1532,1532,0,0,88.0812,283.276,1.79334,198.925,0.697501,22.0828,138.75,32.9802,59.1447,1.79334,62.2037,29.5431,84.6397,27.8831,15.6165,23.1316,[261:66:253:69:245:83:245:96:240:104:241:116:237:121:237:128:244:134:251:132:255:127:257:117:263:117:281:106:277:96:266:99:262:97:261:88:266:73]
454,66,470,79,65,65,0,0,1.06337,27.0266,5.04142,41.6588,0.686049,4.54864,28.58,4.05168,20.4262,5.04142,125.492,72.6615,135.646,23.3661,25.9789,30.8188,[470:67:455:78:463:76]
395,67,409,89,210,210,0,0,11.0584,27.911,1.58869,57.1531,0.898825,8.17588,51.3706,12.9731,20.6103,1.58869,84.9238,39.9952,96.7952,23.4925,21.8492,27.2299,[399:68:396:80:402:89:409:72]
113,69,143,101,593,593,0,0,43.5789,61.6875,1.18976,97.2411,0.887733,13.7389,86.3241,25.1914,29.9718,1.18976,79.7875,41.4604,97.4334,44.7768,29.7245,39.3201,[118:70:114:77:116:90:120:97:127:101:136:91:143:90:143:84:123:70]
343,78,351,89,75,75,0,0,4.17746,8.62894,1.43722,31.028,0.989422,4.88603,30.6998,8.15125,11.7151,1.43722,80.8933,37.7333,97.5733,15.8943,15.069,19.9741,[346:79:344:87:350:89:350:80]
402,78,432,92,190,190,0,0,7.79608,64.8233,2.88355,75.4636,0.647506,7.77682,48.8632,9.15942,26.4117,2.88355,111.1,55.3474,114.884,30.2029,28.2605,32.21,[403:92:408:92:412:88:429:91:432:88:429:85:418:86:410:79]
