NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
776,41,0,73,42,776,28,0,36.6846,135.536,1.92215,132.157,0.747217,15.7165,98.7497,22.6722,43.5792,1.92215,90.4111,48.3093,105.402,31.6678,23.9656,23.363,[42:1:46:9:54:13:50:17:60:40:64:42:73:30:72:22:67:16:71:13:69:1]
476,83,0,118,17,476,32,0,21.0812,74.5878,1.88099,89.1571,0.867466,12.3092,77.3408,17.95,33.7638,1.88099,113.429,59.5798,116.382,27.5077,20.6763,17.9518,[84:1:91:17:111:16:118:12:115:1]
213,118,0,136,16,213,17,0,15.7867,20.2037,1.13128,56.693,0.912568,8.23408,51.7362,15.4832,17.5158,1.13128,64.3615,36.9061,87.5164,49.6373,33.3254,37.8405,[119:1:125:15:135:13:135:1]
1975,206,0,273,36,1975,55,0,87.1822,319.24,1.91357,217.521,0.724247,25.0731,157.539,36.2507,69.3683,1.91357,97.9478,52.7549,109.847,33.1231,23.9769,23.3052,[208:1:207:18:215:34:221:32:226:20:230:31:236:36:245:36:252:29:254:32:262:33:266:31:273:16:270:5:265:1:232:1:229:9:228:1]
872,299,0,337,34,872,25,0,52.4328,99.3417,1.37646,115.417,0.906972,16.6603,104.68,28.4008,39.0927,1.37646,79.6732,42.0241,96.4771,35.591,27.9746,30.8529,[300:1:308:22:317:27:321:34:333:27:337:17:333:5:324:1]
58,411,0,426,5,58,15,0,1.65165,14.0621,2.91787,33.4795,0.806381,4.29674,26.9972,5.03079,14.6792,2.91787,102.103,51.5172,109.069,27.9437,17.2319,20.7272,[412:1:418:5:426:2]
16,498,0,500,9,16,9,0,0.246094,5.5,4.72749,18.6359,0.760879,2.25676,14.1796,2.07587,9.81365,4.72749,127.5,96.8125,154.125,19.297,15.179,14.1593,[500:1:500:9]
791,21,4,46,52,791,0,0,27.0519,154.005,2.38599,119.209,0.836342,15.8677,99.6995,20.5451,49.0205,2.38599,95.2617,49.7282,105.113,41.7045,27.2199,24.6411,[31:5:26:9:22:19:28:22:28:40:36:51:42:52:45:50:46:25:38:8]
1857,442,5,478,93,1857,0,0,56.708,528.598,3.0531,227.367,0.671868,24.3126,152.76,27.8286,84.9633,3.0531,70.2283,33.9284,87.1831,33.6003,22.7635,27.1006,[466:6:454:10:458:53:449:51:443:56:450:72:463:88:471:93:475:80:468:64:478:47:475:9]
842,0,7,18,67,842,58,0,20.559,243.477,3.44135,134.013,0.767562,16.3712,102.863,17.6501,60.7401,3.44135,83.5962,40.1295,95.4323,29.3582,16.8749,17.9614,[7:8:1:10:1:67:13:62:18:54:15:25]
1368,172,20,203,99,1368,0,0,34.5964,468.548,3.68012,195.688,0.670013,20.8674,131.114,21.7554,80.0625,3.68012,93.405,49.1637,103.955,39.8528,25.4466,26.1056,[179:21:173:30:178:52:188:58:182:64:178:86:184:98:188:99:196:91:203:74:198:63:191:58:195:50:192:34:185:22]
496,348,23,367,60,496,0,0,17.5286,92.4658,2.29677,91.9733,0.858388,12.5651,78.9488,16.582,38.0851,2.29677,88.504,51.9677,108.97,34.7052,29.9972,27.5704,[352:24:349:36:358:58:364:60:367:58:367:37:362:28]
581,267,30,288,62,581,0,0,30.4511,72.4087,1.54203,90.7279,0.941786,13.5992,85.4462,21.9026,33.7746,1.54203,92.1979,47.5508,107.11,26.7361,18.2609,16.6197,[284:31:268:34:268:56:272:62:283:61:287:55:288:42]
573,299,30,324,62,573,0,0,32.3656,66.4796,1.43318,89.9819,0.943033,13.5052,84.8559,22.5622,32.3358,1.43318,80.1885,41.904,97.822,33.3004,25.5539,24.3018,[305:31:301:37:301:53:312:61:319:62:324:56:324:44]
258,487,30,500,63,258,30,0,8.07125,77.7084,3.10287,82.0327,0.69411,9.06223,56.9396,10.2892,31.9262,3.10287,114.357,71.4961,126.965,34.0188,30.8869,27.7615,[500:31:491:43:495:50:488:57:488:63:500:60]
1228,98,43,140,85,1228,0,0,90.2488,124.48,1.17444,171.459,0.724508,19.7708,124.224,36.4871,42.8518,1.17444,86.4292,44.4495,100.998,34.986,22.037,21.0314,[128:44:121:44:116:48:113:63:107:55:103:57:99:75:110:85:118:84:120:75:124:82:134:82:140:78:138:57]
786,35,55,62,94,786,0,0,43.0545,93.2663,1.47182,104.04,0.955246,15.8174,99.3839,26.0759,38.3789,1.47182,100.276,51.3333,106.338,33.9746,24.3681,24.1384,[48:56:37:74:36:87:42:93:52:94:60:88:62:70:60:65]
976,366,55,396,106,976,0,0,31.2795,201.745,2.53963,139.971,0.791209,17.6258,110.746,22.1205,56.1779,2.53963,82.0512,45.6342,99.6598,40.4237,34.8422,33.1606,[372:56:367:61:367:66:372:73:373:84:381:102:391:106:396:103:394:78:385:58]
1119,145,56,178,122,1119,0,0,32.1514,303.466,3.07224,171.324,0.692151,18.873,118.582,21.5349,66.1604,3.07224,108.663,58.8624,115.508,34.1452,24.7103,23.8351,[153:57:146:87:149:92:159:94:157:103:161:117:173:122:178:117:176:94:172:88:163:89:165:79:157:59]
1078,325,67,369,105,1078,0,0,62.2096,170.77,1.65683,163.645,0.711234,18.524,116.39,28.7823,47.6873,1.65683,100.761,55.128,112.271,30.6648,24.0276,22.4364,[327:70:327:87:332:96:342:96:346:93:355:98:359:105:369:103:367:80:358:69:352:70:347:85:334:68]
419,481,70,500,99,419,19,0,21.8087,53.1486,1.5611,77.1297,0.940785,11.5487,72.5625,18.4862,28.8588,1.5611,72.7924,43.2864,97.1074,40.7984,37.1613,36.6089,[488:71:482:90:486:95:499:99:500:80]
659,269,74,299,105,659,0,0,32.9157,84.3953,1.60124,95.1149,0.956751,14.4833,91.0013,22.8912,36.6544,1.60124,85.7785,45.6388,103.187,34.1326,24.2064,22.4556,[270:78:273:95:279:102:293:105:298:101:299:93:291:82:281:75]
47,0,78,5,91,47,13,0,1.74923,9.21139,2.29477,29.1319,0.834229,3.86789,24.3027,5.10663,11.7185,2.29477,111.681,62.8723,115.979,34.0363,21.1717,16.7694,[1:79:1:91:5:88]
586,240,87,261,123,586,0,0,26.8676,83.6931,1.76494,92.5287,0.927422,13.6576,85.8131,20.5607,36.2885,1.76494,95.4625,50.9573,108.875,30.899,23.0463,22.7508,[249:88:244:93:241:116:246:122:253:123:259:119:261:99:254:89]
605,196,88,217,125,605,0,0,28.256,83.8361,1.7225,93.3141,0.934406,13.8772,87.1932,21.1472,36.4261,1.7225,82.9967,42.7488,98.5719,35.7185,24.0963,23.4831,[208:89:198:97:197:111:201:121:212:125:215:122:217:104:214:92]
398,124,104,150,127,398,0,0,27.063,38.2899,1.18947,74.5829,0.948215,11.2555,70.7207,20.6405,24.5512,1.18947,101.045,53.6508,111.731,27.7107,16.9561,15.5785,[135:105:125:112:126:120:140:127:149:118:150:113:144:107]
877,81,106,110,151,877,0,0,44.1431,116.511,1.62462,117.218,0.895595,16.708,104.98,26.2168,42.5922,1.62462,99.9487,55.2474,110.543,36.2541,30.2865,29.0238,[99:107:86:113:85:129:82:134:86:142:98:151:106:137:110:118:109:114]
2127,304,110,355,175,2127,0,0,191.303,226.934,1.08915,282.298,0.579135,26.0201,163.489,49.8648,54.3104,1.08915,85.7127,46.4669,101.323,38.4168,28.0604,29.0522,[309:122:305:137:315:163:323:164:335:153:341:174:346:175:355:164:354:155:347:146:355:136:354:119:348:111:340:112:332:129:329:124:320:121]
692,7,112,33,149,692,0,0,37.0912,86.4283,1.52648,100.573,0.927205,14.8415,93.252,24.0249,36.6737,1.52648,82.7601,42.4538,99.5882,29.2741,21.779,22.5919,[18:113:8:127:8:136:17:147:29:149:33:141:32:131:25:114]
906,412,120,443,164,906,0,0,52.9954,102.346,1.38969,114.996,0.927866,16.982,106.701,28.8111,40.0385,1.38969,86.8311,47.319,104.202,32.9006,26.1405,25.9884,[423:121:414:135:413:150:426:163:431:164:437:161:443:140]
632,184,128,216,155,632,0,0,44.5668,58.7703,1.14835,91.3227,0.975854,14.1835,89.1176,26.4714,30.3984,1.14835,81.5396,38.4035,93.9921,33.0363,17.2095,14.9811,[199:129:185:142:185:146:194:153:209:155:214:151:216:141:209:131]
702,64,136,88,176,702,0,0,29.5249,106.917,1.90296,102.469,0.916599,14.9484,93.9233,21.6725,41.2418,1.90296,76.5855,44.4815,99.5128,37.2521,31.3652,28.3784,[68:138:65:152:71:169:78:176:83:175:88:170:85:145:78:138]
990,1,146,43,182,990,0,0,67.2876,122.574,1.34968,153.244,0.727845,17.7518,111.538,30.5603,41.2466,1.34968,92.8101,49.4747,104.782,35.3753,24.6846,25.1242,[2:148:6:174:10:182:17:180:22:168:26:179:37:177:43:161:40:155:27:155:23:159:19:150:11:147]
