NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
777,275,0,302,47,777,17,0,29.4186,165.808,2.37406,140.757,0.702016,15.7266,98.8133,20.4136,48.4631,2.37406,69.1712,35.0103,94.3423,31.4232,20.1916,24.0525,[276:1:277:7:286:18:291:19:285:20:280:26:283:38:296:47:302:30:301:24:295:20:298:18:298:7:292:1]
217,328,0,348,13,217,20,0,12.2352,27.1269,1.489,56.463,0.92485,8.31103,52.2198,13.6219,20.283,1.489,60.4839,22.0599,74.0829,19.8638,7.42837,13.4939,[329:1:330:9:337:13:345:12:348:1]
291,368,5,387,25,291,0,0,22.3807,25.1642,1.06036,65.5229,0.922907,9.62435,60.4716,18.6928,19.8212,1.06036,67.2027,30.6151,85.0103,36.2242,17.3402,26.7685,[378:6:372:9:369:22:374:21:380:25:387:21:386:9]
327,448,10,467,35,327,0,0,18.0808,39.5965,1.47986,70.6559,0.907257,10.2023,64.1031,16.7733,24.8221,1.47986,63.3456,32.6239,87.2844,37.4741,17.2994,26.5448,[452:12:450:29:465:35:467:25:463:16]
372,322,15,343,41,372,0,0,23.5914,38.4817,1.27717,74.9083,0.912739,10.8817,68.3717,19.2576,24.5953,1.27717,71.2715,33.7258,89.5457,22.2726,24.0292,29.6264,[334:16:323:21:324:32:330:41:339:37:343:24]
347,422,15,445,35,347,0,0,23.425,32.9699,1.18637,67.6491,0.97613,10.5097,66.0343,19.2979,22.8944,1.18637,61.6715,35.8329,87.9164,42.4318,29.5767,37.1623,[442:19:432:16:424:22:426:34:441:33:445:29]
358,15,17,44,43,358,0,0,13.6179,78.2527,2.39714,86.9751,0.771173,10.675,67.0728,13.7895,33.0555,2.39714,52.405,27.5922,75.5922,33.1792,20.9907,30.4489,[44:20:35:18:22:25:16:39:27:43:30:39:28:34]
290,92,22,109,46,290,0,0,16.0607,35.4374,1.48542,66.0783,0.913577,9.6078,60.3676,15.7663,23.4195,1.48542,72.5,29.0241,70.3069,29.4199,18.2797,32.4651,[100:23:95:26:93:33:96:40:104:46:108:42:109:28]
469,57,23,83,52,469,0,0,27.7909,54.5216,1.40066,85.079,0.902338,12.2183,76.77,20.6479,28.9207,1.40066,59.9595,32.0043,89.3177,33.3338,18.493,25.5917,[69:24:63:28:58:38:72:52:79:51:83:46:79:43:80:30]
254,484,26,500,48,254,16,0,13.5733,31.3513,1.51979,61.5007,0.918633,8.9917,56.4965,14.5875,22.1699,1.51979,51.5984,39.3465,87.126,41.0414,45.7713,43.8475,[491:27:485:33:490:45:497:48:500:46:500:31]
763,346,30,385,58,763,0,0,39.673,95.6956,1.5531,104.5,0.937022,15.5843,97.9191,25.0103,38.8433,1.5531,90.0655,39.3971,101.793,27.6442,12.948,17.9649,[384:38:372:32:360:32:348:42:348:53:353:58:365:58:384:44]
315,30,37,49,59,315,0,0,17.9994,35.6601,1.40755,64.9676,0.968419,10.0134,62.9159,16.8803,23.7597,1.40755,56.4635,37.3746,86.4857,45.8418,33.0359,42.9854,[36:38:31:50:38:58:47:59:49:52:46:42:42:38]
413,187,44,216,86,413,0,0,8.30022,157.402,4.35471,107.412,0.6707,11.4657,72.041,10.9888,47.8531,4.35471,70.615,33.7288,90.1138,24.0583,13.5221,18.7244,[214:45:207:49:189:74:190:86:202:77:210:53:216:48]
1054,209,46,250,95,1054,0,0,58.6316,159.229,1.64795,150.602,0.764178,18.3166,115.087,28.5367,47.027,1.64795,53.3482,24.3767,76.6708,27.5563,11.9171,19.5963,[230:47:217:58:210:80:210:91:218:89:219:95:229:76:242:76:250:64:249:58:242:57]
177,103,50,115,70,177,0,0,7.57744,27.1734,1.8937,52.0201,0.90661,7.50605,47.1619,10.909,20.6584,1.8937,96.1299,51,113,23.278,14.2258,17.3365,[106:51:104:64:112:70:115:67:114:55]
1252,238,65,282,120,1252,0,0,93.1805,224.493,1.55217,187.874,0.667638,19.9631,125.432,32.047,49.7424,1.55217,68.2915,33.1166,90.6534,29.8051,17.1575,24.3199,[255:66:246:78:246:95:239:108:243:113:254:113:261:119:272:120:282:110:281:98:277:97:268:105:261:104:262:98:257:92:266:80:266:70:261:66]
328,395,66,416,92,328,0,0,17.0464,45.7371,1.63802,79.7159,0.805372,10.2179,64.201,15.9674,26.1548,1.63802,88.5366,41.3933,99.6159,25.8669,22.0896,26.0673,[399:67:396:80:401:91:415:89:416:86:408:76:411:73]
353,119,75,141,95,353,0,0,26.8688,30.3311,1.06248,67.4191,0.987892,10.6002,66.6028,20.5676,21.8526,1.06248,50.7252,23.6827,73.0113,30.8096,13.6008,23.4775,[122:76:122:93:133:95:140:88:141:82:133:76]
118,342,77,353,91,118,0,0,7.60159,11.7237,1.24188,39.0726,0.985539,6.12867,38.5076,10.9991,13.6596,1.24188,105.102,55.6271,115.11,39.2392,37.6342,36.2446,[346:78:343:88:349:91:353:87:353:82]
321,236,115,255,136,321,0,0,24.4052,27.3227,1.05808,64.7375,0.981073,10.1083,63.5122,19.6538,20.7954,1.05808,51.8567,29.4735,83.6012,30.4823,20.0072,27.343,[239:118:238:131:250:136:255:127:254:118]
322,93,121,114,142,322,0,0,21.9778,30.7353,1.18257,65.753,0.967425,10.124,63.6111,18.6196,22.0189,1.18257,56.3478,25.6304,76.8665,29.4467,14.2113,22.6095,[110:124:102:122:94:132:96:141:108:140:113:136:114:129]
1014,245,123,295,158,1014,0,0,61.1866,191.553,1.76936,175.616,0.642775,17.9657,112.882,27.0126,47.7949,1.76936,65.6391,32.8402,90.5217,28.9231,15.242,23.65,[247:143:247:155:255:154:271:142:275:132:283:158:290:150:295:137:293:130:284:124:276:130:273:125:267:124:258:129]
338,328,123,345,148,338,0,0,17.9917,41.9782,1.52748,69.6405,0.935839,10.3725,65.1723,16.7852,25.639,1.52748,62.3964,34.1065,89.3284,31.8327,20.6111,27.7116,[334:124:329:145:342:148:345:131:342:126]
565,349,131,377,159,565,0,0,35.3859,61.9253,1.32288,90.8626,0.927351,13.4106,84.2615,23.3195,30.8488,1.32288,75.1735,35.3504,94.5752,26.3141,14.9251,20.1844,[352:133:350:142:358:153:371:159:377:150:376:136:369:132]
502,459,132,493,152,502,0,0,23.3904,70.5579,1.73682,86.8403,0.914609,12.6409,79.4249,19.1836,33.3184,1.73682,77.9104,43.9821,97.7092,39.4736,25.8347,32.0281,[460:141:462:146:472:152:488:150:493:143:492:137:483:133:476:133]
627,151,136,180,168,627,0,0,37.5512,70.7207,1.37234,101.819,0.871788,14.1273,88.7644,24.1189,33.0994,1.37234,93.3541,48.3828,111.841,27.3499,16.0936,17.6563,[179:139:167:139:156:149:152:160:160:163:160:168:171:167:178:161]
359,429,154,458,172,359,0,0,18.5163,46.8016,1.58984,79.8112,0.841566,10.6899,67.1664,16.9561,26.9575,1.58984,56.6212,29.8997,75.0362,41.2167,28.1857,42.168,[431:157:430:164:437:171:445:172:458:167:452:164:455:161:453:158:441:155]
518,320,160,344,188,518,0,0,39.3576,47.8536,1.10266,87.1657,0.925602,12.8407,80.6807,24.4567,26.9676,1.10266,80.5946,45.7683,108.647,27.3431,17.3488,18.9531,[326:163:322:167:323:181:343:187:343:162]
348,484,162,500,192,348,29,0,19.3704,45.7967,1.53761,77.7803,0.850207,10.5248,66.1294,16.9754,26.1017,1.53761,50.8161,18.9253,45.7615,24.0549,9.99541,20.7531,[493:163:486:170:485:183:497:187:500:192:500:164]
254,77,167,97,184,254,0,0,14.464,28.5294,1.40444,58.4938,0.965855,8.9917,56.4965,15.1747,21.312,1.40444,95.4173,50.3583,111.094,31.8268,19.2287,21.0763,[96:169:87:168:78:176:80:182:93:182:97:176]
314,184,169,205,189,314,0,0,19.1464,32.9481,1.31181,64.9676,0.966881,9.99746,62.8159,17.4576,22.9011,1.31181,54.5796,32.0064,81.9841,35.8785,26.0959,33.9626,[188:171:185:175:188:186:193:189:203:188:203:176:196:171]
478,152,180,179,206,478,0,0,21.3976,68.6226,1.79082,83.2781,0.930653,12.335,77.5031,18.435,33.0137,1.79082,67.2071,36.2113,90.5753,46.4657,25.3311,34.8398,[155:182:153:193:166:204:177:206:179:196:176:189:160:181]
200,299,181,318,194,200,0,0,11.3695,22.3923,1.40339,51.2347,0.978489,7.97885,50.1326,13.4704,18.9043,1.40339,103.02,50.955,115.99,16.2413,10.9487,12.6052,[301:185:300:190:305:194:315:194:318:190:312:182]
440,449,184,475,207,440,0,0,31.8826,38.7769,1.10283,74.5829,0.996992,11.8345,74.3586,22.5386,24.8563,1.10283,87.8591,63.9773,124.816,39.5058,31.9258,29.8963,[458:185:452:190:450:199:455:205:466:207:475:195:470:188]
482,119,190,147,213,482,0,0,32.0962,46.9162,1.20902,81.152,0.959024,12.3865,77.8267,22.53,27.2393,1.20902,99.3568,56.9979,122.259,33.0727,23.4632,24.4876,[123:191:120:199:122:209:135:213:145:206:147:200:141:194]
340,328,190,348,218,340,0,0,14.9089,59.0769,1.99061,77.1297,0.847467,10.4031,65.3649,14.7469,29.3554,1.99061,49.3706,24.6029,76.75,25.9285,14.8353,24.1165,[346:191:340:192:338:200:329:208:329:212:336:218:342:218:345:214:348:195]
328,63,195,77,226,328,0,0,12.04,59.5285,2.22356,73.8928,0.86884,10.2179,64.201,13.7046,30.4731,2.22356,77.1006,41.2134,87.4268,44.2187,33.5916,40.9919,[72:196:64:205:70:226:77:221:77:200]
899,185,195,229,242,899,0,0,47.6671,206.245,2.08009,172.149,0.617418,16.9163,106.288,23.4582,48.7951,2.08009,70.9255,37.792,94.1524,41.4128,26.9769,34.537,[187:198:186:209:193:219:187:222:187:231:193:236:208:233:224:242:229:232:216:222:212:229:206:216:197:211:197:200:191:196]
241,166,207,183,227,241,0,0,16.3225,22.8016,1.18192,57.3831,0.959024,8.75858,55.0318,16.1127,19.044,1.18192,101.739,58.971,119.892,30.2573,25.7885,24.9069,[170:209:167:220:170:225:177:227:183:218:182:214:176:208]
279,373,207,397,225,279,0,0,15.4674,36.3836,1.53371,68.9899,0.858266,9.42382,59.2116,15.219,23.3415,1.53371,94.276,46.6523,107.505,31.9477,20.6298,23.8958,[374:220:380:225:385:225:384:221:395:219:397:214:382:208]
544,251,215,282,239,544,0,0,35.1761,54.3418,1.24292,85.4043,0.96811,13.159,82.6807,23.6066,29.3411,1.24292,77.8364,30.682,75.761,36.7535,22.1418,34.2969,[252:225:264:239:279:234:282:226:271:216:257:216]
402,227,231,252,253,402,0,0,27.9916,38.1939,1.16811,80.8267,0.879353,11.312,71.0752,20.9328,24.4517,1.16811,60.2289,28.005,76.4478,38.1539,17.9775,29.6055,[230:235:228:245:233:252:251:251:249:242:252:240:239:232]
159,350,232,368,249,159,0,0,7.0724,27.4343,1.96953,54.9316,0.813731,7.11416,44.6996,10.1385,19.968,1.96953,82.2704,49.6478,112.786,32.8329,21.0797,22.4486,[353:234:351:241:362:249:368:249:358:233]
550,104,240,143,260,550,0,0,21.4603,92.9623,2.08131,93.5441,0.88873,13.2314,83.1355,18.3429,38.1772,2.08131,88.2091,44.1,106.58,38.6842,17.8592,20.0562,[143:248:139:242:110:244:105:251:111:258:118:260:133:257]
470,284,242,312,265,470,0,0,23.6298,60.1958,1.59607,82.2627,0.934224,12.2313,76.8518,19.3632,30.9051,1.59607,69.8681,36.4106,94.3681,32.7729,19.9198,26.8893,[310:244:301:243:289:250:285:264:298:265:308:260:312:254]
498,321,247,344,281,498,0,0,26.868,64.6657,1.55138,90.5373,0.87376,12.5904,79.1079,20.2167,31.3639,1.55138,66.1888,35.1687,92.3112,34.6963,21.6478,26.6621,[334:248:330:251:329:260:322:266:324:275:331:281:337:280:343:274:344:268:341:255]
317,428,248,451,270,317,0,0,25.6483,27.2417,1.03059,68.6645,0.919183,10.0451,63.1153,19.7898,20.3952,1.03059,57.3785,22.8927,65.7413,23.9166,12.6541,27.0929,[439:249:435:251:429:264:433:269:441:270:448:268:451:261]
366,347,250,368,273,366,0,0,25.5239,34.1678,1.15701,73.0121,0.92886,10.7936,67.8181,20.0691,23.2201,1.15701,63.4044,32.9563,90.6421,30.216,19.1229,25.2166,[353:251:348:256:348:268:358:273:368:267:365:263:367:259:362:253]
1022,450,258,485,313,1022,0,0,34.9309,283.058,2.84664,160.963,0.704051,18.0364,113.326,21.3803,60.8621,2.84664,88.045,47.1331,108.3,26.2427,14.5908,16.7867,[480:260:470:259:461:272:467:295:456:298:451:304:457:313:470:313:476:309:476:302:472:296:485:273:485:266]
96,272,259,283,272,96,0,0,5.34738,11.8361,1.48776,38.2872,0.907167,5.52791,34.7329,9.06408,13.4852,1.48776,103.01,55.5312,121.427,26.8315,20.234,22.0425,[281:260:273:264:273:272:283:267]
282,278,267,301,285,282,0,0,17.5489,29.366,1.29359,62.7461,0.94873,9.47435,59.5291,16.6602,21.5515,1.29359,134.209,92.3511,150.113,28.2281,26.5927,25.8819,[280:273:279:280:285:284:293:285:301:278:296:270:290:268]
164,118,268,135,285,164,0,0,7.17754,29.6365,2.03201,53.9162,0.841991,7.22515,45.397,10.1371,20.5987,2.03201,100.659,51.6707,113.774,26.7241,15.7682,16.8853,[121:269:119:274:127:278:128:284:133:285:133:274:128:269]
776,28,273,55,329,776,0,0,29.3721,254.595,2.94414,185.327,0.532841,15.7165,98.7497,18.3192,53.9343,2.94414,70.7178,38.549,91.0954,38.9028,25.1721,31.258,[30:274:29:277:35:283:34:291:40:299:38:302:42:305:43:313:38:324:43:329:52:322:54:309:51:304:42:300:51:296:55:277:51:275:46:282:40:274]
344,418,273,452,298,344,0,0,21.8618,50.3807,1.51806,104.826,0.627216,10.4642,65.7482,16.9859,25.7857,1.51806,88.1628,55.7122,116.535,35.0982,25.5591,28.4063,[439:274:429:276:426:282:419:280:428:289:435:290:434:298:439:291:445:290:452:283:440:280]
403,337,278,362,303,403,0,0,21.2354,51.9633,1.56429,79.2559,0.897896,11.326,71.1635,18.1113,28.3313,1.56429,110.886,54.7717,116.918,27.8412,23.9265,22.8991,[362:280:343:283:338:290:339:300:344:303:353:300]
122,0,291,12,308,122,14,0,6.69425,16.8438,1.58624,44.991,0.870281,6.23168,39.1548,9.89578,15.6971,1.58624,76.1311,39.5328,90.8525,42.2553,27.7973,32.866,[6:292:1:295:1:308:12:297]
275,77,298,96,326,275,0,0,7.57002,65.6666,2.94526,73.0121,0.805149,9.35603,58.7856,10.9033,32.1132,2.94526,69.0618,53.5055,106.429,39.3904,43.5228,42.4755,[96:300:91:299:87:302:79:325:84:326:90:319]
280,375,303,395,331,280,0,0,7.79949,70.3703,3.00373,74.9083,0.791871,9.4407,59.3177,10.8944,32.7239,3.00373,62.0429,38.5821,90.3286,33.9518,35.1598,41.1665,[393:304:386:307:377:321:378:331:387:328:387:322:395:309]
1007,205,310,290,374,1007,0,0,51.6252,976.56,4.34929,299.173,0.376008,17.9036,112.491,17.1696,74.6757,4.34929,89.1251,57.8709,113.929,50.0972,43.8211,43.6712,[290:314:272:311:255:313:238:323:233:341:227:341:222:354:216:352:210:357:206:365:207:372:215:374:226:368:225:359:233:349:233:343:243:327:241:336:249:325:255:323:256:318:278:321:281:327:285:327:288:322:281:320]
687,251,320,300,355,687,0,0,17.5624,243.746,3.72544,138.305,0.671808,14.7878,92.9145,15.323,57.085,3.72544,85.1004,41.7656,101.56,40.8313,20.2848,26.9443,[298:323:292:322:286:329:274:331:271:335:259:334:252:347:254:355:266:351:272:340:279:342:296:338:300:332]
655,95,324,128,352,655,0,0,37.8043,87.7873,1.52386,122.446,0.740937,14.4393,90.7247,23.3939,35.6491,1.52386,86.8809,43.1634,101.832,31.5624,17.9566,19.5167,[128:327:109:325:99:328:96:339:99:351:106:350:112:337:113:346:123:346]
804,324,324,373,354,804,0,0,31.5211,168.299,2.31068,152.268,0.660122,15.9975,100.515,21.0481,48.6355,2.31068,126.534,75.153,135.968,53.9511,36.2889,35.2955,[372:335:366:332:365:326:358:325:355:329:355:338:351:331:343:329:329:338:325:347:340:354:352:345:354:338:358:345:373:342]
154,2,334,16,362,154,0,0,2.84247,58.5794,4.53967,65.753,0.669037,7.00141,43.9911,6.57209,29.8351,4.53967,80.0455,28.8247,82.0325,25.7289,8.54106,18.7639,[16:335:6:347:4:362:15:344]
217,173,334,199,354,217,0,0,17.4962,41.2761,1.53595,81.152,0.643481,8.31103,52.2198,13.4121,20.6003,1.53595,133.719,88.553,147.876,37.1138,30.6546,23.5624,[196:352:199:345:198:335:191:342:174:338:186:345:192:354]
830,412,337,446,382,830,0,0,53.1175,122.686,1.51977,143.017,0.714093,16.2541,102.128,26.3697,40.0759,1.51977,83.9193,44.8675,108.067,32.9646,19.1863,21.7777,[442:338:432:345:427:360:420:355:418:348:414:353:413:365:424:382:435:376:443:363:446:352:441:345]
376,138,338,159,367,376,0,0,24.608,40.8551,1.2885,79.4859,0.864786,10.94,68.7383,19.2755,24.8366,1.2885,63.0824,29.3191,84.8005,35.8649,16.9589,27.5036,[155:339:143:345:139:355:141:360:149:362:152:367:159:356]
265,69,353,88,373,265,0,0,16.0676,28.3229,1.32768,60.62,0.951945,9.18434,57.7069,15.9416,21.1653,1.32768,56.4151,41.6943,90.5208,47.0614,35.3126,45.119,[86:355:81:354:72:358:70:365:74:372:85:368:88:359]
259,101,357,117,382,259,0,0,15.0778,33.458,1.48964,79.2559,0.719819,9.07977,57.0499,14.8787,22.1639,1.48964,104.622,52.695,118.583,27.3101,19.6825,20.9812,[112:358:110:364:105:358:102:366:108:382:110:378:115:379:114:371:117:369]
790,430,360,462,415,790,0,0,35.0831,189.726,2.32549,149.586,0.66608,15.8576,99.6365,20.7975,48.3644,2.32549,94.7911,50.243,113.633,28.2858,17.8496,19.5596,[452:361:443:370:439:381:435:382:431:394:435:411:441:415:445:411:444:386:455:391:462:382:461:376:453:368]
290,30,369,50,392,290,0,0,13.5211,43.5163,1.79399,72.5521,0.832059,9.6078,60.3676,14.3464,25.7374,1.79399,85.6862,50.5828,113.179,36.7455,26.1264,28.1679,[47:371:41:370:31:382:32:392:41:390:42:383:48:384:50:376]
233,461,380,479,399,233,0,0,16.0348,23.2159,1.20326,61.4054,0.881204,8.61198,54.1107,15.7019,18.8935,1.20326,122.433,64.9528,127.047,40.0951,21.1484,21.6825,[470:381:462:387:463:394:475:399:479:395:479:390:475:382]
303,112,384,150,402,303,0,0,6.66167,119.582,4.23683,90.0772,0.685033,9.82079,61.7058,9.54236,40.4294,4.23683,60.5149,36.7954,93.1353,33.1694,19.3535,23.0289,[150:387:143:385:136:392:118:393:113:399:115:402:126:402:144:394]
155,270,384,284,399,155,0,0,10.8009,14.2454,1.14844,45.5463,0.968986,7.0241,44.1337,13.1089,15.0548,1.14844,123.432,88.6774,148.781,34.4642,30.1585,23.5734,[275:385:271:390:272:397:278:399:284:393:281:386]
