BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,NumberOfPixels,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
75,0,128,44,829,829,7,0,20.6135,266.419,3.59507,148.38,0.687869,16.2443,102.066,17.1348,61.6008,3.59507,137.65,86.3715,161.417,20.3731,17.4433,17.9456,[76:1:81:17:95:28:109:28:117:40:123:44:127:43:128:39:104:10]
122,0,174,62,1400,1400,21,0,83.9193,309.863,1.92156,201.242,0.659099,21.11,132.638,30.4573,58.5256,1.92156,120.997,88.075,156.326,40.14,30.9552,32.9598,[123:1:136:13:133:32:136:56:144:62:162:56:173:46:172:37:167:33:147:37:145:32:148:18:143:1]
228,0,269,18,399,399,23,0,12.752,101.773,2.82506,96.2256,0.735869,11.2697,70.8095,13.41,37.8839,2.82506,83.5514,57.5489,129.629,29.8002,21.0807,21.8965,[229:1:258:18:262:18:269:9:267:4:256:6:251:1]
301,0,337,29,607,607,6,0,23.1363,104.944,2.12977,97.7012,0.893922,13.9001,87.3372,19.0495,40.571,2.12977,110.415,78.9835,152.552,27.9124,22.416,20.1584,[302:9:307:19:323:28:331:29:337:25:335:18:313:1:308:1]
472,0,500,24,518,518,32,0,32.5414,54.2591,1.29127,84.1588,0.958672,12.8407,80.6807,22.6001,29.1829,1.29127,139.002,99.3417,168.936,22.3142,18.5913,17.7486,[482:1:474:11:473:17:482:22:493:23:500:14:500:1]
17,21,59,54,920,920,0,0,56.3416,101.268,1.34067,114.996,0.935008,17.1127,107.522,29.5589,39.6287,1.34067,129.05,81.6435,157.246,22.0243,16.6349,14.9599,[20:37:18:44:27:53:52:52:59:43:54:34:35:22]
403,27,428,54,426,426,0,0,23.2762,54.8759,1.53545,81.612,0.896511,11.6447,73.1661,18.795,28.8587,1.53545,83.9577,60.0188,127.418,34.1925,31.3849,29.7328,[411:29:405:40:420:53:427:53:426:34:417:28]
326,32,364,76,1113,1113,0,0,58.4952,136.869,1.52965,125.492,0.9424,18.8223,118.264,30.4373,46.5585,1.52965,128.849,99.5975,167.053,37.8662,32.1248,27.3206,[353:33:347:33:338:40:327:64:330:70:340:76:349:73:357:65:364:51:362:39]
383,38,408,58,346,346,0,0,17.5279,44.3073,1.58991,69.2199,0.952603,10.4945,65.9391,16.6459,26.4655,1.58991,80.2486,53.0434,126.89,23.6118,19.1109,20.1672,[384:44:391:57:403:58:408:54:407:49:394:39]
476,47,500,72,400,400,25,0,33.0955,38.962,1.08502,80.6919,0.878628,11.2838,70.8982,21.6654,23.5073,1.08502,112.787,88.2675,156.893,35.0227,31.7211,25.7522,[478:57:477:60:482:66:500:72:500:48:493:48:485:56]
108,63,143,78,316,316,0,0,11.1346,77.5613,2.63928,82.7228,0.761769,10.0293,63.0157,12.3468,32.5868,2.63928,109.782,74.8797,147.402,25.8062,22.213,22.3104,[109:74:111:77:133:74:140:78:143:75:139:69:128:64]
246,81,275,105,508,508,0,0,31.9659,52.1579,1.27737,82.1674,0.972383,12.7162,79.8982,22.5024,28.7439,1.27737,146.402,108.781,174.63,21.5683,21.4977,19.13,[272:85:263:82:251:87:247:91:247:96:259:105:268:104:275:95]
