AreaInPixels,Perimeter,MajorAxis,MinorAxis,Eccentricity,ExtentRatio,Circularity,r_IntensityMean,r_IntensityMax,r_IntensityMin,r_IntensityStd,r_IntensityEntropy,r_IntensityEnergy,r_IntensitySkewness,r_IntensityKurtosis,r_GradientMean,r_GradientStd,r_GradientEntropy,r_GradientEnergy,r_GradientSkewness,r_GradientKurtosis,r_CannyNonZero,r_CannyMean,r_cytoIntensityMean,r_cytoIntensityMax,r_cytoIntensityMin,r_cytoIntensityStd,r_cytoIntensityEntropy,r_cytoIntensityEnergy,r_cytoIntensitySkewness,r_cytoIntensityKurtosis,r_cytoGradientMean,r_cytoGradientStd,r_cytoGradientEntropy,r_cytoGradientEnergy,r_cytoGradientSkewness,r_cytoGradientKurtosis,r_cytoCannyNonZero,r_cytoCannyMean,b_IntensityMean,b_IntensityMax,b_IntensityMin,b_IntensityStd,b_IntensityEntropy,b_IntensityEnergy,b_IntensitySkewness,b_IntensityKurtosis,b_GradientMean,b_GradientStd,b_GradientEntropy,b_GradientEnergy,b_GradientSkewness,b_GradientKurtosis,b_CannyNonZero,b_CannyMean,b_cytoIntensityMean,b_cytoIntensityMax,b_cytoIntensityMin,b_cytoIntensityStd,b_cytoIntensityEntropy,b_cytoIntensityEnergy,b_cytoIntensitySkewness,b_cytoIntensityKurtosis,b_cytoGradientMean,b_cytoGradientStd,b_cytoGradientEntropy,b_cytoGradientEnergy,b_cytoGradientSkewness,b_cytoGradientKurtosis,b_cytoCannyNonZero,b_cytoCannyMean,Polygon
29,26.4853,11.915,3.36173,0.959372,0.805556,0.519516,183.379,251,140,35.3079,4.65108,0.0416171,0.799871,2.27845,28.9655,12.9175,4.28023,0.0558858,0.512895,2.44566,12,105.517,212.667,255,168,18.5828,5.88433,0.0193195,0.114528,2.49078,12.1765,7.97473,4.69185,0.0434448,0.771133,2.76688,66,82.5,223.345,252,186,19.8864,4.30626,0.0535077,-0.371071,1.98886,19.7241,8.46859,4.1592,0.0630202,-0.146267,2.27764,10,87.931,231.074,255,179,13.8153,5.40969,0.0281622,-0.714052,3.76263,12.8333,7.5959,4.64524,0.0470973,0.96452,3.76294,77,96.25,[57:0:58:1:59:1:60:2:66:2:68:0]
352,76.5269,24.4209,19.6499,0.593767,0.741053,0.755308,97.6591,200,51,29.5382,6.28775,0.0153345,1.29781,4.3718,16.821,12.8799,5.1897,0.0338165,1.06703,3.17318,107,77.5142,210.455,255,105,27.2234,6.39959,0.0137785,-0.726225,3.88736,16.5199,10.2862,5.15682,0.0336617,0.895948,3.36395,141,75.3774,160.517,254,102,29.9395,6.31726,0.0158187,1.20126,4.11987,17.2102,12.096,5.10034,0.0359633,1.89933,9.08167,116,84.0341,228.528,255,143,19.3787,5.81038,0.0216016,-1.43424,6.37274,13.3229,9.64379,4.82417,0.044491,2.02439,9.15392,165,88.2076,[136:0:136:3:137:4:137:5:138:6:138:8:139:9:139:10:142:13:142:14:145:17:146:17:147:18:151:18:159:10:159:8:160:7:159:6:159:1:160:0]
17,19.8995,8.55039,3.17109,0.928685,0.53125,0.539479,135.176,162,115,13.9884,3.57247,0.0934256,0.160403,1.77897,8.58823,1.28607,2.18367,0.231834,0.13607,1.76346,7,105,126.194,176,65,27.6132,6.1467,0.0167071,0.17744,2.01199,10.6989,6.51431,4.4118,0.0570586,1.35812,5.24748,50,68.5484,201.294,255,161,30.027,4.08746,0.0588235,0.3939,1.74409,36.5294,16.0518,3.96982,0.0657439,0.213732,2.08504,6,90,181.183,249,143,23.0665,6.05613,0.0175165,0.65433,2.80345,16.3763,12.3296,5.07391,0.0360735,1.60406,6.14375,71,97.3387,[198:0:198:1:197:2:198:3:200:1:203:1:204:0]
1,2.82843,1.1547,1.1547,0,1,1.5708,145,145,145,0,-0,1,0,0,15,0,-0,1,0,0,1,255,118.075,176,58,26.1024,5.74429,0.0215379,-0.221982,2.64007,12.1604,7.75344,4.55032,0.0498398,1.11054,3.79568,31,74.5755,230,230,230,0,-0,1,0,0,64,0,-0,1,0,0,1,255,177.132,240,143,22.3755,5.65327,0.0222499,0.800077,3.46279,18,13.9006,4.97177,0.0377359,1.57142,5.272,41,98.6321,[206:0]
745,121.782,50.1737,19.5708,0.920789,0.502699,0.631251,98.1718,177,58,19.7615,6.11758,0.0159831,0.17439,2.44904,7.71409,5.48238,4.11412,0.0707374,1.96685,9.21034,184,62.9799,139.927,255,84,31.4238,6.64308,0.0122984,1.10394,4.04653,12.2735,7.67713,4.77767,0.0422123,0.807448,3.26391,245,68.3534,159.009,231,108,17.283,5.99215,0.0177235,0.540571,3.70654,9.39195,8.15813,4.32331,0.0609144,4.08933,27.4958,258,88.3087,187.535,255,125,26.9956,6.55202,0.0125258,0.574529,2.60771,15.0011,9.898,5.02656,0.0369573,1.55994,6.70898,310,86.488,[212:0:210:2:209:2:208:3:207:3:206:4:205:4:204:5:202:5:201:6:199:6:198:7:197:7:194:10:194:11:193:12:193:13:188:18:187:18:184:21:184:22:183:23:183:29:184:30:184:32:185:33:185:34:189:38:192:38:193:37:194:37:202:29:202:28:205:25:205:24:215:14:215:13:217:11:217:10:218:9:218:7:219:6:219:4:220:3:220:0]
16,19.6569,9.45163,2.29583,0.970051,0.888889,0.520357,164.125,188,135,17.4745,3.75,0.078125,-0.399317,1.6118,35,6.05186,3.5,0.09375,0.0101512,1.7986,8,127.5,219.449,255,168,23.9862,5.95457,0.0181431,-0.344485,2.00529,14.0284,8.11314,4.79703,0.0401601,0.29871,2.31244,53,76.7898,220.375,236,200,10.9879,3.75,0.078125,-0.456332,2.24767,18.375,7.74496,3.5,0.09375,-0.562685,2.03053,8,127.5,237.83,255,184,16.3861,5.16687,0.0413869,-1.33521,4.5905,11.1364,8.86026,4.5283,0.0512655,1.67987,6.09414,63,91.2784,[263:0:264:1:270:1:271:0]
20,21.0711,9.31604,3.04598,0.945038,0.740741,0.566066,101.35,130,66,23.4591,3.88418,0.075,-0.265538,1.42299,17.5,8.86284,4.02193,0.065,0.135095,2.28758,3,38.25,179.176,255,99,37.9359,6.45256,0.0135249,-0.100266,1.81213,17.4396,10.7004,5.11177,0.0344161,0.802948,3.13239,69,96.6758,173.5,255,132,38.1425,3.82193,0.075,0.868304,2.74933,36.75,25.487,4.12193,0.06,0.682105,2.14853,5,63.75,214.61,255,134,31.6477,6.14617,0.0176911,-0.703129,2.58429,19.1099,13.0223,5.27217,0.0304915,1.2775,5.27409,71,99.478,[418:0:419:1:421:1:422:2:424:2:425:1:426:1:426:0]
6,9.65685,4,2.21108,0.833333,0.75,0.808518,125.833,140,111,9.40597,2.58496,0.166667,-0.199391,2.02714,22.8333,2.47768,1.79248,0.333333,-0.532052,1.53234,2,85,140.978,229,66,38.7409,6.32266,0.0144896,0.167245,2.49356,20.1838,11.1949,5.08622,0.0335208,0.755631,2.98998,39,73.125,191.5,225,178,17.2796,2.25163,0.222222,1.04906,2.5439,28.6667,15.0296,2.25163,0.222222,0.291484,1.67301,4,170,195.309,255,132,34.5519,6.15875,0.0157872,0.0553295,1.98743,23.0956,11.8284,5.25615,0.0290874,0.705702,3.5997,47,88.125,[430:0:431:1:432:1:433:0]
10,13.6569,6.1101,2.2745,0.928132,0.833333,0.673765,119.4,150,99,18.6344,3.32193,0.1,0.614695,1.73284,30.6,12.963,3.32193,0.1,-0.769996,2.4582,6,153,163.816,248,55,48.4946,6.47955,0.0126385,-0.437625,2.15738,22.3026,13.9577,5.35894,0.0284799,0.671258,2.50812,43,72.1382,214,229,185,13.6162,3.12193,0.12,-0.859914,2.70408,20.5,11.6125,2.92193,0.14,-0.0373576,1.67051,3,76.5,205.776,255,129,33.0204,6.04376,0.0180055,-0.621584,2.15503,20.3816,12.2496,5.1871,0.0313366,1.05864,5.02061,47,78.8487,[448:0:449:1:452:1:453:0]
6,9.65685,4,2.21108,0.833333,0.75,0.808518,141.167,154,135,6.56802,2.58496,0.166667,1.03266,2.65288,9,3.87298,2.25163,0.222222,1.23935,3.24889,1,42.5,137.162,230,55,38.2836,6.34078,0.0137327,0.102795,2.01443,25.1397,15.0973,5.42133,0.0259515,0.585956,2.42767,45,84.375,211,238,175,25.8521,2.58496,0.166667,-0.538261,1.4843,44.6667,14.5335,2.58496,0.166667,0.0419979,1.11645,2,85,192.199,255,129,35.0281,6.11269,0.0158953,-0.0359122,1.74273,26.4926,14.3163,5.30242,0.0297362,1.54868,8.32182,46,86.25,[457:0:458:1:459:1:460:0]
