NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
149,323,0,346,11,149,17,0,4.66452,36.5525,2.79933,55.0269,0.786363,6.88681,43.2711,8.23229,23.0449,2.79933,67.7651,45.4899,116.067,28.9207,27.8292,29.747,[324:1:340:11:346:10:346:6:340:1]
37,461,0,473,4,37,12,0,0.970834,9.61353,3.1468,27.0057,0.798454,3.43183,21.5628,3.8692,12.1756,3.1468,64.5946,40.3784,113.865,16.7146,11.8672,11.8918,[462:1:467:4:473:2]
129,443,13,456,31,129,0,0,4.61557,26.4256,2.39276,48.4579,0.830874,6.40796,40.2624,8.28514,19.8244,2.39276,93.3411,64.8217,139.248,17.4696,15.6138,11.5926,[446:14:446:24:455:31:453:18]
75,86,14,96,24,75,0,0,5.50892,6.46761,1.08352,30.7027,0.999906,4.88603,30.6998,9.38786,10.172,1.08352,83.0933,63,138.067,16.966,14.7594,16.3677,[91:15:87:21:94:24:96:18]
414,246,32,282,63,414,0,0,20.5833,154.82,2.74256,116.337,0.619994,11.4796,72.1282,13.8636,38.0218,2.74256,86.6739,66.657,133.838,28.1325,24.7782,27.3512,[247:42:256:54:273:63:281:61:280:51:266:54:256:45:261:35:254:33]
63,368,45,379,53,63,0,0,3.5693,7.24249,1.42447,29.3619,0.958276,4.47812,28.1368,7.50411,10.6894,1.42447,77.0952,58.3175,130.032,15.9679,13.5808,12.9185,[369:48:371:53:379:50:372:46]
269,3,47,21,65,269,0,0,20.5535,23.1479,1.06124,58.8192,0.988467,9.2534,58.1408,17.9649,19.065,1.06124,74.0372,52.9108,126.695,25.5003,21.2353,22.2825,[5:50:4:59:17:65:21:59:21:50]
81,483,51,496,60,81,0,0,4.69668,9.08445,1.39077,32.8288,0.971833,5.07771,31.9042,8.61134,11.9764,1.39077,91.9506,71.1605,146.58,16.1313,11.5859,11.5832,[484:56:489:60:496:58:492:52]
100,484,101,496,117,100,0,0,3.31758,23.7214,2.67399,44.7609,0.791965,5.6419,35.4491,6.90041,18.4516,2.67399,94.15,66.15,144.38,13.1775,10.0751,9.11787,[485:102:490:116:496:117:495:109]
123,428,104,449,113,123,0,0,3.02552,33.379,3.32152,49.1085,0.800572,6.25717,39.3149,6.86656,22.8074,3.32152,82.0325,64.2033,136.634,24.5065,20.2549,20.0354,[449:106:439:106:429:111:446:111]
299,272,138,294,165,299,0,0,16.0401,59.4142,1.9246,79.8112,0.768027,9.75575,61.2972,14.0644,27.0683,1.9246,93.1338,64.4816,140.144,22.1624,19.8652,20.3331,[289:141:281:139:277:142:273:154:274:165:280:160:284:149:294:149]
231,49,142,67,167,231,0,0,15.3669,34.7946,1.50474,67.8791,0.793733,8.57494,53.8779,13.9807,21.0374,1.50474,81.1861,49.9307,129.056,21.2388,19.0355,21.921,[66:143:50:157:52:162:62:167:65:166]
230,146,142,165,160,230,0,0,11.3804,30.6999,1.64244,57.3831,0.936882,8.55636,53.7612,13.3529,21.9313,1.64244,54.7435,40.8609,108.961,27.5259,24.0005,27.71,[165:146:162:143:157:144:147:155:148:159:162:157:165:154]
194,104,152,121,177,194,0,0,7.46452,43.3273,2.40924,64.6423,0.763817,7.85825,49.3749,10.1255,24.3947,2.40924,91.8918,67.1649,141.691,25.9935,21.0109,20.3051,[109:153:105:165:110:166:118:177:121:168]
554,0,166,24,206,554,25,0,21.7241,111.112,2.26156,107.832,0.773768,13.2794,83.4372,17.6606,39.9406,2.26156,78.5957,49.4585,128.975,21.6611,17.8009,21.9407,[23:168:15:168:1:182:1:206:11:204:18:195:19:186:15:176:23:171]
6,63,168,65,173,6,0,0,0.127394,1.81705,3.77667,11.0514,0.785712,1.38198,8.68322,1.42225,5.37137,3.77667,91.3333,58.8333,141.667,8.5375,5.8713,7.63035,[65:169:65:173]
