NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
431,106,0,123,33,431,10,0,16.364,76.9023,2.16783,83.1434,0.885148,11.7129,73.5942,15.9104,34.491,2.16783,59.4014,31.9142,86.7657,20.5514,12.2123,15.0578,[121:1:112:1:109:5:109:33:113:33:123:21]
2,199,0,201,1,2,2,0,0,0.25,0,4.57764,1.09516,0.797885,5.01326,0,0,0,116,61.5,125,1,0.5,4,[200:1]
262,201,0,221,22,262,9,0,10.0384,45.8755,2.13776,65.4277,0.876989,9.13221,57.3793,12.4918,26.7045,2.13776,71.6069,33.4542,94.0534,21.0757,9.51675,13.9357,[203:1:202:9:214:22:219:21:221:15:213:3]
716,49,16,80,49,716,0,0,38.2568,85.54,1.49531,98.5818,0.962198,15.0967,94.8553,24.6914,36.9213,1.49531,90.2277,42.6746,103.077,21.9874,12.3804,16.9172,[55:19:50:25:55:40:62:47:77:47:80:43:77:29:65:17]
152,0,27,7,55,152,24,0,3.10301,49.2702,3.98474,59.6998,0.732072,6.9558,43.7046,6.9691,27.7701,3.98474,85.7697,41.6842,102.599,19.5988,10.5982,13.8599,[1:28:1:51:6:55:7:41]
933,351,32,384,77,933,0,0,55.2727,126.511,1.5129,132.617,0.816484,17.2332,108.279,28.0215,42.3936,1.5129,67.686,33.5348,90.5413,23.797,14.1691,17.8118,[368:33:363:38:365:50:353:55:352:59:362:76:370:77:376:73:382:77:384:67:375:37]
243,430,39,448,59,243,0,0,13.4488,28.8604,1.4649,58.7239,0.941008,8.79485,55.2596,14.5329,21.2894,1.4649,54.465,37.679,96.6584,29.8365,22.1771,28.8996,[445:40:431:47:431:54:437:59:448:48]
361,219,40,242,62,361,0,0,22.1235,38.4718,1.3187,69.2199,0.973033,10.7196,67.3532,18.6697,24.6196,1.3187,87.1136,52.2161,114.85,25.5313,20.232,21.3247,[236:42:229:41:222:46:220:57:223:61:229:61:242:52:242:47]
282,117,45,135,65,282,0,0,17.995,28.4016,1.25631,59.8346,0.994895,9.47435,59.5291,16.9057,21.2387,1.25631,83.1241,38.2376,100.191,15.2595,8.35835,11.9686,[120:47:119:58:126:65:131:65:135:61:134:50:130:47]
286,159,52,172,83,286,0,0,8.42507,63.39,2.74298,71.7667,0.835344,9.54131,59.9498,11.522,31.6046,2.74298,57.042,26.0664,81.6608,21.1604,8.45137,10.9675,[164:53:160:59:163:80:168:83:172:79:168:56]
339,308,58,321,92,339,0,0,10.3199,71.6289,2.63455,76.8997,0.848751,10.3878,65.2687,12.7998,33.7216,2.63455,74.3156,46.9469,105.67,34.1764,23.9282,25.9938,[314:59:310:67:309:85:316:92:320:87:321:76:319:62]
510,323,62,341,100,510,0,0,21.3671,83.35,1.97506,90.0772,0.888741,12.7412,80.0553,18.1322,35.8121,1.97506,73.4706,40.3,97.5667,23.1997,19.541,24.1033,[328:63:324:92:326:99:331:100:341:89:341:74]
367,479,68,500,98,367,4,0,18.4734,66.4124,1.89605,84.3889,0.804735,10.8083,67.9107,15.6987,29.7655,1.89605,80.139,30.5095,86.733,21.0844,11.1316,16.1272,[500:70:488:69:481:74:480:87:488:98:492:96:490:84]
369,425,69,446,97,369,0,0,14.6956,59.9999,2.02061,78.3752,0.86884,10.8377,68.0955,15.2485,30.8112,2.02061,85.8672,45.9783,107.729,26.4528,16.4013,18.5069,[444:70:434:73:426:85:427:97:434:96:440:90:446:77]
505,196,79,227,109,505,0,0,21.0363,94.0475,2.11441,97.2411,0.819221,12.6786,79.6619,17.4384,36.8719,2.11441,69.9644,26.3525,80.9208,21.9259,9.77907,15.6464,[225:81:215:80:207:87:197:108:202:108:214:98:224:99:227:90]
423,339,81,371,105,423,0,0,17.3349,80.4401,2.15415,92.3381,0.789576,11.6037,72.908,15.812,34.0614,2.15415,68.3357,32.279,89.0024,25.8656,11.8001,16.7465,[370:84:364:82:359:89:349:84:340:103:353:104:369:91]
298,457,87,477,107,298,0,0,20.472,27.7293,1.16383,61.9607,0.987635,9.73942,61.1946,18.0559,21.014,1.16383,68.0067,26.7752,82.0839,20.1997,9.20496,15.7509,[458:93:458:100:465:107:476:104:477:97:468:88]
288,414,98,432,126,288,0,0,9.36007,58.9437,2.50945,73.0121,0.82396,9.57461,60.1591,12.0882,30.3348,2.50945,51.4028,27.6493,76.5903,30.6821,17.4256,26.8814,[432:100:425:101:415:122:417:126:424:124:431:115]
803,353,100,398,138,803,0,0,26.416,178.534,2.59972,130.395,0.770373,15.9876,100.453,19.8312,51.5557,2.59972,52.3512,30.2553,80.6936,26.9405,24.492,29.3255,[398:104:390:101:379:113:367:112:354:137:359:138:383:130:395:116]
160,328,140,364,161,160,0,0,2.51155,123.088,7.00063,86.9751,0.515549,7.1365,44.8399,5.39444,37.7645,7.00063,102.562,55.8062,119.162,24.6106,26.4198,32.19,[364:142:342:148:329:161]
368,207,143,228,169,368,0,0,20.3352,43.1055,1.45593,71.3461,0.953145,10.823,68.0031,17.9394,26.1186,1.45593,54.6902,27.6821,80.9402,24.3636,10.3923,14.6481,[222:144:214:147:208:159:210:165:216:169:228:157:227:150]
588,434,154,465,187,588,0,0,32.5,74.5824,1.51487,96.3604,0.892062,13.6809,85.9594,22.2308,33.6769,1.51487,55.6973,23.9694,77.8146,22.7508,8.9187,14.1823,[448:155:435:168:444:173:450:186:459:186:465:171]
281,487,155,500,182,281,26,0,11.4117,48.2054,2.05529,66.4036,0.894883,9.45754,59.4235,13.1939,27.1172,2.05529,59.2562,25.1851,79.3167,23.8066,12.0598,20.1785,[496:156:488:164:488:171:495:182:500:182:500:157]
522,356,160,389,187,522,0,0,25.5347,78.6407,1.75492,92.6634,0.874041,12.8902,80.9916,19.4608,34.1523,1.75492,68.5287,31.2874,87.7356,26.1173,12.1268,18.4583,[389:162:362:169:357:175:358:179:367:186:376:186:388:170]
510,411,167,442,191,510,0,0,26.2815,64.5926,1.56771,84.8489,0.943504,12.7412,80.0553,20.352,31.9061,1.56771,71.3941,31.0275,90.3725,20.9997,11.8687,17.2376,[412:173:422:191:437:191:442:186:436:176:427:169:417:168]
301,211,183,233,204,301,0,0,13.3035,43.3004,1.80411,65.983,0.932086,9.78832,61.5019,14.5749,26.2948,1.80411,75.2458,36.701,97.6146,17.6921,8.88372,11.9677,[214:184:212:191:223:203:231:203:233:198:230:191:222:185]
263,292,195,309,216,263,0,0,15.2817,29.084,1.37956,58.1685,0.988314,9.14962,57.4887,15.5798,21.4933,1.37956,56.9163,27.2624,79.7224,22.7277,13.459,21.548,[304:196:299:197:293:204:293:211:297:216:309:208:309:200]
248,361,196,378,217,248,0,0,12.6087,32.0533,1.59441,59.2792,0.941734,8.88487,55.8253,14.0728,22.4379,1.59441,75.7823,35.625,94.8065,33.6903,17.1133,26.0044,[366:197:362:207:371:215:378:217:377:203]
501,346,210,373,241,501,0,0,23.4041,83.6611,1.89067,95.6703,0.829367,12.6283,79.3458,18.3682,34.7282,1.89067,54.3333,27.9202,79.5529,27.9465,16.7079,24.293,[349:213:347:220:352:226:360:229:359:238:362:241:370:241:373:225:369:218:354:211]
