NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
6,2,0,6,2,6,4,0,0.222222,0.916667,2.03101,9.15527,0.948439,1.38198,8.68322,1.93943,3.93901,2.03101,171.333,76,149.333,5.96285,5.74456,7.90921,[3:1:6:1]
6,10,0,14,2,6,4,0,0.222222,0.916667,2.03101,9.15527,0.948439,1.38198,8.68322,1.93943,3.93901,2.03101,170.5,82.6667,147.5,7.91096,3.98609,7.80491,[11:1:14:1]
17,22,0,28,4,17,5,0,0.937919,2.00326,1.46146,15.629,0.935185,2.32621,14.616,3.84846,5.62435,1.46146,186.765,124.471,179.588,17.5952,26.2502,19.4091,[23:1:25:4:28:3]
4,30,0,33,2,4,3,0,0.1875,0.5,1.63299,7.25915,0.976673,1.12838,7.08982,1.76601,2.88388,1.63299,186.75,107,167.25,13.4977,12.51,13.4792,[31:1]
106,47,0,69,8,106,22,0,3.33432,26.7116,2.83039,48.5532,0.751693,5.80869,36.4971,6.90533,19.5448,2.83039,184.962,127.491,184.321,12.1732,12.8359,7.85187,[48:1:62:8:69:1]
8,82,0,87,2,8,5,0,0.234375,1.5,2.52982,11.0514,0.907263,1.59577,10.0265,2.00657,5.07627,2.52982,194.375,129.25,188.375,2.17586,4.60299,4.5535,[83:1:87:1]
4,90,0,93,2,4,3,0,0.1875,0.5,1.63299,7.25915,0.976673,1.12838,7.08982,1.76601,2.88388,1.63299,193.75,158.25,202.5,8.8706,14.2894,9.86154,[91:1]
8,119,0,124,2,8,5,0,0.234375,1.5,2.52982,11.0514,0.907263,1.59577,10.0265,2.00657,5.07627,2.52982,187.125,112.125,169.875,12.9657,15.1776,8.46223,[120:1:124:1]
6,142,0,146,2,6,4,0,0.222222,0.916667,2.03101,9.15527,0.948439,1.38198,8.68322,1.93943,3.93901,2.03101,199.667,140.667,191.667,2.4267,2.0548,3.24893,[143:1:146:1]
14,151,0,159,2,14,8,0,0.244898,4.25,4.16583,16.7397,0.792355,2.111,13.2638,2.06856,8.61728,4.16583,188.071,141.214,191.357,12.6235,13.3587,2.58034,[152:1:159:1]
6,163,0,167,2,6,4,0,0.222222,0.916667,2.03101,9.15527,0.948439,1.38198,8.68322,1.93943,3.93901,2.03101,193,148.167,194.833,12.1929,9.04464,4.7052,[164:1:167:1]
8,171,0,176,2,8,5,0,0.234375,1.5,2.52982,11.0514,0.907263,1.59577,10.0265,2.00657,5.07627,2.52982,186.5,120.125,175.5,12.6194,10.6235,3.16228,[172:1:176:1]
6,195,0,199,2,6,4,0,0.222222,0.916667,2.03101,9.15527,0.948439,1.38198,8.68322,1.93943,3.93901,2.03101,187.667,108.167,167.5,5.49747,6.79256,6.42262,[196:1:199:1]
9,200,0,205,2,9,5,0,0.236696,1.73861,2.71023,11.6068,0.916253,1.69257,10.6347,2.05624,5.57287,2.71023,173.889,107,166.222,19.9413,17.088,15.7887,[201:1:205:2]
10,213,0,219,2,10,6,0,0.24,2.25,3.06186,12.9475,0.865802,1.78412,11.21,2.03921,6.24378,3.06186,174.3,102,167,19.22,24.3516,23.9833,[214:1:219:1]
10,221,0,227,2,10,6,0,0.24,2.25,3.06186,12.9475,0.865802,1.78412,11.21,2.03921,6.24378,3.06186,176.2,93.9,157.3,15.5872,8.91572,8.76413,[222:1:227:1]
4,269,0,272,2,4,3,0,0.1875,0.5,1.63299,7.25915,0.976673,1.12838,7.08982,1.76601,2.88388,1.63299,185.5,91.75,160,6.34429,3.11247,4.94975,[270:1]
6,287,0,291,2,6,4,0,0.222222,0.916667,2.03101,9.15527,0.948439,1.38198,8.68322,1.93943,3.93901,2.03101,184.833,96.3333,165.333,5.48989,2.92499,4.88763,[288:1:291:1]
4,296,0,299,2,4,3,0,0.1875,0.5,1.63299,7.25915,0.976673,1.12838,7.08982,1.76601,2.88388,1.63299,187.75,104,169.5,6.72216,6.74537,5.40833,[297:1]
14,303,0,312,2,14,9,0,0.229239,6.20954,5.20457,19.4213,0.682954,2.111,13.2638,1.85066,9.63189,5.20457,193.714,121.643,181.429,11.7682,6.0546,8.69083,[304:1:312:1]
7,324,0,328,2,7,4,0,0.226926,1.0792,2.18076,9.71063,0.965843,1.49271,9.37894,2.02162,4.40867,2.18076,154.286,96.8571,170.143,29.5766,36.4356,29.0636,[325:1:328:2]
4,336,0,339,2,4,3,0,0.1875,0.5,1.63299,7.25915,0.976673,1.12838,7.08982,1.76601,2.88388,1.63299,202.5,113.5,180,10.0623,8.38153,9.38083,[337:1]
14,346,0,354,2,14,8,0,0.244898,4.25,4.16583,16.7397,0.792355,2.111,13.2638,2.06856,8.61728,4.16583,189.071,123.071,182.429,18.1441,25.7889,19.9095,[347:1:354:1]
258,351,0,372,33,258,17,0,9.11322,90.9114,3.15844,99.6531,0.571379,9.06223,56.9396,10.1983,32.2108,3.15844,170.027,96.0581,163.988,23.5028,19.2738,13.9857,[372:1:356:1:352:29:354:33:359:30:362:22:359:2]
59,387,0,404,5,59,17,0,1.63661,16.0129,3.12797,36.161,0.752992,4.33362,27.229,4.90061,15.3289,3.12797,149.712,98.6441,164.559,30.3734,27.9599,19.6626,[388:1:395:5:404:1]
6,407,0,411,2,6,4,0,0.222222,0.916667,2.03101,9.15527,0.948439,1.38198,8.68322,1.93943,3.93901,2.03101,177,101.167,158.833,6.13732,6.86578,5.14512,[408:1:411:1]
14,422,0,430,2,14,8,0,0.244898,4.25,4.16583,16.7397,0.792355,2.111,13.2638,2.06856,8.61728,4.16583,193.786,137.143,194.071,12.1195,17.892,13.5724,[423:1:430:1]
