NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
380,136,0,161,21,380,25,0,28.7869,37.3788,1.1395,75.7889,0.911782,10.9981,69.103,20.6058,23.4803,1.1395,102.076,82.0816,164.732,33.3545,34.4758,33.3488,[137:1:139:10:147:21:151:21:161:10:161:1]
1944,174,0,226,51,1944,36,0,108.199,241.465,1.49388,178.354,0.876337,24.8756,156.298,40.7048,60.8081,1.49388,126.503,95.6142,180.475,33.4129,34.4639,29.3978,[223:1:188:1:192:4:184:4:180:8:176:18:175:38:177:46:182:51:197:51:209:43:216:22:226:10]
1686,354,0,393,63,1686,4,0,90.7761,211.327,1.52578,161.749,0.899898,23.1661,145.557,37.5092,57.2308,1.52578,135.772,110.129,191.565,28.4388,27.2973,28.099,[367:1:367:9:355:27:355:45:357:52:368:63:385:61:390:54:393:28:381:19:372:3]
244,413,0,452,15,244,22,0,4.99789,98.2031,4.43271,95.7656,0.578216,8.81292,55.3732,8.37173,37.1095,4.43271,131.844,118.037,186.037,33.5352,25.2819,31.924,[414:1:427:8:438:9:444:15:452:11:441:4:432:4:435:1]
576,269,8,301,33,576,0,0,32.419,68.2418,1.45086,89.7519,0.947922,13.5406,85.0778,22.483,32.6196,1.45086,165.566,145.248,212.236,27.5009,25.6829,30.3526,[272:14:270:24:273:27:281:27:290:33:296:32:301:19:295:12:279:9]
5085,9,13,137,90,5085,0,0,264.489,990.922,1.9356,440.754,0.573527,40.2319,252.784,57.8352,111.946,1.9356,142.282,117.546,195.514,35.6182,35.7617,30.1939,[10:69:15:76:33:69:43:79:50:79:58:71:77:72:82:75:95:62:97:78:106:89:123:89:131:81:137:55:137:40:121:26:109:31:96:30:81:16:71:14:69:16:74:20:74:25:71:28:61:27:49:36:50:53:47:57:27:55:20:58]
697,409,21,448,47,697,0,0,34.86,92.7277,1.63095,108.523,0.862386,14.895,93.5882,23.3266,38.0445,1.63095,163.369,136.617,215.199,21.8597,18.2302,20.9502,[445:26:441:22:433:26:421:26:410:39:414:46:439:46:448:37]
910,0,23,37,53,910,29,0,57.5269,96.7106,1.29659,114.171,0.936631,17.0195,106.936,29.8934,38.7593,1.29659,131.96,109.544,188.945,30.352,26.5888,26.3529,[36:33:25:24:11:24:6:27:1:25:1:53:16:53:30:47:37:40]
4386,294,25,364,149,4386,0,0,225.769,1186.53,2.29249,377.818,0.62138,37.3645,234.768,49.3555,113.147,2.29249,123.987,98.106,181.783,35.5079,34.6066,31.5458,[339:26:322:26:309:38:304:48:307:63:319:73:333:77:343:71:347:74:347:79:330:89:297:126:295:134:302:149:315:146:327:133:350:121:356:113:355:98:364:89:361:77:345:56:348:40:346:32]
1397,194,62,245,123,1397,0,0,55.7488,325.94,2.41797,181.305,0.730793,21.0874,132.496,27.1224,65.5811,2.41797,146.584,118.241,199.228,32.8309,31.607,30.6666,[240:67:230:68:219:63:214:69:212:81:195:103:195:110:211:123:217:121:219:108:226:98:225:83:236:84:245:78:245:72]
1310,142,65,195,103,1310,0,0,71.1862,169.547,1.54329,149.166,0.860144,20.4202,128.304,32.8751,50.7358,1.54329,126.137,95.7969,179.884,32.3763,32.1374,29.7189,[190:71:187:68:181:70:170:66:143:97:147:100:171:103:183:101:192:94:190:92:195:87]
202,0,69,15,95,202,18,0,6.47196,46.7645,2.68807,65.5229,0.768931,8.01864,50.3826,9.78161,26.2937,2.68807,167.317,144.342,214.847,23.2974,20.4743,20.2832,[1:70:1:87:6:87:8:93:13:95:15:90]
1048,434,69,478,105,1048,0,0,67.4046,118.048,1.32338,128.729,0.891474,18.2644,114.759,31.7536,42.0222,1.32338,143.876,121.17,198.469,24.6613,22.4619,26.2569,[472:71:460:70:448:84:444:85:437:81:435:87:450:104:467:103:478:86:478:78]
340,401,77,426,97,340,0,0,15.2209,48.9336,1.79301,69.2199,0.944307,10.4031,65.3649,15.5383,27.8603,1.79301,171.882,144.318,224.553,12.782,10.941,11.8704,[426:80:418:78:411:81:403:89:402:94:405:97:416:97:422:91]
402,60,85,82,109,402,0,0,31.2386,33.0449,1.0285,71.6714,0.991681,11.312,71.0752,22.3082,22.9441,1.0285,126.306,102.313,186.201,37.1235,30.8548,29.1935,[75:86:65:88:61:95:62:103:70:109:82:102:82:94]
2211,34,105,146,174,2211,0,0,39.8251,1350.8,5.82395,297.872,0.55959,26.5289,166.686,21.9857,128.044,5.82395,156.28,130.552,206.926,25.7378,23.2956,24.5185,[38:109:36:121:58:138:69:143:81:144:94:155:107:159:113:167:120:167:135:174:146:169:146:162:140:153:131:147:123:146:114:152:92:147:86:143:93:136:87:127:49:107:42:106]
876,253,105,289,141,876,0,0,43.5483,116.753,1.63737,113.195,0.92689,16.6985,104.92,26.0996,42.7347,1.63737,145.414,115.708,195.047,30.3298,27.4921,29.6201,[287:107:280:106:271:110:261:119:254:133:258:140:279:139:285:131:289:111]
727,362,107,394,145,727,0,0,26.1842,130.487,2.23236,107.737,0.88717,15.2122,95.5811,20.3629,45.4574,2.23236,144.583,115.103,197.975,30.2358,26.2448,28.9903,[391:108:382:110:368:127:363:140:365:144:378:145:393:123:394:111]
2040,412,120,467,177,2040,0,0,113.048,246.879,1.47778,170.158,0.940953,25.4824,160.111,41.9242,61.9549,1.47778,147.605,125.36,202.367,35.0336,30.9167,29.8142,[420:121:413:131:414:142:442:175:450:176:463:163:467:149:464:139:450:125]
1276,215,155,277,185,1276,0,0,41.6855,268.406,2.53749,158.512,0.798857,20.1535,126.628,25.3034,64.207,2.53749,139.136,110.334,191.297,30.1937,29.6425,30.0791,[277:161:267:156:253:156:247:160:238:160:237:157:236:161:228:164:218:174:216:180:221:185:231:185:243:180:263:182:273:174]
809,477,156,500,201,809,42,0,38.1051,119.85,1.77349,112.831,0.893619,16.0472,100.828,24.0999,42.7409,1.77349,118.171,91.9184,174.975,38.6726,38.0069,35.0289,[491:157:478:169:478:182:484:195:500:201:500:160]
307,320,176,347,196,307,0,0,11.1839,56.529,2.24822,70.7907,0.877401,9.8854,62.1118,13.1857,29.6445,2.24822,172.557,144.779,222.57,17.2591,15.0273,15.5991,[347:180:343:177:328:184:321:193:324:196:334:196]
337,0,177,17,215,337,38,0,18.3792,61.8206,1.83402,91.1879,0.713646,10.3571,65.0759,15.2957,28.0525,1.83402,152.231,129.439,204.967,20.8442,16.4121,25.6506,[1:178:1:215:17:205:16:199:6:192]
1767,41,179,97,239,1767,0,0,101.171,275.942,1.65151,193.601,0.769688,23.7161,149.013,36.9091,60.9556,1.65151,142.31,116.426,194.441,25.8313,23.5766,26.8815,[47:182:43:187:43:197:55:209:64:211:67:224:75:235:81:239:86:237:90:228:84:216:97:200:96:193:58:180]
402,121,191,145,214,402,0,0,24.9019,42.9518,1.31333,73.0121,0.973471,11.312,71.0752,19.7415,25.9272,1.31333,155.289,126.132,204.403,24.6713,21.9911,28.7978,[140:192:133:193:123:203:122:210:125:213:140:213:144:209:145:200]
1701,227,193,276,237,1701,0,0,118.518,162.112,1.16954,152.363,0.95957,23.269,146.203,43.0328,50.3286,1.16954,117.853,89.8072,173.781,29.8456,28.8715,27.728,[231:200:228:222:231:232:237:237:248:233:265:235:274:228:276:217:272:207:262:196:239:194]
2850,389,197,456,259,2850,0,0,165.829,333.772,1.41872,251.175,0.753444,30.1195,189.246,50.5743,71.7505,1.41872,134.193,106.722,188.156,33.6027,33.9891,30.6993,[395:204:391:208:390:217:394:238:402:246:431:251:445:238:445:245:431:257:443:257:451:251:456:236:456:223:451:217:443:217:431:200:405:200]
1090,277,228,322,276,1090,0,0,40.0808,218.69,2.33586,142.692,0.820197,18.6268,117.036,24.375,56.9366,2.33586,143.683,115.739,194.47,27.321,24.3639,29.364,[318:230:299:234:290:241:289:256:278:268:282:276:293:271:322:247:321:234]
555,39,229,68,257,555,0,0,29.2499,67.8862,1.52345,86.4197,0.966359,13.2914,83.5125,21.5371,32.8107,1.52345,94.0432,74.7532,160.068,35.2084,30.6126,31.0016,[43:232:40:241:52:255:62:257:68:249:67:241:53:230]
256,471,231,488,255,256,0,0,9.65268,44.5826,2.14911,63.3015,0.896006,9.02703,56.7185,12.3153,26.467,2.14911,140.574,117.953,187.352,25.8571,22.8276,34.7549,[484:232:476:238:472:249:474:255:480:254:488:241:488:236]
309,158,237,177,259,309,0,0,16.8782,36.1596,1.46369,63.8569,0.975835,9.91755,62.3138,16.395,23.9971,1.46369,150.026,121.621,201.1,17.9674,15.6162,22.8576,[174:238:169:238:160:245:159:254:163:259:173:255:177:245]
2103,6,239,57,310,2103,0,0,131.059,298.705,1.50969,231.984,0.700756,25.8729,162.564,42.1144,63.5797,1.50969,142.198,119.018,193.128,34.4803,32.8093,31.4656,[26:240:17:242:12:248:16:265:8:275:7:290:15:301:29:310:35:305:36:287:40:283:54:280:57:275:54:263:42:255:33:241]
363,116,245,140,266,363,0,0,26.0962,33.0027,1.12457,69.2199,0.975725,10.7493,67.5396,20.2729,22.7982,1.12457,172.289,143.625,222.901,13.8823,13.3319,10.8005,[129:246:121:250:117:257:126:265:133:266:139:261:140:256:135:246]
962,85,265,119,305,962,0,0,54.924,109.699,1.41326,114.766,0.958028,17.499,109.949,29.4396,41.6057,1.41326,120.366,97.6757,178.518,27.2334,25.2198,26.6406,[93:266:86:279:91:299:97:305:109:305:117:298:118:287:110:274]
222,193,265,210,283,222,0,0,16.685,18.7736,1.06074,53.0355,0.995898,8.40624,52.8179,16.324,17.3156,1.06074,170.032,152.91,222.23,17.6458,15.5286,10.094,[200:266:195:270:194:276:202:283:209:279:210:272]
197,163,267,179,284,197,0,0,11.1978,22.0444,1.40308,50.9094,0.977328,7.91878,49.7552,13.3705,18.7598,1.40308,168.751,142.142,219.518,11.6342,12.3736,14.2018,[167:268:165:277:171:284:177:283:179:275:172:268]
1628,205,267,246,322,1628,0,0,89.4816,195.926,1.47972,150.927,0.947686,22.7642,143.032,37.4277,55.3824,1.47972,123.838,93.5682,177.246,32.2625,32.859,30.996,[236:268:226:269:217:278:206:304:208:315:219:322:237:315:246:308:246:287:243:276]
373,131,283,163,303,373,0,0,17.0639,63.3997,1.92755,81.612,0.83889,10.8963,68.4635,15.6967,30.256,1.92755,151.424,128.44,206.552,33.7491,29.8989,28.4571,[163:290:155:284:136:290:132:297:144:297:154:303]
1939,339,297,389,352,1939,0,0,108.68,225.886,1.44169,169.468,0.9211,24.8436,156.097,41.3817,59.6594,1.44169,87.9541,62.7091,148.72,38.6647,37.3981,37.3309,[349:300:341:308:342:325:350:337:367:352:384:350:387:347:386:329:389:315:366:300]
167,57,299,73,313,167,0,0,9.374,18.9505,1.42183,46.3317,0.988746,7.29094,45.8103,12.229,17.3875,1.42183,140.383,118.15,197.401,30.3508,27.5615,29.2507,[58:302:64:312:73:310:73:305:69:301]
2354,393,321,451,385,2354,0,0,160.789,251.103,1.24968,191.341,0.898879,27.3734,171.992,48.9733,61.2008,1.24968,134.588,107.773,187.782,28.7448,28.6472,29.07,[402:322:395:327:394:332:398:338:399:353:403:359:405:372:415:383:424:385:429:381:433:369:450:353:450:343:437:337:428:324]
1475,164,323,213,371,1475,0,0,93.0664,158.496,1.30501,159.567,0.853216,21.6681,136.145,37.9354,49.506,1.30501,116.542,94.2298,174.188,35.8228,31.4626,31.0259,[180:324:166:338:165:344:186:367:200:371:207:364:202:350:211:354:212:345:194:327]
300,320,336,346,355,300,0,0,17.2453,38.4284,1.49276,68.6645,0.894197,9.77205,61.3996,15.9963,23.8787,1.49276,167.357,140.267,213.553,21.2933,18.0315,22.3713,[321:350:327:355:332:355:346:345:330:337:321:344]
935,479,338,500,404,935,66,0,26.9119,243.585,3.00852,143.859,0.753485,17.2517,108.395,19.8923,59.8463,3.00852,143.617,115.166,199.825,28.1538,29.6888,26.683,[500:339:486:353:480:378:488:395:498:404]
839,121,340,161,369,839,0,0,48.1588,94.3824,1.39993,106.952,0.96006,16.342,102.68,27.6237,38.6714,1.39993,123.584,99.7986,178.292,33.1468,27.7444,31.0946,[123:350:124:359:140:369:152:369:161:359:158:349:150:342:140:341]
494,0,360,27,385,494,25,0,31.9538,57.6427,1.34311,86.9356,0.906297,12.5397,78.7895,21.6403,29.0652,1.34311,153.121,114.85,202.864,19.2023,18.8689,24.1886,[1:385:20:378:27:371:27:366:23:363:1:361]
601,114,367,146,392,601,0,0,34.1532,69.274,1.42419,90.8626,0.956438,13.8313,86.9045,23.1797,33.0124,1.42419,152.82,128.321,200.376,25.474,19.3284,24.9586,[115:375:120:388:126:392:146:387:146:377:130:368:121:368]
1226,163,373,210,411,1226,0,0,58.1275,165.813,1.68896,131.736,0.942206,19.7547,124.122,30.4012,51.3464,1.68896,145.825,120.854,200.16,29.2059,24.7676,26.9513,[165:378:167:392:185:407:199:411:209:403:209:389:198:380:182:374:173:374]
166,17,387,34,400,166,0,0,10.4158,17.1402,1.28281,46.3317,0.985781,7.26907,45.6729,12.836,16.4661,1.28281,175.271,147.06,227.343,12.226,10.9625,15.5682,[18:391:25:400:34:394:31:388:21:388]
376,128,393,151,413,376,0,0,26.9022,33.8258,1.12132,68.7598,0.999687,10.94,68.7383,20.6625,23.1694,1.12132,87.0266,70.6277,146.157,46.1546,40.5993,44.6427,[133:394:129:400:131:408:138:413:145:413:150:408:150:397:147:394]
617,442,394,477,425,617,0,0,22.5773,112.567,2.23291,104.5,0.842617,14.0142,88.0537,18.757,41.8825,2.23291,163.914,136.032,213.564,17.7656,16.6318,21.1001,[444:397:447:412:452:418:468:425:476:423:476:413:462:404:461:400:451:395]
929,302,395,348,427,929,0,0,49.1285,119.717,1.56103,118.463,0.912073,17.1962,108.047,27.5269,42.9703,1.56103,135.727,110.732,191.406,35.3222,31.6086,34.2958,[348:410:343:400:334:396:320:402:303:417:303:420:322:427:334:427]
1632,59,410,124,455,1632,0,0,79.5803,315.372,1.99071,187.318,0.764513,22.7921,143.207,32.3081,64.3161,1.99071,142.113,114.749,192.469,28.5808,25.514,27.7689,[66:419:65:432:60:440:62:446:81:449:93:444:101:447:109:455:118:455:123:451:124:446:120:437:111:430:99:434:94:420:89:415:76:411]
