NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
333,137,0,160,20,333,23,0,25.2983,32.3143,1.13019,70.6559,0.915542,10.2955,64.6885,19.3687,21.8904,1.13019,93,73.0661,158.589,23.2859,24.7981,27.5371,[138:1:140:10:148:20:160:10:160:1]
1620,176,0,224,49,1620,22,0,81.8606,222.448,1.64845,157.266,0.90725,22.7082,142.68,35.3732,58.311,1.64845,117.462,86.2753,174.296,28.0416,28.2627,26.6843,[222:1:201:1:182:8:178:15:177:42:180:47:195:49:200:46:224:10]
152,420,0,451,14,152,9,0,2.83902,81.31,5.35165,74.6782,0.585238,6.9558,43.7046,6.01358,32.1826,5.35165,116.803,109.612,183.566,25.2415,23.4091,32.0156,[421:1:427:7:439:8:444:14:451:11:441:5]
4,430,0,434,1,4,4,0,0,1.25,0,8.36987,0.847064,1.12838,7.08982,0,0,0,121.25,113.75,180.25,7.56224,4.43706,2.77263,[431:1:434:1]
1427,355,10,391,62,1427,0,0,78.7934,167.163,1.45655,139.09,0.962764,21.3126,133.911,35.3187,51.4434,1.45655,128.287,102.605,187.085,21.8964,20.5833,25.1719,[368:11:356:28:357:50:368:62:385:60:389:54:391:32:375:12]
3021,54,20,135,88,3021,0,0,187.171,445.287,1.54241,339.682,0.573599,31.0099,194.841,49.9379,77.0248,1.54241,124.523,99.1185,183.017,30.5883,31.0091,28.1115,[63:30:64:34:73:32:75:36:67:42:55:43:56:47:69:51:76:44:82:44:86:52:61:63:59:66:62:70:68:71:72:65:86:70:93:61:96:61:98:78:107:88:120:88:129:78:135:56:134:42:131:39:113:33:96:33:83:21:71:29]
779,0,24,34,52,779,23,0,46.8014,84.686,1.34517,103.12,0.959469,15.7469,98.9404,27.1541,36.5268,1.34517,126.101,104.597,186.738,27.2982,24.3473,25.0348,[33:31:25:25:12:25:2:29:1:52:16:52:25:48:34:36]
1665,304,24,352,75,1665,0,0,119.369,157.482,1.1486,160.868,0.899172,23.0214,144.648,42.9613,49.3455,1.1486,125.029,98.185,182.535,22.9504,22.2621,24.5032,[337:25:319:29:305:49:307:61:318:71:329:75:352:67:344:61:347:40:344:31]
179,425,26,443,41,179,0,0,8.05667,25.369,1.77449,50.354,0.941884,7.54834,47.4276,11.333,20.1103,1.77449,154.855,129.659,213.832,19.2714,13.0058,19.9391,[427:28:426:32:430:37:442:40:442:34:435:27]
940,195,64,236,119,940,0,0,32.3319,248.126,2.77026,152.498,0.712696,17.2977,108.685,20.7854,57.581,2.77026,132.776,104.886,189.468,27.4484,26.3369,29.6508,[224:65:216:69:214:80:196:104:198:112:212:119:216:118:216:111:223:98:223:80:236:76]
2,212,68,214,69,2,0,0,0,0.25,0,4.57764,1.09516,0.797885,5.01326,0,0,0,175,156.5,228.5,1,0.5,2.5,[213:69]
125,345,68,359,83,125,0,0,9.99395,12.4832,1.11762,48.4579,0.817891,6.30783,39.6333,11.9334,13.337,1.11762,161.952,139.352,221.704,19.8284,15.1051,18.6256,[353:69:348:72:349:79:346:82:359:81:359:76]
999,146,70,191,102,999,0,0,56.7835,119.102,1.44826,118.788,0.943221,17.8323,112.044,29.6356,42.9202,1.44826,114.362,83.4615,170.751,24.204,23.2785,23.7002,[147:92:155:100:179:102:191:90:191:81:181:71:169:71]
824,436,70,476,104,824,0,0,49.3374,98.2558,1.41121,115.456,0.881355,16.1953,101.758,27.2661,38.4781,1.41121,136.926,115.061,193.263,21.5976,20.1483,24.7837,[470:72:462:71:447:87:437:87:450:103:462:103:475:91:476:81]
1342,311,83,356,132,1342,0,0,74.0253,164.569,1.49102,154.299,0.841625,20.6681,129.862,33.8524,50.4747,1.49102,101.589,76.5365,165.104,29.4209,28.3907,27.8092,[356:84:341:84:330:90:312:113:326:132:334:130:340:123:347:122:354:116:353:88]
249,61,88,78,106,249,0,0,16.286,24.2582,1.22046,55.8123,1.00225,8.90276,55.9377,16.1173,19.6705,1.22046,102.839,83.3253,172.225,18.2686,17.0956,19.5676,[65:89:63:102:68:106:75:106:78:103:76:93:72:89]
887,41,108,86,145,887,0,0,30.5968,170.013,2.35724,126.048,0.837591,16.803,105.576,21.8885,51.5963,2.35724,136.853,112.371,192.851,19.4089,17.1798,22.0325,[42:112:43:120:57:136:72:142:73:145:74:142:80:142:85:138:86:130:83:126:52:110]
559,255,109,281,140,559,0,0,25.2263,80.5986,1.78746,90.3072,0.928086,13.3392,83.8129,19.9546,35.6681,1.78746,130.732,101.762,185.165,21.899,19.7547,25.6504,[279:110:268:113:262:119:256:130:260:140:273:139:280:124]
563,296,114,324,147,563,0,0,40.6946,52.7348,1.13836,92.2428,0.911857,13.3869,84.1122,25.094,28.566,1.13836,111.053,85.7123,174.099,25.7772,25.8668,27.3094,[310:115:297:130:304:147:318:141:324:134:320:125]
