NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
29,57,0,69,3,29,12,0,0.622994,8.78961,3.75615,25.1096,0.760263,3.03825,19.0899,3.13532,11.7768,3.75615,183.379,154.276,223.345,35.3079,10.0169,19.8864,[58:1:69:1]
352,136,0,161,19,352,25,0,24.0492,37.1904,1.24356,72.5521,0.916698,10.5851,66.5084,18.9843,23.608,1.24356,97.6591,77.4062,160.517,29.5382,30.7234,29.9395,[137:1:140:11:148:19:152:19:160:11:161:1]
17,197,0,205,4,17,7,0,0.545154,4.48599,2.8686,18.8659,0.774732,2.32621,14.616,2.74691,7.87978,2.8686,135.176,106.941,201.294,13.9884,9.61292,30.027,[198:3:205:1]
1,206,0,207,1,1,1,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,145,104,230,0,0,0,[207:1]
745,183,0,221,39,745,9,0,23.8552,157.254,2.56749,115.456,0.838041,15.3994,96.7572,19.2211,49.3501,2.56749,98.1718,65.7745,159.009,19.7615,18.1238,17.283,[221:1:213:1:198:8:185:22:184:30:190:39:195:38:216:15]
16,263,0,272,2,16,9,0,0.246094,5.5,4.72749,18.6359,0.760879,2.25676,14.1796,2.07587,9.81365,4.72749,164.125,157.75,220.375,17.4745,8.45946,10.9879,[264:1:272:1]
20,418,0,427,3,20,9,0,0.49654,5.34096,3.27969,19.9766,0.793593,2.52313,15.8533,2.78647,9.13874,3.27969,101.35,100,173.5,23.4591,27.7957,38.1425,[419:1:427:2]
6,430,0,434,2,6,4,0,0.222222,0.916667,2.03101,9.15527,0.948439,1.38198,8.68322,1.93943,3.93901,2.03101,125.833,115,191.5,9.40597,4.28174,17.2796,[431:1:434:1]
10,448,0,454,2,10,6,0,0.24,2.25,3.06186,12.9475,0.865802,1.78412,11.21,2.03921,6.24378,3.06186,119.4,123,214,18.6344,16.6373,13.6162,[449:1:454:1]
6,457,0,461,2,6,4,0,0.222222,0.916667,2.03101,9.15527,0.948439,1.38198,8.68322,1.93943,3.93901,2.03101,141.167,118.167,211,6.56802,8.39477,25.8521,[458:1:461:1]
