NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
332,137,0,160,20,332,22,0,25.3327,31.8917,1.12201,70.1006,0.921409,10.28,64.5913,19.41,21.7783,1.12201,92.8524,72.8855,158.364,23.1649,24.6159,27.2735,[138:2:140:10:148:20:160:10:160:1]
1619,176,0,224,49,1619,22,0,81.8152,222.14,1.64777,157.266,0.90697,22.7012,142.636,35.3696,58.281,1.64777,117.446,86.2576,174.274,28.0425,28.2624,26.6778,[222:1:201:1:182:8:178:15:177:42:180:47:195:49:200:46:224:9]
151,420,0,451,14,151,9,0,2.80051,81.7996,5.40452,73.8928,0.58951,6.93288,43.5606,5.96438,32.2346,5.40452,116.623,109.55,183.411,25.2274,23.474,32.0644,[421:1:427:7:439:8:444:14:451:11:441:5]
4,430,0,434,1,4,4,0,0,1.25,0,8.36987,0.847064,1.12838,7.08982,0,0,0,121.25,113.75,180.25,7.56224,4.43706,2.77263,[431:1:434:1]
1423,355,10,391,62,1423,0,0,78.6319,166.413,1.45477,139.09,0.961413,21.2827,133.723,35.2907,51.3399,1.45477,128.229,102.521,187.039,21.8928,20.5304,25.0898,[366:12:356:28:357:50:369:62:385:60:389:54:391:33:375:12]
167,62,20,94,32,167,0,0,6.13564,50.1313,2.85841,71.4413,0.64123,7.29094,45.8103,8.62484,24.6533,2.85841,134.85,116.311,190.934,22.7803,18.4754,24.8148,[94:31:83:21:71:29:63:30]
777,0,24,34,52,777,23,0,46.4785,84.8584,1.3512,103.12,0.958236,15.7266,98.8133,27.0586,36.5617,1.3512,126.069,104.524,186.637,27.3082,24.3357,24.9743,[33:31:25:25:13:25:2:29:1:52:15:52:25:48:34:36]
1508,304,24,347,73,1508,0,0,99.1203,147.129,1.21834,146.58,0.939144,21.9092,137.659,39.6983,48.366,1.21834,123.52,96.6412,181.422,21.7301,21.2751,23.7245,[337:25:319:29:306:46:307:61:320:72:324:73:345:62:347:40:344:31]
179,425,26,443,41,179,0,0,8.05667,25.369,1.77449,50.354,0.941884,7.54834,47.4276,11.333,20.1103,1.77449,154.855,129.659,213.832,19.2714,13.0058,19.9391,[427:28:426:32:430:37:442:40:442:34:435:27]
1,94,31,95,32,1,0,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,150,128,188,0,0,0,[95:32]
