NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
333,137,0,160,20,333,23,0,25.2983,32.3143,1.13019,70.6559,0.915542,10.2955,64.6885,19.3687,21.8904,1.13019,93,73.0661,158.589,23.2859,24.7981,27.5371,[138:1:140:10:148:20:160:10:160:1]
1620,176,0,224,49,1620,22,0,81.8606,222.448,1.64845,157.266,0.90725,22.7082,142.68,35.3732,58.311,1.64845,117.462,86.2753,174.296,28.0416,28.2627,26.6843,[222:1:201:1:182:8:178:15:177:42:180:47:195:49:200:46:224:10]
152,420,0,451,14,152,9,0,2.83902,81.31,5.35165,74.6782,0.585238,6.9558,43.7046,6.01358,32.1826,5.35165,116.803,109.612,183.566,25.2415,23.4091,32.0156,[421:1:427:7:439:8:444:14:451:11:441:5]
4,430,0,434,1,4,4,0,0,1.25,0,8.36987,0.847064,1.12838,7.08982,0,0,0,121.25,113.75,180.25,7.56224,4.43706,2.77263,[431:1:434:1]
1426,355,10,391,62,1426,0,0,78.8487,166.751,1.45424,139.09,0.962426,21.3052,133.864,35.3343,51.3847,1.45424,128.267,102.581,187.061,21.8917,20.5704,25.1638,[366:12:356:28:357:50:368:62:385:60:389:54:391:32:375:12]
1036,54,20,115,52,1036,0,0,48.3766,217.363,2.1197,184.407,0.61874,18.1595,114.1,24.9458,52.8777,2.1197,134.991,113.235,193.158,26.004,23.8498,25.4225,[115:34:96:33:83:21:71:29:63:30:64:34:73:32:75:36:67:42:57:42:55:46:69:51:76:44:82:44:86:52:100:51:110:46:115:40]
778,0,24,34,52,778,23,0,46.6214,84.7899,1.34859,103.12,0.958853,15.7367,98.8769,27.1022,36.5498,1.34859,126.111,104.563,186.667,27.3146,24.3446,24.9723,[33:31:25:25:13:25:2:29:1:52:16:52:25:48:34:36]
1492,304,24,347,73,1492,0,0,95.1417,150.237,1.25662,143.898,0.951556,21.7926,136.927,38.881,48.8586,1.25662,123.596,96.6501,181.558,21.7291,21.1936,23.7557,[337:25:319:29:306:46:307:61:320:72:327:73:344:59:347:40:344:31]
179,425,26,443,41,179,0,0,8.05667,25.369,1.77449,50.354,0.941884,7.54834,47.4276,11.333,20.1103,1.77449,154.855,129.659,213.832,19.2714,13.0058,19.9391,[427:28:426:32:430:37:442:40:442:34:435:27]
715,107,35,135,76,715,0,0,39.2382,90.7547,1.52083,111.069,0.853422,15.0861,94.789,24.4663,37.209,1.52083,121.62,89.4965,174.554,29.7385,26.4658,24.5623,[118:36:118:40:108:51:114:57:114:66:122:67:130:76:134:66:134:42]
261,58,52,86,71,261,0,0,9.18155,58.3577,2.5211,78.3752,0.730713,9.11476,57.2697,11.481,28.9448,2.5211,138.793,121.954,201.548,36.9252,32.5501,27.7453,[85:53:61:63:60:68:66:71:72:65:80:68:81:62:86:58]
261,81,52,111,70,261,0,0,13.8457,75.9638,2.34231,89.7519,0.63809,9.11476,57.2697,11.9111,27.8996,2.34231,126.621,101.609,181.82,26.2426,26.7661,26.4122,[111:57:107:53:88:54:89:58:84:62:82:70:86:70:93:61:100:59:111:65]
536,97,61,129,88,536,0,0,30.0582,67.9158,1.50316,94.0995,0.872168,13.0619,82.0705,21.3076,32.0287,1.50316,102.558,75.7257,168.746,26.3205,28.8114,27.9101,[98:64:98:78:107:88:120:88:129:78:121:70:108:68:101:62]
130,328,61,352,75,130,0,0,3.55629,45.2843,3.56841,59.2792,0.681827,6.43275,40.4182,6.81066,24.3032,3.56841,142.992,116.792,197.546,28.5715,25.7119,28.8407,[352:67:345:62:342:67:335:67:329:75]
939,195,64,236,119,939,0,0,32.3149,247.577,2.76792,152.498,0.712317,17.2885,108.627,20.7831,57.5261,2.76792,132.748,104.846,189.409,27.4497,26.3216,29.6111,[224:65:216:69:214:80:196:104:198:112:212:119:216:118:216:111:223:98:223:80:236:76]
2,212,68,214,69,2,0,0,0,0.25,0,4.57764,1.09516,0.797885,5.01326,0,0,0,175,156.5,228.5,1,0.5,2.5,[213:69]
372,340,69,359,117,372,0,0,13.2844,150.026,3.36056,118.328,0.577813,10.8817,68.3717,11.8719,39.8963,3.36056,133.059,109.984,192.661,38.7858,35.0362,36.719,[354:70:347:72:349:79:341:84:345:89:345:95:353:100:349:110:353:117:353:88:359:81:359:76]
998,146,70,191,102,998,0,0,56.5724,119.212,1.45164,118.788,0.942748,17.8234,111.988,29.5864,42.9486,1.45164,114.375,83.4579,170.776,24.2129,23.2899,23.6991,[191:81:181:71:170:71:147:93:155:100:179:102:191:90]
823,436,70,476,104,823,0,0,49.2035,98.2059,1.41277,115.456,0.88082,16.1855,101.696,27.2345,38.476,1.41277,136.911,115.019,193.205,21.6066,20.1257,24.7428,[470:72:460:72:445:88:439:85:437:87:450:103:462:103:475:91:476:81]
