NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
333,137,0,160,20,333,23,0,25.2983,32.3143,1.13019,70.6559,0.915542,10.2955,64.6885,19.3687,21.8904,1.13019,93,73.0661,158.589,23.2859,24.7981,27.5371,[138:1:140:10:148:20:160:10:160:1]
1620,176,0,224,49,1620,22,0,81.8606,222.448,1.64845,157.266,0.90725,22.7082,142.68,35.3732,58.311,1.64845,117.462,86.2753,174.296,28.0416,28.2627,26.6843,[222:1:201:1:182:8:178:15:177:42:180:47:195:49:200:46:224:10]
152,420,0,451,14,152,9,0,2.83902,81.31,5.35165,74.6782,0.585238,6.9558,43.7046,6.01358,32.1826,5.35165,116.803,109.612,183.566,25.2415,23.4091,32.0156,[421:1:427:7:439:8:444:14:451:11:441:5]
4,430,0,434,1,4,4,0,0,1.25,0,8.36987,0.847064,1.12838,7.08982,0,0,0,121.25,113.75,180.25,7.56224,4.43706,2.77263,[431:1:434:1]
50,457,0,472,6,50,15,0,2.16682,10.6352,2.21544,33.1542,0.756052,3.98942,25.0663,5.36056,11.876,2.21544,134.88,122.2,198.38,25.8206,21.0238,32.1371,[458:1:464:6:472:1]
1426,355,10,391,62,1426,0,0,78.8487,166.751,1.45424,139.09,0.962426,21.3052,133.864,35.3343,51.3847,1.45424,128.267,102.581,187.061,21.8917,20.5704,25.1638,[366:12:356:28:357:50:368:62:385:60:389:54:391:32:375:12]
1685,54,20,116,71,1685,0,0,137.379,218.778,1.26195,276.745,0.525806,23.1593,145.514,41.232,52.0326,1.26195,134.499,112.891,192.926,28.2703,26.7525,26.3492,[116:35:96:33:83:21:71:29:63:30:64:34:73:32:75:36:67:42:55:43:56:47:69:51:76:44:82:44:86:52:61:63:60:68:68:71:72:65:86:70:93:61:98:63:99:68:112:54]
778,0,24,34,52,778,23,0,46.6214,84.7899,1.34859,103.12,0.958853,15.7367,98.8769,27.1022,36.5498,1.34859,126.111,104.563,186.667,27.3146,24.3446,24.9723,[33:31:25:25:13:25:2:29:1:52:16:52:25:48:34:36]
1864,304,24,359,88,1864,0,0,121.564,259.025,1.45972,210.667,0.726494,24.3584,153.048,40.3222,58.8589,1.45972,128.255,101.724,185.915,25.9987,25.2212,26.8117,[322:27:306:46:307:61:318:71:329:75:345:70:349:74:349:79:342:84:345:88:349:85:354:87:359:81:359:76:344:61:347:46:344:31:337:25]
179,425,26,443,41,179,0,0,8.05667,25.369,1.77449,50.354,0.941884,7.54834,47.4276,11.333,20.1103,1.77449,154.855,129.659,213.832,19.2714,13.0058,19.9391,[427:28:426:32:430:37:442:40:442:34:435:27]
1245,97,35,135,88,1245,0,0,52.2345,212.282,2.01594,149.356,0.837463,19.9072,125.08,28.0415,56.5299,2.01594,112.214,81.8779,170.471,28.9805,27.0921,24.9623,[129:38:118:38:115:55:98:71:99:80:107:88:120:88:131:74:135:49:134:42]
939,195,64,236,119,939,0,0,32.3149,247.577,2.76792,152.498,0.712317,17.2885,108.627,20.7831,57.5261,2.76792,132.748,104.846,189.409,27.4497,26.3216,29.6111,[224:65:216:69:214:80:196:104:198:112:212:119:216:118:216:111:223:98:223:80:236:76]
2,212,68,214,69,2,0,0,0,0.25,0,4.57764,1.09516,0.797885,5.01326,0,0,0,175,156.5,228.5,1,0.5,2.5,[213:69]
998,146,70,191,102,998,0,0,56.5724,119.212,1.45164,118.788,0.942748,17.8234,111.988,29.5864,42.9486,1.45164,114.375,83.4579,170.776,24.2129,23.2899,23.6991,[191:81:181:71:170:71:147:93:155:100:179:102:191:90]
823,436,70,476,104,823,0,0,49.2035,98.2059,1.41277,115.456,0.88082,16.1855,101.696,27.2345,38.476,1.41277,136.911,115.019,193.205,21.6066,20.1257,24.7428,[470:72:460:72:445:88:439:85:437:87:450:103:462:103:475:91:476:81]
1,338,84,339,85,1,0,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,128,118,229,0,0,0,[339:85]
52,410,84,418,92,52,0,0,3.75871,4.51163,1.09559,25.3397,1.0088,4.06843,25.5627,7.7738,8.51688,1.09559,165.596,140.038,221.538,13.6357,9.36434,10.3876,[413:85:411:89:416:92:418:86]
1062,316,85,355,130,1062,0,0,74.707,101.039,1.16296,140.336,0.823187,18.386,115.523,34.0985,39.6551,1.16296,100.31,75.0047,163.945,28.1009,28.0626,27.1681,[351:88:345:91:341:86:335:87:317:108:327:115:328:122:334:126:333:130:354:116:355:102]
249,61,88,78,106,249,0,0,16.286,24.2582,1.22046,55.8123,1.00225,8.90276,55.9377,16.1173,19.6705,1.22046,102.839,83.3253,172.225,18.2686,17.0956,19.5676,[65:89:63:102:68:106:75:106:78:103:76:93:72:89]
52,425,99,433,107,52,0,0,3.75871,4.51163,1.09559,25.3397,1.0088,4.06843,25.5627,7.7738,8.51688,1.09559,130.577,109.5,188.231,8.97078,6.68954,11.7385,[427:100:426:105:432:106:433:102]
