AreaInPixels,Perimeter,MajorAxis,MinorAxis,Eccentricity,ExtentRatio,Circularity,r_IntensityMean,r_IntensityMax,r_IntensityMin,r_IntensityStd,r_IntensityEntropy,r_IntensityEnergy,r_IntensitySkewness,r_IntensityKurtosis,r_GradientMean,r_GradientStd,r_GradientEntropy,r_GradientEnergy,r_GradientSkewness,r_GradientKurtosis,r_CannyNonZero,r_CannyMean,r_cytoIntensityMean,r_cytoIntensityMax,r_cytoIntensityMin,r_cytoIntensityStd,r_cytoIntensityEntropy,r_cytoIntensityEnergy,r_cytoIntensitySkewness,r_cytoIntensityKurtosis,r_cytoGradientMean,r_cytoGradientStd,r_cytoGradientEntropy,r_cytoGradientEnergy,r_cytoGradientSkewness,r_cytoGradientKurtosis,r_cytoCannyNonZero,r_cytoCannyMean,b_IntensityMean,b_IntensityMax,b_IntensityMin,b_IntensityStd,b_IntensityEntropy,b_IntensityEnergy,b_IntensitySkewness,b_IntensityKurtosis,b_GradientMean,b_GradientStd,b_GradientEntropy,b_GradientEnergy,b_GradientSkewness,b_GradientKurtosis,b_CannyNonZero,b_CannyMean,b_cytoIntensityMean,b_cytoIntensityMax,b_cytoIntensityMin,b_cytoIntensityStd,b_cytoIntensityEntropy,b_cytoIntensityEnergy,b_cytoIntensitySkewness,b_cytoIntensityKurtosis,b_cytoGradientMean,b_cytoGradientStd,b_cytoGradientEntropy,b_cytoGradientEnergy,b_cytoGradientSkewness,b_cytoGradientKurtosis,b_cytoCannyNonZero,b_cytoCannyMean,Polygon
352,76.5269,24.4209,19.6499,0.593767,0.741053,0.755308,97.6591,200,51,29.5382,6.28775,0.0153345,1.29781,4.3718,16.821,12.8799,5.1897,0.0338165,1.06703,3.17318,107,77.5142,210.455,255,105,27.2234,6.39959,0.0137785,-0.726225,3.88736,16.5199,10.2862,5.15682,0.0336617,0.895948,3.36395,141,75.3774,160.517,254,102,29.9395,6.31726,0.0158187,1.20126,4.11987,17.2102,12.096,5.10034,0.0359633,1.89933,9.08167,116,84.0341,228.528,255,143,19.3787,5.81038,0.0216016,-1.43424,6.37274,13.3229,9.64379,4.82417,0.044491,2.02439,9.15392,165,88.2076,[136:0:136:3:137:4:137:5:138:6:138:8:139:9:139:10:142:13:142:14:145:17:146:17:147:18:151:18:159:10:159:8:160:7:159:6:159:1:160:0]
745,121.782,50.1737,19.5708,0.920789,0.502699,0.631251,98.1718,177,58,19.7615,6.11758,0.0159831,0.17439,2.44904,7.71409,5.48238,4.11412,0.0707374,1.96685,9.21034,184,62.9799,139.927,255,84,31.4238,6.64308,0.0122984,1.10394,4.04653,12.2735,7.67713,4.77767,0.0422123,0.807448,3.26391,245,68.3534,159.009,231,108,17.283,5.99215,0.0177235,0.540571,3.70654,9.39195,8.15813,4.32331,0.0609144,4.08933,27.4958,258,88.3087,187.535,255,125,26.9956,6.55202,0.0125258,0.574529,2.60771,15.0011,9.898,5.02656,0.0369573,1.55994,6.70898,310,86.488,[212:0:210:2:209:2:208:3:207:3:206:4:205:4:204:5:202:5:201:6:199:6:198:7:197:7:194:10:194:11:193:12:193:13:188:18:187:18:184:21:184:22:183:23:183:29:184:30:184:32:185:33:185:34:189:38:192:38:193:37:194:37:202:29:202:28:205:25:205:24:215:14:215:13:217:11:217:10:218:9:218:7:219:6:219:4:220:3:220:0]
175,50.2843,16.7631,13.3871,0.601852,0.729167,0.869728,95.8343,161,57,18.4326,5.64492,0.0232163,0.639559,3.9194,12.5314,9.838,4.68254,0.0477061,1.84145,7.04351,58,84.5143,151.947,229,73,36.7864,6.87174,0.00985174,0.114383,1.92246,13.3866,9.21675,4.91117,0.040405,1.20426,4.17759,150,69.4192,165.154,246,107,20.1589,5.69959,0.0233469,0.629336,6.04971,14.4857,9.45114,4.90452,0.0388245,0.850003,3.11629,55,80.1429,201.29,255,126,28.5819,6.53177,0.0122628,-0.151247,1.88995,12.8004,8.98497,4.81112,0.0444959,1.51886,5.77852,195,90.245,[16:23:15:24:14:24:13:25:13:27:12:28:12:30:13:31:13:34:16:37:17:37:18:38:22:38:25:35:25:34:26:33:26:32:25:31:25:29:24:28:24:27:21:24:20:24:19:23]
1046,135.439,43.4466,32.9626,0.65145,0.601495,0.716567,99.7658,218,60,19.862,6.1352,0.0169269,1.17373,5.9157,9.3891,8.50344,4.47654,0.0605859,2.07338,7.87211,244,59.4837,177.018,255,61,47.0445,7.14147,0.00801367,0.0446002,1.69411,13.5346,9.46811,4.9975,0.0374066,1.04115,3.66631,299,64.2875,161.595,248,119,18.8798,6.00573,0.0192265,1.43062,6.6464,10.5908,8.48612,4.58306,0.0548388,2.06458,8.41652,340,82.8872,208.711,255,139,29.6307,6.5975,0.0114048,-0.184797,1.83602,13.2875,8.95072,4.91426,0.040138,1.14191,4.08258,392,84.2833,[112:42:111:43:110:43:109:44:108:44:104:48:104:49:103:50:103:52:102:53:102:56:103:57:103:58:102:59:102:61:101:62:101:63:99:65:99:66:97:68:97:75:110:88:115:88:116:87:117:87:121:83:121:82:122:81:122:80:123:79:124:79:125:78:126:78:130:74:130:72:132:70:132:68:133:67:133:64:130:61:129:61:128:60:126:60:125:59:123:59:119:55:119:54:118:53:118:47:117:46:117:45:114:42]
279,69.598,27.3165,13.3883,0.871657,0.611842,0.723804,107.595,176,74,19.3533,5.92822,0.0198481,1.00867,4.07332,11.1075,6.48538,4.46046,0.0544315,0.909569,3.32771,89,81.3441,127.87,206,59,22.8717,6.29932,0.0158211,0.778088,3.81807,10.8804,6.38883,4.51492,0.0510925,1.05087,4.20582,190,69.8127,167.004,250,123,19.2487,5.86357,0.0207217,1.18137,5.93668,12.4839,8.20999,4.70843,0.0453874,1.29282,4.89366,98,89.5699,182.032,254,121,22.8108,6.31642,0.01541,0.635954,3.41572,13.353,9.33082,4.92672,0.0400427,1.34056,4.88166,235,86.3473,[319:44:317:46:317:47:316:48:316:49:317:50:317:51:318:52:318:53:320:55:321:55:322:56:323:56:325:58:326:58:329:61:330:61:331:62:336:62:338:60:338:59:339:58:339:54:338:53:338:52:335:49:333:49:332:48:328:48:327:47:326:47:324:45:323:45:322:44]
509,89.6396,30.2138,22.1386,0.680518,0.611779,0.796027,100.904,180,70,16.9283,5.85047,0.0207464,1.10966,5.63737,8.7446,7.43179,4.38647,0.0622315,1.77181,6.13221,126,63.1238,160.166,255,61,43.6054,7.16888,0.00778163,0.149549,1.95042,14.1496,10.2614,5.04009,0.0368965,1.16779,3.94435,210,63.0742,160.354,242,120,17.0831,5.79637,0.0241739,1.04069,5.84878,10.2554,8.2203,4.56088,0.0545814,1.8753,7.24567,163,81.6601,203.312,255,113,33.3064,6.68119,0.0109309,-0.121203,1.79039,13.7456,9.51454,4.92562,0.0416245,1.42783,5.23087,278,83.4982,[166:75:164:77:163:77:157:83:156:83:152:87:152:88:151:89:151:90:152:91:152:92:153:93:154:93:156:95:157:95:158:96:159:96:161:98:162:98:163:99:164:99:165:100:168:100:172:96:172:95:177:90:178:90:182:86:182:84:181:83:181:82:180:81:179:81:176:78:175:78:172:75]
231,63.598,25.3249,11.9081,0.882554,0.583333,0.717687,105.537,184,66,18.698,5.85439,0.020708,0.855902,5.01902,10.8009,8.77838,4.54876,0.0544405,1.82074,6.80025,38,41.9481,165.402,255,73,42.9191,7.09771,0.00824072,0.199792,1.82807,14.1633,9.04148,4.92357,0.0388199,1.01607,3.64574,192,75.4391,171.593,255,120,25.2616,6.01728,0.0189839,1.18875,4.39064,12.71,9.55131,4.78259,0.0443583,1.75928,7.56612,65,71.7533,207.186,255,137,33.5736,6.45868,0.0134686,-0.197746,1.51771,12.8428,9.12167,4.86731,0.0427563,1.22512,4.0103,212,83.2974,[214:78:211:81:211:82:210:83:210:84:209:85:209:87:208:88:208:89:205:92:205:93:204:94:204:96:207:99:208:99:209:98:211:98:212:97:213:97:217:93:217:92:218:91:218:90:219:89:219:88:220:87:220:85:221:84:221:81:218:78]
1643,179.823,68.4636,32.5789,0.879522,0.544761,0.638492,98.3981,226,55,25.5572,6.426,0.0141455,1.23934,4.72861,12.1935,9.75764,4.90136,0.0427869,1.47437,5.1845,413,64.0992,195.187,255,64,43.4995,7.11769,0.00837505,-0.517323,2.33746,15.3544,10.7703,5.22724,0.031126,0.961736,3.72526,371,63.028,162.576,255,107,24.7042,6.40197,0.0147945,1.22315,4.70138,13.2623,10.0533,4.97597,0.0400107,1.65382,6.44007,541,83.9653,223.021,255,100,28.9727,6.30821,0.0168056,-1.09335,3.34053,14.4044,11.1066,5.1306,0.0351749,1.32778,4.65667,483,82.0553,[342:81:341:82:340:82:339:83:338:83:333:88:333:89:330:92:330:93:325:98:325:99:324:100:324:101:323:102:323:103:321:105:321:106:320:107:318:107:317:108:316:108:315:109:313:109:306:116:306:117:305:118:305:120:304:121:304:123:303:124:303:132:306:135:307:135:308:136:310:136:311:137:314:137:315:138:316:138:317:137:318:137:319:136:320:136:323:133:324:133:325:132:327:132:329:130:332:130:335:127:335:126:336:125:336:124:337:123:337:122:338:121:338:120:339:119:343:119:344:120:348:120:353:115:353:114:354:113:354:100:353:99:353:97:352:96:352:95:351:94:351:93:350:92:350:91:349:90:349:88:348:87:348:86:347:85:347:84:344:81]
160,48.0416,17.3277,11.8828,0.727818,0.784314,0.871153,105.213,179,72,20.7555,5.49158,0.0279688,1.52929,5.52817,12.0875,9.333,4.55197,0.0510938,1.21832,3.54368,40,63.75,153.728,255,83,41.0675,6.81567,0.0105143,0.80787,3.20806,13.1266,8.06468,4.85664,0.0398115,0.749384,2.91876,146,68.3119,167.719,250,129,22.167,5.77991,0.0210938,1.19475,5.26069,13.55,10.1906,4.72129,0.0461719,1.8892,7.169,50,79.6875,199.697,255,108,33.311,6.69136,0.0109317,-0.0178542,1.94351,14.6661,10.4493,5.07345,0.0362158,1.17317,4.12921,170,79.5413,[245:161:241:165:241:167:242:168:242:169:244:171:245:171:246:172:255:172:257:170:257:166:255:164:254:164:252:162:251:162:250:161]
377,91.3553,36.0226,14.7758,0.912004,0.761616,0.567654,89.2838,199,56,24.8736,6.10667,0.0167102,1.46013,6.24313,12.2493,9.05342,4.66447,0.0512281,1.87484,6.99047,87,58.8462,169.675,255,84,53.7165,6.80559,0.0122596,0.4313,1.75506,15.929,12.4435,5.17559,0.0347594,1.45691,5.24575,137,65.2991,152.048,252,107,23.1716,6.11604,0.0168087,1.07192,5.59108,13.6976,9.15437,4.8145,0.0440375,1.65582,6.94727,119,80.4907,205.232,255,89,36.3571,6.63782,0.0120989,-0.351756,2.13956,17.7981,13.8727,5.41246,0.0280234,1.26972,4.8113,163,77.6916,[490:165:487:168:487:169:488:170:488:171:491:174:491:177:489:179:489:180:487:182:487:183:486:184:486:187:485:188:485:190:486:191:486:192:490:196:496:196:497:195:498:196:498:197:499:197:499:168:498:167:497:167:496:166:495:166:494:165]
