NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
352,136,0,161,19,352,25,0,24.0492,37.1904,1.24356,72.5521,0.916698,10.5851,66.5084,18.9843,23.608,1.24356,97.6591,77.4062,160.517,29.5382,30.7234,29.9395,[137:1:140:11:148:19:152:19:160:11:161:1]
745,183,0,221,39,745,9,0,23.8552,157.254,2.56749,115.456,0.838041,15.3994,96.7572,19.2211,49.3501,2.56749,98.1718,65.7745,159.009,19.7615,18.1238,17.283,[221:1:213:1:198:8:185:22:184:30:190:39:195:38:216:15]
175,12,23,27,39,175,0,0,11.1176,17.4792,1.25388,47.6725,0.983685,7.46353,46.8947,13.3305,16.7148,1.25388,95.8343,77.1543,165.154,18.4326,16.5845,20.1589,[17:24:13:29:14:35:23:39:27:34:26:30]
1046,97,42,134,89,1046,0,0,67.825,117.892,1.3184,128.404,0.892879,18.247,114.649,31.7832,41.903,1.3184,99.7658,70.5354,161.595,19.862,19.2233,18.8798,[113:43:104:51:98:76:111:89:116:89:131:75:134:65:120:56:118:46]
279,316,44,340,63,279,0,0,11.1195,46.5537,2.04613,65.983,0.897377,9.42382,59.2116,13.1762,26.9602,2.04613,107.595,78.2151,167.004,19.3533,16.8175,19.2487,[318:47:321:56:332:63:339:61:340:55:336:50:323:45]
509,151,75,183,101,509,0,0,30.5491,56.9714,1.36562,84.9837,0.941084,12.7287,79.9768,21.7846,29.7494,1.36562,100.904,69.2809,160.354,16.9283,16.2371,17.0831,[173:76:164:78:153:88:153:93:169:101:183:87]
231,204,78,222,100,231,0,0,8.77929,40.0012,2.13455,60.2947,0.893577,8.57494,53.8779,11.7384,25.0562,2.13455,105.537,80.9567,171.593,18.698,18.6015,25.2616,[219:79:212:82:205:97:208:100:218:94:222:85]
1643,303,81,355,139,1643,0,0,66.2533,292.871,2.10249,170.483,0.842834,22.8688,143.689,31.5433,66.3195,2.10249,98.3981,73.2617,162.576,25.5572,25.0195,24.7042,[345:82:334:89:321:108:314:110:307:117:304:125:304:133:307:136:317:139:333:131:340:120:349:121:354:116:355:101]
160,241,161,258,173,160,0,0,8.74175,18.6822,1.46189,45.5463,0.984491,7.1365,44.8399,11.8048,17.2573,1.46189,105.213,79.275,167.719,20.7555,16.0043,22.167,[242:166:247:173:258:171:258:167:251:162:246:162]
377,485,165,500,198,377,30,0,13.562,81.0186,2.44416,86.6103,0.794705,10.9546,68.8297,14.014,34.2524,2.44416,89.2838,61.5438,152.048,24.8736,19.0416,23.1716,[491:166:488:170:492:178:486:191:491:197:500:198:500:169]
837,232,205,274,235,837,0,0,47.1168,123.803,1.62098,129.15,0.794098,16.3225,102.558,25.6406,41.563,1.62098,102.921,73.7431,159.301,24.5154,21.1995,19.9375,[233:212:237:230:241:235:265:235:274:228:272:220:268:217:258:222:254:219:254:206:238:208]
688,407,205,430,247,688,0,0,30.8101,113.106,1.916,106.722,0.871258,14.7986,92.9821,21.3822,40.9682,1.916,98.3227,67.9491,160.706,18.6084,15.3865,16.5318,[426:206:412:212:408:219:409:233:421:247:429:241:426:221:430:211]
531,39,229,68,257,531,0,0,26.8515,68.1512,1.59313,85.8644,0.951348,13.0009,81.6869,20.6004,32.8192,1.59313,90.9266,71.6121,157.503,32.3089,27.2026,28.912,[42:233:41:242:53:255:62:257:68:249:68:243:53:230]
377,91,278,113,303,377,0,0,21.4325,43.1771,1.41935,70.7907,0.972298,10.9546,68.8297,18.39,26.1018,1.41935,101.491,79.2493,163.501,13.983,12.2473,15.414,[98:279:93:283:92:289:100:300:106:303:111:299:113:290:105:280]
650,208,279,243,308,650,0,0,36.6684,89.6232,1.56338,110.974,0.814405,14.3841,90.3778,23.008,35.9703,1.56338,99.4369,67.6692,159.052,21.1607,19.7061,21.395,[242:284:237:280:228:291:220:283:209:298:210:305:233:307:242:292]
1503,341,304,386,351,1503,0,0,98.3142,156.414,1.26133,145.469,0.944744,21.8728,137.431,38.9511,49.1303,1.26133,71.5323,45.982,134.822,22.5298,19.1963,25.0914,[347:306:342:313:342:324:350:336:367:351:374:350:383:337:386:317:374:306]
332,183,328,211,351,332,0,0,10.3978,72.6407,2.64314,76.1537,0.84817,10.28,64.5913,12.6463,33.426,2.64314,85.512,66.3102,148.708,27.1739,22.9286,22.5533,[184:332:188:340:206:351:211:348:209:341:196:330:187:329]
274,182,345,204,364,274,0,0,16.5087,32.2506,1.39769,63.3015,0.926971,9.339,58.6787,15.7988,22.0819,1.39769,100.529,77.2117,162.248,19.0991,14.7843,15.7326,[183:350:188:364:204:359:191:346:186:346]
284,127,347,154,364,284,0,0,14.5752,45.0444,1.75798,72.5521,0.823407,9.50789,59.7398,14.3419,25.2128,1.75798,101.986,80.6338,162.979,23.8403,16.7616,22.6022,[128:358:133:363:141:364:143:355:152:355:154:351:136:348]
363,129,393,151,413,363,0,0,27.0024,31.3308,1.07717,67.9744,0.993603,10.7493,67.5396,20.7141,22.3126,1.07717,83.7355,67.4711,143.223,43.2568,37.4292,42.3542,[133:394:130:399:132:409:138:413:145:413:150:407:150:398:147:394]
1009,249,451,315,478,1009,0,0,24.3234,353.193,3.81061,157.956,0.712875,17.9213,112.603,18.3613,69.9677,3.81061,96.0694,77.3211,160.438,33.0148,31.2385,31.9669,[250:457:250:463:262:473:278:473:285:477:301:475:308:478:315:473:313:467:304:460:280:465:263:452]
583,431,467,461,493,583,0,0,39.9233,54.6617,1.17011,87.3004,0.980444,13.6226,85.5932,25.1869,29.4716,1.17011,94.7684,76.8216,157.703,31.1418,26.5635,26.23,[441:468:433:473:432:479:440:491:450:493:461:485:460:478:453:468]
475,198,472,233,500,475,12,0,14.8574,101.725,2.61663,94.4643,0.81787,12.2962,77.2595,15.2031,39.7807,2.61663,99.3726,77.0021,160.941,17.0079,15.0777,17.3996,[199:477:200:482:218:499:233:500:215:476:204:473]
376,461,483,488,500,376,25,0,20.1952,48.1542,1.54416,72.8774,0.943205,10.94,68.7383,17.6077,27.1891,1.54416,81.8298,66.9468,151.625,36.0466,35.9265,33.7737,[462:494:464:500:488:500:488:493:481:484:469:486]
254,134,487,157,500,254,23,0,12.4823,35.3593,1.68308,61.0406,0.925557,8.9917,56.4965,13.8618,23.3305,1.68308,88.5315,76.3543,160.323,33.2072,32.399,33.1659,[135:499:157:500:157:492:152:488:142:488]
161,378,490,398,500,161,18,0,6.5513,26.3568,2.00578,50.2192,0.895669,7.15876,44.9798,10.1094,20.2773,2.00578,98.7764,73.7516,164.957,17.357,13.4626,22.1181,[379:495:381:500:398:500:397:495:392:492:382:491]
