NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
330,137,0,160,20,330,23,0,25.2479,31.8467,1.1231,70.6559,0.911409,10.249,64.3964,19.342,21.7231,1.1231,92.2939,72.3091,158.009,22.1191,23.5824,26.8969,[138:1:140:10:148:20:160:10:160:1]
1348,179,0,224,46,1348,22,0,67.0978,184.605,1.6587,142.557,0.912978,20.7143,130.152,32.1674,53.356,1.6587,109.443,77.6632,167.153,22.0918,21.2726,20.6553,[222:1:201:1:182:12:180:36:186:43:196:45:212:29:218:14:224:8]
147,420,0,450,14,147,9,0,2.76344,78.1516,5.31795,71.9967,0.596968,6.84044,42.9797,5.93255,31.549,5.31795,117.367,110.129,184.327,25.0936,23.4095,31.885,[421:1:427:7:439:8:444:14:450:11:441:5]
4,430,0,434,1,4,4,0,0,1.25,0,8.36987,0.847064,1.12838,7.08982,0,0,0,121.25,113.75,180.25,7.56224,4.43706,2.77263,[431:1:434:1]
1249,355,11,391,62,1249,0,0,66.9568,154.306,1.51808,140.987,0.888604,19.9391,125.281,32.366,49.1341,1.51808,125.324,99.5693,184.248,20.5774,19.1846,24.0685,[366:13:356:28:357:41:369:62:385:60:389:54:391:37:382:23:372:22:372:14]
365,10,24,33,46,365,0,0,23.0306,38.0712,1.28572,70.3306,0.962957,10.7788,67.7254,19.012,24.4441,1.28572,106.241,85.9808,170.301,20.0567,16.7939,18.7032,[13:25:11:33:16:42:22:46:27:45:32:38:32:31:21:25]
1459,305,26,346,75,1459,0,0,91.7387,152.268,1.28833,141.772,0.955085,21.5503,135.404,37.9725,48.9211,1.28833,120.574,93.6032,178.811,19.6093,18.6011,21.5542,[323:27:307:48:306:56:317:70:332:75:342:65:346:40:340:29]
2058,64,28,134,88,2058,0,0,106.617,378.626,1.88448,247.248,0.650421,25.5946,160.815,37.2891,70.2706,1.88448,114.999,88.4947,175.875,26.7149,27.4577,26.0277,[66:30:67:33:76:32:78:35:66:43:65:48:70:50:76:44:82:44:89:58:95:56:99:61:98:77:106:87:117:88:130:75:134:66:133:59:123:51:120:38:108:36:107:33:106:36:94:36:82:29]
98,0,37,9,52,98,15,0,5.01567,13.8782,1.66342,39.3979,0.890728,5.58519,35.0928,8.66098,14.4069,1.66342,131.071,110.969,193.949,14.6359,9.83689,17.2025,[1:38:1:52:6:52:9:47]
80,68,54,80,64,80,0,0,3.58064,11.4592,1.78894,33.3842,0.949749,5.04627,31.7066,7.54574,13.4989,1.78894,114.737,100.037,191.938,28.0244,26.9757,24.7247,[80:56:76:55:69:62:78:62]
840,148,70,189,102,840,0,0,49.4531,97.156,1.40164,110.093,0.933219,16.3518,102.741,27.6233,38.7181,1.40164,109.869,78.9405,167.88,22.3609,21.4783,22.6481,[189:85:179:72:173:71:152:87:149:93:155:99:176:102:187:91]
508,449,72,475,102,508,0,0,27.1895,66.3919,1.56263,86.745,0.921069,12.7162,79.8982,20.345,31.7918,1.56263,129.585,106.648,184.484,16.8526,14.2412,18.8493,[466:73:459:74:452:84:450:98:454:102:459:101:465:93:475:87:473:79]
554,196,76,222,112,554,0,0,21.3267,98.5393,2.14953,95.0196,0.878105,13.2794,83.4372,18.115,38.9387,2.14953,117.791,90.4585,177.46,20.9702,18.9742,25.4221,[220:77:212:82:197:102:201:111:212:109:221:100]
917,322,82,355,123,917,0,0,59.6235,92.9553,1.24861,114.211,0.939901,17.0848,107.347,30.5792,38.1816,1.24861,95.8517,70.7677,161.315,25.2543,25.5744,26.3769,[345:83:332:89:323:104:339:123:350:120:355:112:355:102]
224,61,88,77,106,224,0,0,14.311,22.3514,1.24973,53.3608,0.994275,8.44402,53.0553,15.1067,18.8794,1.24973,100.897,81.6518,171.504,17.5533,16.7797,18.9138,[66:89:62:100:66:105:74:106:77:97:72:90]
876,296,107,337,144,876,0,0,47.4782,110.647,1.52659,117.027,0.896542,16.6985,104.92,27.03,41.2637,1.52659,105.668,81.0103,169.526,24.4002,23.5336,25.4438,[320:108:298:128:297:135:304:144:318:141:326:132:337:126]
331,257,110,279,133,331,0,0,14.2155,49.1215,1.8589,69.2199,0.931725,10.2645,64.4939,15.0571,27.9896,1.8589,122.423,94.6193,180.411,19.7849,19.4394,24.2909,[277:111:263:118:258:127:261:133:267:133:275:127:279:118]
601,51,113,85,142,601,0,0,22.7592,104.002,2.13768,97.2411,0.893701,13.8313,86.9045,18.92,40.4449,2.13768,130.506,106.291,186.719,16.8527,14.6866,19.9192,[53:115:52:123:60:134:73:142:83:140:85:131:82:127:62:115]
227,369,120,387,139,227,0,0,10.1038,32.6222,1.79686,56.8278,0.939848,8.50037,53.4094,12.6827,22.789,1.79686,114.511,87.1718,174.718,16.9153,12.1768,18.3142,[385:122:381:121:373:127:371:139:386:131]
565,432,123,455,173,565,0,0,19.4024,182.315,3.06537,132.291,0.636939,13.4106,84.2615,15.3193,46.9592,3.06537,122.196,100.851,184.375,31.7097,29.3178,30.2635,[437:124:435:127:440:137:433:147:442:154:445:162:443:172:446:173:455:164:455:159:447:148:452:129]
79,417,138,427,152,79,0,0,2.65132,15.1801,2.3928,36.0657,0.873622,5.01463,31.5078,6.48359,15.5139,2.3928,130.456,111.684,203.038,25.3975,18.974,26.5823,[418:139:420:148:425:152:425:144]
569,224,157,269,179,569,0,0,14.3302,163.442,3.37719,109.824,0.769954,13.458,84.5592,14.6465,49.464,3.37719,116.185,89.2566,177.645,21.0829,19.6316,27.9318,[268:160:251:159:229:169:225:177:233:179:251:172:266:172:269:170]
599,480,160,500,200,599,40,0,27.97,91.7688,1.81135,99.8831,0.868613,13.8082,86.7598,20.5196,37.168,1.81135,102.17,74.9967,163.529,28.2607,25.1452,27.3535,[485:168:481:184:486:193:500:200:500:161]
2,479,172,481,173,2,0,0,0,0.25,0,4.57764,1.09516,0.797885,5.01326,0,0,0,164.5,139,224.5,2.5,2,6.5,[480:173]
119,44,181,57,194,119,0,0,7.12555,12.75,1.33766,39.858,0.970205,6.15458,38.6704,10.6428,14.2364,1.33766,128.983,101.445,180.092,15.0768,13.2834,20.9301,[55:182:46:185:47:193:52:193:57:188]
700,62,188,88,233,700,0,0,28.9087,159.919,2.35199,127.484,0.735698,14.9271,93.7894,19.4664,45.7849,2.35199,128.436,104.876,186.834,20.6679,19.3931,25.3988,[72:189:66:193:63:201:67:207:77:210:70:218:70:223:79:232:84:233:88:230:83:220:86:197:80:189]
1489,228,194,276,234,1489,0,0,101.608,144.271,1.19158,146.215,0.935537,21.7707,136.789,39.8878,47.5296,1.19158,111.4,83.4379,170.447,23.5099,22.3729,23.7512,[230:203:230:223:237:234:265:234:276:227:273:226:270:207:261:197:241:195]
1703,392,200,441,250,1703,0,0,112.42,186.69,1.28866,160.773,0.909914,23.2826,146.289,41.0198,52.8605,1.28866,115.322,85.771,173.866,22.8753,21.7027,22.7602,[397:206:393:211:393:219:416:247:425:250:436:247:441:241:441:218:435:207:428:201:422:202:413:211:402:205]
30,128,201,134,207,30,0,0,2.09778,2.63333,1.1204,18.8659,1.02917,3.09019,19.4163,5.83887,6.54188,1.1204,123.567,98.8,182.667,5.23885,5.84466,22.291,[131:202:129:206:133:207:134:203]
468,40,230,67,256,468,0,0,23.131,61.2428,1.62716,81.612,0.939666,12.2053,76.6881,19.1365,31.1382,1.62716,82.3013,64.8184,153.291,19.358,19.7882,25.3202,[43:233:41:240:49:251:62:256:67:249:67:243:53:231]
364,290,240,316,263,364,0,0,17.1036,54.8059,1.79007,75.1383,0.900107,10.7641,67.6325,16.0905,28.8032,1.79007,121.865,94.0082,176.714,13.8066,12.0515,18.9617,[316:243:310:241:294:246:291:252:295:262:299:263:316:248]
194,13,242,29,258,194,0,0,13.4909,17.7644,1.1475,50.124,0.985055,7.85825,49.3749,14.6716,16.8358,1.1475,82.5515,62.6701,149.629,24.1127,24.9249,30.9535,[17:243:15:253:20:257:26:257:29:253:27:245]
36,432,252,440,258,36,0,0,1.73941,4.68575,1.6413,22.1028,0.962297,3.38514,21.2694,5.2846,8.67363,1.6413,113.333,107.222,181.528,22.2648,18.9137,39.951,[440:254:436:253:433:257:436:258]
779,87,269,117,304,779,0,0,46.0657,85.3931,1.36152,102.699,0.963398,15.7469,98.9404,26.9906,36.7481,1.36152,112.202,90.3594,172.475,19.6468,18.9976,21.7162,[94:270:90:273:88:282:92:298:98:304:107:304:116:297:117:287:109:275]
559,7,272,32,301,559,0,0,33.1824,60.067,1.34544,85.1742,0.984017,13.3392,83.8129,23.0001,30.9452,1.34544,119.143,96.7603,176.009,19.586,16.2015,20.6506,[10:274:8:290:18:301:28:299:32:294:28:280:21:274]
1000,208,274,245,312,1000,0,0,60.2423,109.069,1.34555,118.328,0.947362,17.8412,112.1,30.7613,41.3909,1.34555,104.663,73.369,162.568,21.1976,19.7631,20.7176,[227:275:219:280:209:305:223:312:232:312:237:309:245:287:239:278]
132,147,286,161,299,132,0,0,8.97949,12.4546,1.17771,41.1987,0.988572,6.48204,40.7279,11.946,14.069,1.17771,117.97,100.273,184.311,18.6194,16.8954,24.1231,[158:287:150:288:148:294:154:299:161:293]
