NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
10,5,0,11,2,10,6,0,0.24,2.25,3.06186,12.9475,0.865802,1.78412,11.21,2.03921,6.24378,3.06186,170.6,139.6,224.9,5.76541,6.84398,4.39204,[6:1:11:1]
34,57,0,71,3,34,14,0,0.615917,12.1324,4.43825,28.9019,0.715185,3.28976,20.6702,3.12312,13.8612,4.43825,185.559,155.647,224.471,33.2001,9.98494,19.0545,[58:1:71:1]
6,99,0,103,2,6,4,0,0.222222,0.916667,2.03101,9.15527,0.948439,1.38198,8.68322,1.93943,3.93901,2.03101,178.333,153.333,224.667,10.6875,10.6092,8.86316,[100:1:103:1]
6,111,0,115,2,6,4,0,0.222222,0.916667,2.03101,9.15527,0.948439,1.38198,8.68322,1.93943,3.93901,2.03101,171.833,133.5,210.5,8.21415,6.57647,8.61684,[112:1:115:1]
8,122,0,127,2,8,5,0,0.234375,1.5,2.52982,11.0514,0.907263,1.59577,10.0265,2.00657,5.07627,2.52982,192.25,171.5,240.125,10.5089,14.5602,3.85479,[123:1:127:1]
377,136,0,161,21,377,25,0,27.9544,37.6625,1.16072,75.2336,0.914879,10.9546,68.8297,20.3358,23.6043,1.16072,101.538,81.5411,164.069,32.9269,34.0613,32.6362,[137:1:139:10:148:21:161:10:161:1]
16,166,0,172,5,16,6,0,1.13322,2.78866,1.5687,19.6513,0.721562,2.25676,14.1796,3.60367,5.65308,1.5687,178.75,164.25,223.188,17.4051,18.3081,16.8011,[167:1:172:4:172:1]
13,187,0,195,2,13,8,0,0.233026,4.06283,4.17554,16.7397,0.763533,2.03421,12.7813,1.991,8.31348,4.17554,167.462,143.154,217.769,10.1042,20.2555,24.3315,[188:1:195:1]
1747,175,0,225,50,1747,25,0,90.8435,232.64,1.60028,161.844,0.915493,23.5815,148.167,37.2824,59.6622,1.60028,121.276,90.2026,176.85,30.6589,31.3445,28.0166,[223:1:199:1:181:8:177:15:176:42:180:48:195:50:201:46:225:10]
18,263,0,273,2,18,10,0,0.246914,6.91667,5.29268,20.532,0.732504,2.39365,15.0398,2.08091,11.0136,5.29268,167.167,159.389,221.222,18.6227,9.47593,10.68,[264:1:273:1]
6,320,0,324,2,6,4,0,0.222222,0.916667,2.03101,9.15527,0.948439,1.38198,8.68322,1.93943,3.93901,2.03101,173.167,146.5,237.833,13.7042,19.3024,12.0612,[321:1:324:1]
8,328,0,333,2,8,5,0,0.234375,1.5,2.52982,11.0514,0.907263,1.59577,10.0265,2.00657,5.07627,2.52982,168,140,228.375,12.9035,15.6125,7.17526,[329:1:333:1]
1,336,0,337,1,1,1,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,188,141,244,0,0,0,[337:1]
8,346,0,351,2,8,5,0,0.234375,1.5,2.52982,11.0514,0.907263,1.59577,10.0265,2.00657,5.07627,2.52982,177.625,148,232.5,6.59427,6.91014,3.3541,[347:1:351:1]
12,355,0,362,2,12,7,0,0.243056,3.16667,3.60951,14.8436,0.827286,1.95441,12.2799,2.05741,7.42626,3.60951,170.917,145.333,227.917,6.66406,7.27247,4.31003,[356:1:362:1]
4,367,0,370,2,4,3,0,0.1875,0.5,1.63299,7.25915,0.976673,1.12838,7.08982,1.76601,2.88388,1.63299,181,152.25,228.5,9.27362,11.519,25.6759,[368:1]
18,402,0,412,2,18,10,0,0.244943,7.98037,5.70794,21.8727,0.687603,2.39365,15.0398,2.00379,11.4375,5.70794,182.611,173.056,235.333,7.70381,14.8753,8.91939,[403:2:412:1]
223,418,0,452,15,223,17,0,4.97774,82.7803,4.078,88.9665,0.595019,8.42515,52.9368,8.34418,34.0276,4.078,128.444,115.215,184.354,32.3502,24.0722,31.3991,[419:1:427:8:439:9:444:15:452:11:441:4:432:4:435:1]
16,447,0,455,3,16,8,0,0.484375,3.75,2.78243,17.5251,0.809102,2.25676,14.1796,2.70584,7.52883,2.78243,139.125,132.125,211.875,30.0726,24.5328,15.803,[448:1:455:1]
67,456,0,473,7,67,17,0,2.90096,14.1015,2.20476,37.7318,0.769015,4.61809,29.0163,6.2203,13.7143,2.20476,134.149,121.119,194.493,26.5663,21.7451,31.4374,[457:1:464:7:473:1]
6,488,0,492,2,6,4,0,0.222222,0.916667,2.03101,9.15527,0.948439,1.38198,8.68322,1.93943,3.93901,2.03101,173.333,156.5,229.333,7.34091,9.06918,12.161,[489:1:492:1]
5,345,2,348,5,5,0,0,0.4,0.4,1,8.04455,0.985345,1.26157,7.92665,2.52313,2.52313,1,187.4,157,230.4,5.08331,4.38178,16.5723,[347:3]
5,268,3,271,6,5,0,0,0.4,0.4,1,8.04455,0.985345,1.26157,7.92665,2.52313,2.52313,1,184.4,171.6,228.6,10.3073,7.49933,10.2684,[270:4]
