NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
310,137,0,160,18,310,23,0,21.7127,31.7426,1.20911,67.9744,0.918206,9.93358,62.4145,18.0677,21.8458,1.20911,90.4355,70.2613,156.474,21.043,22.3371,25.1258,[138:1:141:11:148:18:152:18:159:11:160:1]
655,184,0,220,38,655,7,0,19.8056,147.617,2.73007,110.879,0.818234,14.4393,90.7247,17.4779,47.7159,2.73007,95.9023,63.6473,157.87,18.9423,17.5988,16.6597,[220:1:214:1:198:9:186:22:185:30:190:38:195:37:215:15]
135,13,24,26,38,135,0,0,8.35642,13.8547,1.28762,42.3094,0.973497,6.55529,41.1881,11.5539,14.877,1.28762,93.363,74.437,163.333,15.4616,14.1973,17.8989,[15:26:15:35:23:38:26:34:24:28:20:25]
70,370,41,379,51,70,0,0,3.8465,8.02901,1.44477,29.9173,0.991361,4.72035,29.6588,7.85425,11.3476,1.44477,95.8571,66.1,161.429,7.93057,5.71752,12.8147,[378:42:371:45:372:51:379:47]
936,98,43,133,88,936,0,0,60.6876,107.549,1.33123,123.041,0.881442,17.2609,108.453,29.9203,39.8309,1.33123,96.3462,67.1624,159.701,15.5282,15.2462,16.9261,[115:44:106:49:104:62:99:69:99:76:111:88:118:87:133:68:131:63:119:56]
223,317,45,339,62,223,0,0,8.26187,40.6671,2.21862,60.62,0.873256,8.42515,52.9368,11.3127,25.0986,2.21862,106.081,76.4709,165.668,19.7285,16.7816,18.8093,[319:47:321:55:332:62:338:61:339:55:336:51]
440,152,76,182,100,440,0,0,26.0177,50.1393,1.38821,79.6206,0.933911,11.8345,74.3586,20.0888,27.8875,1.38821,97.8886,66.2864,158.345,13.1039,13.4458,14.4615,[173:77:164:79:154:88:154:93:169:100:182:87]
181,205,79,221,99,181,0,0,6.29395,34.694,2.34782,54.9316,0.868204,7.59039,47.6919,9.90744,23.2609,2.34782,101.16,76.9116,167.558,14.2988,14.7743,21.6824,[219:80:213:82:206:95:208:99:217:94:221:85]
884,321,82,354,126,884,0,0,56.9669,94.0997,1.28524,119.019,0.885557,16.7746,105.398,29.5931,38.034,1.28524,91.5781,66.164,157.477,20.3337,20.1915,21.2705,[345:83:335:89:322:108:336:126:340:119:349:120:354:114:354:101]
115,62,89,73,103,115,0,0,6.296,13.3834,1.45798,39.0726,0.972931,6.05026,38.0149,10.0214,14.611,1.45798,95.9826,75.8783,166.913,17.1261,14.3963,17.1097,[65:90:63:98:70:103:73:101:72:94]
567,304,108,334,138,567,0,0,44.3677,49.9801,1.06137,90.9974,0.927615,13.4343,84.4105,26.0804,27.6808,1.06137,97.7937,73.1305,163.249,21.322,20.6878,22.0325,[319:109:308:117:305:125:305:133:316:138:334:129]
50,375,126,383,134,50,0,0,2.8,5.54,1.40662,24.7843,1.01138,3.98942,25.0663,6.72748,9.46298,1.40662,101.56,79.5,162.02,11.0529,9.31933,10.5233,[382:127:376:130:377:134:383:131]
