NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
1026,273,0,303,66,1026,18,0,29.7247,320.812,3.28523,174.045,0.652403,18.0717,113.548,19.9409,65.5107,3.28523,79.5682,38.4259,98.2125,35.2797,19.7308,23.781,[274:1:284:17:280:26:281:33:293:48:286:60:294:66:300:61:297:49:303:26:297:20:298:8:291:1]
912,317,0,353,42,912,34,0,49.0557,140.084,1.68985,141.082,0.758807,17.0382,107.054,26.2137,44.2973,1.68985,84.6754,38.4024,92.7544,34.0289,30.3922,32.9959,[351:1:318:1:323:1:329:11:328:16:321:21:324:35:329:42:339:37:344:21:352:15]
1580,435,0,500,50,1580,53,0,121.307,256.763,1.45487,245.122,0.574846,22.4261,140.907,37.1854,54.0997,1.45487,83.8487,42.3373,94.6082,41.0489,33.5589,35.8211,[436:1:441:1:446:6:450:18:449:27:466:36:470:28:476:28:486:39:486:45:490:49:500:47:499:30:487:27:498:1:469:2:464:6:464:16:457:14:446:1]
293,369,6,387,25,293,0,0,20.8846,26.5652,1.12783,62.056,0.977811,9.65737,60.679,18.1873,20.5121,1.12783,64.3823,28.3208,81.2457,32.5971,15.3044,25.6009,[383:7:371:11:372:25:383:25:387:21:387:12]
1558,11,10,85,54,1558,0,0,125.198,477.995,1.95395,245.161,0.570738,22.2694,139.923,31.8627,62.258,1.95395,86.5616,45.6579,100.417,47.2328,36.4848,38.5194,[12:51:20:53:35:29:49:18:56:21:60:39:73:52:79:51:85:45:85:39:76:26:68:23:68:13:36:11:17:22:20:27]
109,396,12,411,22,109,0,0,5.83926,13.1285,1.49944,38.5172,0.960867,5.89031,37.0099,9.62064,14.4256,1.49944,115.44,70.6972,132.624,25.0425,21.1163,17.692,[397:16:400:22:407:22:411:18:404:13]
337,423,15,445,36,337,0,0,24.3375,30.2094,1.11412,66.5384,0.97802,10.3571,65.0759,19.6247,21.8644,1.11412,59.454,34.1721,85.9822,40.8654,28.0421,35.6026,[437:16:430:17:424:26:424:31:430:36:441:33:445:28:443:21]
246,93,22,109,45,246,0,0,14.0349,30.048,1.4632,59.7393,0.930706,8.84897,55.5997,14.6309,21.4079,1.4632,68.3537,27.8943,70.0488,27.1227,16.928,31.3895,[102:23:94:37:105:45:109:40:108:27]
740,347,29,381,59,740,0,0,42.7912,82.0199,1.38447,99.9226,0.965066,15.3476,96.4319,26.0873,36.117,1.38447,87.6824,38.6932,100.334,25.8042,13.2212,19.6818,[372:30:363:30:348:43:348:53:352:58:362:59:380:47:378:35]
320,30,36,48,59,320,0,0,19.4331,33.8353,1.31951,64.9676,0.976075,10.0925,63.4132,17.5721,23.1866,1.31951,59.5594,41.05,89.9531,50.635,40.1224,48.1574,[37:37:31:44:31:51:37:58:45:59:48:56:48:46:41:37]
1898,187,43,250,92,1898,0,0,120.902,246.055,1.42659,222.829,0.693078,24.5795,154.438,41.158,58.7155,1.42659,72.3409,34.4821,89.3857,38.4605,23.8132,28.9112,[188:82:195:86:204:77:209:65:213:70:208:88:212:92:222:91:223:85:231:76:240:78:250:66:250:59:237:53:228:44:205:44:189:69]
201,101,51,115,71,201,0,0,11.7521,21.9654,1.36714,51.6948,0.972202,7.99877,50.2577,13.6819,18.7051,1.36714,96.3035,49.0398,109.095,20.1835,11.9788,16.0879,[108:52:102:59:102:64:109:71:114:67:115:59]
860,376,55,433,93,860,0,0,27.597,254.603,3.03739,175.061,0.593834,16.5453,103.957,18.9869,57.6706,3.03739,97.4116,47.3,102.99,38.8709,36.9546,38.8301,[377:62:383:77:390:79:395:73:397:86:403:93:408:93:412:89:429:92:433:88:429:84:415:83:410:72:400:67:397:69:397:64:390:58:383:56]
3246,235,64,298,158,3246,0,0,177.514,539.011,1.74254,313.231,0.644784,32.144,201.966,48.701,84.8634,1.74254,75.8734,36.451,93.6251,36.9605,19.605,26.9104,[258:65:245:80:236:128:248:138:246:153:249:156:274:144:279:149:280:156:285:158:292:149:298:130:283:121:282:101:279:96:263:97:262:88:267:73:263:66]
101,453,65,471,80,101,0,0,2.11769,32.1364,3.89554,47.0218,0.757646,5.67004,35.6259,5.74555,22.382,3.89554,135.515,80.9901,140.752,34.0479,37.8019,38.6324,[471:67:467:67:454:78:457:80:463:77]
681,112,68,144,102,681,0,0,49.5836,69.7822,1.18632,102.604,0.9016,14.7231,92.5078,27.035,32.0723,1.18632,89.5683,48.7137,104.927,50.7129,38.7277,44.0884,[118:69:114:73:113:83:119:97:127:102:136:92:144:90:144:84:123:69]
106,342,77,352,90,106,0,0,6.34401,11.2716,1.33294,36.391,1.00291,5.80869,36.4971,10.0624,13.4126,1.33294,94.8585,47.1792,107.896,27.0713,26.2929,28.4097,[346:78:343:87:350:90:351:80]
340,138,98,166,121,340,0,0,11.389,68.7991,2.45781,77.2645,0.845989,10.4031,65.3649,13.2715,32.6189,2.45781,114.241,74.4882,124.094,40.0788,43.2206,45.9927,[166:102:159:99:139:112:141:119:145:121:149:116:157:115:166:106]
56,198,99,207,111,56,0,0,1.77753,11.3883,2.53117,30.9327,0.857592,4.22201,26.5277,5.30749,13.4341,2.53117,111.268,55.5179,118.821,31.3411,18.3682,17.8777,[206:100:199:108:201:111]
1419,319,115,377,160,1419,0,0,76.786,226.406,1.71713,181.439,0.735978,21.2528,133.535,32.4373,55.699,1.71713,89.8922,46.4207,103.523,38.3546,27.4344,29.8599,[320:134:333:148:340:149:348:140:366:160:377:150:376:137:353:116:341:117]
1183,79,121,119,184,1183,0,0,50.3249,365.806,2.69609,214.459,0.56853,19.4052,121.926,23.6363,63.7257,2.69609,96.5461,48.4066,105.635,41.8803,28.4422,32.9577,[113:122:101:122:90:128:87:144:81:154:83:171:80:180:85:184:91:183:98:175:86:154:92:152:101:142:105:143:100:149:101:157:110:149:119:135:119:129]
515,463,132,494,153,515,0,0,27.8165,60.5779,1.47573,82.4927,0.975198,12.8035,80.4468,21.0793,31.1072,1.47573,78.9942,45.6136,98.9223,39.3984,27.8144,32.6939,[464:141:469:151:482:153:491:148:494:138:487:133:475:133]
100,137,134,149,150,100,0,0,6.23167,16.9058,1.64709,45.5463,0.778308,5.6419,35.4491,8.79219,14.4815,1.64709,116.18,69.02,121.98,42.6583,41.1675,49.748,[145:135:142:136:139:150:149:146:145:141]
649,153,135,179,168,649,0,0,38.2661,72.2211,1.3738,95.1149,0.949464,14.373,90.3082,24.5253,33.693,1.3738,93.5917,47.4515,110.556,25.9534,14.5965,15.9329,[173:136:166:136:155:150:154:159:163:168:173:167:179:158:179:140]
147,402,144,425,153,147,0,0,4.19672,34.8454,2.8815,52.3454,0.821079,6.84044,42.9797,8.05944,23.2232,2.8815,113.803,76.1224,131.259,34.9389,36.9443,35.2552,[403:148:404:151:416:153:425:149:420:145]
355,429,155,454,172,355,0,0,19.4548,41.5755,1.46186,68.5298,0.97463,10.6301,66.7912,17.584,25.7053,1.46186,55.9859,29.8479,74.1718,41.3267,28.604,42.5097,[430:160:432:167:439:172:447:172:454:167:454:160:448:156:433:156]
1333,312,159,349,219,1333,0,0,64.5208,268.626,2.04044,182.281,0.710035,20.5987,129.426,28.8408,58.8481,2.04044,91.4719,49.6834,109.974,42.9873,26.1215,30.7627,[326:163:321:169:322:180:335:187:330:195:323:193:313:208:327:211:336:219:341:219:346:213:349:194:344:188:345:166:340:160]
374,484,161,500,191,374,28,0,18.0097,54.2585,1.73572,76.6696,0.894164,10.9109,68.5553,16.5634,28.7496,1.73572,53.9412,20.0321,47.8262,26.4147,11.3648,22.2192,[495:162:487:167:485:183:500:191:500:164]
345,184,169,205,190,345,0,0,21.8447,34.5404,1.25745,66.8637,0.984746,10.4794,65.8437,18.6904,23.5023,1.25745,62.4522,35.7101,86.7913,42.6251,28.3213,36.4025,[189:170:185:176:188:186:201:190:205:186:203:175:197:170]
270,297,177,317,196,270,0,0,17.9228,26.2221,1.20957,59.5093,0.978819,9.27058,58.2488,16.8586,20.3917,1.20957,106.867,54.1667,117.811,20.3037,17.4154,20.1299,[303:179:298:186:299:192:305:196:314:195:317:192:315:185]
453,152,180,179,206,453,0,0,20.1299,66.3416,1.8154,82.1674,0.918236,12.0081,75.4491,17.8245,32.3586,1.8154,61.1744,33.0993,86.8234,39.4982,21.7889,31.6025,[157:181:153:186:154:194:160:200:176:206:179:200:177:191]
460,448,184,475,208,460,0,0,32.9623,41.1011,1.11665,76.7091,0.991145,12.1005,76.0298,22.9021,25.5737,1.11665,91.1913,66.0348,126.713,41.9569,33.0642,30.7244,[457:185:450:191:449:198:457:206:466:207:475:195:468:186]
466,120,190,146,214,466,0,0,34.0654,41.2795,1.10081,76.4791,1.00059,12.1792,76.524,23.2163,25.5566,1.10081,96.5751,54.7489,120.337,29.8771,20.8788,22.7343,[126:191:121:197:121:207:129:214:137:213:145:205:146:200:138:193]
1522,184,195,249,253,1522,0,0,46.2463,458.845,3.14988,199.94,0.69169,22.0106,138.297,24.8036,78.1285,3.14988,74.5683,36.8732,92.6294,41.8902,23.5327,33.3905,[186:199:185:209:191:218:187:228:191:233:207:234:225:242:234:253:249:249:249:239:221:219:207:217:201:213:198:201:194:197:189:196]
341,63,197,79,226,341,0,0,14.4797,52.8301,1.91012,72.5521,0.902261,10.4184,65.4609,15.0765,28.798,1.91012,69.393,34.2053,78.783,32.6802,26.5247,37.1345,[74:198:70:198:64:206:70:226:75:225:79:218:79:208]
267,373,206,394,225,267,0,0,14.6878,31.7106,1.46934,60.2947,0.960686,9.21893,57.9243,15.2107,22.3497,1.46934,92.8764,47.1685,107.921,32.5549,24.1197,26.182,[388:207:377:213:374:218:376:224:383:225:393:218:393:212]
212,166,208,181,226,212,0,0,14.0638,20.4899,1.20703,51.4647,1.00291,8.21472,51.6146,14.9542,18.0502,1.20703,95.7264,56.5566,117.307,26.6244,25.5801,24.0284,[174:209:167:215:167:219:171:225:177:226:181:221:181:212]
