NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
889,274,0,302,65,889,16,0,24.8949,306.128,3.50668,169.468,0.62369,16.8219,105.695,17.9663,63.0019,3.50668,70.4151,33.82,93.3217,26.9707,14.5858,19.6444,[275:1:285:17:281:26:282:33:294:48:287:60:294:65:299:61:296:49:302:26:296:20:297:8:290:1]
4,318,0,322,1,4,4,0,0,1.25,0,8.36987,0.847064,1.12838,7.08982,0,0,0,132,68.75,144.75,19.6723,18.417,22.6757,[319:1:322:1]
811,321,0,352,41,811,27,0,38.8861,134.963,1.86299,126.238,0.799695,16.067,100.952,23.5429,43.8602,1.86299,78.291,33.4353,87.8113,27.5159,21.0454,26.4499,[350:1:324:1:330:13:322:24:329:41:338:37:343:21:351:15]
2,437,0,439,1,2,2,0,0,0.25,0,4.57764,1.09516,0.797885,5.01326,0,0,0,99.5,55.5,114,0.5,0.5,4,[438:1]
1401,441,0,500,49,1401,42,0,118.776,230.423,1.39283,231.849,0.572293,21.1176,132.686,35.7869,49.8453,1.39283,76.1042,36.5682,88.9743,34.2457,23.144,28.8722,[442:1:447:6:452:29:466:35:470:27:476:27:487:39:490:48:500:46:498:30:486:27:497:1:469:3:465:6:464:17:457:15:445:1]
628,12,11,46,53,628,0,0,20.3753,160.594,2.80745,125.492,0.707893,14.1386,88.8351,16.8764,47.3796,2.80745,73.5589,39.4841,91.1258,37.6389,29.6037,36.7157,[46:12:31:14:18:22:21:27:13:51:17:53:23:49:31:33:45:18]
679,48,11,84,51,679,0,0,23.8842,146.563,2.47717,124.247,0.743455,14.7014,92.3719,18.6815,46.2773,2.47717,78.0766,37.5243,95.2857,40.5601,19.5852,25.9114,[49:12:49:17:53:17:58:23:61:39:73:51:79:50:84:45:84:39:76:27:67:23:69:15]
280,424,16,444,35,280,0,0,20.1149,25.3847,1.12338,60.62,0.978516,9.4407,59.3177,17.8144,20.0123,1.12338,45.7179,25.9786,77.0786,25.8018,19.3951,29.9055,[437:17:430:18:425:26:425:31:430:35:439:33:444:28]
1,43,20,44,21,1,0,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,83,29,84,0,0,0,[44:21]
654,348,30,380,58,654,0,0,37.2105,73.7889,1.40819,94.5596,0.958712,14.4283,90.6554,24.3171,34.2433,1.40819,83.6453,37.4434,99.6758,23.2505,11.74,17.0695,[376:34:372:31:363:31:349:43:350:55:362:58:376:50:380:45]
263,31,37,47,58,263,0,0,15.6468,28.4842,1.34924,59.6046,0.964503,9.14962,57.4887,15.7539,21.2558,1.34924,39.7605,27.4144,74.4601,25.4724,23.37,34.298,[37:38:32:44:32:51:37:57:45:58:47:46:41:38]
