NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
698,275,0,302,41,698,15,0,27.1033,140.13,2.27381,117.543,0.796775,14.9057,93.6554,19.7699,44.9531,2.27381,64.5659,31.5344,90.5458,24.2603,13.5928,18.8535,[276:1:285:17:281:26:284:37:289:41:300:40:302:26:296:20:297:8:290:1]
3,319,0,322,1,3,3,0,0,0.666667,0,6.47375,0.948439,0.977205,6.13996,0,0,0,121,59,133.333,5.65685,8.48528,12.8149,[320:1]
811,321,0,352,41,811,27,0,38.8861,134.963,1.86299,126.238,0.799695,16.067,100.952,23.5429,43.8602,1.86299,78.291,33.4353,87.8113,27.5159,21.0454,26.4499,[350:1:324:1:330:13:322:24:329:41:338:37:343:21:351:15]
2,437,0,439,1,2,2,0,0,0.25,0,4.57764,1.09516,0.797885,5.01326,0,0,0,99.5,55.5,114,0.5,0.5,4,[438:1]
1401,441,0,500,49,1401,42,0,118.776,230.423,1.39283,231.849,0.572293,21.1176,132.686,35.7869,49.8453,1.39283,76.1042,36.5682,88.9743,34.2457,23.144,28.8722,[442:1:447:6:452:29:466:35:470:27:476:27:487:39:490:48:500:46:498:30:486:27:497:1:469:3:465:6:464:17:457:15:445:1]
237,370,7,386,24,237,0,0,16.6758,21.9464,1.1472,56.1376,0.972131,8.68559,54.5732,16.2185,18.6058,1.1472,55.2785,25.3713,78.7004,26.989,13.6176,23.7426,[383:8:372:11:372:24:383:24:386:20]
638,12,11,46,53,638,0,0,21.3218,162.005,2.75647,123.366,0.725804,14.2507,89.5396,17.1668,47.3197,2.75647,73.4624,39.1536,90.7994,37.2423,29.1107,36.2231,[45:12:31:14:18:22:21:27:13:51:17:53:23:49:34:29:46:19]
688,47,11,84,51,688,0,0,24.1669,153.051,2.51656,126.698,0.733886,14.7986,92.9821,18.6572,46.9519,2.51656,78.6919,37.8576,95.6308,40.779,20.0339,26.2513,[48:12:48:18:53:17:58:23:61:39:73:51:79:50:84:45:84:39:76:27:67:23:69:15]
280,424,16,444,35,280,0,0,20.1149,25.3847,1.12338,60.62,0.978516,9.4407,59.3177,17.8144,20.0123,1.12338,45.7179,25.9786,77.0786,25.8018,19.3951,29.9055,[437:17:430:18:425:26:425:31:430:35:439:33:444:28]
197,94,23,108,44,197,0,0,10.869,25.4927,1.53149,54.3763,0.915016,7.91878,49.7552,12.7977,19.5995,1.53149,59.4873,23.797,64.5888,17.371,11.4302,26.9519,[102:24:95:37:105:44:108:40:107:27]
653,348,30,380,58,653,0,0,37.0492,73.8312,1.41166,94.5596,0.957979,14.4172,90.5861,24.2687,34.2592,1.41166,83.6922,37.4732,99.758,23.2373,11.7243,16.9528,[376:34:364:31:349:43:350:55:362:58:376:50:380:45]
263,31,37,47,58,263,0,0,15.6468,28.4842,1.34924,59.6046,0.964503,9.14962,57.4887,15.7539,21.2558,1.34924,39.7605,27.4144,74.4601,25.4724,23.37,34.298,[37:38:32:44:32:51:37:57:45:58:47:46:41:38]
170,286,42,299,65,170,0,0,7.96581,40.1205,2.24423,63.8569,0.723805,7.35613,46.2199,9.82077,22.0401,2.24423,94.6824,42.8235,104.247,24.2126,14.7199,18.6073,[298:43:291:44:294:51:287:57:288:62:293:65:299:61:296:54]
1700,188,44,249,91,1700,0,0,110.584,233.096,1.45185,216.91,0.673828,23.2621,146.16,38.6117,56.0583,1.45185,65.0224,30.6441,84.9853,32.0913,18.0032,24.2762,[189:82:195:85:203:77:205:67:209:64:214:67:209:88:213:91:222:90:222:85:231:75:240:77:249:66:249:59:237:54:228:45:206:45:190:69]
275,377,56,396,78,275,0,0,17.6566,28.771,1.27651,62.7461,0.936881,9.35603,58.7856,16.5619,21.1414,1.27651,75.1345,30.28,84.6727,24.1628,13.8742,22.4312,[384:57:378:64:383:76:390:78:396:64]
