NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
689,278,0,303,48,689,5,0,24.9121,144.8,2.4109,128.499,0.724126,14.8093,93.0496,19.0755,45.989,2.4109,62.1524,30.2743,89.1074,22.5931,13.0586,18.2708,[286:1:279:6:288:18:281:25:284:38:296:48:303:27:296:20:297:8:290:1]
181,328,0,348,13,181,20,0,11.8207,21.9142,1.36158,54.7969,0.870339,7.59039,47.6919,13.0099,17.7139,1.36158,54.0276,19.7072,70.2431,13.8134,4.67832,9.20464,[329:1:338:13:344:12:348:2]
103,481,2,496,26,103,0,0,1.66911,55.436,5.76306,59.5093,0.604559,5.7259,35.9769,4.77032,27.4916,5.76306,84.4951,58.2233,117.107,26.7051,37.0567,41.6035,[496:3:490:7:488:17:482:22:483:26:489:20]
214,370,6,386,24,214,0,0,12.6527,24.6869,1.39682,55.8123,0.929141,8.25338,51.8575,13.9666,19.5089,1.39682,50.0654,23.7897,75.257,21.1478,12.5627,20.3879,[385:9:379:7:375:11:371:24:382:24:386:20]
84,465,6,474,19,84,0,0,3.63744,12.5121,1.85467,34.4949,0.941866,5.17088,32.4896,7.59384,14.0841,1.85467,67.881,28.2143,84.0952,11.8205,4.27916,10.6465,[468:7:466:13:473:19:472:9]
1,331,8,332,9,1,0,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,85,34,102,0,0,0,[332:9]
357,15,11,43,42,357,0,0,11.4908,93.7902,2.85695,104.175,0.642948,10.66,66.9791,12.6136,36.0363,2.85695,49.6807,29.4594,76.7815,27.9414,25.716,33.9967,[41:12:32:14:35:17:22:25:16:33:18:40:25:42:29:38:28:34:43:21:36:16]
260,450,11,467,36,260,0,0,9.82138,45.6217,2.15526,66.5384,0.859052,9.09728,57.1599,12.3934,26.7111,2.15526,46.9846,25.1077,76.1577,22.0836,11.1912,20.2584,[454:12:451:14:451:25:459:34:466:36:467:28:462:18]
46,75,13,84,26,46,0,0,2.32086,15.2935,2.56702,37.4065,0.642742,3.82652,24.0427,4.77661,12.2616,2.56702,80.8478,38.2174,98.5435,23.3284,13.4938,24.2197,[78:14:76:20:84:26:78:18:81:14]
44,266,15,276,27,44,0,0,0.967886,13.279,3.704,31.7181,0.741351,3.74241,23.5143,3.88907,14.4051,3.704,102.136,55.25,120.409,24.4267,31.7212,38.733,[268:16:270:23:275:27]
318,321,16,340,41,318,0,0,17.7738,38.2592,1.46716,68.4345,0.923726,10.0609,63.2148,16.6123,24.3729,1.46716,70.283,37.0346,93.3019,25.6579,30.2741,36.3331,[330:17:323:20:322:24:328:40:333:41:339:36:340:28]
293,422,16,444,35,293,0,0,20.8308,27.5457,1.14994,67.6491,0.896967,9.65737,60.679,18.0116,20.7122,1.14994,48.7372,28.5495,79.9454,28.8469,22.3256,32.4757,[439:18:432:17:426:23:423:21:427:34:440:33:444:29:444:24]
395,60,24,80,51,395,0,0,23.0868,44.961,1.39552,74.6782,0.94343,11.213,70.4536,18.9839,26.4924,1.39552,48.2785,26.2101,82.1266,18.7288,10.935,18.6002,[68:25:62:29:61:40:74:51:78:49:80:32:75:26]
266,483,27,500,49,266,15,0,14.6864,32.9456,1.49775,64.1822,0.900806,9.20165,57.8157,15.0375,22.5225,1.49775,50.391,35.7406,85.4586,32.7741,35.1268,37.116,[491:28:484:32:488:35:487:45:495:49:500:46:500:32]
51,358,30,368,37,51,0,0,3.00514,6.05907,1.41994,27.7911,0.910927,4.02912,25.3157,6.76246,9.60231,1.41994,70.2941,28.098,83.0784,14.1481,8.08837,18.798,[359:35:367:37:368:32:363:31]
5,11,31,15,33,5,0,0,0.101855,1.17814,3.40101,9.15527,0.865802,1.26157,7.92665,1.36816,4.65312,3.40101,71.8,38,95,19.6102,13.2665,24.257,[15:32:12:33]
113,94,33,108,45,113,0,0,6.73983,14.6006,1.47184,44.2056,0.852447,5.99742,37.6829,9.88699,14.5521,1.47184,57.5929,28.1681,79.0531,21.0396,15.4134,28.0382,[95:34:95:38:102:45:106:44:106:34]
269,31,37,48,58,269,0,0,16.017,29.3029,1.35259,61.5007,0.945369,9.2534,58.1408,15.9129,21.5236,1.35259,41.6617,28.7212,76.0632,28.0071,25.1571,35.818,[37:38:32:44:32:51:37:57:46:58:47:46:41:38]
401,188,42,215,84,401,0,0,8.32038,156.51,4.33709,113.195,0.627117,11.2979,70.9867,10.85,47.0573,4.33709,68.7057,36.3766,92.985,23.7051,20.0916,26.0102,[214:46:204:43:204:56:197:59:194:71:189:75:191:84:199:79:210:52:215:49]
339,348,42,376,58,339,0,0,15.8679,52.7307,1.82294,77.9151,0.83769,10.3878,65.2687,15.3875,28.0505,1.82294,71.0914,34.6991,97.3245,14.6628,9.99045,13.4509,[349:44:349:54:353:58:363:58:376:49:371:43:360:43:356:48]
1004,208,46,249,92,1004,0,0,56.6319,147.225,1.61235,145.929,0.769715,17.8769,112.324,28.1574,45.3996,1.61235,50.2639,23.1673,75.8068,23.41,10.3559,18.7275,[248:56:241:57:230:47:221:52:214:64:214:74:209:88:213:91:217:88:221:92:222:85:231:75:241:77:249:66]
106,103,52,113,70,106,0,0,5.88408,21.3748,1.90595,58.9539,0.619078,5.80869,36.4971,8.41496,16.0385,1.90595,84.4434,44.7358,107.462,12.6186,9.51494,11.4778,[106:53:105:56:110:62:104:62:104:65:109:70:108:65:113:65:113:59:110:53]
44,376,56,385,65,44,0,0,1.81717,7.54802,2.03807,27.4658,0.856128,3.74241,23.5143,5.24291,10.6854,2.03807,62.8409,27.25,81.3409,17.938,15.0788,21.6353,[385:57:377:64:382:65]
27,83,57,88,66,27,0,0,0.764093,6.17967,2.84387,22.1028,0.833374,2.93162,18.4199,3.47682,9.88762,2.84387,99.7778,43.1852,99.037,21.6339,14.7448,22.8967,[87:58:84:66]
73,17,59,41,64,73,0,0,0.954176,39.0485,6.39717,50.7746,0.596513,4.82044,30.2877,3.81173,24.3843,6.39717,114.164,72.3562,137.068,23.8241,25.9348,24.3183,[18:61:27:64:41:63]
98,385,60,396,74,98,0,0,4.57779,14.833,1.80006,39.6279,0.885557,5.58519,35.0928,8.32578,14.9869,1.80006,60.1735,25.8163,82.5714,14.6838,6.71633,12.896,[393:61:389:61:386:73:390:74:396:65]
