NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
727,275,0,302,46,727,13,0,25.3672,158.883,2.50266,124.152,0.769875,15.2122,95.5811,19.2318,48.1309,2.50266,63.6437,31.2146,90.4168,23.0617,13.2548,18.7076,[277:1:286:19:281:26:282:33:293:46:296:46:302:31:302:26:296:20:297:8:289:1]
172,328,0,348,12,172,20,0,9.72747,22.6713,1.52665,51.79,0.897683,7.39928,46.491,11.9771,18.2847,1.52665,53.9767,19.7384,70.157,14.5274,4.91156,9.52621,[329:1:338:12:342:12:348:2]
156,466,0,485,17,156,8,0,5.05367,35.942,2.66684,54.9316,0.806018,7.04673,44.2759,8.63015,23.0153,2.66684,69.7756,28.0769,76.9423,15.9906,5.05171,12.214,[485:1:478:1:477:5:467:12:468:15:474:17]
182,373,7,386,24,182,0,0,11.1036,18.985,1.30759,48.5532,0.98497,7.61133,47.8234,13.3123,17.4071,1.30759,43.0659,20.7857,70.5165,12.3171,8.32995,14.5944,[379:8:374:14:374:20:378:24:383:24:386:21:386:12]
334,482,10,500,47,334,14,0,14.1117,87.6579,2.49233,99.2325,0.652866,10.3109,64.7856,13.0625,32.556,2.49233,57.2036,37.0479,89.1138,34.0324,31.1694,35.7674,[490:11:483:22:483:31:490:45:498:47:500:33:495:28:486:27:491:17]
247,450,12,467,35,247,0,0,9.27221,42.3108,2.13616,61.9607,0.89916,8.86694,55.7126,12.1335,25.9191,2.13616,45.2794,24.4615,75.2267,21.2656,10.7909,19.5006,[453:13:453:27:459:34:466:35:467:29:463:20]
265,425,16,444,34,265,0,0,19.4194,23.5888,1.10213,59.0492,0.977269,9.18434,57.7069,17.4969,19.2839,1.10213,42.6981,23.8868,74.4943,22.97,17.1735,28.3204,[439:18:429:19:426:24:427:33:434:34:443:30:444:25]
279,16,18,39,41,279,0,0,9.24638,56.9523,2.48182,68.8946,0.859453,9.42382,59.2116,11.9639,29.6922,2.48182,43.1326,23.3369,70.3943,21.5905,16.5172,26.9251,[38:19:23:25:17:33:17:38:25:40:38:25]
298,323,18,340,41,298,0,0,17.0439,33.4808,1.40156,63.0715,0.970242,9.73942,61.1946,16.4534,23.0606,1.40156,66.1107,32.7584,88.1846,19.3192,24.4948,30.7438,[328:19:324:22:324:32:328:40:333:41:338:37:340:28:333:19]
374,60,24,80,50,374,0,0,22.5706,40.4765,1.33915,70.0053,0.979287,10.9109,68.5553,18.8571,25.2526,1.33915,45.7594,25.3182,80.7995,15.7845,10.2695,17.857,[69:25:62:30:61:38:75:50:80:32]
