NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
534,105,0,124,35,534,12,0,21.4552,88.2915,2.02858,90.1725,0.908451,13.0375,81.9173,18.3075,37.1383,2.02858,73.2846,39.2865,94.8071,35.1357,19.9237,22.9594,[122:1:111:1:108:5:106:32:109:35:114:35:124:22]
229,162,0,187,14,229,25,0,10.8664,38.1676,1.87415,63.3968,0.846166,8.53774,53.6442,12.473,23.3762,1.87415,115.179,55.8472,114.598,21.1468,9.49917,14.9136,[163:10:170:14:187:1:163:1]
700,180,0,223,34,700,16,0,55.2992,134.183,1.55772,156.195,0.600464,14.9271,93.7894,23.9199,37.2605,1.55772,106.143,46.0157,108.057,35.4048,16.8608,20.0194,[220:8:213:1:198:1:210:22:198:18:183:26:181:32:187:33:196:24:200:24:207:32:213:31:223:19]
60,392,0,407,6,60,15,0,2.57639,11.1667,2.08188,33.1542,0.828214,4.37019,27.4587,6.05763,12.6113,2.08188,105.05,52.5333,118.783,22.5835,12.3403,13.6456,[393:1:398:6:407:1]
880,48,15,83,50,880,0,0,49.9591,98.6778,1.40541,108.848,0.96611,16.7366,105.159,28.2355,39.6824,1.40541,98.8284,47.5614,108.107,27.6949,16.1808,19.5874,[53:19:49:30:54:40:62:48:78:49:82:45:83:35:78:25:65:16]
52,233,22,241,31,52,0,0,3.27492,5.29572,1.27163,25.5697,0.999726,4.06843,25.5627,7.21565,9.17567,1.27163,117.981,47.5962,116.385,11.6825,6.37682,5.57865,[236:23:234:27:239:31:241:26]
228,0,23,9,58,228,31,0,4.49303,78.4297,4.17802,74.5435,0.718063,8.51908,53.5269,8.33561,34.8263,4.17802,97.5044,46.0614,106.877,26.6209,13.9613,15.8914,[1:24:1:54:7:58:7:34]
83,428,25,439,40,83,0,0,2.5296,18.2406,2.6853,38.7472,0.833495,5.14001,32.2956,6.27332,16.8458,2.6853,119.181,66.8434,124.542,39.4306,42.7519,40.2218,[437:26:429:37:430:40:438:33]
193,293,26,308,45,193,0,0,9.95274,24.4394,1.56702,52.2501,0.942533,7.83797,49.2474,12.5227,19.6232,1.56702,121.762,74.114,133.741,24.1424,19.5524,18.3497,[296:27:294:40:304:45:307:37]
576,217,31,244,63,576,0,0,40.3239,57.9232,1.19852,91.5527,0.929276,13.5406,85.0778,24.7368,29.6476,1.19852,103.899,57.7274,119.332,33.4726,24.9305,24.0985,[228:32:223:35:224:41:218:47:219:59:223:63:244:52:242:43]
1708,337,31,385,110,1708,0,0,69.1355,459.218,2.57726,237.022,0.618103,23.3168,146.504,29.0482,74.8649,2.57726,79.7037,38.5603,95.8214,33.6873,17.8728,20.9093,[371:32:363:35:364:50:350:55:363:81:359:88:352:83:347:85:338:101:345:110:350:110:371:90:372:77:376:74:381:79:385:77:385:65:379:43]
