NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
460,106,0,123,34,460,10,0,16.9009,83.6561,2.22481,85.5949,0.888252,12.1005,76.0298,16.2251,36.0978,2.22481,63.0174,34.337,89.5065,24.6681,15.3558,18.3274,[121:1:112:1:109:5:109:34:114:34:123:22]
492,194,0,222,31,492,13,0,37.4615,69.7074,1.3641,115.552,0.680474,12.5143,78.6299,21.4296,29.2322,1.3641,94.2744,41.1382,102.736,31.5056,12.9712,16.4409,[200:1:211:22:209:24:202:19:195:22:211:31:220:23:222:14:212:1]
785,49,16,82,49,785,0,0,43.9084,89.3797,1.42674,103.485,0.959761,15.8074,99.3207,26.4678,37.7627,1.42674,93.3631,44.735,105.367,23.451,13.8081,18.0077,[53:20:50:30:55:40:62:47:78:48:81:45:82:33:77:25:65:17]
79,181,21,194,33,79,0,0,2.71814,15.3351,2.37523,37.4065,0.842309,5.01463,31.5078,6.50752,15.4569,2.37523,118.278,48.3797,111.139,17.8807,14.3891,19.6718,[192:22:183:27:183:33:194:25]
498,218,32,243,62,498,0,0,34.5781,51.0653,1.21524,86.1897,0.917834,12.5904,79.1079,22.8422,27.7588,1.21524,97.3574,54.01,116.205,29.1184,20.9396,21.4011,[228:33:224:35:225:41:219:47:220:59:223:62:243:52:241:43]
1022,350,32,384,85,1022,0,0,58.2334,143.963,1.57232,150.927,0.750867,18.0364,113.326,28.768,45.2325,1.57232,70.9217,34.9227,92.0832,26.7386,15.1825,18.5809,[368:33:363:38:365:50:362:53:353:53:351:58:358:73:371:85:369:79:376:73:381:78:384:77:384:65:377:40]
243,430,39,448,59,243,0,0,13.0251,29.9655,1.51677,59.2792,0.932192,8.79485,55.2596,14.2823,21.663,1.51677,54.3251,37.2757,96.4074,29.5462,21.2418,28.4629,[446:40:441:40:431:47:431:54:435:58:440:58:448:47]
336,116,45,137,67,336,0,0,21.701,34.4187,1.25938,67.8791,0.957278,10.3418,64.9792,18.4309,23.2115,1.25938,87.6815,40.4256,102.625,18.0895,9.67725,12.9024,[122:46:117:54:131:67:137:61:135:48]
301,159,52,172,84,301,0,0,8.46687,69.9765,2.87485,74.2181,0.828663,9.78832,61.5019,11.546,33.1929,2.87485,58.4784,26.5947,82.3322,21.6349,8.6117,11.2641,[163:53:160:59:163:81:168:84:172:80:168:55]
555,479,52,500,100,555,10,0,22.2086,117.642,2.30156,121.795,0.685679,13.2914,83.5125,17.5223,40.3285,2.30156,90.6559,37.0072,94.7676,25.2762,17.8535,23.5538,[500:53:481:69:480:87:483:95:489:100:495:94:494:82:500:74:500:70:495:70:492:66:500:57]
