NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
402,107,0,123,31,402,10,0,16.3425,66.8561,2.02261,79.1211,0.898309,11.312,71.0752,15.9079,32.1754,2.02261,57.1592,30.5025,85.2313,18.4883,10.9906,13.8937,[121:1:112:1:109:5:109:31:113:31:123:21]
194,203,0,219,22,194,1,0,7.53422,33.6421,2.11311,55.9471,0.882528,7.85825,49.3749,10.8117,22.8464,2.11311,63.6959,29.9639,88.799,17.3528,8.14835,11.6966,[209:1:204:10:216:22:219:16]
294,53,29,75,48,294,0,0,18.3854,30.472,1.2874,63.3015,0.960206,9.67384,60.7825,17.0519,21.9526,1.2874,71.6769,32.8469,91.6224,16.4081,9.25087,16.8245,[56:33:54:38:62:47:69:48:74:44:75:37:71:32:62:30]
39,0,39,6,53,39,11,0,1.63407,15.2325,3.05316,36.9464,0.599191,3.52336,22.1379,4.03285,12.313,3.05316,63.9231,31.7949,90.7436,14.8279,7.81248,10.3421,[1:40:1:50:5:53:1:44:4:40]
243,430,39,448,59,243,0,0,13.2905,29.3036,1.48487,59.2792,0.932192,8.79485,55.2596,14.4349,21.434,1.48487,54.321,37.4691,96.5185,29.5303,21.7671,28.7033,[446:40:441:40:431:47:431:54:437:59:448:48]
215,224,40,240,58,215,0,0,14.8237,19.9812,1.161,52.2501,0.994803,8.27264,51.9786,15.3553,17.8275,1.161,72.7535,40.8558,103.54,18.0866,11.6432,14.4678,[230:41:225:44:225:51:230:58:234:58:240:49:235:42]
705,353,43,384,77,705,0,0,52.7708,66.2961,1.12085,104.826,0.897909,14.9803,94.1238,28.2993,31.7193,1.12085,59.8865,28.217,84.2695,19.7847,9.65473,13.7331,[370:44:354:59:355:65:366:77:375:73:383:75:382:56:376:46]
115,117,46,128,59,115,0,0,7.81696,10.7273,1.17146,38.2872,0.992889,6.05026,38.0149,11.18,13.0969,1.17146,70.4957,31.8522,91.6435,11.7165,7.44282,11.2831,[120:47:118:56:124:59:128:51]
273,159,53,172,83,273,0,0,8.44965,57.9121,2.61797,69.3152,0.845002,9.32194,58.5715,11.5227,30.1661,2.61797,55.663,25.5604,80.9267,20.4593,8.25448,10.5994,[164:54:160:66:162:78:167:83:172:78:168:56]
235,308,58,320,86,235,0,0,7.49626,48.4459,2.54218,64.1822,0.84669,8.64886,54.3424,10.8489,27.5799,2.54218,60.4,37.6936,96.0213,26.4376,18.2705,21.6684,[316:59:310:67:311:86:320:72]
414,324,68,341,98,414,0,0,19.5694,58.1706,1.7241,77.455,0.931227,11.4796,72.1282,17.4853,30.1465,1.7241,66.3889,35.8841,92.7802,18.2078,15.29,20.9737,[327:69:325:95:327:98:333:98:341:87:341:79:337:72]
82,481,69,492,79,82,0,0,5.28733,8.08298,1.23642,32.5988,0.984714,5.10895,32.1005,9.18921,11.3618,1.23642,53.2073,18.9268,69.2805,8.86585,6.44069,7.95916,[492:71:487:70:482:76:488:79:492:76]
374,201,79,227,103,374,0,0,14.7902,62.3375,2.05299,75.9237,0.902949,10.9109,68.5553,15.2299,31.2669,2.05299,61.6364,23.0214,75.6979,16.0747,6.68141,11.9279,[225:81:215:80:202:94:203:101:207:103:225:91]
300,345,81,370,100,300,0,0,15.6746,50.4348,1.79377,75.9237,0.808701,9.77205,61.3996,14.5926,26.1757,1.79377,61.9433,30.3467,85.8433,23.3018,11.0857,16.3593,[370:84:365:82:357:90:349:84:346:95:351:100:358:99:368:92]
87,430,81,442,92,87,0,0,4.31462,11.2314,1.61342,35.2803,0.937199,5.26241,33.0647,8.28593,13.3687,1.61342,69.4138,35.0115,94.5402,22.956,12.5858,16.8658,[441:82:433:84:432:91:437:91:441:87]
253,457,91,477,107,253,0,0,15.178,26.96,1.33276,57.7084,0.977071,8.97398,56.3852,15.5467,20.7201,1.33276,63.0593,24.8656,79.1581,16.1749,7.78806,14.3945,[458:94:459:102:465:107:473:106:477:102:473:93]
