NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
505,105,0,124,34,505,12,0,20.6857,82.7006,1.99949,88.2764,0.902415,12.6786,79.6619,17.9325,35.8559,1.99949,69.602,37.0257,92.0733,32.1723,17.771,20.1554,[122:1:111:1:108:5:106:30:109:34:114:34:124:21]
151,164,0,185,12,151,21,0,8.66732,22.6069,1.61502,52.5754,0.828534,6.93288,43.5606,10.9107,17.6211,1.61502,108.907,52.702,111.623,19.6106,8.10265,13.8429,[165:1:171:12:185:2]
319,198,0,222,23,319,14,0,12.851,53.1989,2.03462,75.9237,0.833917,10.0767,63.3141,14.1289,28.747,2.03462,79.2821,36.5361,97.6364,25.8931,11.2218,15.2923,[199:1:202:3:201:9:214:23:222:19:221:13:212:1]
816,48,15,81,50,816,0,0,44.107,96.5607,1.47961,104.5,0.96902,16.1165,101.263,26.4988,39.2079,1.47961,95.935,45.69,106.087,26.4683,14.9985,18.6357,[55:18:49:25:54:40:62:48:78:48:81:44:79:30:67:17]
202,0,25,9,57,202,28,0,4.32905,64.1265,3.84878,69.4105,0.725865,8.01864,50.3826,8.17465,31.4624,3.84878,93.8317,44.8812,105.881,25.4953,13.7133,16.0209,[1:26:1:53:7:57:8:41]
1062,350,31,385,79,1062,0,0,63.1635,139.015,1.48353,139.32,0.829186,18.386,115.523,30.1904,44.7884,1.48353,74.7505,36.9454,93.8889,30.5628,17.5862,20.1026,[367:32:362:38:364:50:353:54:351:59:362:77:370:78:376:74:382:79:385:76:385:67:379:43:371:32]
298,429,38,449,60,298,0,0,16.5153,35.2911,1.4618,64.6423,0.946665,9.73942,61.1946,16.1109,23.5509,1.4618,72.557,50.0302,108.587,48.1969,34.3226,36.7994,[446:39:441:39:430:47:430:54:437:60:449:47]
437,218,39,244,63,437,0,0,26.8653,46.7954,1.31979,76.4791,0.968954,11.7941,74.1047,20.5325,27.0987,1.31979,95.627,57.2174,119.325,31.9808,24.864,24.4297,[238:42:229:40:220:47:219:58:223:63:243:53:243:47]
347,115,44,137,66,347,0,0,22.3286,34.6156,1.2451,67.3238,0.980847,10.5097,66.0343,18.8372,23.4543,1.2451,89.0778,40.8069,102.804,19.2068,9.91754,12.622,[122:45:116:54:126:66:131:66:137:59:136:52:131:46]
362,158,51,173,84,362,0,0,11.6274,73.2698,2.51027,78.2404,0.862041,10.7344,67.4465,13.5503,34.0149,2.51027,68.2459,30.0414,86.0773,30.0004,11.3552,13.8773,[163:52:159:59:160:74:163:82:169:84:173:79:169:55]
417,307,57,322,93,417,0,0,13.9118,80.184,2.40078,82.2627,0.879974,11.5211,72.3891,14.8712,35.7025,2.40078,86.1319,53.8082,110.844,41.5315,30.7007,28.9743,[314:58:309:67:308:86:316:93:321:87:322:76:320:62]
606,322,60,342,101,606,0,0,26.2536,97.2875,1.92502,97.8917,0.891446,13.8887,87.2652,20.0205,38.5397,1.92502,84.4373,48.0776,105.215,35.0957,29.5131,30.993,[327:61:323:92:324:98:332:101:342:89:342:74]
811,413,67,447,127,811,0,0,16.6476,324.721,4.41651,149.721,0.674267,16.067,100.952,15.2906,67.5313,4.41651,80.7201,42.7472,99.2922,37.4147,22.2231,28.7422,[443:68:435:71:425:85:427:95:414:122:417:127:424:125:433:113:431:103:441:91:447:77:447:72]
452,478,67,500,99,452,6,0,22.8111,75.9288,1.82444,90.3072,0.834548,11.9948,75.3658,17.7607,32.4033,1.82444,87.208,33.4491,90.5265,25.7466,13.3177,18.8355,[500:69:488:68:480:74:479:87:487:99:494:95:491:84:499:76]
601,195,78,228,110,601,0,0,25.6307,106.535,2.03876,103.159,0.842429,13.8313,86.9045,19.3736,39.498,2.03876,79.1265,29.9601,85.5008,29.913,13.1276,19.0528,[227:82:215:79:200:95:196:109:202:109:214:99:224:100:227:97]
511,338,80,372,106,511,0,0,21.0967,91.9165,2.08732,98.2565,0.815556,12.7537,80.1337,17.6551,36.8519,2.08732,76.3072,35.4501,92.454,30.7814,13.8845,18.2185,[372:85:364:81:356:88:349:83:339:99:339:104:353:105:370:91]
356,456,86,478,108,356,0,0,24.4207,33.1391,1.16491,67.3238,0.993485,10.6451,66.8852,19.7258,22.9787,1.16491,77.4663,31.1264,87.5,29.4749,14.0128,19.9867,[466:87:457:93:457:100:462:106:469:108:477:104:478:97]
923,352,99,399,139,923,0,0,31.3665,193.821,2.48581,136.314,0.790072,17.1406,107.698,21.7431,54.0493,2.48581,62.9404,38.3586,87.9599,39.8134,38.0836,37.431,[399:104:389:100:379:112:367:111:353:137:359:139:382:132:396:116]
250,325,139,366,162,250,0,0,3.78031,152.227,6.34573,97.4711,0.575041,8.92062,56.0499,7.08246,44.9434,6.34573,118.128,67.468,126.696,40.8768,41.8818,42.1909,[366:142:361:140:356:144:342:147:326:161:335:161:347:151]
441,206,142,230,170,441,0,0,25.014,50.543,1.42148,78.0498,0.953789,11.848,74.4431,19.8749,28.2517,1.42148,65.8141,32.2902,86.1995,34.0629,14.5428,18.4343,[223:143:217:143:208:155:208:164:216:170:220:169:230:156]
680,433,153,466,188,680,0,0,38.8964,82.4308,1.45576,101.723,0.908737,14.7123,92.4399,24.3873,35.5021,1.45576,62.7779,26.5426,80.8765,28.3164,10.8436,15.7282,[447:154:434:168:443:173:450:187:459:187:463:183:466:170:455:158]
321,486,154,500,183,321,28,0,13.1634,55.064,2.04527,70.9813,0.894775,10.1083,63.5122,14.1362,28.9123,2.04527,68.162,29.0312,84.1963,33.1294,16.1237,23.9854,[495:155:487:164:487:171:495:183:500:183:500:156]
614,355,159,391,188,614,0,0,30.6464,89.2083,1.70613,99.3672,0.883987,13.9801,87.8394,21.4059,36.5213,1.70613,76.7052,35.4332,92.4902,31.8642,15.8325,21.1967,[391:163:385:160:377:165:363:167:356:178:361:184:375:188:389:170]
598,410,166,443,192,598,0,0,31.9996,72.7142,1.50743,91.878,0.943504,13.7967,86.6873,22.4743,33.8785,1.50743,79.5318,35.0585,95.1656,29.1841,16.7208,21.2535,[411:173:415:185:422:192:437:192:443:187:437:175:428:168:417:167]
367,210,182,234,205,367,0,0,16.9963,50.3819,1.72171,71.9014,0.944497,10.8083,67.9107,16.4743,28.364,1.72171,83.0218,39.8856,100.556,23.8007,11.046,13.3438,[214:183:211:191:215:198:223:204:231:204:234:201:231:191:220:183]
316,291,194,310,217,316,0,0,18.8923,34.0097,1.34171,63.5315,0.99188,10.0293,63.0157,17.3168,23.2342,1.34171,69.5981,34.9778,88.6297,37.1128,23.7162,30.3429,[304:195:299:196:292:204:292:211:297:217:310:208:310:200]
306,360,195,379,218,306,0,0,15.3522,39.8656,1.61144,65.1976,0.951117,9.86929,62.0106,15.5492,25.0566,1.61144,85.0065,40.5556,100.663,37.6569,20.9975,28.6646,[365:196:361:207:371:216:378:218:378:203:373:198]
599,345,209,374,242,599,0,0,27.9978,92.9258,1.82182,101.589,0.85403,13.8082,86.7598,20.4605,37.2753,1.82182,67.5326,34.9432,87.9232,41.142,25.5484,31.2975,[351:210:346:215:346:221:353:228:359:229:357:236:362:242:371:242:374:228:372:221:366:215]
233,390,210,414,226,233,0,0,10.6268,40.5642,1.95376,63.6268,0.850438,8.61198,54.1107,12.3225,24.0751,1.95376,93.6009,44.618,107.18,28.2227,16.7197,17.9585,[414:215:406:211:395:212:391:222:398:226:402:220:411:219]
778,213,218,247,263,778,0,0,27.7094,187.522,2.60143,126.468,0.781832,15.7367,98.8769,19.5137,50.7634,2.60143,74.1787,33.4036,90.2404,28.5203,13.4206,15.7381,[218:219:214:225:215:233:233:246:235:261:244:263:247:256:242:249:242:234:238:226:231:220]
1582,262,218,302,281,1582,0,0,103.459,207.299,1.41551,229.072,0.615511,22.4403,140.996,37.7226,53.3968,1.41551,69.9665,34.5044,90.0999,35.3956,23.9144,26.6796,[285:219:276:224:276:236:271:234:263:243:263:256:270:266:271:279:274:281:279:276:281:251:293:275:296:275:301:267:302:249:295:228]
266,466,218,487,237,266,0,0,19.1272,26.4971,1.17699,61.4054,0.941541,9.20165,57.8157,16.9632,19.9656,1.17699,91.3609,48.7256,110.575,33.0226,21.4152,25.6829,[467:221:469:233:474:237:487:228:475:219]
435,407,230,427,259,435,0,0,24.0311,51.3614,1.46195,76.8044,0.962639,11.7671,73.9349,19.4641,28.4555,1.46195,71.8115,31.3471,87.354,32.5667,15.8688,22.4615,[413:231:409:235:408:245:409:254:416:259:424:252:427:238:420:232]
314,384,233,403,257,314,0,0,16.5848,38.8265,1.53006,65.4277,0.960082,9.99746,62.8159,16.1646,24.7329,1.53006,61.586,34.9236,88.3535,42.0641,25.8041,33.6725,[399:234:393:234:385:243:386:252:392:257:403:243:403:238]
885,314,259,355,289,885,0,0,52.1939,103.164,1.4059,114.211,0.923356,16.784,105.457,28.3106,39.8019,1.4059,74.9209,36.1492,94.4904,33.0312,17.7155,23.3975,[317:265:317:279:333:289:345:285:355:269:349:261:340:264:322:260]
773,187,261,208,328,773,0,0,18.0897,280.38,3.93693,154.029,0.639869,15.6861,98.5586,15.8112,62.2477,3.93693,82.326,36.4373,92.8642,32.3115,16.0177,17.7487,[195:262:191:273:196:296:188:302:205:328:208:298:200:265]
180,422,261,436,278,180,0,0,10.9639,18.8358,1.31072,47.6725,0.997639,7.5694,47.5599,13.2232,17.3319,1.31072,73.1833,38.55,98.4444,30.6959,14.8931,19.048,[433:262:429:262:423:268:427:278:431:278:436:271]
331,388,265,410,288,331,0,0,18.6674,38.2796,1.432,66.9985,0.962618,10.2645,64.4939,17.1553,24.5663,1.432,88.9637,53.7734,113.683,35.2134,23.0645,25.7519,[405:266:389:275:390:283:397:288:409:276:410:272]
397,357,274,374,302,397,0,0,19.4466,51.8107,1.63226,73.1074,0.966137,11.2414,70.6318,17.5977,28.724,1.63226,65.5567,38.8816,94.4509,38.4892,25.4745,30.8308,[362:275:358:281:359:295:364:302:368:302:374:294:374:280]
466,308,286,334,312,466,0,0,23.5497,59.1117,1.58433,80.2713,0.953318,12.1792,76.524,19.352,30.6599,1.58433,76.2275,37.3433,96.9721,23.1443,12.2428,14.0888,[311:288:309:298:315:308:322:312:331:310:334:306:332:298:319:288]
532,260,292,288,320,532,0,0,36.7044,52.0408,1.19073,87.3004,0.936579,13.0131,81.7637,23.8509,28.3999,1.19073,75.3835,36.8383,94.9361,32.6316,18.8676,22.4126,[269:294:261:311:272:318:284:319:288:315:284:299:277:293]
164,290,296,303,313,164,0,0,9.26645,18.3641,1.40776,46.3317,0.979825,7.22515,45.397,12.179,17.1451,1.40776,114.195,58.1159,121.872,15.4169,12.5865,15.7442,[299:297:291:305:294:313:303:307:303:301]
580,379,299,399,341,580,0,0,21.2768,106.764,2.24006,99.2325,0.86033,13.5875,85.3727,18.1568,40.6723,2.24006,85.7948,48.8414,107.107,36.6943,26.1168,26.0945,[392:300:385:302:380:313:385:338:388:341:395:333:399:310]
628,352,319,371,366,628,0,0,22.6662,133.838,2.42997,111.395,0.797482,14.1386,88.8351,18.1399,44.0793,2.42997,82.0939,45.6369,104.076,42.3638,28.6209,32.2633,[358:320:353:325:353:339:360:348:358:363:361:366:371:351:371:325]
402,56,328,86,362,402,0,0,12.6421,125.189,3.14683,102.374,0.694269,11.312,71.0752,12.7536,40.1333,3.14683,94.5249,38.1617,94.8856,31.5086,15.4756,20.2212,[59:329:57:332:70:345:79:349:77:358:84:362:86:352:83:342:71:330]
276,463,347,484,366,276,0,0,16.3069,30.9694,1.3781,61.4054,0.959076,9.37302,58.8924,15.9687,22.0065,1.3781,69.5326,44.1957,99.0761,36.5716,24.7955,29.3438,[480:348:467:352:464:355:465:362:471:366:479:363:484:358]
244,220,350,237,370,244,0,0,15.6229,24.7733,1.25925,56.8278,0.974405,8.81292,55.3732,15.707,19.7791,1.25925,66.1107,31.582,86,35.1187,15.2134,21.4319,[225:351:221:358:225:367:230:370:236:365:237:357:232:352]
1494,290,364,339,429,1494,0,0,50.6187,334.789,2.57176,181.075,0.756698,21.8072,137.019,27.1966,69.9432,2.57176,83.6198,46.759,104.976,36.8856,23.4295,26.5667,[294:365:291:371:293:389:305:397:307:405:331:428:337:428:339:419:331:396:331:387:324:379:307:381:301:369]
178,118,381,132,397,178,0,0,12.3214,16.2666,1.14899,46.8871,1.0087,7.52723,47.295,14.0445,16.137,1.14899,55.1404,27.7416,74.9551,38.6102,16.9374,27.9759,[124:382:119:387:119:393:123:397:129:397:132:388]
219,71,384,94,400,219,0,0,8.2389,38.6184,2.16502,58.9539,0.889845,8.34924,52.4598,11.3487,24.5702,2.16502,113.288,67.9543,125.667,22.9875,25.978,25.717,[72:389:77:395:89:400:94:398:94:395:82:385:76:385]
196,21,392,56,402,196,0,0,2.7923,93.5032,5.78672,75.3289,0.658827,7.89865,49.6287,6.567,38.0014,5.78672,122.214,76.5459,130.342,41.9772,45.1562,42.8505,[22:394:27:398:50:402:56:400:52:396]
320,150,417,178,438,320,0,0,11.0784,63.0998,2.38658,75.3683,0.841378,10.0925,63.4132,13.066,31.183,2.38658,71.7969,30.1656,83.9594,27.8625,10.4592,14.17,[151:420:158:430:173:438:178:436:168:420]
441,0,418,23,474,441,22,0,7.8054,256.317,5.73049,130.26,0.571494,11.848,74.4431,9.89871,56.7244,5.73049,89.102,57.8844,110.166,46.8466,41.7586,39.2801,[1:419:1:440:10:449:12:471:19:474:23:471:23:465]
222,153,434,171,450,222,0,0,12.5447,24.9681,1.41079,53.9162,0.97963,8.40624,52.8179,14.1547,19.9693,1.41079,69.8919,35.2793,91.455,31.2472,13.2809,15.5779,[154:438:159:449:171:448:171:443:165:436:158:435]
542,377,441,398,477,542,0,0,23.2036,82.1802,1.88194,89.7519,0.91952,13.1348,82.5286,19.1493,36.0377,1.88194,75.5886,35.1494,92.8469,31.018,15.4525,21.4716,[384:442:380:448:378:463:382:472:392:477:398:471:398:463:391:446]
299,189,447,214,474,299,0,0,7.68989,76.9294,3.1629,76.9391,0.796697,9.75575,61.2972,10.971,34.7003,3.1629,66.6722,29.2107,80.1204,34.3085,15.6305,21.3284,[192:448:192:460:212:474:214:471:209:462]
687,456,470,491,500,687,28,0,41.3109,85.7738,1.44094,123.787,0.750601,14.7878,92.9145,24.6383,35.5023,1.44094,83.016,36.8282,94.2591,31.7588,14.0171,16.0575,[487:473:482:472:474:486:473:476:469:475:462:483:463:489:457:500:484:500:491:482]
424,390,483,425,500,424,25,0,15.3492,77.9,2.25282,84.1588,0.867338,11.6174,72.9941,15.4802,34.8739,2.25282,78.5613,39.8208,96.8962,29.4605,14.8726,18.8458,[391:491:401:500:425:500:419:489:406:484:397:485]
