NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
460,106,0,123,34,460,10,0,16.9009,83.6561,2.22481,85.5949,0.888252,12.1005,76.0298,16.2251,36.0978,2.22481,63.0174,34.337,89.5065,24.6681,15.3558,18.3274,[121:1:112:1:109:5:109:34:114:34:123:22]
195,163,0,186,13,195,23,0,9.21687,32.9198,1.88989,58.8192,0.841596,7.87848,49.5019,11.4618,21.6616,1.88989,110.426,53.6667,111.795,17.8842,7.82086,13.4778,[164:10:170:13:186:1:164:1]
492,194,0,222,31,492,13,0,37.4615,69.7074,1.3641,115.552,0.680474,12.5143,78.6299,21.4296,29.2322,1.3641,94.2744,41.1382,102.736,31.5056,12.9712,16.4409,[200:1:211:22:209:24:202:19:195:22:211:31:220:23:222:14:212:1]
45,393,0,406,5,45,13,0,1.80247,8.66667,2.19277,28.5765,0.83215,3.7847,23.78,5.1117,11.2088,2.19277,95.7778,47.5333,114.667,16.6998,9.23424,11.6524,[394:1:398:5:406:1]
784,49,16,82,49,784,0,0,43.8888,89.203,1.42565,103.485,0.95915,15.7973,99.2574,26.461,37.7242,1.42565,93.324,44.7156,105.355,23.4404,13.8061,18.0158,[53:20:50:30:55:40:62:47:78:48:81:45:82:33:77:25:65:17]
79,181,21,194,33,79,0,0,2.71814,15.3351,2.37523,37.4065,0.842309,5.01463,31.5078,6.50752,15.4569,2.37523,118.278,48.3797,111.139,17.8807,14.3891,19.6718,[192:22:183:27:183:33:194:25]
32,234,23,240,30,32,0,0,1.84961,3.50488,1.37656,20.2067,0.992397,3.19154,20.053,5.44041,7.48908,1.37656,114.844,45.125,116.188,11.2086,6.03505,5.65375,[236:24:235:27:239:30:240:26]
187,0,24,8,57,187,29,0,3.4134,69.8148,4.52251,69.9658,0.692851,7.71518,48.4759,7.25581,32.8145,4.52251,89.877,42.7968,103.749,21.3381,11.512,14.3492,[1:25:1:53:7:57:6:34]
52,429,26,438,39,52,0,0,1.28862,14.6374,3.3703,33.3842,0.765712,4.06843,25.5627,4.43223,14.938,3.3703,102.019,52.8462,113.962,23.0313,25.663,29.6057,[437:27:430:39:437:33]
149,294,27,307,44,149,0,0,7.2896,19.9882,1.6559,46.8871,0.922879,6.88681,43.2711,10.7036,17.7242,1.6559,117.604,71.953,131.993,22.3285,17.6819,16.9727,[296:28:295:40:304:44:306:37]
498,218,32,243,62,498,0,0,34.5781,51.0653,1.21524,86.1897,0.917834,12.5904,79.1079,22.8422,27.7588,1.21524,97.3574,54.01,116.205,29.1184,20.9396,21.4011,[228:33:224:35:225:41:219:47:220:59:223:62:243:52:241:43]
1013,350,32,384,84,1013,0,0,58.7114,140.052,1.54448,150.372,0.750314,17.9568,112.826,28.898,44.6325,1.54448,71.1224,35.0424,92.233,26.707,15.1943,18.5897,[371:33:364:35:365:50:351:55:358:73:364:82:367:81:369:84:369:79:376:73:381:78:384:77:382:56:377:40]
85,325,36,335,47,85,0,0,5.24102,8.72023,1.2899,32.5988,1.00257,5.20157,32.6824,9.15981,11.8152,1.2899,103.776,49.8588,100.459,13.8414,9.91393,17.1331,[328:37:326:43:333:47:335:41]
243,430,39,448,59,243,0,0,13.0251,29.9655,1.51677,59.2792,0.932192,8.79485,55.2596,14.2823,21.663,1.51677,54.3251,37.2757,96.4074,29.5462,21.2418,28.4629,[446:40:441:40:431:47:431:54:435:58:440:58:448:47]
336,116,45,137,67,336,0,0,21.701,34.4187,1.25938,67.8791,0.957278,10.3418,64.9792,18.4309,23.2115,1.25938,87.6815,40.4256,102.625,18.0895,9.67725,12.9024,[122:46:117:54:131:67:137:61:135:48]
301,159,52,172,84,301,0,0,8.46687,69.9765,2.87485,74.2181,0.828663,9.78832,61.5019,11.546,33.1929,2.87485,58.4784,26.5947,82.3322,21.6349,8.6117,11.2641,[163:53:160:59:163:81:168:84:172:80:168:55]
555,479,52,500,100,555,10,0,22.2086,117.642,2.30156,121.795,0.685679,13.2914,83.5125,17.5223,40.3285,2.30156,90.6559,37.0072,94.7676,25.2762,17.8535,23.5538,[500:53:481:69:480:87:483:95:489:100:495:94:494:82:500:74:500:70:495:70:492:66:500:57]
752,323,55,341,118,752,0,0,17.5312,228.458,3.60991,138.821,0.700259,15.4716,97.2107,16.286,58.7912,3.60991,89.3471,47.8205,106.379,31.8979,21.8901,26.0695,[337:56:332:56:326:61:324:92:330:118:333:115:333:102:341:89]
100,410,55,421,83,100,0,0,1.3142,67.4968,7.16657,63.9522,0.554306,5.6419,35.4491,4.21502,30.2072,7.16657,120.26,62.25,124.31,16.6689,14.1996,14.3915,[420:56:417:56:411:83]
411,308,58,321,104,411,0,0,9.2947,124.105,3.65407,99.8831,0.719505,11.4379,71.8664,11.9671,43.7285,3.65407,83.4185,49.8321,109.338,38.0229,23.949,26.497,[314:59:310:67:309:86:317:104:321:76:319:62]
573,424,64,454,96,573,0,0,29.7192,77.9183,1.6192,101.033,0.839881,13.5052,84.8559,21.2267,34.3703,1.6192,97.5916,49.2548,110.541,29.0216,18.4062,20.2447,[450:65:434:71:427:79:425:88:428:93:441:95:444:92:442:86:454:81:450:75]
533,196,79,227,109,533,0,0,23.8672,93.751,1.98192,98.9072,0.827448,13.0253,81.8405,18.5044,36.6743,1.98192,72.5403,27.5066,82.5253,24.1122,10.9058,16.9221,[226:82:212:82:201:95:197:109:215:98:224:100:227:97]
465,338,82,370,109,465,0,0,21.294,79.5043,1.93227,97.9312,0.780567,12.1661,76.4419,17.5044,33.8232,1.93227,75.5634,35.929,93.7505,29.4282,14.2165,19.4342,[370:86:362:83:361:87:356:89:349:84:339:101:340:105:350:109:370:90]
1,370,83,371,84,1,0,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,83,32,86,0,0,0,[371:84]
320,457,85,477,107,320,0,0,23.3191,28.5109,1.10573,64.6423,0.980987,10.0925,63.4132,19.1957,21.2254,1.10573,71.4906,28.3687,84.2219,23.6352,10.8901,17.3296,[469:86:458:93:458:101:465:107:473:106:477:102:477:96]
944,356,90,398,143,944,0,0,34.9067,219.759,2.5091,151.387,0.719451,17.3345,108.916,21.8868,54.9162,2.5091,62.3612,33.2818,84.1748,34.5323,24.4859,29.862,[390:91:384:93:386:104:379:113:367:112:357:131:368:143:396:114:398:103]
320,414,94,433,127,320,0,0,9.58341,75.4798,2.80644,82.9528,0.76445,10.0925,63.4132,12.049,33.8149,2.80644,57.2719,29.8438,80.2156,34.113,17.7618,27.8754,[427:95:415:121:418:127:424:124:432:113:430:104:433:98]
31,49,95,56,102,31,0,0,1.22524,4.95374,2.01074,20.9921,0.940223,3.14127,19.7372,4.43055,8.90869,2.01074,109.484,39.5806,99.7097,11.9458,7.3299,12.0005,[51:96:50:99:56:102]
32,352,132,359,139,32,0,0,2.18065,3.61232,1.28707,22.1028,0.907263,3.19154,20.053,5.62639,7.24153,1.28707,84.1562,37.125,101,21.1824,14.4736,14.5495,[355:133:353:139:358:139]
984,356,135,420,187,984,0,0,36.3074,365.273,3.17184,191.475,0.580751,17.6979,111.199,19.8745,63.0388,3.17184,94.2724,44.3994,103.76,37.0949,20.0642,24.9932,[420:136:416:136:407:144:395:143:392:147:393:154:377:166:363:168:357:175:360:183:370:187:379:184:390:185:387:176:389:169]
1493,411,135,467,191,1493,0,0,131.746,235.077,1.33579,232.214,0.589857,21.7999,136.973,37.7239,50.391,1.33579,75.1527,32.4387,88.7589,29.9941,14.0834,18.6841,[455:136:433:144:444:155:431:169:417:168:412:173:416:185:422:191:441:189:442:184:438:180:441:171:451:187:462:183:467:171:452:157:450:143]
75,344,140,366,150,75,0,0,1.31721,37.4373,5.33119,49.5686,0.61934,4.88603,30.6998,4.23227,22.563,5.33119,105.24,64.16,124.133,27.2469,27.2108,34.4133,[366:144:361:141:345:148:348:150]
379,207,143,229,169,379,0,0,21.0163,44.6741,1.45797,73.2422,0.942244,10.9836,69.012,18.1928,26.5246,1.45797,56.3061,28.314,81.8628,25.7803,10.9419,15.4866,[223:144:217:144:209:155:208:162:213:168:219:169:229:156]
102,324,147,345,162,102,0,0,2.19205,41.3386,4.34263,52.7102,0.67922,5.69804,35.8018,5.46863,23.7482,4.34263,104.873,53.3922,118.627,25.4865,26.7608,32.2733,[345:151:342:148:325:161:335:160]
34,316,148,325,153,34,0,0,1.45504,5.30621,1.90965,22.6581,0.912263,3.28976,20.6702,4.76121,9.09226,1.90965,102.971,55.6176,113.971,19.3748,12.0123,18.9574,[317:149:319:153:325:151]
65,188,155,197,172,65,0,0,1.51073,23.2599,3.92383,40.4133,0.707191,4.54864,28.58,4.59258,18.0205,3.92383,115.062,40.1385,96.9385,10.4703,4.14683,5.91706,[196:156:190:172:195:168]
286,487,155,500,182,286,26,0,11.3859,49.3742,2.08241,66.959,0.895322,9.54131,59.9498,13.2238,27.5373,2.08241,60.1259,25.493,79.7448,24.4839,12.1752,20.2578,[495:156:488:164:488:171:495:182:500:182:500:157]
1,402,156,403,157,1,0,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,164,76,152,0,0,0,[403:157]
8,398,157,402,161,8,0,0,0.21875,1.75,2.82843,11.8368,0.847064,1.59577,10.0265,1.8977,5.36751,2.82843,138.875,62.125,136.125,9.04762,3.2186,6.80877,[402:158:399:161]
322,211,183,233,205,322,0,0,13.765,48.0862,1.86905,68.4345,0.929518,10.124,63.6111,14.8106,27.6818,1.86905,77.1894,37.5093,98.5217,18.7406,9.21457,12.2551,[214:184:212:191:215:197:226:205:231:205:233:198:230:191:220:184]
