NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
420,107,0,123,33,420,10,0,16.106,73.7388,2.13971,81.8026,0.888101,11.5624,72.649,15.8089,33.8265,2.13971,58.2786,31.3429,86.1976,19.3338,11.7096,14.6655,[121:1:112:1:109:5:108:31:111:33:123:21]
254,201,0,221,22,254,7,0,9.75344,44.937,2.14646,63.5315,0.889267,8.9917,56.4965,12.2747,26.3471,2.14646,70.4252,33.0039,93.3307,20.2183,9.28868,13.4759,[205:1:202:9:214:22:219:21:221:16:213:3]
38,393,0,404,5,38,11,0,1.61521,6.7449,2.04349,25.3397,0.862375,3.4779,21.8523,4.86587,9.94336,2.04349,91.8158,45.6842,112.421,14.3653,7.92433,10.745,[394:1:398:5:404:2]
519,52,19,80,48,519,0,0,37.2847,49.1036,1.1476,86.4197,0.934492,12.8531,80.7586,23.9962,27.5381,1.1476,82.9191,39.2139,99.9615,19.9594,11.6765,17.6683,[67:20:53:36:62:47:74:48:80:42:79:35]
148,0,27,7,55,148,24,0,3.08333,47.7433,3.93502,59.6998,0.722375,6.86366,43.1257,6.9201,27.2307,3.93502,85.3446,41.5946,102.554,19.3585,10.5554,13.8872,[1:28:1:51:6:55:7:41]
915,352,32,384,77,915,0,0,52.493,128.421,1.56411,131.276,0.816828,17.0662,107.23,27.2918,42.6873,1.56411,66.9169,33.0295,90.0109,23.2646,13.7017,17.4967,[368:33:363:38:365:51:354:56:353:61:364:77:370:77:375:73:383:77:384:67:375:37]
245,430,39,448,59,245,0,0,13.3432,29.6006,1.48943,59.2792,0.936021,8.83096,55.4866,14.472,21.555,1.48943,54.8857,37.8776,96.9061,30.079,22.2035,28.9175,[446:40:441:40:431:47:431:54:437:59:448:48]
320,221,40,242,61,320,0,0,21.3696,31.6079,1.21618,65.1976,0.972631,10.0925,63.4132,18.3033,22.2602,1.21618,82.0781,47.8781,110.472,22.3951,16.8699,18.1389,[236:42:225:43:222:56:226:61:242:52:242:47]
275,117,45,135,65,275,0,0,17.1978,28.1821,1.28012,59.8346,0.982469,9.35603,58.7856,16.5385,21.1713,1.28012,82.7455,38.0545,100.018,15.1396,8.28365,11.9707,[122:46:118:50:118:56:126:65:130:65:135:60:133:49]
289,159,52,172,83,289,0,0,8.42617,64.9059,2.77541,71.7667,0.839713,9.59122,60.2634,11.5144,31.9571,2.77541,57.3356,26.1903,81.8547,21.2826,8.50982,11.1013,[164:53:160:59:163:80:169:83:172:72:168:55]
258,308,58,320,87,258,0,0,8.49641,51.2118,2.45509,66.0783,0.8617,9.06223,56.9396,11.5673,28.3987,2.45509,63.4729,40.0349,98.3295,28.384,20.0405,22.8894,[316:59:312:61:309:73:309:85:312:87:320:77:320:66]
497,324,63,341,100,497,0,0,20.6656,82.5025,1.99806,88.5064,0.892911,12.5778,79.0284,17.7963,35.558,1.99806,72.0101,38.6861,96,21.4636,16.2656,21.8897,[327:64:325:97:331:100:341:89:341:74]
329,479,68,500,96,329,4,0,16.4642,62.8834,1.95433,80.3666,0.800069,10.2335,64.2988,14.6404,28.6123,1.95433,77.6231,29.5836,85.3191,20.0538,11.0101,16.0451,[500:70:488:69:481:74:480:87:485:96:490:95:489:83]
290,427,69,445,93,290,0,0,12.4749,43.0612,1.85791,65.753,0.918097,9.6078,60.3676,14.0975,26.1919,1.85791,80.0138,43.3517,105.245,25.3603,16.0426,18.5399,[445:71:440:70:431:77:428:84:431:93:441:87:445:80]
461,196,79,227,109,461,0,0,14.7577,100.801,2.6135,92.3381,0.824279,12.1137,76.1124,14.9863,39.1667,2.6135,66.2061,24.3297,77.9002,18.6745,7.29334,12.5863,[225:81:215:80:201:95:197:109:219:97:227:89]
415,339,81,371,105,415,0,0,16.3436,82.9924,2.25344,92.8935,0.777399,11.4934,72.2153,15.3129,34.5066,2.25344,67.4651,31.8313,88.4072,25.3002,11.5636,16.4415,[371:85:364:82:356:89:349:84:340:99:340:104:355:102:369:91]
289,457,88,477,107,289,0,0,19.1794,27.7775,1.20345,61.1753,0.985093,9.59122,60.2634,17.486,21.0435,1.20345,66.782,26.2422,81.301,19.0753,8.78561,15.3107,[458:93:458:100:465:107:476:104:477:97:473:92:465:89]
798,353,100,398,138,798,0,0,26.2189,179.113,2.6137,131.181,0.763373,15.9377,100.14,19.7164,51.5329,2.6137,51.9599,29.9624,80.4211,26.5467,24.0026,29.0647,[398:104:390:101:378:114:367:112:354:137:359:138:383:130:395:116]
242,414,104,432,126,242,0,0,9.05354,41.5326,2.14183,61.4054,0.898062,8.77673,55.1458,11.9942,25.6895,2.14183,42.843,24.1074,71.5207,23.9643,15.0139,25.1202,[430:105:426:105:419:112:415:122:417:126:424:124:431:115]
