NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
505,105,0,124,34,505,12,0,20.6857,82.7006,1.99949,88.2764,0.902415,12.6786,79.6619,17.9325,35.8559,1.99949,69.602,37.0257,92.0733,32.1723,17.771,20.1554,[122:1:111:1:108:5:106:30:109:34:114:34:124:21]
24,130,0,140,3,24,10,0,0.638889,5.91667,3.04317,21.3174,0.81466,2.76395,17.3664,3.16882,9.64325,3.04317,98.125,47.0833,106.417,33.5041,15.0939,19.6,[131:1:140:1]
7,147,0,151,2,7,4,0,0.226926,1.0792,2.18076,9.71063,0.965843,1.49271,9.37894,2.02162,4.40867,2.18076,140.143,66,131.429,9.84782,8.96023,6.29869,[148:1:151:2]
151,164,0,185,12,151,21,0,8.66732,22.6069,1.61502,52.5754,0.828534,6.93288,43.5606,10.9107,17.6211,1.61502,108.907,52.702,111.623,19.6106,8.10265,13.8429,[165:1:171:12:185:2]
319,198,0,222,23,319,14,0,12.851,53.1989,2.03462,75.9237,0.833917,10.0767,63.3141,14.1289,28.747,2.03462,79.2821,36.5361,97.6364,25.8931,11.2218,15.2923,[199:1:202:3:201:9:214:23:222:19:221:13:212:1]
10,227,0,233,2,10,6,0,0.24,2.25,3.06186,12.9475,0.865802,1.78412,11.21,2.03921,6.24378,3.06186,150.8,54.2,138.1,23.0122,13.6514,17.598,[228:1:233:1]
13,261,0,268,2,13,7,0,0.243867,3.56678,3.82438,15.399,0.830012,2.03421,12.7813,2.0804,7.95623,3.82438,121,48.5385,115.231,8.97004,4.19918,6.33857,[262:1:268:2]
4,316,0,318,2,4,2,0,0.25,0.25,1,6.47375,1.09516,1.12838,7.08982,2.25676,2.25676,1,123.5,63,143.25,4.15331,5.74456,4.3229,[317:1]
4,375,0,378,2,4,3,0,0.1875,0.5,1.63299,7.25915,0.976673,1.12838,7.08982,1.76601,2.88388,1.63299,135.75,84.75,134.25,10.5919,5.01871,5.21416,[376:1]
4,383,0,386,2,4,3,0,0.1875,0.5,1.63299,7.25915,0.976673,1.12838,7.08982,1.76601,2.88388,1.63299,132.5,46.5,121.75,13.1244,8.17007,10.7092,[384:1]
58,392,0,407,6,58,15,0,2.41303,11.3257,2.16646,33.1542,0.814293,4.29674,26.9972,5.8384,12.6487,2.16646,103.672,51.7241,117.966,21.6822,11.7191,13.1358,[393:1:398:6:407:1]
17,441,0,449,3,17,8,0,0.556344,3.65819,2.56425,17.5251,0.834003,2.32621,14.616,2.90535,7.45007,2.56425,100.588,43.5882,101.412,19.1067,14.0966,22.651,[442:1:449:1]
12,485,0,492,2,12,7,0,0.243056,3.16667,3.60951,14.8436,0.827286,1.95441,12.2799,2.05741,7.42626,3.60951,119.667,45.5833,109.25,18.5083,17.83,15.9223,[486:1:492:1]
