NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
250,0,0,14,29,250,42,0,8.65567,61.1285,2.65749,77.7803,0.720618,8.92062,56.0499,10.9443,29.0844,2.65749,76.236,31.364,85.928,34.9232,17.9403,26.706,[14:1:1:1:1:29:11:20:8:5]
135,60,0,73,14,135,10,0,7.99892,14.8624,1.3631,42.8648,0.960884,6.55529,41.1881,11.2294,15.3069,1.3631,140.081,80.7333,138.156,25.1732,25.677,22.3106,[73:1:64:1:61:10:65:14:71:10]
1042,58,0,97,59,1042,8,0,40.8918,301.221,2.71409,165.311,0.69221,18.2121,114.43,22.1094,60.0069,2.71409,87.6344,44.1459,102.286,38.3942,26.0385,26.5575,[92:1:85:1:86:13:81:33:71:33:60:41:59:51:69:59:78:59:87:52:90:44:88:33:97:20:97:9]
133,95,0,125,9,133,20,0,4.20281,50.2853,3.459,66.8637,0.611421,6.50655,40.8819,6.9969,24.2023,3.459,126.353,47.3609,104.496,21.9553,18.7678,23.8311,[96:2:106:9:119:1:125:1]
157,130,0,151,12,157,21,0,8.11941,24.1204,1.72358,56.923,0.780309,7.06928,44.4176,10.7694,18.5618,1.72358,120.14,56.2675,115.389,28.1869,22.0856,24.3084,[131:1:134:1:141:10:151:10:151:1]
1472,168,0,248,34,1472,43,0,62.1232,609.479,3.13222,255.158,0.533028,21.6461,136.006,24.4615,76.6188,3.13222,108.442,47.6365,108.551,36.2011,20.734,23.4097,[169:5:169:11:173:16:170:28:176:34:185:27:203:25:210:21:241:25:248:15:242:1:236:1:221:14:200:20:191:18:190:14:206:5:208:1:173:1]
1475,288,0,368,43,1475,50,0,89.1936,373.127,2.04532,267.225,0.509477,21.6681,136.145,30.3019,61.9772,2.04532,91.3342,44.7776,102.106,50.0569,27.5534,33.2513,[289:41:293:43:308:36:315:36:324:29:346:29:354:22:353:12:365:7:368:1:348:1:350:7:338:14:333:22:333:11:325:1:297:1:309:8:313:21:296:31]
2568,359,0,433,53,2568,31,0,130.291,443.409,1.84478,286.416,0.627199,28.5906,179.64,42.0998,77.665,1.84478,76.6098,39.6199,93.2582,45.7137,28.2663,35.4336,[433:5:428:1:417:1:415:4:410:1:392:1:396:16:386:25:381:23:377:14:370:12:363:19:361:50:364:53:371:53:379:48:387:50:405:44:416:45:428:34:425:20:431:14]
1111,433,0,470,43,1111,17,0,75.3676,118.979,1.25644,137.75,0.857771,18.8054,118.158,33.5537,42.1583,1.25644,74.2763,34.0675,88.8425,48.3165,25.803,31.8626,[443:1:446:7:434:23:434:35:443:43:452:43:467:35:470:23:459:16:459:1]
456,461,0,500,16,456,45,0,16.3349,92.6099,2.38106,91.5133,0.827186,12.0478,75.6985,15.6154,37.1811,2.38106,77.4013,43.4474,97.3553,43.4092,33.5091,35.9439,[462:1:468:10:482:16:487:16:500:7:500:1]
