NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
177,0,0,10,24,177,26,0,5.55254,40.7431,2.70883,57.2484,0.823813,7.50605,47.1619,9.12118,24.7077,2.70883,56.6893,22.339,74.8757,15.1736,8.92076,19.4529,[1:1:1:24:6:24:10:18:6:4]
256,414,0,432,18,256,10,0,19.089,22.0348,1.07439,57.7084,0.982846,9.02703,56.7185,17.4178,18.7136,1.07439,33.0508,18.7773,67.7617,18.6912,13.1625,23.6247,[418:1:415:13:425:18:431:12:432:5:427:1]
225,476,0,500,15,225,23,0,12.0921,32.2843,1.63397,62.8414,0.846155,8.46284,53.1736,13.2411,21.6356,1.63397,45.3156,23.6978,73.6489,20.8195,15.1724,20.3513,[477:10:484:15:500:1:478:1]
105,85,7,96,20,105,0,0,7.22933,9.78582,1.16346,37.1764,0.977084,5.78122,36.3245,10.7195,12.4717,1.16346,65.7333,35.7429,95.5524,16.5439,15.162,16.1552,[90:8:86:17:93:20:96:13]
133,228,11,243,23,133,0,0,7.46598,15.3886,1.43567,42.8648,0.95374,6.50655,40.8819,10.8606,15.5922,1.43567,59.8722,26.1955,85.203,13.0519,7.9703,12.8296,[229:14:230:19:241:23:243:16:240:13]
244,335,11,353,29,244,0,0,15.5124,24.5482,1.25797,56.0424,0.98806,8.81292,55.3732,15.715,19.769,1.25797,37.877,22.0615,71.168,25.9792,18.3211,29.811,[350:12:342:13:336:18:336:24:341:29:353:22]
685,435,11,469,40,685,0,0,41.3777,79.3358,1.38469,101.359,0.915355,14.7663,92.7791,25.0972,34.7517,1.38469,41.2394,18.7022,69.438,20.6164,12.3188,17.8669,[438:17:437:32:443:40:451:36:463:37:469:29:469:23:464:19:457:19:445:12]
316,363,12,380,36,316,0,0,17.5149,36.6415,1.44638,64.9676,0.969955,10.0293,63.0157,16.6785,24.1235,1.44638,39.462,19.2405,69.3006,21.306,13.7295,20.9905,[370:13:364:19:364:31:368:36:373:36:378:30:380:19]
407,294,13,329,38,407,0,0,12.2292,102.577,2.89617,90.442,0.790737,11.3821,71.5158,13.3764,38.7404,2.89617,50.1695,24.059,79.8526,20.3568,12.0721,18.3644,[329:18:320:14:295:36:302:38:319:33]
249,411,19,427,40,249,0,0,15.3575,27.7759,1.34485,60.1599,0.929817,8.90276,55.9377,15.3539,20.6486,1.34485,45.0843,24.9759,80.3815,23.209,15.0666,24.5464,[417:20:412:33:413:40:422:39:427:34:426:25]
373,379,26,405,46,373,0,0,19.4578,46.9385,1.55316,72.7821,0.940665,10.8963,68.4635,17.4864,27.1593,1.55316,41.3298,18.3244,62.7105,14.7381,7.53255,14.2683,[404:28:382:31:381:42:387:46:397:43:404:35]
229,484,28,500,44,229,15,0,16.2646,21.2634,1.14339,55.1222,0.973187,8.53774,53.6442,15.9689,18.2587,1.14339,45.8559,23.1441,78.3755,15.5241,9.32252,16.064,[486:33:487:44:500:43:500:29:492:29]
419,60,33,83,58,419,0,0,30.7209,37.1498,1.09967,74.3529,0.97592,11.5487,72.5625,22.0258,24.221,1.09967,57.3174,27.4081,84.5656,18.0291,12.435,15.982,[78:35:69:35:61:41:64:53:69:58:75:58:83:47]
356,196,53,219,72,356,0,0,22.5137,36.2694,1.26925,67.9744,0.983976,10.6451,66.8852,18.8976,23.9858,1.26925,59.2275,27.1067,85.5871,19.4209,11.2139,17.7857,[197:60:199:70:210:72:219:69:218:59:211:54]
204,394,55,413,70,204,0,0,10.6293,25.1915,1.53948,52.8055,0.958829,8.05824,50.6314,12.9892,19.9967,1.53948,42.5931,19.3873,70.098,19.197,9.97212,17.5538,[411:56:401:58:395:66:400:70:409:68:413:64]
229,15,60,36,74,229,0,0,10.7361,31.4507,1.71156,56.3677,0.951684,8.53774,53.6442,13.052,22.3393,1.71156,38.179,21.9913,70.3406,24.8402,16.927,28.4181,[16:64:24:74:36:73:36:66:33:63:21:61]
325,223,68,247,86,325,0,0,19.9653,34.3937,1.3125,65.1976,0.9802,10.1711,63.9067,17.756,23.3049,1.3125,40.7908,22.5723,73.4338,25.5964,16.018,27.5304,[232:69:226:75:224:83:239:86:247:76:238:69]
268,6,71,27,98,268,0,0,7.50712,70.2238,3.05848,73.7975,0.786376,9.23618,58.0326,10.5626,32.3054,3.05848,54.0149,26.0634,83.2239,21.337,11.4236,18.0112,[9:72:7:78:14:84:15:92:25:98:25:86:13:72]
482,63,71,97,93,482,0,0,17.5694,88.5621,2.24515,88.9665,0.874786,12.3865,77.8267,16.5332,37.1194,2.24515,47.0975,20.0809,73.1245,19.3473,9.89906,16.786,[64:74:65:80:82:92:93:93:97:90:97:85:90:76:72:72]
567,130,77,163,100,567,0,0,26.8933,77.3081,1.69547,90.0772,0.937091,13.4343,84.4105,20.6349,34.9858,1.69547,43.5309,18.9136,70.642,19.5153,10.5306,18.5475,[131:82:132:91:145:99:157:99:162:95:162:85:154:80:134:78]
259,169,84,189,100,259,0,0,16.7902,25.3178,1.22796,56.5977,1.00799,9.07977,57.0499,16.3875,20.1232,1.22796,54.5483,25.7413,84.1236,19.6967,12.9379,17.3515,[175:85:170:90:170:95:176:100:185:100:189:95:188:89:182:85]
258,287,86,309,102,258,0,0,14.0513,30.463,1.47241,59.8346,0.951618,9.06223,56.9396,14.9366,21.9927,1.47241,36.6589,17.2829,64.4264,21.0122,11.5,20.6706,[309:92:297:87:289:93:288:99:299:102:308:97]
190,31,88,45,104,190,0,0,12.402,18.7021,1.228,49.6639,0.983878,7.77682,48.8632,14.0356,17.2358,1.228,53.5421,28.1,90.5895,20.0265,11.4885,17.3023,[34:89:32:101:35:104:43:104:44:93]
202,113,89,131,105,202,0,0,13.8184,19.1789,1.1781,52.2501,0.964258,8.01864,50.3826,14.7754,17.4069,1.1781,32.797,15.9802,62.2079,18.5193,9.47741,17.9782,[121:90:114:96:115:101:126:105:131:101:131:97:126:91]
765,201,89,256,106,765,0,0,18.2885,220.536,3.47257,125.873,0.778936,15.6047,98.0473,16.7479,58.1582,3.47257,48.3699,24.2314,79.8562,24.8514,16.4017,25.5834,[202:95:202:102:208:106:256:103:252:95:232:93:228:90:207:90]
295,479,92,500,113,295,10,0,13.5731,41.6853,1.75247,64.6423,0.941888,9.69027,60.8858,14.64,25.6562,1.75247,50.0644,27.4169,83.6712,25.1532,20.2372,25.35,[499:93:491:93:480:104:483:112:488:113:500:103]
2,92,94,93,96,2,0,0,0,0.25,0,4.57764,1.09516,0.797885,5.01326,0,0,0,67.5,28.5,76,3.5,0.5,6,[93:95]
233,307,100,327,117,233,0,0,12.3384,29.8694,1.55591,57.9385,0.933933,8.61198,54.1107,13.8083,21.4845,1.55591,39.691,20.9227,74.9914,22.4866,12.2265,18.6384,[308:104:310:112:315:117:327:114:318:101]
200,84,102,103,117,200,0,0,10.7347,24.3357,1.50566,52.2501,0.959473,7.97885,50.1326,13.0049,19.5809,1.50566,36.365,21.805,68.495,25.6654,20.6591,34.5385,[85:106:86:111:92:116:97:117:103:112:102:107:92:103]
526,266,108,303,132,526,0,0,36.1196,80.6134,1.49394,115.282,0.705238,12.9395,81.3014,21.173,31.6311,1.49394,54.0456,22.943,76.597,18.3078,9.37113,15.1208,[267:117:286:119:278:127:280:132:289:132:303:125:302:115:298:111:270:109]
196,240,109,267,117,196,0,0,4.96356,50.9926,3.20521,60.2552,0.823642,7.89865,49.6287,8.82378,28.2821,3.20521,52.4439,26.301,82.8776,26.0594,18.1368,29.2898,[241:113:244:117:264:117:267:110:244:110]
334,105,116,152,126,334,0,0,4.72176,169.531,5.99202,99.423,0.651615,10.3109,64.7856,8.42445,50.4795,5.99202,50.6527,25.2246,82.7814,26.1876,14.7883,26.3889,[106:120:110:124:142:126:152:122:147:118:112:117]
227,72,146,97,159,227,0,0,8.44283,41.151,2.20773,60.9453,0.87635,8.50037,53.4094,11.4418,25.2604,2.20773,54.2731,23.6167,79.3348,21.6688,10.8878,15.4729,[73:150:73:153:82:159:97:155:96:151:83:147]
857,263,162,303,206,857,0,0,35.2017,184.76,2.29098,157.631,0.658345,16.5164,103.776,21.824,49.9984,2.29098,53.6966,26.1984,82.5671,28.575,16.8966,22.4891,[299:163:286:164:283:172:275:172:277:178:285:185:274:185:267:189:264:196:268:205:275:205:285:196:295:193:296:186:292:177:303:171]
399,437,177,469,195,399,0,0,18.1655,63.4861,1.86946,81.4773,0.86907,11.2697,70.8095,16.4848,30.8176,1.86946,51.8897,25.5965,80.5288,25.2361,13.4379,21.2247,[438:191:443:195:457:194:469:182:444:178:439:182]
318,136,180,177,189,318,0,0,5.36859,125.548,4.83586,88.1416,0.717195,10.0609,63.2148,9.15022,44.2492,4.83586,44.1541,20.8365,72.956,17.9767,10.1147,17.1063,[177:184:172:181:143:182:138:184:137:188:174:189]
424,179,187,207,209,424,0,0,27.1289,43.7343,1.26968,78.1451,0.934084,11.6174,72.9941,20.6201,26.1809,1.26968,44.8302,22.8538,74.9906,22.5324,14.7601,23.9761,[190:188:183:193:180:202:196:209:205:203:207:193]
221,140,192,166,203,221,0,0,6.8701,47.8917,2.64027,61.826,0.852374,8.38728,52.6988,10.3235,27.2568,2.64027,42.3213,22.9321,72.4118,21.9821,16.5163,27.4701,[141:195:144:201:166:201:160:193]
238,285,199,312,211,238,0,0,8.91164,43.2531,2.20308,63.6268,0.859514,8.70389,54.6882,11.7281,25.838,2.20308,42.4874,19.5336,74.584,21.0858,10.4574,18.9652,[286:205:293:211:312:209:304:200:295:200]
234,202,203,221,220,234,0,0,11.5316,30.5473,1.62757,57.1531,0.948797,8.63044,54.2267,13.5298,22.0208,1.62757,42.0684,23.0171,71.547,27.6655,20.1129,29.2173,[221:206:209:205:203:210:203:218:207:220:221:212]
373,79,205,117,226,373,0,0,16.357,84.7151,2.27577,99.0024,0.691534,10.8963,68.4635,14.4459,32.8756,2.27577,67.7265,34.0938,94.2252,22.8062,13.2752,16.7383,[117:212:108:209:107:206:103:210:80:211:86:218:86:226]
210,124,205,142,222,210,0,0,13.4031,23.978,1.33753,56.3677,0.911348,8.17588,51.3706,14.1388,18.9111,1.33753,48.3476,26.4095,77.6381,27.6133,19.7275,27.4345,[126:207:125:215:138:222:142:210:138:207]
281,255,207,283,223,281,0,0,9.19183,60.1861,2.55886,70.6559,0.841026,9.45754,59.4235,11.8246,30.2574,2.55886,42.7331,18.1744,71.3843,20.8261,9.0986,17.6803,[283:210:277:208:269:212:256:214:256:219:262:223:275:220:281:216]
222,313,214,337,227,222,0,0,7.70071,43.0147,2.36343,60.1599,0.877959,8.40624,52.8179,10.936,25.8466,2.36343,36.9099,18.8108,66.5135,22.1604,13.5008,24.3251,[337:216:317:217:314:225:328:226:337:219]
521,459,215,492,241,521,0,0,28.7323,69.6948,1.55745,90.212,0.896932,12.8779,80.914,20.6379,32.1426,1.55745,44.9578,18.7332,69.3666,17.9771,8.88008,15.5507,[460:219:468:235:475:241:484:239:492:227:487:222:476:221:469:216]
247,151,216,171,232,247,0,0,13.6475,28.3811,1.44208,57.1531,0.974796,8.86694,55.7126,14.7676,21.296,1.44208,40.7733,21.3927,66.8704,22.1108,17.3561,23.6152,[152:220:152:225:159:231:171:229:170:222:164:217:155:217]
356,0,218,34,233,356,4,0,11.7183,77.0897,2.56487,80.9219,0.82654,10.6451,66.8852,13.2937,34.0967,2.56487,54.8596,23.8904,80.7725,19.4549,9.02287,14.3045,[34:226:19:219:5:225:1:232:30:232]
492,292,234,331,258,492,0,0,13.6951,121.65,2.98039,98.9072,0.794987,12.5143,78.6299,14.4978,43.209,2.98039,50.5894,21.5244,75.5894,18.1018,9.08034,15.5582,[331:237:320:236:306:246:296:248:293:255:306:258:321:252:331:241]
348,24,245,49,263,348,0,0,20.4092,40.0454,1.40076,70.1006,0.94335,10.5248,66.1294,17.7854,24.913,1.40076,50.5632,23.8937,79.0977,21.7397,11.9464,21.9683,[25:255:32:261:42:263:48:257:49:248:28:246]
321,420,263,443,281,321,0,0,20.1874,32.781,1.2743,64.9676,0.977599,10.1083,63.5122,17.909,22.8214,1.2743,43.0685,18.972,71.2087,15.1374,9.52759,16.4356,[423:267:421:273:431:281:441:279:443:269:439:265]
476,450,263,482,285,476,0,0,22.4867,74.6143,1.82158,87.8558,0.880315,12.3092,77.3408,18.2404,33.2263,1.82158,56.2269,23.771,80.6534,16.5542,6.98739,10.533,[451:267:452:273:463:276:472:285:476:285:482:278:481:269:475:264:455:264]
178,74,271,93,284,178,0,0,8.22137,24.9072,1.74056,50.6793,0.93322,7.52723,47.295,11.4109,19.8614,1.74056,53.8258,22.4831,77,21.8508,11.9236,20.3619,[93:274:82:273:75:280:80:284:89:283:93:279]
355,421,283,450,303,355,0,0,13.9505,61.461,2.09896,76.249,0.875961,10.6301,66.7912,14.6746,30.8015,2.09896,64.8958,26.6282,85.5549,14.6159,6.0957,9.37658,[449:284:424:292:423:300:426:303:438:302:450:288]
323,357,285,383,306,323,0,0,13.3262,51.7119,1.96989,70.7907,0.899974,10.1397,63.7098,14.4489,28.4628,1.96989,49.6904,22.1703,80.0526,19.7245,11.3421,15.4196,[359:289:358:292:369:304:379:306:383:303:372:287]
368,121,297,143,319,368,0,0,22.4483,39.3063,1.32324,74.6782,0.910615,10.823,68.0031,18.8174,24.8999,1.32324,52.5245,23.663,76.4946,17.1535,8.69755,12.9245,[125:299:122:302:122:311:130:319:131:316:141:318:143:310:137:299]
591,366,318,407,345,591,0,0,27.0829,97.2526,1.89497,103.945,0.829078,13.7157,86.1784,19.9273,37.7616,1.89497,55.9036,23.7834,79.0474,17.3445,8.28064,16.0034,[407:325:393:319:381:327:367:330:379:345:385:345:398:334:405:332]
597,219,323,254,354,597,0,0,29.3799,98.158,1.82784,105.056,0.824466,13.7852,86.6148,20.3926,37.2744,1.82784,44.4087,21.6549,75.3936,21.7464,13.3403,20.8626,[220:334:220:339:229:350:247:354:254:352:253:346:236:334:236:324]
561,287,323,318,350,561,0,0,36.7303,58.0594,1.25726,96.781,0.867553,13.3631,83.9627,23.8355,29.9674,1.25726,51.0214,25.795,78.8645,25.7387,16.9042,26.0754,[315:326:308:324:292:331:288:337:296:346:294:350:313:349:314:340:318:335]
280,127,325,148,344,280,0,0,15.0516,33.9048,1.50086,61.9607,0.957342,9.4407,59.3177,15.4122,23.1315,1.50086,50.5214,24.3536,76.8929,21.7201,12.5834,21.6682,[128:327:131:337:136:342:142:344:147:340:148:335:143:328]
358,262,337,293,354,358,0,0,15.4127,58.4994,1.94821,78.4705,0.854752,10.675,67.0728,15.296,29.7999,1.94821,51.5363,23.6201,79.7821,20.8959,12.3171,18.0364,[293:346:286:338:269:339:263:344:263:350:268:354:277:354:284:348]
344,315,338,343,352,344,0,0,14.0336,55.5239,1.98909,72.6473,0.905033,10.4642,65.7482,14.8391,29.5163,1.98909,43.189,20.3314,72.7965,25.1853,14.5654,21.5115,[317:341:316:350:319:352:343:350:343:344:338:339]
358,204,349,221,375,358,0,0,19.3347,43.8003,1.50511,69.8705,0.959958,10.675,67.0728,17.4025,26.1928,1.50511,34.7123,17.2374,64.8017,18.4442,11.7764,21.2902,[212:350:206:359:205:369:219:375:221:356:216:350]
207,74,350,101,366,207,0,0,5.9012,63.6716,3.28475,69.5452,0.733369,8.11727,51.0023,8.95754,29.4233,3.28475,65.6715,30.0821,91.029,17.2777,7.92343,9.81417,[75:352:77:356:85:358:93:365:101:365:98:355:90:356]
933,452,350,500,387,933,9,0,39.9435,195.592,2.21285,141.312,0.766244,17.2332,108.279,23.1696,51.2711,2.21285,43.2551,17.3612,61.5155,13.6683,6.13437,10.8006,[457:352:453:357:453:364:460:372:468:374:478:371:484:387:489:387:500:370:500:362:478:360:465:351]
