NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
178,0,0,10,24,178,26,0,5.58421,40.822,2.70375,57.2484,0.826137,7.52723,47.295,9.1555,24.7542,2.70375,57.0562,22.4888,75.0787,15.8988,9.11613,19.5851,[1:1:1:24:6:24:10:18:6:4]
137,173,0,192,9,137,19,0,5.99565,21.9687,1.91418,46.427,0.893706,6.60367,41.4921,9.54605,18.2729,1.91418,62.3723,26.219,83.5693,16.3408,6.92263,8.18472,[174:5:178:9:186:9:192:1:174:1]
261,414,0,432,18,261,11,0,18.8533,23.1223,1.10744,57.7084,0.992398,9.11476,57.2697,17.3227,19.1839,1.10744,33.6552,19.2146,68.2912,18.9281,13.3941,23.7622,[418:1:415:14:425:18:430:14:432:5:428:1]
374,463,0,500,15,374,38,0,14.2058,75.7957,2.30988,85.2695,0.803983,10.9109,68.5553,14.3581,33.1655,2.30988,63.1898,32.5107,86.9278,30.3517,20.9012,27.0238,[464:1:472:12:483:15:488:14:500:2]
139,85,6,96,21,139,0,0,7.87471,15.9119,1.42149,43.1901,0.967671,6.6517,41.7938,11.1581,15.8611,1.42149,69.7914,38.5971,99.5108,17.7284,15.3626,17.1596,[88:7:86:18:94:21:96:11]
221,225,10,245,24,221,0,0,12.8121,24.7405,1.38961,54.4716,0.967456,8.38728,52.6988,14.23,19.7742,1.38961,70.9412,32.5656,94.4434,22.6446,14.541,20.1284,[227:14:226:19:234:24:241:24:245:17:241:11]
245,335,11,353,29,245,0,0,15.4588,24.8258,1.26725,56.0424,0.990083,8.83096,55.4866,15.6894,19.8825,1.26725,38.1265,22.1878,71.4571,26.2174,18.3898,30.0909,[350:12:342:13:336:18:336:25:341:29:353:22]
702,435,11,469,41,702,0,0,43.6741,78.409,1.3399,102.144,0.919519,14.9484,93.9233,25.8278,34.6066,1.3399,42.312,19.0755,70,21.6044,12.4921,18.1032,[438:17:437:32:445:41:451:36:463:37:469:30:469:23:464:19:446:12]
524,361,12,380,52,524,0,0,16.2752,127.202,2.79565,102.239,0.793693,12.9149,81.1466,15.4482,43.1879,2.79565,56,25.1469,79.9542,28.7144,15.6241,25.0055,[372:13:364:19:364:52:376:49:373:39:380:19]
415,294,13,329,38,415,0,0,12.4374,104.603,2.90007,90.9974,0.793597,11.4934,72.2153,13.4982,39.1456,2.90007,50.8819,24.4241,80.1976,20.8778,12.3816,18.4921,[328:16:320:14:295:36:302:38:319:33:328:23]
266,410,19,427,41,266,0,0,15.549,31.4384,1.42193,62.2861,0.928228,9.20165,57.8157,15.4332,21.945,1.42193,47.4211,26.3233,82.2331,24.6603,15.5581,24.9723,[418:20:415:21:411:35:413:41:420:40:427:34:427:26]
146,471,19,482,40,146,0,0,4.17566,35.4547,2.9139,52.3454,0.818282,6.81713,42.8333,7.9872,23.2739,2.9139,88.6712,50.2877,113.904,18.09,21.8579,24.5266,[481:20:475:22:472:31:474:40:478:37]
497,379,21,408,47,497,0,0,27.0762,67.2714,1.57624,89.5218,0.882783,12.5778,79.0284,20.0365,31.5823,1.57624,47.7324,21.2817,65.5775,18.7955,9.76243,16.3248,[408:23:402:22:391:29:383:29:380:34:381:42:388:47:401:45]
261,483,27,500,45,261,15,0,17.9689,24.6412,1.17104,58.5891,0.977481,9.11476,57.2697,16.8457,19.727,1.17104,49.8161,24.7471,80.5211,18.8482,10.2174,16.3935,[500:29:492:28:486:32:484:40:487:45:500:43]
464,60,33,85,58,464,0,0,33.1631,41.8545,1.12342,78.1451,0.977152,12.153,76.3596,22.932,25.7624,1.12342,59.8211,28.4073,85.8362,19.2803,12.7832,16.1715,[64:37:61:45:69:58:78:58:85:52:82:39:78:35]
404,196,53,220,74,404,0,0,27.4143,38.0888,1.17872,71.9967,0.989653,11.3401,71.2518,20.8901,24.6235,1.17872,61.8589,28.5767,86.9035,20.0987,11.5148,17.6915,[197:60:197:69:204:74:220:70:218:59:211:54:203:55]
204,394,55,413,70,204,0,0,10.6293,25.1915,1.53948,52.8055,0.958829,8.05824,50.6314,12.9892,19.9967,1.53948,42.5931,19.3873,70.098,19.197,9.97212,17.5538,[411:56:401:58:395:66:400:70:409:68:413:64]
235,15,60,37,74,235,0,0,10.7642,32.7341,1.74385,57.1531,0.950822,8.64886,54.3424,13.0989,22.8425,1.74385,39.3745,22.4468,71.0681,25.8102,16.9766,28.4456,[16:64:24:74:37:72:33:63:21:61]
344,223,68,250,86,344,0,0,19.3507,41.2432,1.45992,70.3306,0.934845,10.4642,65.7482,17.3209,25.287,1.45992,42.8314,23.6105,74.8895,26.6824,16.438,27.686,[224:83:239:86:250:77:238:69:232:69:225:77]
281,5,70,27,98,281,0,0,7.71844,75.4139,3.1258,75.3683,0.788441,9.45754,59.4235,10.6986,33.4417,3.1258,55.3025,26.8185,84.4947,21.9241,11.9307,19.0463,[8:72:6:77:15:86:15:92:25:98:25:86:12:71]
639,56,71,101,96,639,0,0,19.7037,150.821,2.76668,111.855,0.801127,14.2618,89.6098,17.1485,47.4444,2.76668,54.4413,23.0532,77.2598,22.1951,11.1258,17.442,[58:76:59:84:71:83:76:89:96:96:101:90:91:76:64:72]
846,113,76,163,105,846,0,0,34.7886,175.547,2.24636,134.187,0.768384,16.4101,103.107,21.8978,49.1903,2.24636,45.6903,20.5189,71.8322,25.4869,12.8058,21.1434,[163:86:154:80:136:77:114:95:115:101:126:105:131:101:133:94:147:100:157:99:163:92]
261,169,84,189,100,261,0,0,16.849,25.6345,1.23346,57.1531,1.00204,9.11476,57.2697,16.4139,20.2459,1.23346,54.8314,25.9272,84.2797,19.9052,13.075,17.3958,[175:85:170:90:170:95:176:100:185:100:189:90:185:86]
