NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
1101,47,0,115,26,1101,35,0,35.3052,240.711,2.61113,154.029,0.763651,18.7206,117.625,23.1704,60.5011,2.61113,120.809,93.1235,160.876,33.5527,27.3871,20.3647,[48:1:66:17:92:26:105:24:115:12:112:7:107:8:95:3]
288,252,0,297,8,288,44,0,4.107,139.522,5.82853,93.2746,0.644967,9.57461,60.1591,7.9318,46.2307,5.82853,147.927,93.6701,168.222,23.2234,17.9025,16.1191,[253:1:261:6:291:8:297:4:296:1]
269,322,0,353,14,269,24,0,8.80756,61.4459,2.64131,72.5521,0.801367,9.2534,58.1408,11.3873,30.0774,2.64131,99.7435,67.8625,136.859,46.7656,39.3181,37.829,[323:1:343:14:353:12:346:1]
428,360,0,402,23,428,11,0,9.77583,123.234,3.5505,99.3672,0.738046,11.672,73.3376,12.3889,43.9867,3.5505,156.89,97.7126,168.262,15.0355,12.7614,12.9256,[361:1:384:20:398:23:402:20:398:14:384:5]
115,412,0,433,9,115,21,0,5.5715,21.6386,1.97074,48.5532,0.782954,6.05026,38.0149,8.61965,16.9871,1.97074,159.261,105.374,173.983,15.6977,14.5587,16.9982,[413:3:419:9:423:9:433:1]
196,450,0,475,10,196,25,0,7.29157,37.8278,2.27769,58.0338,0.85517,7.89865,49.6287,10.4673,23.8413,2.27769,96.6735,66.449,138.077,35.5521,28.8301,24.3258,[451:1:458:10:467:10:475:2]
977,442,12,497,61,977,0,0,23.1102,337.575,3.82193,166.136,0.666944,17.6349,110.803,18.041,68.9515,3.82193,130.76,91.5486,162.606,34.1356,25.098,21.1847,[443:16:445:24:463:46:471:43:476:45:476:56:479:59:494:61:497:58:478:31:466:31:462:27:463:22:449:13]
402,0,20,33,42,402,16,0,13.3188,102.084,2.76851,91.1879,0.779436,11.312,71.0752,13.5971,37.6436,2.76851,135.124,107.142,169.667,34.6937,25.0873,16.9985,[1:21:1:36:16:37:23:42:29:42:33:38:29:30:18:31:8:22]
822,318,27,391,58,822,0,0,11.1513,417.026,6.1153,164.985,0.61602,16.1756,101.634,13.0822,80.0018,6.1153,141.619,106.418,171.625,37.601,30.0372,26.8695,[319:32:328:42:383:58:391:55:386:49:347:37:343:33:335:33:326:28]
759,245,31,283,64,759,0,0,30.2579,122.13,2.00905,106.856,0.913956,15.5434,97.662,21.9321,44.0627,2.00905,108.542,84.8735,149.93,38.0323,33.9373,31.6792,[253:32:246:40:251:50:264:60:279:64:283:59:283:52:259:32]
1136,0,45,39,84,1136,19,0,73.1172,123.063,1.29734,135.163,0.883964,19.0158,119.48,33.3901,43.3182,1.29734,123.163,87.6514,157.039,40.7289,32.9907,29.2642,[37:54:32:49:21:46:5:49:3:59:7:65:1:66:1:84:20:83:27:74:35:70:39:62]
424,52,49,86,71,424,0,0,13.1134,90.2788,2.62383,86.1897,0.846901,11.6174,72.9941,14.344,37.6362,2.62383,163.316,129.094,184.667,14.2483,15.6421,14.8044,[86:52:79:50:54:62:53:67:58:71:70:69:86:56]
522,345,51,382,74,522,0,0,18.7767,95.1054,2.25057,92.6634,0.874041,12.8902,80.9916,17.1848,38.6756,2.25057,154.49,116.125,180.033,22.7913,20.2107,18.2129,[346:56:347:60:363:73:382:70:378:61:361:53:351:52]
599,167,58,204,83,599,0,0,23.9636,98.4352,2.02675,95.9003,0.904687,13.8082,86.7598,19.3985,39.3159,2.02675,120.224,88.7262,156.466,29.3289,25.0285,18.1263,[168:65:170:73:178:79:195:83:204:80:201:73:183:59:173:59]
381,395,74,421,95,381,0,0,24.8183,37.799,1.23411,70.7907,0.977443,11.0125,69.1938,19.8263,24.4678,1.23411,132.667,104.105,168.517,22.7453,21.6923,17.4498,[404:75:396:86:400:92:411:95:421:86:421:82:415:77]
184,253,80,275,91,184,0,0,6.7933,33.2722,2.2131,54.4716,0.882763,7.65304,48.0855,10.2888,22.7701,2.2131,155.462,115.13,175.38,21.0813,23.3614,19.5892,[254:85:258:91:275:89:273:84:261:81]
1844,423,82,498,128,1844,0,0,114.839,278.498,1.55728,212.888,0.715046,24.2273,152.225,38.8287,60.467,1.55728,123.509,89.1117,159.155,32.5685,26.9925,22.522,[424:112:436:121:460:128:465:125:469:111:485:119:494:119:498:116:495:107:484:99:474:86:461:83:445:86:449:103:429:107]
821,82,101,119,133,821,0,0,50.1997,94.4438,1.37163,108.618,0.935138,16.1658,101.573,27.6063,37.8656,1.37163,143.592,103.418,169.915,28.5084,22.6923,18.6272,[117:106:90:103:84:110:85:129:91:133:101:131:117:116]
