NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
1044,58,0,115,26,1044,21,0,35.6917,205.086,2.39709,137.29,0.834291,18.2295,114.539,23.5485,56.4479,2.39709,117.943,90.9243,159.438,31.9267,26.2458,19.7805,[59:1:61:12:81:24:103:25:115:12:111:7:106:8:95:3]
196,265,0,297,8,196,31,0,4.15501,64.5552,3.94166,68.0697,0.729087,7.89865,49.6287,7.95689,31.3634,3.94166,139.832,87.7194,164.423,21.8522,16.8389,14.8931,[266:1:270:5:291:8:297:4:296:1]
239,322,0,351,14,239,23,0,8.40918,52.767,2.50498,68.2045,0.80351,8.72216,54.8029,11.0218,27.6094,2.50498,92.7029,63.6402,133.192,44.8534,39.6577,38.4965,[323:1:343:14:351:10:345:1]
197,450,0,475,10,197,25,0,7.39368,37.7743,2.26031,58.0338,0.857348,7.91878,49.7552,10.5343,23.8107,2.26031,97.0203,66.6396,138.208,35.7927,28.8804,24.3338,[451:1:458:10:468:10:475:2]
125,381,11,398,21,125,0,0,4.91406,20.2897,2.03197,42.8648,0.924611,6.30783,39.6333,8.85017,17.9833,2.03197,149.296,92.128,166.728,12.699,11.9432,12.2855,[382:14:386:20:398:20:389:12]
945,442,12,497,61,945,0,0,21.7711,340.743,3.95615,166.691,0.653745,17.3437,108.973,17.4395,68.9934,3.95615,129.292,90.6169,161.958,33.4932,24.794,20.9767,[443:16:445:24:462:46:475:43:479:59:494:61:497:58:478:32:464:30:463:23:449:13]
405,0,20,33,42,405,16,0,13.4322,101.494,2.74882,91.1879,0.782339,11.3541,71.3399,13.6965,37.6492,2.74882,135.551,107.449,169.862,34.9166,25.2477,17.0906,[1:21:1:36:16:37:23:42:29:42:33:38:29:30:18:31:8:22]
759,245,31,283,64,759,0,0,30.2033,122.484,2.01378,107.967,0.904553,15.5434,97.662,21.9064,44.1145,2.01378,108.46,84.7655,149.872,37.9056,33.7913,31.6315,[253:32:246:40:248:47:264:60:279:64:283:59:283:52:259:32]
685,329,32,391,58,685,0,0,10.6002,304.903,5.3632,141.312,0.656556,14.7663,92.7791,12.7523,68.3931,5.3632,135.994,102.311,168.204,37.9822,30.5819,27.0861,[330:36:330:40:338:46:383:58:391:55:386:49:347:37:343:33:334:33]
1092,0,45,39,84,1092,19,0,71.4947,124.627,1.32029,145.89,0.802957,18.6439,117.143,32.4513,42.8451,1.32029,120.646,85.7555,155.482,39.331,32.0305,28.4692,[36:53:32:49:20:46:5:49:3:58:12:67:8:69:1:66:1:84:18:84:26:74:32:72:39:62]
370,350,51,381,73,370,0,0,14.2148,70.2679,2.22335,81.612,0.83551,10.8524,68.1877,14.5563,32.3638,2.22335,147.678,110.427,176.111,22.2652,20.2045,19.3976,[351:54:367:73:381:68:381:65:371:57:358:52]
150,58,57,75,69,150,0,0,7.1162,20.2634,1.68745,44.991,0.964995,6.90988,43.4161,10.6386,17.9521,1.68745,156.3,124.86,182.94,12.7304,14.8706,15.1922,[75:61:68:58:59:65:59:68:69:69]
