NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
912,59,0,113,25,912,15,0,30.222,185.858,2.47987,131.927,0.811465,17.0382,107.054,21.639,53.662,2.47987,110.893,85.261,155.965,26.6893,21.5312,17.7331,[60:1:62:12:81:23:103:24:113:12:112:9:95:4]
472,443,13,476,45,472,0,0,15.8157,117.293,2.72328,100.153,0.768977,12.2573,77.0151,14.8553,40.455,2.72328,117.744,80.8623,154.674,27.2649,20.6971,19.1026,[444:16:446:24:462:45:476:39:474:33:468:33:460:27:461:22:449:14]
330,0,21,32,41,330,10,0,10.2119,96.8339,3.07935,88.1811,0.730275,10.249,64.3964,11.6811,35.9701,3.07935,125.709,100.076,165.558,30.056,20.6316,15.0705,[1:22:1:35:16:36:23:41:32:38:29:31:18:32:8:23]
668,246,32,282,63,668,0,0,25.5087,112.437,2.09948,102.049,0.897812,14.5819,91.6206,20.1274,42.257,2.09948,101.04,78.1347,145.244,33.0048,28.3396,29.2961,[253:33:247:40:250:48:267:61:279:63:282:59:279:48:259:33]
485,337,33,390,57,485,0,0,7.26902,235.676,5.69402,123.787,0.630669,12.425,78.0685,10.414,59.2974,5.69402,121.33,91.3959,160.54,32.3974,25.4889,24.4833,[338:37:338:43:342:46:383:57:390:55:386:50:347:38:343:34]
521,3,46,37,66,521,0,0,22.2882,78.3541,1.87497,87.9511,0.919989,12.8779,80.914,18.8095,35.2672,1.87497,99.1344,68.5854,141.672,35.7955,27.4272,28.6616,[4:51:4:59:13:65:37:62:37:57:31:50:18:47]
467,169,60,202,82,467,0,0,18.5456,77.8487,2.04883,86.515,0.885466,12.1922,76.6061,17.0357,34.9033,2.04883,110.831,81.0278,152.268,23.4606,18.6838,15.3503,[170:67:172:74:179:78:195:82:202:80:196:69:185:61:173:62]
268,400,75,419,93,268,0,0,19.8489,23.8414,1.09597,58.4938,0.992116,9.23618,58.0326,17.6451,19.3384,1.09597,124.265,98.209,165.772,18.7245,18.1515,15.7406,[404:76:401:89:406:93:412:93:419:86:419:81]
824,448,84,497,118,824,0,0,22.1756,210.352,3.07989,127.388,0.798801,16.1953,101.758,18.4566,56.8442,3.07989,112.318,77.1748,151.561,25.9268,19.8141,19.4055,[449:87:450:94:456:100:468:105:484:118:497:116:495:109:478:95:472:86]
328,84,102,106,122,328,0,0,23.412,29.3604,1.11985,65.1976,0.984714,10.2179,64.201,19.3113,21.6258,1.11985,121.799,86.8902,159.71,29.1719,22.7909,21.0316,[90:104:85:111:87:117:101:122:106:114:105:108:97:103]
607,425,104,465,125,607,0,0,23.8684,103.823,2.08562,99.5578,0.877251,13.9001,87.3372,19.25,40.1483,2.08562,114.605,86.6474,157.453,30.5902,25.3018,22.9753,[426:111:426:114:449:124:462:125:465:121:465:112:455:105:439:106]
3491,34,117,89,229,3491,0,0,139.609,780.492,2.36444,316.793,0.661156,33.335,209.45,43.3577,102.517,2.36444,98.9736,65.1449,142.757,29.964,25.2059,23.4184,[63:118:48:120:35:138:35:144:46:142:52:149:49:155:41:158:38:180:42:194:50:196:42:214:42:221:53:229:57:217:64:211:87:203:89:185:87:177:75:170:73:159:65:150:71:139:71:127]
807,177,119,206,155,807,0,0,49.2612,84.0745,1.30641,102.144,0.985891,16.0274,100.703,28.0448,36.638,1.30641,128.133,91.9095,163.783,26.5138,20.7639,18.3905,[196:120:187:122:178:136:178:146:187:155:195:155:206:141:205:127]
1564,0,123,32,213,1564,90,0,59.8389,421.251,2.65325,205.129,0.683433,22.3123,140.192,27.3958,72.688,2.65325,104.662,71.1113,147.015,32.3186,26.6578,25.4674,[1:124:2:213:12:205:22:203:31:188:32:180:9:153:10:135]
1124,272,131,304,176,1124,0,0,60.8304,131.944,1.47277,122.121,0.973193,18.9151,118.847,31.1724,45.9099,1.47277,116.427,85.6219,156.833,36.4371,31.7455,26.7756,[295:132:284:133:276:141:273:151:274:167:283:176:292:175:303:157:304:144]
2210,222,132,284,210,2210,0,0,92.0995,578.317,2.50585,238.974,0.697351,26.5229,166.648,33.51,83.9708,2.50585,134.149,98.7109,168.052,26.2225,22.4142,19.0264,[232:134:223:146:223:171:234:181:233:190:241:199:256:199:261:206:272:210:280:209:284:199:282:190:274:188:264:192:259:189:256:171:249:162:248:138:242:133]
3260,98,133,171,214,3260,0,0,219.083,526.369,1.55003,290.343,0.697112,32.2132,202.402,51.7479,80.2111,1.55003,119.239,86.992,158.359,32.2235,26.3801,24.6068,[117:135:108:149:107:161:100:170:100:193:107:198:115:198:129:190:131:204:137:212:149:214:160:210:171:193:171:179:165:169:159:168:144:181:136:181:131:173:136:166:137:145:129:134]
1252,386,137,420,183,1252,0,0,70.0896,143.289,1.42982,129.475,0.96877,19.9631,125.432,33.3901,47.7416,1.42982,127.228,94.9129,165.664,28.5596,22.5555,19.8781,[398:138:392:143:387:165:397:182:408:183:419:173:420:150:412:139]
1835,293,162,344,224,1835,0,0,159.297,203.758,1.13098,207.065,0.733359,24.1681,151.853,45.4513,51.4043,1.13098,125.435,92.3346,163.334,29.5497,22.9121,19.5417,[320:163:306:166:302:171:294:215:302:224:309:224:336:213:344:205:344:196:340:190:326:186:315:187:309:181:308:177:311:174:319:175:322:172:323:166]
257,187,168,205,188,257,0,0,13.9146,30.3989,1.47806,58.1685,0.976975,9.04465,56.8292,14.879,21.9922,1.47806,129.65,93.9183,164.875,21.2508,15.212,13.351,[201:169:194:170:189:176:190:187:194:188:204:180:205:173]
903,346,188,386,232,903,0,0,53.358,114.31,1.46366,151.062,0.70517,16.9539,106.524,28.0271,41.0223,1.46366,125.46,93.6966,164.159,31.5929,25.4887,21.5114,[373:189:358:194:350:205:347:221:354:225:353:220:358:217:364:232:362:228:366:225:367:219:377:214:386:203]
605,181,195,216,223,605,0,0,22.2113,107.609,2.20109,98.3518,0.886544,13.8772,87.1932,18.7074,41.1768,2.20109,121.767,89.0992,160.145,30.4525,25.132,22.2061,[216:200:211:196:200:196:182:211:182:222:199:220:216:206]
1186,364,206,408,254,1186,0,0,73.8009,147.955,1.4159,166.786,0.731959,19.4298,122.081,32.6573,46.2396,1.4159,124.075,90.8246,162.396,29.5513,26.5579,23.8888,[387:207:377:217:373:217:369:226:365:228:367:233:378:234:381:246:394:254:404:251:408:247:408:241:400:225:402:211:389:220]
2524,444,207,500,265,2524,39,0,206.849,230.481,1.05558,213.864,0.832745,28.3446,178.094,55.1765,58.2432,1.05558,113.18,83.2282,155.896,34.2367,28.7773,26.1458,[500:208:489:209:480:218:472:210:459:211:445:237:448:254:452:258:465:258:473:254:485:265:497:262:500:258:500:234:496:232:495:224:500:221]
1226,209,213,238,266,1226,0,0,51.8631,185.416,1.89079,133.267,0.931379,19.7547,124.122,28.7328,54.3278,1.89079,127.657,94.3116,164.517,28.4612,23.4145,19.8252,[218:214:210:223:211:252:219:265:229:266:237:256:237:233:230:219]
1133,328,220,362,267,1133,0,0,65.1043,136.524,1.4481,135.163,0.882797,18.9907,119.322,31.5624,45.7056,1.4481,123.921,89.744,161.385,32.6811,27.9163,24.2191,[340:221:331:228:329:263:343:267:345:264:351:265:362:260:357:235]
18,348,223,357,232,18,0,0,0.207125,12.3978,7.7367,25.7997,0.582943,2.39365,15.0398,1.72113,13.3159,7.7367,93.1111,65.9444,140.444,11.2244,9.57701,12.1483,[349:224:357:232]
245,137,225,155,242,245,0,0,17.1515,22.4129,1.14314,55.8123,0.994164,8.83096,55.4866,16.5192,18.8837,1.14314,138.89,99.7347,169.559,19.1546,18.9263,18.9941,[142:226:138:232:139:240:151:240:155:234:154:229]
1,354,225,355,226,1,0,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,133,98,170,0,0,0,[355:226]
2820,60,229,136,286,2820,0,0,140.78,446.619,1.78114,227.827,0.826275,29.9605,188.248,44.8984,79.9703,1.78114,94.2699,65.1535,138.171,44.3979,35.425,34.5862,[65:238:61:246:62:263:74:261:85:265:93:262:107:281:116:286:128:282:133:276:136:267:133:243:121:233:102:232:90:237:81:230]
