AreaInPixels,Perimeter,MajorAxis,MinorAxis,Eccentricity,ExtentRatio,Circularity,r_IntensityMean,r_IntensityMax,r_IntensityMin,r_IntensityStd,r_IntensityEntropy,r_IntensityEnergy,r_IntensitySkewness,r_IntensityKurtosis,r_GradientMean,r_GradientStd,r_GradientEntropy,r_GradientEnergy,r_GradientSkewness,r_GradientKurtosis,r_CannyNonZero,r_CannyMean,r_cytoIntensityMean,r_cytoIntensityMax,r_cytoIntensityMin,r_cytoIntensityStd,r_cytoIntensityEntropy,r_cytoIntensityEnergy,r_cytoIntensitySkewness,r_cytoIntensityKurtosis,r_cytoGradientMean,r_cytoGradientStd,r_cytoGradientEntropy,r_cytoGradientEnergy,r_cytoGradientSkewness,r_cytoGradientKurtosis,r_cytoCannyNonZero,r_cytoCannyMean,b_IntensityMean,b_IntensityMax,b_IntensityMin,b_IntensityStd,b_IntensityEntropy,b_IntensityEnergy,b_IntensitySkewness,b_IntensityKurtosis,b_GradientMean,b_GradientStd,b_GradientEntropy,b_GradientEnergy,b_GradientSkewness,b_GradientKurtosis,b_CannyNonZero,b_CannyMean,b_cytoIntensityMean,b_cytoIntensityMax,b_cytoIntensityMin,b_cytoIntensityStd,b_cytoIntensityEntropy,b_cytoIntensityEnergy,b_cytoIntensitySkewness,b_cytoIntensityKurtosis,b_cytoGradientMean,b_cytoGradientStd,b_cytoGradientEntropy,b_cytoGradientEnergy,b_cytoGradientSkewness,b_cytoGradientKurtosis,b_cytoCannyNonZero,b_cytoCannyMean,Polygon
149,58.0416,24.211,8.71583,0.932954,0.588933,0.555798,67.7651,176,25,28.9207,6.02859,0.0173416,1.15566,4.36124,21.604,19.4408,5.26816,0.0325661,1.33021,3.66312,31,53.0537,185.405,255,73,44.933,7.01616,0.00871506,-0.311268,2.22519,19.9742,13.6553,5.36522,0.0289351,1.46649,5.62704,98,64.4072,116.067,225,66,29.747,5.99271,0.0181523,1.04663,4.25385,20.6174,15.4814,5.35734,0.0285122,1.021,2.99129,42,71.8792,193.381,255,110,36.8348,6.73193,0.0110931,-0.0641243,2.0146,15.8531,10.5736,5.0672,0.0364279,1.14136,4.11609,93,61.1211,[323:0:323:1:324:2:325:2:326:3:328:3:329:4:331:4:332:5:333:5:337:9:338:9:339:10:343:10:344:9:345:9:345:5:342:2:341:2:339:0]
37,28.4853,12.4559,4.10691,0.94408,0.770833,0.573021,64.5946,105,43,16.7146,4.83108,0.0372535,0.842516,2.92639,14,7.62287,4.17527,0.06355,0.406366,2.31285,5,34.4595,142.521,245,44,61.3245,6.83527,0.0100162,0.221944,1.68631,17.0558,10.2507,5.12604,0.0326014,0.644614,3.24211,64,75.907,113.865,138,87,11.8918,4.62811,0.0445581,-0.396353,2.85299,10.8108,6.18122,3.79689,0.0913075,0.869696,2.98459,6,41.3514,162.665,247,110,36.4468,6.4296,0.0136074,0.528663,2.05598,10.1209,6.52468,4.45827,0.0533694,0.984789,3.6463,58,68.7907,[461:0:461:1:462:1:463:2:465:2:466:3:469:3:470:2:471:2:472:1:472:0]
129,51.1127,20.5947,8.67078,0.907052,0.551282,0.6205,93.3411,155,58,17.4696,5.43218,0.0296256,0.795116,3.84159,17.155,12.1352,4.99852,0.0387597,0.560609,2.11793,17,33.6047,179.874,244,59,42.7709,6.97135,0.00943436,-0.675251,2.64098,17.5153,11.5581,5.26527,0.0301725,0.79956,3.02483,165,75.5386,139.248,182,107,11.5926,5.05861,0.0377982,0.698487,4.79661,10.2093,6.78767,4.31863,0.0615949,1.17145,4.19631,22,43.4884,189.817,251,112,29.0345,6.57211,0.0120581,-0.25747,2.25678,12.0197,7.66779,4.71107,0.045457,1.03378,3.79618,144,65.9246,[445:13:443:15:443:19:444:20:444:21:445:22:445:23:448:26:448:27:451:30:454:30:455:29:454:28:454:27:453:26:453:25:451:23:451:20:452:19:452:17:449:14:448:14:447:13]
75,32.3848,10.2379,9.45918,0.382548,0.75,0.898647,83.0933,120,53,16.966,5.07157,0.0336,0.282445,2.13251,11.3067,6.18379,4.18086,0.0666667,0.836905,3.5791,17,57.8,136.401,227,53,45.8652,6.96081,0.00924729,0.466118,2.22403,14.5439,7.96734,4.87969,0.0379088,0.421775,2.61096,107,64.81,138.067,173,106,16.3677,5.27483,0.0289778,0.170476,2.40515,9.74667,4.73313,4.0886,0.0641778,0.42391,2.72234,21,71.4,169.99,238,108,27.9545,6.48292,0.0137271,0.487798,2.69165,10.9145,5.38073,4.38337,0.0541353,0.412243,2.68657,125,75.7126,[90:14:89:15:88:15:87:16:87:17:86:18:86:20:88:22:89:22:90:23:93:23:95:21:95:17:93:15:92:15:91:14]
414,122.711,49.7841,18.1842,0.930905,0.370968,0.345498,86.6739,167,34,28.1325,6.53183,0.0123457,0.3926,2.36083,23.2826,12.9753,5.52042,0.0251464,0.714288,3.13139,116,71.4493,193.312,248,52,47.7824,6.78953,0.0142075,-0.826168,2.4532,14.4339,12.7492,5.17956,0.0371538,1.15148,3.68828,253,60.0698,133.838,208,76,27.3512,6.56515,0.0119373,0.238271,2.447,20.3527,11.9276,5.31302,0.0295106,0.987435,3.60078,123,75.7609,202.752,250,113,32.121,6.55615,0.0145265,-0.773542,2.4669,10.6015,8.52433,4.72267,0.0472745,1.28555,4.58464,253,60.0698,[253:32:250:35:249:35:249:36:247:38:247:39:246:40:246:41:247:42:247:44:248:45:248:46:252:50:253:50:255:52:255:53:256:53:257:54:258:54:259:55:260:55:263:58:264:58:265:59:266:59:267:60:269:60:270:61:271:61:272:62:278:62:280:60:280:59:281:58:281:54:280:53:280:51:279:50:278:50:277:49:276:50:275:50:274:51:273:51:271:53:265:53:262:50:261:50:255:44:255:41:259:37:260:37:260:34:259:34:257:32]
63,30.9706,10.8265,7.64475,0.708098,0.715909,0.825377,77.0952,125,51,15.9679,5.22316,0.0294785,0.749499,3.32725,17.873,15.1285,4.57246,0.0496347,1.26966,3.43507,9,36.4286,167.854,255,76,52.2024,7.07053,0.00839976,-0.0439885,1.62082,20.878,15.3957,5.52729,0.0260083,0.829571,2.73733,106,65.9268,130.032,170,113,12.9185,4.838,0.0415722,0.998057,3.40442,11.127,8.44871,4.34574,0.0592089,0.781201,2.48059,9,36.4286,185.056,251,121,33.5476,6.7181,0.0105413,0.0135978,1.75863,15.1927,9.19037,5.03196,0.0349435,0.66484,2.81154,106,65.9268,[370:45:368:47:368:50:370:52:375:52:378:49:377:48:377:47:375:47:374:46:372:46:371:45]
269,62.0416,19.2795,18.1711,0.334181,0.830247,0.878205,74.0372,145,27,25.5003,6.32807,0.0144968,0.398293,2.43244,19.7881,12.7974,5.19645,0.033706,1.25559,3.97202,73,69.2007,173.25,255,68,46.2425,7.14839,0.00816168,-0.206452,2.04384,17.5986,11.8977,5.26278,0.0318107,1.10255,3.58469,123,55.7105,126.695,182,80,22.2825,6.20712,0.0156023,0.254565,2.44087,14.2639,8.81834,4.77981,0.0453145,1.16759,4.37071,86,81.5242,187.265,248,96,34.5678,6.85044,0.00992842,-0.445207,2.33782,13.9893,8.71494,4.91923,0.0382971,0.971783,4.08885,152,68.8455,[11:47:10:48:6:48:5:49:4:49:3:50:3:58:6:61:7:61:8:62:9:62:10:63:12:63:13:64:16:64:19:61:19:59:20:58:20:49:18:47]
81,34.6274,12.1113,8.74529,0.691815,0.692308,0.848896,91.9506,130,55,16.1313,5.27641,0.0291114,-0.17975,2.41889,20.3827,13.483,5.04845,0.0349032,0.974547,3.39811,18,56.6667,173.547,242,61,40.5318,6.86661,0.0101483,-0.639542,2.59879,16.6318,11.499,5.14158,0.0343185,1.32215,4.55179,108,68.5075,146.58,177,117,11.5832,5.04794,0.0376467,0.0287036,3.15551,9.92593,6.58426,4.22687,0.0608139,1.12004,4.01517,23,72.4074,185.182,244,131,22.6652,6.35489,0.0140343,-0.10275,2.55316,10.1542,5.8655,4.33819,0.0575357,1.11495,4.44235,121,76.7537,[488:51:486:53:485:53:483:55:486:58:487:58:488:59:493:59:495:57:495:55:491:51]
100,47.2132,19.516,7.37662,0.925815,0.520833,0.563745,94.15,127,63,13.1775,5.13376,0.0358,0.120618,3.32119,14.25,10.2824,4.81253,0.043,1.26754,4.79156,20,51,158.397,237,70,45.0267,7.01826,0.00880378,-0.127057,1.74428,18.1013,12.1349,5.2755,0.0310937,1.07968,3.68701,154,82.8481,144.38,169,126,9.11787,4.76298,0.0448,0.734215,3.19685,7.99,4.72545,3.99195,0.074,1.09288,4.22155,27,68.85,175.171,236,115,27.6794,6.54948,0.0118126,0.134452,2.12281,12.3523,7.52018,4.74084,0.042746,0.819463,3.55153,165,88.7658,[484:101:484:103:487:106:487:107:488:108:488:110:489:111:489:115:490:116:495:116:495:110:494:109:494:108:491:105:490:105:488:103:488:102:487:102:486:101]
123,51.799,23.1387,7.05278,0.952415,0.650794,0.576066,82.0325,151,44,24.5065,5.83968,0.02016,0.695697,2.74893,19.2114,11.992,5.14731,0.0337762,0.518438,2.29343,24,49.7561,155.762,246,42,48.6663,7.16409,0.0081457,-0.225489,2.03372,16.2658,9.27882,5.07596,0.0333887,0.650591,2.9696,131,58.8116,136.634,194,97,20.0354,5.53176,0.0258444,0.579703,2.80332,13.5285,7.66401,4.57407,0.0503007,0.538762,2.51426,24,49.7561,179.977,244,93,32.5614,6.80561,0.0101914,-0.195073,2.35078,12.9437,7.43306,4.74165,0.0424767,0.760173,3.04855,151,67.7905,[443:104:442:105:438:105:437:106:436:106:435:107:430:107:428:109:428:110:430:112:435:112:436:111:439:111:440:110:445:110:446:109:447:109:448:108:448:105:447:104]
