NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
788,160,237,204,266,788,0,0,34.4083,133.705,1.97126,124.247,0.800908,15.8376,99.5103,22.5604,44.4723,1.97126,54.7348,34.6256,96.3363,41.4229,27.8054,41.2657,[204:251:187:238:183:247:177:244:163:245:161:255:169:262:180:260:189:266:196:266:203:259]
377,377,380,402,401,377,0,0,22.9114,40.5065,1.32965,72.2267,0.952966,10.9546,68.8297,19.0002,25.2635,1.32965,119.178,81.9549,157.806,17.7627,15.0592,16.2905,[396:382:389:381:379:387:378:395:381:401:388:401:400:395:402:390]
187,0,21,16,37,187,14,0,10.5571,22.9117,1.47318,52.9008,0.916355,7.71518,48.4759,12.713,18.7286,1.47318,123.909,98.5722,164.824,31.1288,22.3097,15.7801,[1:22:1:35:16:35:11:25]
671,265,226,295,261,671,0,0,34.9933,90.076,1.6044,102.699,0.894125,14.6146,91.8261,23.076,37.0231,1.6044,131.091,93.0641,163.833,29.3442,27.155,23.5893,[269:229:266:240:271:256:279:261:294:257:292:243:281:237:275:227]
737,275,258,315,285,737,0,0,34.1001,104.158,1.74771,108.943,0.883362,15.3165,96.2362,23.1715,40.497,1.74771,132.901,92.3758,163.539,25.996,21.6258,18.7493,[276:264:283:271:282:276:285:280:300:285:310:285:314:281:315:271:298:260:290:259]
315,351,52,387,71,315,0,0,8.98546,90.191,3.16819,89.8472,0.700254,10.0134,62.9159,11.2514,35.6464,3.16819,146.089,108.492,175.225,25.3996,22.227,21.1578,[352:54:363:61:364:68:387:70:385:64:361:53]
460,337,38,392,57,460,0,0,6.75356,225.116,5.77347,121.986,0.623267,12.1005,76.0298,10.072,58.1503,5.77347,121.148,91.8522,160.426,34.0195,26.7664,24.7423,[338:42:340:45:362:49:381:57:392:54:389:50:363:41:346:39]
139,278,0,302,7,139,19,0,3.31568,37.7618,3.37474,53.2261,0.785214,6.6517,41.7938,7.24173,24.439,3.37474,128.309,78.777,157.626,14.5374,11.0049,9.14808,[279:1:284:7:302:4:297:1]
388,270,182,286,211,388,0,0,15.8141,63.0038,1.996,76.9949,0.906898,11.1132,69.8266,15.7322,31.4016,1.996,146.456,110.959,175.887,17.1735,15.3902,13.3827,[273:183:271:210:279:211:284:204:286:189:281:183]
298,389,199,405,222,298,0,0,16.3738,35.1332,1.46482,65.2929,0.937232,9.73942,61.1946,16.0943,23.5752,1.46482,150.302,110.94,174.678,26.5041,25.7551,23.3506,[393:200:390:205:391:220:399:222:404:215:404:203]
