NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
865,60,0,108,25,865,13,0,29.1965,168.838,2.40474,120.09,0.868174,16.5933,104.259,21.4007,51.4633,2.40474,109.177,84.2208,155.421,26.1024,21.4607,17.8793,[61:1:62:12:78:22:100:25:108:18:107:11:98:5]
172,323,0,348,12,172,19,0,5.85112,38.7064,2.57201,59.0492,0.787327,7.39928,46.491,9.22748,23.7332,2.57201,72.4128,48.186,119.349,30.447,27.5656,29.9817,[324:1:342:12:348:8:342:1]
167,451,0,474,9,167,23,0,6.03041,32.7634,2.33088,53.4561,0.85697,7.29094,45.8103,9.55109,22.2625,2.33088,86.2874,58.497,132.198,25.995,19.8771,18.6613,[452:1:458:9:468:9:474:2]
434,443,13,475,45,434,0,0,13.2295,116.404,2.96628,97.1458,0.760196,11.7536,73.8499,13.6488,40.4861,2.96628,114.972,78.7719,152.668,25.8517,19.6605,18.0218,[444:16:446:24:461:44:465:45:475:39:472:34:459:27:460:22:449:14]
249,0,21,28,41,249,9,0,8.63969,66.3951,2.77216,79.2559,0.705786,8.90276,55.9377,10.6941,29.6459,2.77216,119.731,96.759,163.924,30.8564,21.5719,15.6684,[1:22:1:35:28:40:8:23]
663,246,32,282,63,663,0,0,25.6637,110.195,2.07215,100.938,0.904288,14.5272,91.2771,20.1837,41.8237,2.07215,100.501,77.5822,144.713,32.6129,27.826,28.9165,[248:39:248:45:256:54:273:63:281:61:282:52:272:41:259:33:254:33]
302,344,41,390,57,302,0,0,5.56621,134.104,4.90841,102.469,0.601194,9.80457,61.6039,8.85091,43.4439,4.90841,104.464,79.1225,149.742,24.0396,19.5298,19.5797,[345:45:384:57:390:55:388:51:365:42:357:46]
516,3,47,37,66,516,0,0,22.0221,77.5478,1.87653,86.6103,0.929737,12.8159,80.5248,18.7112,35.1122,1.87653,98.7868,68.3178,141.455,35.7798,27.38,28.6876,[4:51:4:59:16:66:37:61:36:55:25:48]
160,477,48,496,60,160,0,0,7.97372,22.3715,1.67501,48.2278,0.929752,7.1365,44.8399,11.0282,18.4724,1.67501,101.737,76.4,151.244,21.6848,13.4908,13.7002,[478:55:479:58:488:60:496:58:489:49:484:49]
429,170,60,202,82,429,0,0,15.9368,75.1253,2.17117,84.2936,0.871042,11.6857,73.4232,15.8612,34.4374,2.17117,108.685,78.9883,150.932,22.9789,17.9123,15.0154,[171:66:175:73:186:80:202:80:199:72:185:61:174:62]
225,0,68,20,83,225,15,0,11.7883,31.1676,1.62602,59.9299,0.887264,8.46284,53.1736,13.2734,21.5829,1.62602,109.067,77.9778,153.338,17.8572,18.1472,16.0984,[1:69:1:83:17:83:20:80:15:73]
