NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
890,60,0,111,25,890,14,0,29.4922,177.276,2.45173,126.794,0.83407,16.8314,105.755,21.4988,52.7091,2.45173,110.147,84.7539,155.713,26.4025,21.3534,17.7263,[61:1:63:13:81:23:100:25:111:13:94:4]
453,443,13,476,44,453,0,0,14.2521,115.945,2.85224,98.2565,0.767879,12.0081,75.4491,14.2204,40.56,2.85224,116.576,79.6336,153.649,27.0319,19.8256,18.5775,[444:16:446:24:462:44:475:40:474:34:460:27:461:23:457:18:449:14]
327,0,21,31,41,327,14,0,10.0394,92.6242,3.03745,84.7142,0.756698,10.2023,64.1031,11.7078,35.5618,3.03745,126.18,100.394,165.847,30.8064,21.2295,15.4108,[1:22:1:35:16:36:23:41:31:38:28:31:18:32:8:23]
663,246,32,282,63,663,0,0,25.3941,110.886,2.08964,102.049,0.894446,14.5272,91.2771,20.0991,41.9999,2.08964,100.617,77.8175,144.888,32.7435,28.136,29.0898,[249:37:248:45:256:54:273:63:281:61:282:53:272:41:259:33]
468,337,34,389,56,468,0,0,7.10632,220.085,5.56509,119.764,0.640324,12.2053,76.6881,10.3476,57.5856,5.56509,120.729,91.1175,160.325,32.6431,25.6882,24.7241,[338:39:339:44:380:56:389:55:385:50:344:35]
511,3,47,37,66,511,0,0,22.0378,75.8951,1.85576,86.0549,0.931193,12.7537,80.1337,18.7242,34.7478,1.85576,98.4501,67.9667,141.211,35.7847,27.2334,28.6853,[4:52:5:60:16:66:37:61:36:55:25:48:12:48]
454,170,60,202,82,454,0,0,18.1343,75.0364,2.03416,84.6189,0.892618,12.0213,75.5323,16.8574,34.2907,2.03416,110.183,80.3612,151.938,23.3197,18.4021,15.3225,[171:65:171:71:177:77:196:82:202:80:199:72:184:61]
229,0,67,20,83,229,16,0,12.4233,30.9342,1.57798,61.2706,0.875529,8.53774,53.6442,13.5932,21.4498,1.57798,109.773,78.345,153.62,18.436,18.18,16.102,[1:68:1:83:19:81:17:74]
250,400,75,419,93,250,0,0,18.0719,22.5281,1.1165,57.3831,0.976767,8.92062,56.0499,16.8848,18.8519,1.1165,122.964,97.036,164.996,18.177,17.1465,15.1112,[406:76:402:79:401:87:403:91:411:93:418:87:419:82]
804,449,84,496,118,804,0,0,21.7802,202.221,3.04707,124.152,0.809619,15.9975,100.515,18.3291,55.8501,3.04707,111.842,76.8333,151.333,25.8838,19.6298,19.3592,[450:87:450:93:456:100:470:106:481:116:496:116:495:109:471:86]
