NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
191,322,0,348,12,191,19,0,6.2736,43.1786,2.62347,60.9453,0.803862,7.79726,48.9916,9.62795,25.2586,2.62347,82.4346,57.6545,127.691,43.341,40.6143,39.6629,[323:1:340:12:348:9:341:1]
197,450,0,475,10,197,25,0,7.39368,37.7743,2.26031,58.0338,0.857348,7.91878,49.7552,10.5343,23.8107,2.26031,97.0203,66.6396,138.208,35.7927,28.8804,24.3338,[451:1:458:10:468:10:475:2]
628,60,2,99,25,628,0,0,25.5914,101.059,1.98719,97.5664,0.910509,14.1386,88.8351,20.0593,39.8616,1.98719,105.32,82.0637,152.833,29.3796,25.8883,19.4507,[61:8:66:17:78:23:96:25:99:22:98:16:85:3:66:4]
205,442,12,459,35,205,0,0,6.73119,44.122,2.56024,59.7393,0.849614,8.07797,50.7554,10.097,25.8507,2.56024,103.449,72.0488,144.522,27.7746,23.4489,17.9703,[446:13:443:20:457:35:459:30:454:25:454:18]
585,245,31,283,64,585,0,0,25.0663,148.301,2.43235,119.899,0.7151,13.6459,85.7399,17.4993,42.5644,2.43235,99.9248,78.0154,143.87,36.5571,33.3361,31.7414,[253:32:246:41:248:47:267:62:279:64:283:59:281:50:260:48:258:42:262:35]
213,366,44,391,58,213,0,0,6.78878,43.4348,2.52943,61.1753,0.845704,8.23408,51.7362,10.3546,26.1913,2.52943,110.408,82.5352,150.61,36.4841,28.1137,22.3767,[367:50:384:58:391:55:388:50:373:45]
348,2,46,24,66,348,0,0,25.0235,31.7663,1.1267,66.8637,0.989018,10.5248,66.1294,19.8308,22.3434,1.1267,85.1379,61.3621,132.509,34.1213,29.3587,26.1062,[5:49:3:59:17:66:23:58:24:50:21:47]
245,177,59,200,78,245,0,0,8.65644,46.0917,2.3075,64.0869,0.865802,8.83096,55.4866,11.627,26.8293,2.3075,105.343,76.5102,147.482,27.4785,22.2088,16.8524,[179:63:178:67:182:72:195:78:200:77:199:71:184:60]
168,0,69,16,84,168,15,0,10.5745,20.3464,1.38712,51.0046,0.900845,7.31273,45.9473,12.418,17.2253,1.38712,109.429,79.5655,153.631,23.6986,25.2116,19.1055,[1:70:1:84:16:81:8:72]
496,465,93,498,119,496,0,0,19.2268,83.5284,2.08431,87.4352,0.902942,12.5651,78.9488,17.4066,36.2809,2.08431,103.649,70.8387,145.429,24.9983,18.7743,16.3667,[467:100:466:104:480:116:488:119:498:116:496:109:478:94]
227,426,103,455,114,227,0,0,5.64534,61.5747,3.3026,66.4036,0.804315,8.50037,53.4094,9.35492,30.8956,3.3026,93.4361,72.3877,143.573,33.6614,28.6242,27.3199,[455:107:444:104:430:107:427:112:452:112]
136,36,118,53,134,136,0,0,4.24044,28.8387,2.60785,48.6879,0.849089,6.57952,41.3404,8.14861,21.2503,2.60785,106.39,79.7794,152.735,26.8019,24.4133,20.3565,[53:121:45:121:37:133:41:134:48:129]
2598,36,122,90,228,2598,0,0,142.463,520.558,1.91154,283.409,0.637545,28.7571,180.686,41.599,79.5181,1.91154,92.96,59.2548,138.054,30.0427,24.8882,23.878,[68:123:60:128:64:137:61:147:42:162:37:172:40:188:50:193:46:219:52:228:56:226:58:217:65:209:77:209:88:203:90:183:85:179:70:179:71:162:66:149:72:138:72:129]
197,0,133,10,162,197,18,0,5.33431,48.0784,3.00217,63.3968,0.784821,7.91878,49.7552,9.14051,27.4414,3.00217,105.452,72.7513,147.97,19.7349,16.4216,18.628,[7:134:1:145:1:162:10:148:10:136]
