NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
10,50,0,56,2,10,6,0,0.24,2.25,3.06186,12.9475,0.865802,1.78412,11.21,2.03921,6.24378,3.06186,172.8,134.7,190.6,5.6356,5.3301,3.90384,[51:1:56:1]
1044,58,0,115,26,1044,21,0,35.6917,205.086,2.39709,137.29,0.834291,18.2295,114.539,23.5485,56.4479,2.39709,117.943,90.9243,159.438,31.9267,26.2458,19.7805,[59:1:61:12:81:24:103:25:115:12:111:7:106:8:95:3]
10,152,0,158,2,10,6,0,0.24,2.25,3.06186,12.9475,0.865802,1.78412,11.21,2.03921,6.24378,3.06186,182.6,150.1,200.7,18.222,18.8066,10.0504,[153:1:158:1]
8,224,0,229,2,8,5,0,0.234375,1.5,2.52982,11.0514,0.907263,1.59577,10.0265,2.00657,5.07627,2.52982,186.5,122.875,202.625,11.8849,10.5764,22.5496,[225:1:229:1]
20,251,0,263,2,20,12,0,0.238638,10.8114,6.73086,25.1096,0.631364,2.52313,15.8533,1.94507,13.092,6.73086,166.5,111.65,183.9,6.69701,5.893,7.96178,[252:1:263:1]
196,265,0,297,8,196,31,0,4.15501,64.5552,3.94166,68.0697,0.729087,7.89865,49.6287,7.95689,31.3634,3.94166,139.832,87.7194,164.423,21.8522,16.8389,14.8931,[266:1:270:5:291:8:297:4:296:1]
239,322,0,351,14,239,23,0,8.40918,52.767,2.50498,68.2045,0.80351,8.72216,54.8029,11.0218,27.6094,2.50498,92.7029,63.6402,133.192,44.8534,39.6577,38.4965,[323:1:343:14:351:10:345:1]
10,362,0,368,2,10,6,0,0.24,2.25,3.06186,12.9475,0.865802,1.78412,11.21,2.03921,6.24378,3.06186,156.3,96.5,166,4.5618,4.54423,6.18061,[363:1:368:1]
10,402,0,408,2,10,6,0,0.24,2.25,3.06186,12.9475,0.865802,1.78412,11.21,2.03921,6.24378,3.06186,167.9,114,179.3,13.6488,12.8297,10.9458,[403:1:408:1]
24,412,0,422,3,24,10,0,0.638889,5.91667,3.04317,21.3174,0.81466,2.76395,17.3664,3.16882,9.64325,3.04317,151.833,110.042,187.667,21.7498,20.3603,21.3437,[413:1:422:1]
8,427,0,432,2,8,5,0,0.234375,1.5,2.52982,11.0514,0.907263,1.59577,10.0265,2.00657,5.07627,2.52982,163,109.75,178.875,9.31397,10.639,17.0032,[428:1:432:1]
197,450,0,475,10,197,25,0,7.39368,37.7743,2.26031,58.0338,0.857348,7.91878,49.7552,10.5343,23.8107,2.26031,97.0203,66.6396,138.208,35.7927,28.8804,24.3338,[451:1:458:10:468:10:475:2]
5,221,2,224,5,5,0,0,0.4,0.4,1,8.04455,0.985345,1.26157,7.92665,2.52313,2.52313,1,166,106.6,170.8,8,7.14423,8.18291,[223:3]
125,381,11,398,21,125,0,0,4.91406,20.2897,2.03197,42.8648,0.924611,6.30783,39.6333,8.85017,17.9833,2.03197,149.296,92.128,166.728,12.699,11.9432,12.2855,[382:14:386:20:398:20:389:12]
945,442,12,497,61,945,0,0,21.7711,340.743,3.95615,166.691,0.653745,17.3437,108.973,17.4395,68.9934,3.95615,129.292,90.6169,161.958,33.4932,24.794,20.9767,[443:16:445:24:462:46:475:43:479:59:494:61:497:58:478:32:464:30:463:23:449:13]
405,0,20,33,42,405,16,0,13.4322,101.494,2.74882,91.1879,0.782339,11.3541,71.3399,13.6965,37.6492,2.74882,135.551,107.449,169.862,34.9166,25.2477,17.0906,[1:21:1:36:16:37:23:42:29:42:33:38:29:30:18:31:8:22]
759,245,31,283,64,759,0,0,30.2033,122.484,2.01378,107.967,0.904553,15.5434,97.662,21.9064,44.1145,2.01378,108.46,84.7655,149.872,37.9056,33.7913,31.6315,[253:32:246:40:248:47:264:60:279:64:283:59:283:52:259:32]
685,329,32,391,58,685,0,0,10.6002,304.903,5.3632,141.312,0.656556,14.7663,92.7791,12.7523,68.3931,5.3632,135.994,102.311,168.204,37.9822,30.5819,27.0861,[330:36:330:40:338:46:383:58:391:55:386:49:347:37:343:33:334:33]
6,498,34,500,38,6,4,0,0.222222,0.916667,2.03101,9.15527,0.948439,1.38198,8.68322,1.93943,3.93901,2.03101,170.667,112.667,182.833,8.07603,9.10433,3.5316,[500:35:500:38]
12,498,42,500,49,12,7,0,0.243056,3.16667,3.60951,14.8436,0.827286,1.95441,12.2799,2.05741,7.42626,3.60951,173.833,133.667,198.833,17.3869,12.7432,8.62973,[500:43:500:49]
5,387,43,390,46,5,0,0,0.4,0.4,1,8.04455,0.985345,1.26157,7.92665,2.52313,2.52313,1,173.2,111.4,176.4,8.08455,6.65132,8.42852,[389:44]
1092,0,45,39,84,1092,19,0,71.4947,124.627,1.32029,145.89,0.802957,18.6439,117.143,32.4513,42.8451,1.32029,120.646,85.7555,155.482,39.331,32.0305,28.4692,[36:53:32:49:20:46:5:49:3:58:12:67:8:69:1:66:1:84:18:84:26:74:32:72:39:62]
370,350,51,381,73,370,0,0,14.2148,70.2679,2.22335,81.612,0.83551,10.8524,68.1877,14.5563,32.3638,2.22335,147.678,110.427,176.111,22.2652,20.2045,19.3976,[351:54:367:73:381:68:381:65:371:57:358:52]
150,58,57,75,69,150,0,0,7.1162,20.2634,1.68745,44.991,0.964995,6.90988,43.4161,10.6386,17.9521,1.68745,156.3,124.86,182.94,12.7304,14.8706,15.1922,[75:61:68:58:59:65:59:68:69:69]
575,168,59,204,83,575,0,0,23.082,93.9474,2.01746,93.7742,0.906475,13.5288,85.0039,19.0496,38.4319,2.01746,118.259,87.0122,155.483,27.9586,23.4951,17.3634,[169:64:170:73:176:78:195:83:204:80:200:72:185:60:173:60]
6,498,70,500,74,6,4,0,0.222222,0.916667,2.03101,9.15527,0.948439,1.38198,8.68322,1.93943,3.93901,2.03101,167,120.667,178,6.21825,9.53357,10.3118,[500:71:500:74]
1,418,72,419,73,1,0,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,143,91,149,0,0,0,[419:73]
5,249,74,252,77,5,0,0,0.4,0.4,1,8.04455,0.985345,1.26157,7.92665,2.52313,2.52313,1,170,145,194,5.32917,3.63318,2.09762,[251:75]
366,396,74,421,95,366,0,0,24.2958,35.6836,1.21191,69.4499,0.976503,10.7936,67.8181,19.6093,23.7646,1.21191,131.801,103.601,168.377,22.6723,21.7253,17.5646,[404:75:397:87:401:92:410:95:421:83:415:77]
5,251,76,254,79,5,0,0,0.4,0.4,1,8.04455,0.985345,1.26157,7.92665,2.52313,2.52313,1,160.2,127.8,185.6,4.57821,6.36867,2.05913,[253:77]
7,371,79,374,82,7,0,0,0.489796,0.571429,1.08012,9.15527,1.02443,1.49271,9.37894,2.87255,3.10271,1.08012,137,100,164.286,5.2915,5.8064,7.28431,[374:81:372:82]
131,256,81,273,91,131,0,0,5.79181,19.4472,1.8324,43.4202,0.934435,6.45744,40.5733,9.5407,17.4824,1.8324,151.924,111.443,172.725,19.2733,20.7148,18.7877,[257:85:260:91:273:88:271:84:263:82]
1783,424,83,498,127,1783,0,0,109.638,280.603,1.5998,209.191,0.715546,23.8232,149.686,37.6702,60.2647,1.5998,122.086,88.0628,158.454,31.9935,26.5943,22.3749,[425:111:427:116:436:121:458:127:465:124:469:110:484:119:494:119:498:116:496:109:478:94:472:85:464:84:447:85:446:92:451:102:429:107]
5,427,86,430,89,5,0,0,0.4,0.4,1,8.04455,0.985345,1.26157,7.92665,2.52313,2.52313,1,168.2,124.2,181.4,5.56417,7.08237,6.74092,[429:87]
5,498,87,500,90,5,3,0,0.2,0.6,1.73205,7.81451,1.01435,1.26157,7.92665,1.91717,3.32063,1.73205,177.4,121.4,181.6,6.74092,7.49933,18.5321,[499:88:500:90]
1,426,91,427,92,1,0,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,166,117,180,0,0,0,[427:92]
1,486,95,487,96,1,0,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,150,103,194,0,0,0,[487:96]
570,83,101,110,130,570,0,0,41.2168,50.8863,1.11113,86.4197,0.979331,13.4698,84.6335,25.5571,28.3971,1.11113,134.239,96.6877,166.096,28.5265,22.7289,19.5989,[92:102:84:111:84:122:90:128:98:130:110:112:104:105]
1,67,108,68,109,1,0,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,172,138,193,0,0,0,[68:109]
5,68,108,71,111,5,0,0,0.4,0.4,1,8.04455,0.985345,1.26157,7.92665,2.52313,2.52313,1,183.4,147.4,207.4,8.61626,8.11419,11.2178,[70:109]
5,31,116,34,119,5,0,0,0.4,0.4,1,8.04455,0.985345,1.26157,7.92665,2.52313,2.52313,1,167,112.8,176.4,6.16441,6.43117,6.46838,[33:117]
4055,32,116,90,231,4055,0,0,161.216,841.243,2.28432,308.749,0.731131,35.927,225.736,47.5414,108.6,2.28432,107.868,72.5805,148.276,36.346,30.7665,26.3843,[62:117:48:119:37:131:33:141:40:161:37:180:41:194:49:196:39:222:43:230:55:231:59:216:88:203:90:180:83:172:76:170:73:156:67:151:72:138:72:128]
906,176,118,207,156,906,0,0,56.6168,92.1028,1.27545,106.952,0.997657,16.982,106.701,30.0737,38.3576,1.27545,131.679,94.6269,165.498,27.4685,21.6782,18.5086,[196:119:187:121:177:136:177:146:187:156:195:156:207:141:206:127]
1737,0,121,33,214,1737,93,0,62.2993,450.17,2.68811,210.818,0.700806,23.5139,147.742,28.6835,77.1043,2.68811,110.017,74.886,149.671,35.0567,28.1466,25.9356,[1:122:2:214:23:203:31:190:33:180:21:165:18:156:11:150:10:133]
5,19,121,22,124,5,0,0,0.4,0.4,1,8.04455,0.985345,1.26157,7.92665,2.52313,2.52313,1,174.2,122.4,190,2.31517,2.6533,3.16228,[21:122]
3700,96,126,172,215,3700,0,0,244.847,547.61,1.49551,302.41,0.713033,34.3183,215.628,56.1257,83.9364,1.49551,124.758,91.6235,161.511,34.3707,28.7246,25.4972,[122:127:111:141:106:152:106:161:99:170:98:191:107:199:118:198:129:191:130:204:137:213:154:214:166:206:172:192:172:179:166:168:160:164:144:178:134:176:139:147:131:133]
5,303,126,306,129,5,0,0,0.4,0.4,1,8.04455,0.985345,1.26157,7.92665,2.52313,2.52313,1,173.2,115,185.4,4.26146,4.93964,1.95959,[305:127]
5,307,126,310,129,5,0,0,0.4,0.4,1,8.04455,0.985345,1.26157,7.92665,2.52313,2.52313,1,167.6,111.6,177.6,2.15407,2.57682,3.92938,[309:127]
1225,271,130,305,177,1225,0,0,70.9357,147.709,1.44302,148.016,0.838234,19.7466,124.072,32.8766,47.4415,1.44302,118.231,86.5143,157.509,34.1123,29.0872,25.1844,[295:131:282:133:276:139:272:151:273:167:283:177:292:176:304:158:305:144:302:136]
2623,221,131,285,213,2623,0,0,102.625,619.665,2.45726,243.781,0.744738,28.8951,181.553,36.8662,90.59,2.45726,137.732,101.231,169.589,26.5468,22.4426,18.7756,[232:133:222:144:222:172:232:180:233:192:243:201:253:201:259:210:278:212:284:203:284:190:278:185:271:185:265:189:260:187:257:169:251:159:249:138:241:132]
5,371,132,374,135,5,0,0,0.4,0.4,1,8.04455,0.985345,1.26157,7.92665,2.52313,2.52313,1,173.6,125.4,189.8,4.17612,6.18385,6.24179,[373:133]
