NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
334,232,0,268,15,334,19,0,10.1812,82.7707,2.85128,84.9442,0.762684,10.3109,64.7856,12.2126,34.8216,2.85128,75.3743,52.3772,125.269,24.7172,18.2646,19.6603,[233:1:253:15:266:14:268:10:266:4:256:6:251:1]
180,315,15,337,27,180,0,0,6.25592,34.9842,2.36478,55.0269,0.864303,7.5694,47.5599,9.84456,23.2802,2.36478,88.3278,63.0667,139.156,22.3291,18.6954,20.8694,[316:19:319:25:334:27:337:24:334:19:320:16]
234,132,20,147,40,234,0,0,11.4192,31.3106,1.65587,57.4784,0.943427,8.63044,54.2267,13.4137,22.2114,1.65587,46.6538,33.9359,99.1538,23.13,23.7341,30.5414,[145:21:139:21:134:26:135:40:143:39:147:28]
368,409,27,428,54,368,0,0,17.2771,51.3729,1.72438,74.1229,0.917438,10.823,68.0031,16.484,28.4246,1.72438,74.1875,51.2527,120.19,24.3643,22.9309,23.7424,[413:28:410:31:411:43:419:52:427:53:426:34]
306,383,38,408,57,306,0,0,13.7193,44.2004,1.79493,66.7684,0.928741,9.86929,62.0106,14.733,26.4447,1.79493,74.6307,48.5752,123.212,18.188,14.613,17.1124,[384:44:385:49:392:55:405:57:408:53:406:48:393:39]
129,485,58,500,70,129,5,0,7.40463,15.0934,1.42772,42.3094,0.951618,6.40796,40.2624,10.7258,15.3134,1.42772,76.0155,55.1395,130.868,15.0003,14.6968,15.7944,[500:59:493:59:486:66:495:70]
329,158,82,179,102,329,0,0,24.459,28.9925,1.08874,66.0783,0.97307,10.2335,64.2988,19.6151,21.3558,1.08874,53.0213,40.0426,97.4012,30.7915,30.6247,37.4819,[166:83:159:96:163:101:174:102:179:95:178:85]
713,100,89,127,125,713,0,0,35.0781,94.8389,1.64428,101.129,0.936,15.065,94.6563,23.497,38.6356,1.64428,76.8513,48.4151,124.403,20.9725,14.2449,15.1416,[120:90:113:90:108:95:101:114:101:121:106:125:120:122:126:112:127:102]
35,465,100,473,106,35,0,0,1.56494,4.99016,1.7857,22.1028,0.948838,3.33779,20.972,4.99557,8.92058,1.7857,69.9429,52.9143,122.686,20.4673,13.9353,14.8358,[466:105:472:104:473:101:468:101]
478,138,101,168,123,478,0,0,27.0257,56.1022,1.44079,81.382,0.952337,12.335,77.5031,20.5527,29.6121,1.44079,71.5293,50.2406,121.985,30.1837,23.8327,26.681,[168:112:152:102:141:111:139:119:143:123:165:120]
465,293,106,319,135,465,0,0,35.964,45.1007,1.11984,85.4043,0.895059,12.1661,76.4419,22.9934,25.749,1.11984,78.1462,50.4344,128.034,21.4721,18.95,22.4672,[305:107:299:112:294:125:297:135:308:133:319:126]
35,487,114,494,120,35,0,0,2.02386,3.72797,1.35721,20.762,1.01011,3.33779,20.972,5.73015,7.777,1.35721,63.6857,47.6857,117.429,16.8146,12.3838,13.434,[494:116:490:115:488:120:492:120]
125,210,123,221,139,125,0,0,6.00622,17.5064,1.70725,42.3094,0.936748,6.30783,39.6333,9.6552,16.4839,1.70725,96.64,71.168,139.32,35.2205,33.8596,35.9305,[212:124:212:137:218:139:221:133]
128,227,123,236,144,128,0,0,3.55149,31.6294,2.98428,49.1085,0.816682,6.38308,40.1061,7.38993,22.0536,2.98428,85.9062,61.125,136.477,23.3544,18.3503,22.367,[234:124:231:125:229:144:235:140]
50,191,138,204,146,50,0,0,1.55792,12.5021,2.83282,32.0435,0.782259,3.98942,25.0663,4.74057,13.4292,2.83282,98.48,71.48,147.28,20.7598,15.3522,15.1341,[192:141:204:145:199:140]
366,250,145,272,168,366,0,0,22.1841,38.7411,1.32149,69.2199,0.979748,10.7936,67.8181,18.7786,24.8158,1.32149,80.3224,52.2459,130.861,14.6287,11.2808,14.0481,[256:146:251:150:251:155:255:162:264:168:272:162:271:155:266:147]
454,29,150,57,174,454,0,0,28.3432,63.1999,1.49326,95.4402,0.79141,12.0213,75.5323,19.6751,29.3799,1.49326,83.7974,53.5881,129.379,26.5533,18.4552,20.4874,[32:151:30:166:37:174:45:174:56:168:57:155:54:152:49:159:44:160]
373,84,154,107,179,373,0,0,28.5213,40.5613,1.19254,79.4859,0.861329,10.8963,68.4635,19.956,23.7983,1.19254,84.9893,60.9651,133.938,24.932,23.9058,22.1945,[100:155:95:155:88:163:85:173:87:179:93:173:101:176:107:174:104:159]
60,448,162,456,171,60,0,0,3.40788,6.67073,1.39909,27.7911,0.988039,4.37019,27.4587,7.38939,10.3384,1.39909,101.283,79.65,150.633,24.3421,20.2648,19.1172,[450:163:450:169:456:171:455:164]
54,492,179,500,187,54,8,0,3.8177,5.1703,1.16374,27.5611,0.94516,4.14593,26.0496,7.68641,8.945,1.16374,73.2778,49.6667,124.852,18.8133,12.655,13.6482,[500:180:493:182:493:186:500:187]
556,149,183,173,212,556,0,0,38.2433,52.3524,1.17001,86.0549,0.971329,13.3034,83.5877,24.5978,28.7798,1.17001,69.6709,47.1151,117.277,29.9141,26.4356,29.1181,[160:184:151:192:150:206:162:212:169:212:173:193:168:187]
799,433,190,465,225,799,0,0,44.1205,97.034,1.483,108.388,0.924481,15.9477,100.202,26.1913,38.8418,1.483,85.7584,55.7247,134.483,21.6206,16.6787,19.2115,[437:192:434:197:435:216:444:222:456:225:463:223:465:216:457:198:452:194]
491,291,192,321,220,491,0,0,20.6254,80.2535,1.97256,88.3158,0.88942,12.5016,78.5499,17.8025,35.1165,1.97256,77.3523,47.6538,125.458,18.3277,13.4837,15.4387,[292:194:293:202:307:220:321:214:319:206:307:196]
231,235,202,256,218,231,0,0,13.9699,25.3915,1.34818,56.2724,0.957449,8.57494,53.8779,14.7702,19.9129,1.34818,74.697,52.4675,125.377,24.4064,18.5803,19.6429,[241:203:236:212:246:218:256:207]
285,271,217,294,236,285,0,0,19.9392,34.117,1.30807,68.7598,0.870347,9.52462,59.8449,16.6556,21.7868,1.30807,71.5684,38.9228,109.818,26.9741,18.1273,23.5414,[272:235:292:233:294:227:277:218]
887,26,232,61,263,887,0,0,62.498,81.1383,1.13941,107.372,0.983274,16.803,105.576,31.4831,35.8721,1.13941,71.7249,40.7159,120.273,20.8321,13.8349,18.5,[55:234:44:233:28:239:27:253:33:262:50:263:60:255:61:248]
154,202,238,219,251,154,0,0,6.84279,21.9654,1.79165,46.3317,0.949482,7.00141,43.9911,10.4614,18.7431,1.79165,88.1558,57.2338,133.604,15.5313,9.34045,10.1299,[203:241:208:249:219:249:216:242:209:239]
227,150,243,166,271,227,0,0,10.1526,51.3362,2.24866,70.6559,0.755908,8.50037,53.4094,11.3372,25.4935,2.24866,90.2819,61.5154,139.159,20.1011,16.0037,17.687,[157:244:151:250:159:257:163:271:166:248]
140,255,249,269,264,140,0,0,10.1302,13.7485,1.16498,44.991,0.932274,6.67558,41.9439,12.3697,14.4105,1.16498,103.029,77.0571,149.336,27.6746,18.5522,15.3728,[263:250:256:257:260:264:269:262]
