NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
103,18,0,44,5,103,26,0,1.79092,41.1102,4.79112,53.7814,0.668946,5.7259,35.9769,5.23185,25.0664,4.79112,110.117,80.1748,155.563,22.46,20.9708,18.3751,[19:1:22:5:34:5:44:1]
435,77,0,107,27,435,3,0,19.1408,73.6504,1.96158,88.0858,0.839351,11.7671,73.9349,16.8034,32.9612,1.96158,128.533,82.0782,158.257,19.1528,17.5806,18.0262,[78:1:81:12:90:23:97:27:105:24:107:17:102:9:90:8]
2,133,0,135,1,2,2,0,0,0.25,0,4.57764,1.09516,0.797885,5.01326,0,0,0,135.5,98,174,7.5,4,1,[134:1]
1148,132,0,174,60,1148,6,0,79.9237,226.976,1.6852,181.17,0.662964,19.116,120.109,29.451,49.6309,1.6852,113.992,83.3911,152.199,40.4406,31.6389,34.2823,[137:1:139:12:133:38:137:51:151:60:162:56:173:46:174:40:167:33:151:39:145:37:148:19:142:1]
220,158,0,177,15,220,17,0,13.4755,24.1255,1.33803,56.1376,0.936617,8.36828,52.5795,14.4689,19.3597,1.33803,104.168,78.4818,149.318,16.4785,15.6634,17.4319,[159:1:163:12:171:15:176:12:175:1]
395,229,0,269,18,395,22,0,12.7651,98.7028,2.78069,94.3295,0.746889,11.213,70.4536,13.4486,37.3964,2.78069,82.9797,57.1747,129.342,29.3889,20.8029,21.7441,[230:1:258:18:262:18:269:9:267:4:256:6:251:1]
548,301,3,337,29,548,0,0,20.1352,95.7068,2.18018,94.2342,0.880616,13.2073,82.9842,17.8895,39.0025,2.18018,106.619,75.9818,150.473,26.2563,20.776,19.3909,[302:11:309:20:326:29:337:25:337:21:330:13:314:4:309:4]
330,476,5,500,23,330,7,0,19.6773,36.5268,1.36246,66.8637,0.9631,10.249,64.3964,17.5611,23.9262,1.36246,129.479,93.2758,164.194,20.1687,18.6681,18.0536,[499:7:480:8:477:14:482:21:492:23:500:14]
381,408,27,428,54,381,0,0,17.9987,52.8702,1.7139,75.4636,0.916917,11.0125,69.1938,16.8238,28.8344,1.7139,76.1575,53.2493,122.034,26.2347,25.0893,25.4954,[413:28:409:32:410:42:420:53:427:53:426:34]
679,18,31,58,53,679,0,0,28.4842,105.204,1.92182,100.573,0.918454,14.7014,92.3719,21.2096,40.7612,1.92182,121.454,76.1753,153.193,19.161,14.4857,13.8287,[19:42:26:51:43:53:52:51:58:43:51:34:24:33]
1042,327,32,364,75,1042,0,0,58.7324,120.051,1.4297,122.255,0.935989,18.2121,114.43,30.4626,43.5523,1.4297,127.846,98.9587,166.46,38.4312,32.6671,27.4649,[353:33:342:36:329:59:329:65:335:67:342:75:349:73:357:65:364:51:362:39]
38,322,36,327,46,38,0,0,1.41632,6.43133,2.13093,23.9989,0.910553,3.4779,21.8523,4.76499,10.1539,2.13093,97.1053,64.6053,131.289,17.8116,10.7349,16.2916,[326:37:324:46:327:44]
58,244,38,254,48,58,0,0,2.24174,9.79394,2.09019,30.1473,0.895509,4.29674,26.9972,5.94396,12.424,2.09019,122.931,84.9655,148.466,15.9804,14.9896,16.5761,[246:39:246:44:253:48:249:39]
327,383,38,408,57,327,0,0,15.7174,44.0501,1.67411,67.3238,0.952161,10.2023,64.1031,15.7702,26.401,1.67411,77.2966,50.6606,124.81,20.6285,16.6008,18.3116,[384:44:384:48:391:56:405:57:408:54:407:49:393:39]
261,477,57,500,72,261,15,0,12.1296,40.587,1.82924,64.8328,0.883345,9.11476,57.2697,13.4784,24.6553,1.82924,94.1379,70.5785,144.103,25.7007,22.7013,21.9824,[478:59:485:68:500:72:500:58]
275,109,63,141,77,275,0,0,9.17687,61.8067,2.5952,74.1229,0.793084,9.35603,58.7856,11.6155,30.1444,2.5952,106.229,72.1782,144.924,24.0261,20.7131,21.8419,[110:75:116:77:141:73:136:67:124:64]
338,158,82,179,102,338,0,0,26.2264,28.742,1.04686,66.6337,0.978069,10.3725,65.1723,20.2754,21.2255,1.04686,54.5799,40.5621,98.2189,31.8706,30.6339,37.4557,[166:83:159:96:163:101:177:101:178:85]
141,264,84,273,102,141,0,0,5.76985,22.1929,1.96122,45.0862,0.933621,6.69938,42.0934,9.56758,18.7641,1.96122,134.986,99.6596,169.277,20.0768,19.5622,19.0155,[270:85:265:88:266:102:273:97:273:87]
1207,78,89,127,125,1207,0,0,65.1478,158.065,1.55764,134.513,0.915577,19.601,123.157,31.4105,48.9263,1.55764,90.6661,57.8492,134.044,26.6844,18.3865,19.9328,[127:101:122:91:113:90:100:100:85:102:79:112:90:122:113:125:122:120]
1467,293,89,343,135,1467,0,0,78.8497,202.891,1.6041,158.512,0.856562,21.6093,135.775,34.1235,54.7376,1.6041,116.392,79.8112,153.353,34.7345,27.2382,25.3876,[342:101:330:92:314:91:304:100:294:125:296:134:315:131:320:127:321:119:339:121:343:113]
717,460,98,500,127,717,5,0,36.5387,97.437,1.633,106.396,0.89215,15.1072,94.9215,23.6441,38.6107,1.633,111.665,80.3849,152.51,30.0614,21.8,22.5846,[467:101:462:108:461:116:468:120:476:120:484:127:500:113:497:106:488:106:476:99]
