NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
105,18,0,44,5,105,26,0,1.78203,42.6443,4.89184,53.7814,0.675409,5.78122,36.3245,5.22773,25.5733,4.89184,110.457,80.2381,155.686,22.4134,20.7807,18.2336,[19:1:22:5:40:4:44:1]
606,76,0,114,28,606,6,0,23.9331,105.072,2.09529,102.374,0.852415,13.8887,87.2652,19.1898,40.2081,2.09529,135.182,86.4934,161.807,21.6757,18.8131,18.9982,[77:1:81:17:91:26:109:28:114:22:104:10]
32,90,0,104,3,32,14,0,0.544475,12.7524,4.83957,28.9019,0.693832,3.19154,20.053,2.90153,14.0421,4.83957,138.344,93.5,166.375,16.5333,15.2295,18.1775,[91:1:104:1]
1399,123,0,174,62,1399,20,0,83.9328,308.831,1.9182,199.901,0.663283,21.1025,132.591,30.4731,58.4536,1.9182,120.971,88.0515,156.301,40.1421,30.9537,32.9578,[124:1:136:13:133:32:136:56:144:62:162:56:173:46:172:37:167:33:147:37:145:32:148:18:143:1]
232,156,0,177,15,232,19,0,13.6265,27.4164,1.41845,58.8192,0.917974,8.59348,53.9944,14.4309,20.4694,1.41845,105.586,79.3534,149.616,17.338,15.9918,17.3447,[157:1:164:13:173:15:176:12:175:1]
399,228,0,269,18,399,23,0,12.752,101.773,2.82506,96.2256,0.735869,11.2697,70.8095,13.41,37.8839,2.82506,83.5514,57.5489,129.629,29.8002,21.0807,21.8965,[229:1:258:18:262:18:269:9:267:4:256:6:251:1]
607,301,0,337,29,607,6,0,23.1363,104.944,2.12977,97.7012,0.893922,13.9001,87.3372,19.0495,40.571,2.12977,110.415,78.9835,152.552,27.9124,22.416,20.1584,[302:9:307:19:323:28:331:29:337:25:335:18:313:1:308:1]
518,472,0,500,24,518,32,0,32.5414,54.2591,1.29127,84.1588,0.958672,12.8407,80.6807,22.6001,29.1829,1.29127,139.002,99.3417,168.936,22.3142,18.5913,17.7486,[482:1:474:11:473:17:482:22:493:23:500:14:500:1]
919,17,21,59,54,919,0,0,56.056,101.335,1.34452,114.996,0.934499,17.1034,107.464,29.5004,39.664,1.34452,129.045,81.6366,157.237,22.0357,16.6427,14.9658,[20:37:18:44:27:53:52:52:59:43:54:34:35:22]
209,110,23,128,44,209,0,0,8.30037,34.3724,2.03496,57.8432,0.885984,8.15639,51.2481,11.4354,23.2705,2.03496,143.828,85.7847,160.402,13.8729,12.641,14.7191,[115:24:111:29:113:36:121:43:127:43:128:39:124:32]
426,403,27,428,54,426,0,0,23.2762,54.8759,1.53545,81.612,0.896511,11.6447,73.1661,18.795,28.8587,1.53545,83.9577,60.0188,127.418,34.1925,31.3849,29.7328,[411:29:405:40:420:53:427:53:426:34:417:28]
1112,326,32,364,76,1112,0,0,58.4504,136.683,1.5292,125.492,0.941977,18.8138,118.211,30.4281,46.5307,1.5292,128.827,99.5791,167.028,37.8763,32.1334,27.32,[353:33:345:34:338:40:327:64:330:70:340:76:349:73:357:65:364:51:362:39]
138,243,34,257,49,138,0,0,5.81687,21.0923,1.90422,44.991,0.925591,6.62773,41.6432,9.60586,18.2917,1.90422,134.145,94.3333,159.899,22.0403,19.4397,19.6702,[245:35:247:46:257:48:257:43]
96,318,35,328,48,96,0,0,5.51199,10.9514,1.40955,35.8357,0.969225,5.52791,34.7329,9.31215,13.126,1.40955,118.167,78.0104,146.698,26.7639,18.4043,20.1469,[322:36:319:43:325:48:328:38]
346,383,38,408,58,346,0,0,17.5279,44.3073,1.58991,69.2199,0.952603,10.4945,65.9391,16.6459,26.4655,1.58991,80.2486,53.0434,126.89,23.6118,19.1109,20.1672,[384:44:391:57:403:58:408:54:407:49:394:39]
400,476,47,500,72,400,25,0,33.0955,38.962,1.08502,80.6919,0.878628,11.2838,70.8982,21.6654,23.5073,1.08502,112.787,88.2675,156.893,35.0227,31.7211,25.7522,[478:57:477:60:482:66:500:72:500:48:493:48:485:56]
316,108,63,143,78,316,0,0,11.1346,77.5613,2.63928,82.7228,0.761769,10.0293,63.0157,12.3468,32.5868,2.63928,109.782,74.8797,147.402,25.8062,22.213,22.3104,[109:74:111:77:133:74:140:78:143:75:139:69:128:64]
160,441,66,463,81,160,0,0,5.01818,39.9866,2.82283,56.2724,0.796837,7.1365,44.8399,8.49519,23.9804,2.82283,143.287,99.5563,167.794,14.7768,11.3582,9.6476,[463:68:459:67:443:74:442:79:452:80]
508,246,81,275,105,508,0,0,31.9659,52.1579,1.27737,82.1674,0.972383,12.7162,79.8982,22.5024,28.7439,1.27737,146.402,108.781,174.63,21.5683,21.4977,19.13,[272:85:263:82:251:87:247:91:247:96:259:105:268:104:275:95]
338,158,82,179,102,338,0,0,26.2264,28.742,1.04686,66.6337,0.978069,10.3725,65.1723,20.2754,21.2255,1.04686,54.5799,40.5621,98.2189,31.8706,30.6339,37.4557,[166:83:159:96:163:101:177:101:178:85]
1229,78,89,127,125,1229,0,0,66.0377,163.944,1.57562,136.179,0.91258,19.7788,124.274,31.5141,49.6543,1.57562,91.6412,58.3393,134.526,27.4868,18.6127,20.1445,[127:101:122:91:113:90:100:100:82:102:79:112:90:122:113:125:122:120]
1530,293,89,344,135,1530,0,0,85.7518,201.697,1.53366,164.2,0.844457,22.0684,138.66,35.6399,54.6594,1.53366,117.52,80.4869,153.919,34.6087,27.0584,25.242,[342:101:330:92:312:92:304:100:294:125:296:134:320:132:321:119:340:121:344:113]
88,287,98,297,109,88,0,0,6.45119,7.58368,1.08423,33.1542,1.00302,5.29257,33.2542,10.1657,11.0219,1.08423,151.284,94.8295,166.727,8.67723,8.10054,9.34774,[290:99:288:106:293:109:297:102]
777,460,98,500,129,777,5,0,44.9685,93.2522,1.44004,108.523,0.910533,15.7266,98.8133,26.2107,37.7445,1.44004,114.111,82.1248,153.862,30.471,22.0717,22.484,[467:101:462:108:461:116:482:129:500:113:497:106:488:106:476:99]
1119,137,101,178,148,1119,0,0,49.9821,175.426,1.87344,136.314,0.869923,18.873,118.582,27.5772,51.6642,1.87344,99.8043,64.3691,139.242,36.5454,23.6318,26.9201,[149:103:141:111:138:119:151:128:151:138:155:144:170:148:178:136:168:121:168:112:157:103]
497,0,112,27,138,497,13,0,25.8004,63.8008,1.57253,84.9442,0.930356,12.5778,79.0284,20.0601,31.5452,1.57253,115.445,81.5392,154.537,21.5532,20.3364,16.3493,[22:113:1:126:1:138:18:137:23:134:27:120]
746,210,113,236,149,746,0,0,43.183,83.0108,1.38647,99.2325,0.975709,15.4097,96.8221,26.1739,36.2894,1.38647,102.401,71.8646,144.117,28.0546,25.6112,26.3346,[216:114:211:119:212:139:215:145:225:149:235:140:236:126:226:115]
151,125,126,138,146,151,0,0,4.73213,35.3572,2.73345,53.1308,0.819874,6.93288,43.5606,8.38665,22.9244,2.73345,139.675,93.4503,165.026,16.4464,20.5886,18.3397,[126:128:130:144:137:146:138:142:132:134:132:128]
837,181,138,210,178,837,0,0,44.2501,104.706,1.53826,108.618,0.944206,16.3225,102.558,26.321,40.4886,1.53826,127.65,89.6643,160.719,31.2704,24.9949,22.321,[194:139:187:144:182:154:182:164:193:176:204:178:210:170:207:165:206:148:203:142]
689,241,142,272,173,689,0,0,37.92,83.5563,1.48442,98.6771,0.94297,14.8093,93.0496,24.3101,36.0863,1.48442,95.5312,62.5341,138.086,25.0668,19.2694,18.8489,[244:148:242:157:262:173:272:171:272:157:266:146:251:143]
