NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
98,18,0,43,5,98,25,0,1.73336,38.5109,4.71354,51.8853,0.676353,5.58519,35.0928,5.14511,24.2517,4.71354,108.939,79.5204,154.918,22.1612,20.8665,18.4023,[19:1:23:5:43:1]
204,159,0,177,14,204,15,0,12.3927,22.1815,1.33787,52.9008,0.957102,8.05824,50.6314,13.9336,18.6413,1.33787,102.441,77.1618,148.794,15.5803,15.0593,17.5289,[160:1:164:12:176:12:174:1]
358,229,0,268,15,358,22,0,10.0563,95.9497,3.0889,90.6326,0.740052,10.675,67.0728,12.1477,37.5231,3.0889,78.1257,53.986,126.598,26.1831,18.7922,19.9799,[230:1:253:15:264:15:268:10:266:4:256:6:251:1]
495,304,4,337,28,495,0,0,18.218,85.5209,2.16664,88.6412,0.889758,12.5524,78.8692,17.0555,36.9531,2.16664,104.002,74.1939,149.36,25.6206,20.3045,19.3987,[305:8:306:16:317:25:325:28:337:25:334:17:327:11:311:5]
267,479,6,500,23,267,6,0,16.116,28.994,1.3413,60.39,0.959171,9.21893,57.9243,15.9202,21.3537,1.3413,128.742,92.8914,164.213,21.3954,19.7522,18.81,[500:8:484:9:480:17:485:22:492:23:498:17]
181,89,8,103,24,181,0,0,11.8265,17.8021,1.2269,47.4424,1.00526,7.59039,47.6919,13.7054,16.8151,1.2269,117.829,72.9724,150.89,18.4064,16.7871,18.5287,[94:9:90:17:96:24:101:24:103:13:100:9]
792,132,18,173,56,792,0,0,48.9292,157.012,1.79136,139.781,0.713708,15.8777,99.7625,23.7261,42.502,1.79136,103.713,76.5088,145.073,42.4286,34.0105,37.5616,[138:20:134:26:133:38:150:56:161:56:172:47:173:40:167:33:148:41:144:37:148:23:142:19]
376,408,27,428,54,376,0,0,17.8103,52.1887,1.7118,74.9083,0.917633,10.94,68.7383,16.7233,28.627,1.7118,75.3165,52.4229,121.274,25.3462,24.137,24.7277,[413:28:409:32:410:42:422:54:427:53:426:34]
432,22,32,56,50,432,0,0,16.272,76.1962,2.16394,83.0481,0.887191,11.7265,73.6795,15.9431,34.5001,2.16394,113.759,70.3171,148.708,17.2523,12.9807,13.5491,[23:35:26:42:43:50:53:47:56:43:48:34]
538,330,32,364,72,538,0,0,79.3535,114.532,1.20138,169.928,0.483873,13.0863,82.2235,23.8784,28.6871,1.20138,107.046,82.0762,154.143,29.6174,24.118,23.3627,[353:33:345:34:339:39:331:57:334:59:338:56:340:46:347:38:356:39:359:46:344:63:346:72:357:65:364:51:362:39]
