NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
96,455,90,466,107,96,0,0,4.37253,18.2809,2.04471,43.3249,0.801684,5.52791,34.7329,7.73169,15.8091,2.04471,114,61.2604,118.01,23.3385,12.5268,12.8667,[459:91:456:101:463:107:466:104:461:99:462:93]
116,33,459,46,471,116,0,0,7.06551,12.5616,1.33337,40.1833,0.950142,6.07651,38.1798,10.5247,14.0333,1.33337,140,70.4741,124.526,25.9316,17.023,17.9085,[34:463:34:467:45:471:45:462:39:460]
79,152,297,161,309,79,0,0,4.52743,8.9108,1.40292,33.1542,0.950343,5.01463,31.5078,8.46745,11.8791,1.40292,134.304,72.5063,127,29.5135,17.3781,17.1235,[155:298:153:307:159:309:160:302]
121,142,31,153,49,121,0,0,4.48832,22.835,2.25558,46.1017,0.845826,6.20609,38.994,8.26454,18.6413,2.25558,95.5372,56.2645,113.694,34.3003,21.2295,23.0231,[150:32:143:40:145:49:150:45:153:34]
234,87,84,104,104,234,0,0,16.1363,22.3617,1.1772,56.8278,0.954229,8.63044,54.2267,15.9088,18.7278,1.1772,118.115,66.6453,120.645,27.3588,21.5809,20.6879,[92:85:88:96:94:104:103:99:104:92]
259,429,148,447,172,259,0,0,16.2539,31.8925,1.40076,69.5452,0.820328,9.07977,57.0499,15.3434,21.4925,1.40076,87.7838,43.1081,100.019,25.4878,14.0062,16.5227,[437:149:430:156:430:162:434:164:437:172:441:172:441:162:447:161:447:158]
130,420,192,432,206,130,0,0,7.72928,13.9172,1.34186,41.524,0.973368,6.43275,40.4182,11.1064,14.9032,1.34186,112.369,65.7,121.238,30.7091,21.8339,20.314,[425:193:421:199:422:205:428:206:432:196]
255,474,119,493,137,255,0,0,18.7571,22.2081,1.08811,57.9385,0.97703,9.00939,56.6076,17.2738,18.7959,1.08811,57.2314,29.7765,75.1804,29.7131,16.623,22.8202,[486:120:475:125:476:132:482:137:490:135:493:129:491:123]
288,394,94,414,114,288,0,0,18.7531,28.8093,1.23945,61.9607,0.970922,9.57461,60.1591,17.2003,21.319,1.23945,56.1181,26.8958,69.2118,28.5393,14.0165,21.6205,[410:95:395:101:397:111:406:114:411:109:414:100]
172,428,88,443,103,172,0,0,12.9251,14.5754,1.06192,46.8871,0.991553,7.39928,46.491,14.3606,15.2498,1.06192,85.436,44.2384,102.337,26.5777,15.4052,17.1098,[435:89:429:95:430:101:439:103:443:98:442:92]
225,466,81,483,100,225,0,0,13.0279,24.8656,1.38153,56.0424,0.948811,8.46284,53.1736,14.4001,19.8942,1.38153,63.2889,30.9333,82.3822,30.1854,17.2956,21.6597,[480:83:475:82:467:92:468:98:475:100:481:95:483:87]
