NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
210,80,0,99,14,210,17,0,12.8021,23.54,1.35601,54.7969,0.937473,8.17588,51.3706,14.0421,19.0413,1.35601,116.643,58.5,124.714,37.4832,27.4751,22.5322,[81:8:84:14:91:14:96:10:99:1:83:1]
648,97,0,127,33,648,8,0,31.7516,88.9502,1.67375,99.4625,0.907263,14.3619,90.2386,22.2023,37.161,1.67375,116.733,59.929,126.358,31.2421,23.8254,22.556,[124:4:118:1:109:2:99:19:99:33:124:21:127:12]
225,239,0,271,10,225,32,0,7.22216,53.2173,2.71452,69.6405,0.763544,8.46284,53.1736,10.2731,27.8864,2.71452,121.009,53.2533,119.876,19.1954,13.14,12.6573,[240:1:252:10:264:9:271:1]
792,557,0,600,28,792,36,0,33.411,128.092,1.95801,115.972,0.860228,15.8777,99.7625,22.6939,44.435,1.95801,120.428,55.3409,122.564,21.0712,12.8395,13.3629,[600:1:571:2:565:7:558:24:569:24:577:28:600:10]
509,490,5,517,28,509,0,0,33.0515,49.9802,1.22971,81.4773,0.981583,12.7287,79.9768,22.9568,28.2303,1.22971,126.955,65.3851,130.46,23.9214,18.2677,16.0228,[493:10:491:22:496:27:506:28:517:23:517:14:513:8:503:6]
403,45,29,68,53,403,0,0,26.2003,40.3762,1.24139,73.0121,0.974681,11.326,71.1635,20.3307,25.2384,1.24139,67.6402,35.2829,89.7816,45.1332,28.0708,38.9484,[60:30:47:40:47:51:57:53:67:47:67:36]
1049,127,30,164,68,1049,0,0,81.5984,87.2477,1.03404,117.773,0.97487,18.2731,114.813,35.9397,37.163,1.03404,119.054,58.4728,123.929,28.5307,18.7937,18.1823,[148:31:138:34:129:41:130:60:137:68:157:65:164:54:164:47]
678,8,32,35,63,678,0,0,46.5108,62.707,1.16113,92.2034,1.00109,14.6906,92.3038,27.2665,31.66,1.16113,107.782,55.5885,119.271,30.8306,24.396,24.3136,[19:33:10:42:9:53:14:61:28:63:35:52:35:42:28:34]
828,528,34,585,72,828,0,0,20.1169,290.97,3.80315,156.846,0.650351,16.2345,102.005,16.6494,63.3201,3.80315,114.986,52.6292,117.641,30.8962,19.4358,19.0184,[583:36:561:37:558:48:543:54:529:68:530:72:551:65:561:59:566:52:584:50]
1087,212,35,250,71,1087,0,0,77.9131,96.2842,1.11166,117.543,0.994312,18.6012,116.874,35.2845,39.2244,1.11166,114.35,53.9871,118.813,24.7261,18.7821,17.9677,[242:38:231:36:216:45:213:61:218:68:224:71:238:71:245:66:250:56:250:48]
1190,384,37,437,78,1190,0,0,70.4871,175.812,1.57932,171.594,0.71265,19.4625,122.286,30.9738,48.9174,1.57932,112.461,54.8143,120.192,31.9674,23.2393,21.4467,[399:38:386:48:385:56:390:62:395:62:400:71:407:70:407:74:415:78:435:59:437:52:423:51:414:60:414:54:409:52:412:42:406:38]
835,77,44,121,74,835,0,0,34.1001,134.655,1.98716,113.656,0.901276,16.303,102.435,23.1303,45.9637,1.98716,112.673,44.5808,109.703,23.5861,14.4784,15.8394,[119:50:111:45:99:46:87:53:78:65:84:73:91:74:119:61]
418,347,51,373,71,418,0,0,24.7948,45.134,1.34918,73.8928,0.980823,11.5349,72.4758,19.8613,26.7965,1.34918,97.8086,45.5909,110.297,26.4468,17.7476,17.0437,[370:52:352:55:348:59:349:66:356:71:368:69:373:64]
1431,156,52,200,93,1431,0,0,98.1002,132.504,1.1622,135.624,0.988757,21.3425,134.099,39.5945,46.0166,1.1622,120.107,55.7289,121.709,36.6973,24.2948,23.331,[197:59:183:53:166:58:157:71:160:87:172:93:180:93:196:85:200:79:200:64]
349,45,81,67,103,349,0,0,18.534,42.5936,1.51596,68.9899,0.959914,10.5399,66.2243,17.1208,25.9544,1.51596,110.467,52.6877,115.324,40.7478,26.5557,25.0851,[66:84:51:84:46:92:47:101:52:103:67:92]
