NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
174,216,153,233,167,174,0,0,11.9439,16.2923,1.16793,48.7832,0.958538,7.44217,46.7605,13.7727,16.0857,1.16793,151.333,82.9023,131.368,18.2484,14.7795,12.4841,[231:156:221:156:217:160:220:166:232:166]
282,201,166,224,182,282,0,0,14.5808,35.1257,1.55211,62.8414,0.947291,9.47435,59.5291,15.2096,23.607,1.55211,143.649,74.539,124.099,22.67,16.3423,13.6404,[202:171:207:181:224:180:224:174:215:167]
153,531,214,543,232,153,0,0,8.2761,18.9549,1.51338,47.4424,0.924238,6.97864,43.8481,11.3456,17.1702,1.51338,141.752,67.7647,115.418,22.0262,13.0031,17.0093,[538:215:533:218:532:225:540:232:543:218]
78,205,567,215,578,78,0,0,5.3951,7.2525,1.15943,32.5988,0.960396,4.98279,31.3078,9.25508,10.7306,1.15943,120.038,54.2051,107.654,8.2095,4.72136,4.2902,[210:568:206:573:209:578:215:573]
622,309,419,352,442,622,0,0,28.2937,102.164,1.90023,107.047,0.825897,14.0708,88.4097,20.4149,38.793,1.90023,121.333,57.5675,107.407,23.8912,14.3983,13.1914,[310:434:316:441:326:442:334:439:339:433:351:432:352:429:349:426:321:420:311:426]
199,330,500,348,516,199,0,0,11.3773,22.5468,1.40774,52.2501,0.957071,7.95887,50.0071,13.4159,18.8861,1.40774,144.171,85.4774,135.432,20.9796,15.421,12.5584,[333:503:331:509:343:516:348:513:345:504:340:501]
184,488,79,503,95,184,0,0,12.9477,16.7406,1.13707,48.7832,0.985697,7.65304,48.0855,14.3539,16.3214,1.13707,129.342,67.9674,122.043,22.881,13.8312,14.5471,[494:80:489:87:494:94:499:95:502:93:503:84]
446,0,325,11,381,446,56,0,8.6966,172.119,4.44877,114.822,0.651999,11.915,74.8639,11.298,50.2623,4.44877,143.807,74.6771,122.047,36.4584,22.2826,19.3855,[1:326:1:381:11:360:10:339]
895,128,128,161,163,895,0,0,53.3414,96.3774,1.34417,107.832,0.983484,16.8786,106.051,29.1165,39.1376,1.34417,115.972,57.2123,109.152,21.448,12.8072,14.7928,[132:131:129:135:129:144:134:153:146:162:157:162:161:147:159:138:150:129]
711,470,491,499,531,711,0,0,28.3226,122.502,2.07972,109.729,0.861431,15.0439,94.5235,20.8635,43.3903,2.07972,113.944,61.0084,115.142,24.1205,17.8296,18.4538,[473:493:471:499:474:511:492:530:498:531:499:523:494:500:485:494]
