NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
786,274,55,309,89,786,0,0,47.9942,89.7265,1.36731,109.959,0.903831,15.8174,99.3839,27.0541,36.9913,1.36731,47.7952,18.7761,60.5763,29.1152,15.4356,22.801,[304:57:279:60:275:70:277:82:282:89:294:84:304:75:309:64]
458,304,244,329,268,458,0,0,31.8401,42.2257,1.1516,76.8044,0.987761,12.0742,75.8643,22.5028,25.9142,1.1516,95.6725,43.2009,95.8013,23.8882,16.096,17.4103,[314:245:307:250:305:260:311:267:319:268:326:262:329:250:326:246]
698,325,241,350,280,698,0,0,30.7185,102.093,1.82304,101.914,0.918965,14.9057,93.6554,22.0792,40.2514,1.82304,83.4226,35.5931,89.1275,23.0975,15.4765,17.1699,[344:242:335:245:329:255:326:272:333:280:342:278:348:268:350:252]
146,90,586,105,600,146,15,0,11.7965,13.7281,1.07877,47.7678,0.896699,6.81713,42.8333,13.1271,14.1611,1.07877,122.315,54.9932,99.4315,42.4961,28.1188,30.0276,[101:588:94:590:91:600:105:600]
258,307,358,326,377,258,0,0,20.954,24.3901,1.07888,67.4191,0.844563,9.06223,56.9396,17.4493,18.8257,1.07888,95.6318,38.5155,87.9496,21.1865,16.3072,20.9281,[310:359:311:368:308:375:323:375:326:364:320:360]
284,215,250,234,269,284,0,0,22.8635,24.3969,1.03299,62.6114,0.954137,9.50789,59.7398,18.7097,19.3269,1.03299,113,51.5423,105.546,25.6615,17.7161,18.6676,[221:251:216:260:216:269:234:267:234:261:229:254]
227,102,312,118,334,227,0,0,14.0946,24.61,1.32138,58.7239,0.909501,8.50037,53.4094,14.7895,19.5426,1.32138,100,39.1982,87.9956,30.5647,16.4427,19.3922,[112:313:103:325:106:334:118:329:117:320]
559,112,184,145,208,559,0,0,33.8286,63.8951,1.37433,99.7878,0.839911,13.3392,83.8129,22.757,31.2757,1.37433,131.962,65.0716,118.383,30.9172,23.089,22.2438,[113:194:119:197:114:199:114:202:120:208:145:200:141:189:129:185:117:186]
289,1,489,24,510,289,0,0,17.9924,32.9993,1.35428,69.68,0.86486,9.59122,60.2634,16.4835,22.3233,1.35428,126.765,57.6401,108.433,36.0881,24.3125,25.3285,[8:490:2:498:7:507:13:504:18:510:24:504:15:491]
454,202,338,222,382,454,0,0,12.5415,144.418,3.39341,105.476,0.716108,12.0213,75.5323,13.0516,44.2895,3.39341,71.1233,30.6189,80.0242,28.6136,16.8049,23.004,[206:339:203:346:208:354:207:378:215:382:222:378:221:367:215:361:212:343]
319,235,317,257,342,319,0,0,15.3856,51.9209,1.83702,76.3443,0.829323,10.0767,63.3141,14.8694,27.3154,1.83702,108.934,47.2351,92.931,47.9083,30.3638,33.2884,[236:321:239:330:248:333:248:342:253:342:257:330:250:319:242:318]
658,299,154,326,187,658,0,0,41.3375,67.7133,1.27987,95.4402,0.952766,14.4723,90.9322,25.585,32.7454,1.27987,108.757,51.3435,105.883,29.4843,20.0851,21.3177,[323:158:309:156:301:165:300:173:306:187:320:184:323:180:326:165]
845,461,171,494,205,845,0,0,62.0209,74.3969,1.09524,105.611,0.975718,16.4004,103.047,31.3422,34.3271,1.09524,112.15,52.0509,106.793,28.4149,20.691,20.5755,[484:172:480:175:468:175:462:182:462:193:472:205:485:202:493:194:493:179]
474,399,131,421,168,474,0,0,17.4072,91.467,2.29228,94.0995,0.820176,12.2833,77.1781,16.226,37.1944,2.29228,110.814,53.1139,106.69,26.5466,17.4879,17.2289,[421:132:414:137:400:157:405:168:416:167:421:148]
559,340,69,364,103,559,0,0,29.9524,71.6735,1.5469,91.0926,0.920084,13.3392,83.8129,21.4501,33.1812,1.5469,112.964,58.4544,111.524,28.533,29.2095,29.5542,[354:70:341:93:347:101:358:103:364:95:364:82:361:73]
268,318,61,335,84,268,0,0,15.3986,31.1219,1.42165,63.0715,0.920109,9.23618,58.0326,15.4927,22.0252,1.42165,72.0224,31.0448,82.4403,24.5948,19.0335,24.5593,[328:62:323:64:319:74:321:82:326:84:335:80]
434,247,105,272,136,434,0,0,15.8061,80.3673,2.2549,87.8558,0.840581,11.7536,73.8499,15.6544,35.2991,2.2549,91.8641,38.576,89.7696,37.2816,20.8986,22.2241,[250:106:248:111:258:132:266:136:271:135:267:115]
