NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
308,0,0,22,16,308,33,0,18.6959,34.3698,1.35586,64.8328,0.959589,9.90149,62.2129,17.0068,23.0589,1.35586,114.653,46.5455,101.834,18.0113,7.90864,9.53302,[1:13:15:16:22:2:1:1]
560,53,0,87,22,560,34,0,29.5134,79.0326,1.63641,93.9647,0.892759,13.3512,83.8878,20.8738,34.1583,1.63641,112.646,45.1929,98.5304,28.4075,12.802,13.8762,[54:12:59:22:66:22:86:7:87:1:54:1]
1507,337,0,396,38,1507,16,0,77.4308,233.055,1.73489,208.406,0.660316,21.9019,137.614,33.2564,57.6963,1.73489,90.8275,38.5056,92.0916,36.0019,18.0617,19.8815,[338:30:341:36:351:37:363:29:366:14:367:30:370:34:377:35:390:28:396:16:389:7:375:6:370:10:370:1:355:1:347:6:345:18:340:21]
631,102,6,135,32,631,0,0,33.3826,76.6363,1.51516,93.5441,0.951926,14.1723,89.0471,23.0272,34.8898,1.51516,109.829,45.4548,99.9857,21.0711,12.5247,14.541,[134:12:127:7:117:7:108:12:103:20:105:31:127:28:134:18]
812,217,10,252,41,812,0,0,54.1019,80.2613,1.218,104.596,0.965762,16.0769,101.014,29.1346,35.486,1.218,112.597,47.33,102.403,25.3116,12.6724,13.7482,[226:13:219:23:219:33:239:41:248:40:252:34:252:26:245:15:238:11]
593,160,13,187,40,593,0,0,44.8499,50.6243,1.06243,86.8403,0.994056,13.7389,86.3241,26.6583,28.3225,1.06243,72.4384,29.6273,80.3828,33.6275,19.2376,23.0684,[169:15:162:23:162:36:166:39:183:40:187:35:187:23:178:15]
3028,402,31,492,85,3028,0,0,150.98,588.452,1.97422,356.921,0.546526,31.0458,195.067,44.1911,87.2431,1.97422,88.0139,40.0859,94.8091,30.104,18.8853,21.468,[492:38:480:32:459:43:459:58:452:42:441:43:436:37:424:35:416:51:419:65:406:68:403:75:415:85:427:76:428:69:431:73:441:76:449:75:458:69:464:80:480:82:489:75:490:66:481:55:491:48]
381,12,47,35,73,381,0,0,22.9924,41.8202,1.34865,74.0276,0.934704,11.0125,69.1938,18.9656,25.5781,1.34865,114.496,47.2625,102.055,20.9324,11.5256,14.4867,[21:48:15:53:13:62:22:73:26:73:35:65:26:50]
171,491,53,500,79,171,26,0,5.70673,37.9381,2.57836,57.4784,0.806489,7.37774,46.3557,9.18927,23.6933,2.57836,56.6667,24.8304,75.0234,26.7472,14.1281,18.0039,[500:54:492:62:493:72:499:79]
817,126,61,154,109,817,0,0,27.7426,168.877,2.46724,128.364,0.789353,16.1264,101.325,20.5334,50.6608,2.46724,84.9021,35.5789,88.2913,36.4304,19.7823,22.5684,[150:62:141:64:140:76:137:80:134:79:127:97:128:102:136:109:146:107:145:100:154:80:154:70]
