NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
471,422,423,447,454,471,0,0,27.1123,61.0477,1.50055,87.8558,0.875679,12.2443,76.9335,19.9912,29.9979,1.50055,107.839,61.1295,118.535,29.0082,22.6787,20.9826,[444:424:434:434:423:437:424:444:431:454:446:446:447:427]
776,421,390,446,435,776,0,0,37.8041,131.406,1.8644,118.098,0.836165,15.7165,98.7497,23.0206,42.9195,1.8644,104.771,60.4626,118.171,30.4411,23.837,21.4008,[425:391:422:393:422:399:427:413:427:425:423:434:430:435:446:420:446:408:443:400]
804,402,4,437,44,804,0,0,30.6041,139.562,2.13547,113.56,0.885129,15.9975,100.515,21.8946,46.7552,2.13547,120.251,69.7027,127.623,22.4078,17.6665,16.8257,[406:7:403:11:406:19:427:44:432:44:437:38:435:23:420:6]
945,375,137,401,186,945,0,0,34.8538,167.286,2.19081,122.771,0.887614,17.3437,108.973,23.4352,51.3421,2.19081,112.958,61.1471,117.68,29.1606,21.7427,19.8755,[382:138:376:146:380:170:390:185:397:186:401:178:399:148:394:140]
448,352,154,372,187,448,0,0,20.9139,67.4397,1.79573,84.9442,0.883304,11.9416,75.0316,17.8227,32.0048,1.79573,119.196,69.346,125.275,30.5773,26.7332,23.9664,[361:155:353:180:364:187:372:183:369:162]
339,169,273,190,295,339,0,0,19.7748,39.5855,1.41486,69.3152,0.941622,10.3878,65.2687,17.4662,24.7122,1.41486,113.369,61.3658,119.593,21.1403,15.113,14.9834,[188:274:172:284:172:295:184:295:190:291]
442,469,370,492,404,442,0,0,23.5283,58.7014,1.57953,87.5304,0.851446,11.8614,74.5274,18.8756,29.8147,1.57953,102.029,56.7489,112.701,34.9547,26.9187,26.5805,[479:371:477:379:470:381:470:385:483:404:490:396:492:387:487:376]
919,435,346,461,394,919,0,0,37.8291,145.635,1.96209,119.439,0.899738,17.1034,107.464,24.4204,47.9151,1.96209,110.583,62.9021,118.785,33.4474,26.8023,24.6086,[446:347:439:349:436:356:441:390:448:394:457:388:461:368:457:357]
585,479,423,500,459,585,22,0,26.2606,90.1308,1.85261,97.4316,0.88,13.6459,85.7399,20.0512,37.1471,1.85261,80.7145,46.0684,102.407,29.9492,24.2387,23.9007,[486:424:480:430:483:440:482:456:485:459:500:458:500:437]
389,482,457,500,487,389,22,0,18.4327,54.3618,1.71733,76.019,0.919724,11.1276,69.9165,16.9826,29.1646,1.71733,73.4216,41.3882,96.4961,38.039,25.9678,30.2571,[491:458:483:471:487:480:494:487:498:487:500:464]
58,495,485,500,500,58,18,0,1.60894,14.4737,2.9993,34.0349,0.793222,4.29674,26.9972,4.96203,14.8826,2.9993,89.7931,51.7586,107.379,36.9295,27.8854,22.9826,[500:486:496:492:497:500:500:500]
486,463,435,482,468,486,0,0,21.3693,74.7097,1.86979,85.8249,0.910563,12.4378,78.1489,18.1918,34.0149,1.86979,89.0947,49.3642,106.253,27.5266,21.9497,22.4312,[470:436:465:439:464:445:470:465:476:468:481:463:482:440:478:436]
354,441,449,462,474,354,0,0,15.9527,51.8526,1.80288,72.7821,0.916393,10.6152,66.697,15.8115,28.5063,1.80288,114.282,66.0198,124.421,28.9146,22.3303,17.5812,[443:451:442:464:456:474:461:473:459:460:453:451]
