NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
106,47,0,69,8,106,22,0,3.33432,26.7116,2.83039,48.5532,0.751693,5.80869,36.4971,6.90533,19.5448,2.83039,184.962,127.491,184.321,12.1732,12.8359,7.85187,[48:1:62:8:69:1]
258,351,0,372,33,258,17,0,9.11322,90.9114,3.15844,99.6531,0.571379,9.06223,56.9396,10.1983,32.2108,3.15844,170.027,96.0581,163.988,23.5028,19.2738,13.9857,[372:1:356:1:352:29:354:33:359:30:362:22:359:2]
59,387,0,404,5,59,17,0,1.63661,16.0129,3.12797,36.161,0.752992,4.33362,27.229,4.90061,15.3289,3.12797,149.712,98.6441,164.559,30.3734,27.9599,19.6626,[388:1:395:5:404:1]
80,458,0,469,12,80,5,0,3.05491,14.011,2.14159,35.8357,0.884778,5.04627,31.7066,6.89655,14.7696,2.14159,151.95,93.4,162.125,21.454,19.4111,13.0656,[469:1:460:5:460:12:464:11]
178,473,18,487,44,178,0,0,4.48436,52.4781,3.42089,61.9607,0.763305,7.52723,47.295,8.13946,27.8442,3.42089,154.034,93.4663,158.685,34.5175,39.0113,29.5614,[477:19:474:26:486:44:483:23]
2319,294,29,336,152,2319,0,0,77.62,968.028,3.53148,291.549,0.585523,27.1691,170.709,28.9152,102.114,3.53148,139.099,78.7814,147.526,44.554,34.2499,28.5328,[332:30:328:30:315:42:318:50:314:60:315:76:310:79:300:78:295:82:297:105:312:125:311:137:319:152:327:138:320:115:320:85:330:78:336:66:335:33]
53,205,34,210,46,53,0,0,1.76103,9.98123,2.38072,28.3465,0.910423,4.10736,25.8073,5.32401,12.675,2.38072,164.17,83.9245,148.283,14.5132,13.9214,12.0132,[209:35:206:38:207:46:210:45]
1095,385,51,409,125,1095,0,0,25.6867,373.156,3.81145,169.524,0.691961,18.6695,117.304,19.1257,72.8966,3.81145,155.708,89.7297,157.419,32.6886,25.4931,20.6062,[402:52:395:54:390:64:392:89:386:119:391:125:395:123:396:113:402:104:401:95:409:93:408:60]
1043,200,52,239,110,1043,0,0,33.4997,302.178,3.00338,165.35,0.692376,18.2208,114.485,21.0277,63.1543,3.00338,134.713,79.8945,148.363,39.7536,32.5856,26.0925,[232:53:225:53:219:58:215:73:202:88:201:96:207:110:212:109:227:93:227:89:217:78:219:75:232:75:238:67:239:59]
155,158,55,174,69,155,0,0,8.84377,17.8746,1.42167,45.221,0.975957,7.0241,44.1337,11.7821,16.7502,1.42167,149.445,94.3226,157.477,36.1256,31.4023,27.3648,[170:56:159:64:161:69:168:69:173:65]
