NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
686,315,30,335,80,686,0,0,19.2453,171.373,2.98407,120.09,0.773145,14.777,92.8468,17.1085,51.053,2.98407,112.611,57.8134,130.274,38.2242,25.6714,23.6272,[333:31:327:32:325:42:320:47:320:60:316:64:318:79:328:79:335:66]
362,217,53,238,75,362,0,0,24.5776,33.9735,1.17571,67.6491,0.997005,10.7344,67.4465,19.7997,23.2787,1.17571,117.506,63.0249,134.591,36.5906,24.4361,21.8758,[225:54:219:60:218:69:224:75:230:75:237:67:238:59:233:54]
648,390,54,407,105,648,0,0,17.5277,173.828,3.14918,121.201,0.74454,14.3619,90.2386,16.1862,50.9732,3.14918,141.432,80.3657,150.187,30.2088,22.7331,19.7094,[400:55:396:55:391:64:394:105:400:103:400:93:407:91:404:83:407:63]
462,295,79,319,103,462,0,0,30.7533,46.6206,1.23124,81.2473,0.937815,12.1268,76.1949,21.8577,26.9121,1.23124,151.169,94.2273,161.675,28.363,24.1315,19.2737,[315:80:299:82:296:85:298:103:317:99:319:87]
445,201,81,226,108,445,0,0,29.9321,45.7932,1.23689,78.6052,0.951335,11.9016,74.7799,21.4027,26.4729,1.23689,126.178,74.9213,145.953,31.0876,23.2627,20.085,[216:82:210:82:203:88:202:96:207:108:226:93:226:89]
893,137,99,168,137,893,0,0,53.1799,97.8449,1.35642,109.173,0.97032,16.8597,105.933,28.9523,39.2716,1.35642,162.138,101.946,166.901,29.1538,29.7038,20.8473,[163:101:147:100:139:108:139:129:147:137:153:136:164:124:168:108]
239,298,101,320,119,239,0,0,16.8943,25.3169,1.22415,65.983,0.830561,8.72216,54.8029,15.7666,19.3006,1.22415,151.414,83.7029,154.013,29.5097,19.849,16.2942,[316:102:299:106:308:119:320:116]
297,310,117,326,144,297,0,0,12.7451,46.6902,1.914,72.7821,0.83938,9.72307,61.0918,14.056,26.9032,1.914,97.2256,50.1751,122.98,40.5413,23.6661,24.1113,[321:118:311:122:314:128:312:137:317:144:323:144:326:138]
705,16,122,47,156,705,0,0,43.5713,77.9736,1.33775,102.144,0.921481,14.9803,94.1238,25.9038,34.6526,1.33775,141.641,80.7163,152.224,25.5095,22.0692,17.4134,[25:123:17:148:22:155:30:156:37:153:47:132:32:123]
302,266,129,284,159,302,0,0,8.92067,69.064,2.78245,74.3529,0.828534,9.80457,61.6039,11.7556,32.7094,2.78245,106.566,60,132.129,33.2392,28.2791,26.4613,[268:130:268:143:275:157:279:159:284:150:276:134]
