NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
2022,294,29,336,145,2022,0,0,76.7226,921.165,3.46503,290.764,0.548221,25.3697,159.403,27.2579,94.4494,3.46503,132.506,74.277,144.124,42.7173,32.3898,27.7284,[333:30:326:32:324:42:319:47:319:60:315:64:317:79:299:81:295:85:295:100:312:125:311:137:317:145:323:145:327:138:317:105:320:94:317:81:328:80:336:66]
425,216,52,239,76,425,0,0,29.2811,39.2922,1.1584,73.0121,1.00093,11.6311,73.0801,21.6132,25.0368,1.1584,124.92,67.7953,138.445,39.2138,26.8674,23.3712,[225:53:219:58:217:69:224:76:230:76:238:67:239:59:233:53]
765,389,53,408,106,765,0,0,22.0963,186.664,2.9065,126.564,0.774688,15.6047,98.0473,18.3063,53.2073,2.9065,146.45,84.0013,152.872,31.9127,25.4712,21.0908,[400:54:396:54:390:64:391:103:394:106:401:103:401:93:408:91:405:83:408:63]
515,200,80,227,109,515,0,0,34.5296,52.7378,1.23585,83.9682,0.958062,12.8035,80.4468,23.0343,28.467,1.23585,132.245,80.3029,149.798,33.6825,27.419,22.2479,[216:81:208:82:201:91:207:109:227:93:227:89]
994,136,98,169,138,994,0,0,60.155,106.753,1.33215,114.536,0.975788,17.7876,111.763,30.8227,41.0606,1.33215,164.061,103.1,167.766,28.7496,29.3032,20.6572,[163:100:147:99:138:108:138:129:147:138:153:137:165:124:169:108]
276,434,116,448,142,276,0,0,11.6613,42.2009,1.90234,63.6268,0.925591,9.37302,58.8924,13.5914,25.8556,1.90234,132.272,79.9094,147.37,32.2287,33.8261,26.4703,[445:117:440:117:435:125:436:136:440:142:448:130:448:121]
799,15,121,48,157,799,0,0,50.3174,86.1758,1.30868,107.507,0.932054,15.9477,100.202,27.8812,36.4876,1.30868,144.633,82.5194,153.021,26.1794,22.3678,17.5442,[25:122:16:148:22:156:30:157:38:153:48:132:32:122]
370,265,128,285,160,370,0,0,12.0146,76.1508,2.51757,79.7159,0.855383,10.8524,68.1877,13.6793,34.4387,2.51757,117.67,68.4676,138.235,40.0157,38.0367,30.8852,[268:129:267:143:274:157:279:160:285:154:285:150:277:134]
234,442,144,462,163,234,0,0,18.0005,25.7747,1.19661,63.3015,0.856641,8.63044,54.2267,15.7792,18.8817,1.19661,153.415,96.2393,161.051,32.2434,32.3814,23.9399,[450:145:443:153:443:159:454:159:461:163:457:148]
441,50,147,79,174,441,0,0,23.9344,56.8061,1.54059,83.4129,0.892465,11.848,74.4431,19.0911,29.4115,1.54059,145.472,79.5011,149.433,31.3472,24.9588,19.9473,[72:148:51:164:63:174:78:162:79:154]
191,329,159,345,180,191,0,0,7.07385,33.4579,2.17481,55.1617,0.888146,7.79726,48.9916,10.5745,22.9976,2.17481,148.618,76.0157,150.686,22.9373,16.6509,16.059,[342:160:331:171:330:176:334:180:340:176:345:163]
1474,17,163,63,240,1474,0,0,31.8273,484.648,3.90223,189.349,0.718771,21.6608,136.099,21.9304,85.5777,3.90223,125.564,67.7164,138.111,42.0065,33.8509,30.3246,[30:164:18:177:32:195:37:211:45:220:48:235:59:240:63:236:56:200:40:171]
696,351,179,374,248,696,0,0,19.4211,313.147,4.01547,158.742,0.58914,14.8843,93.5211,14.8556,59.6524,4.01547,144.109,82.5244,150.221,30.6277,29.0515,23.8934,[373:180:352:207:361:214:360:244:363:248:371:238:372:214:367:209:366:199:374:185]
378,454,211,475,241,378,0,0,32.5403,64.3541,1.4063,119.439,0.577038,10.9691,68.9209,18.4996,26.016,1.4063,167.892,109.664,172.18,33.2778,33.5651,23.1426,[464:212:455:220:456:235:467:241:475:227:475:219:469:212]
238,90,213,108,242,238,0,0,9.79358,58.1599,2.43692,76.4791,0.715074,8.70389,54.6882,11.1512,27.1747,2.43692,148.912,75.7521,150.017,31.6343,24.3129,20.1223,[95:214:93:219:96:227:91:233:107:242:108:239]
1447,136,216,183,279,1447,0,0,97.3726,251.689,1.60773,195.038,0.691387,21.4615,134.846,33.8519,54.4247,1.60773,157.062,93.0041,161.669,28.8,23.9873,19.1475,[177:217:155:219:137:233:137:237:145:246:157:246:161:249:157:264:151:271:150:276:153:279:162:274:176:253:172:233:183:224]
516,291,230,310,278,516,0,0,15.6816,140.088,2.98885,109.173,0.737588,12.8159,80.5248,14.8261,44.3131,2.98885,115.246,66.812,133.891,49.3019,37.1329,36.2984,[303:231:299:240:300:249:292:263:297:278:310:267:306:257:306:235]
418,426,230,446,262,418,0,0,17.4166,69.1142,1.99206,81.9374,0.884527,11.5349,72.4758,16.3453,32.5607,1.99206,151.766,90.933,159.933,24.7364,20.6188,14.2897,[439:231:431:236:427:257:429:262:433:262:445:250:446:240]
1043,264,233,297,307,1043,0,0,41.6023,448.793,3.28446,213.903,0.535216,18.2208,114.485,20.1078,66.0434,3.28446,149.607,83.6347,153.128,31.2431,24.623,19.7562,[295:234:280:248:275:246:276:241:271:236:265:241:265:256:270:273:270:285:265:292:265:302:269:307:275:305:283:276:277:273:276:265:295:240]
1446,325,240,354,326,1446,0,0,39.1847,538.549,3.70727,212.198,0.635255,21.454,134.8,22.285,82.6164,3.70727,126.786,75.2891,142.83,44.663,35.454,31.1959,[338:241:335:244:335:255:327:280:332:290:329:295:330:309:326:318:329:321:337:318:344:326:348:326:354:317:354:306:350:297:340:292:343:276:349:264:345:247]
394,438,271,455,301,394,0,0,16.7523,61.5885,1.9174,76.5743,0.918903,11.1988,70.3644,16.1751,31.0141,1.9174,104.622,56.3782,127.627,42.0847,28.0383,26.0993,[446:272:440:277:439:293:444:301:450:301:455:290:452:287:453:276]
553,218,276,247,304,553,0,0,34.0447,58.6887,1.31296,86.9751,0.958457,13.2675,83.3619,23.1575,30.4049,1.31296,117.577,61.4123,134.396,37.2611,22.171,21.4998,[242:280:235:277:221:289:219:296:224:303:232:304:246:296:246:286]
415,148,280,181,312,415,0,0,25.6221,107.582,2.0491,106.396,0.678738,11.4934,72.2153,16.0582,32.9049,2.0491,156.275,97.8795,165.084,28.6278,26.8916,20.7225,[149:292:153:297:164:293:169:299:169:307:174:312:180:310:181:304:172:296:171:286:167:281]
518,292,283,322,338,518,0,0,15.4742,309.23,4.4703,143.993,0.560309,12.8407,80.6807,12.1465,54.2985,4.4703,155.486,94.2432,160.236,28.9915,29.0472,24.0598,[297:284:293:292:301:309:300:322:305:332:315:338:322:330:320:327:314:330:307:327:304:288]
1009,67,289,103,348,1009,0,0,28.2176,272.011,3.10479,147.365,0.76411,17.9213,112.603,20.3416,63.1564,3.10479,127.801,66.5649,138.078,40.5419,27.5695,26.4851,[74:290:69:294:68:301:83:327:86:344:91:348:100:339:103:326:94:321:88:299:80:291]
1369,44,311,79,384,1369,0,0,50.3237,343.402,2.61225,188.564,0.695582,20.875,131.162,25.8315,67.4783,2.61225,144.928,81.9781,151.444,35.2326,30.1248,23.501,[61:312:57:314:53:328:65:345:54:348:45:365:52:384:65:377:66:365:76:357:79:350:74:328]
618,349,329,368,377,618,0,0,19.2173,138.248,2.68215,111.165,0.792744,14.0255,88.125,17.1281,45.9399,2.68215,155.67,97.2087,164.105,37.1209,30.0173,23.6207,[357:330:351:346:350:368:360:377:368:340:366:334:361:335]
186,394,332,412,358,186,0,0,3.83156,63.5151,4.07147,66.2131,0.73016,7.69452,48.3461,7.62669,31.0518,4.07147,147.968,87.7849,155.403,27.0958,22.7236,18.0067,[410:333:397:351:396:358:405:353:412:338]
516,193,346,222,372,516,0,0,36.9614,49.593,1.15834,83.7382,0.961626,12.8159,80.5248,23.8156,27.5866,1.15834,153.388,83.9729,155.51,26.617,18.6494,16.1678,[199:347:194:351:194:356:205:372:210:372:222:356:211:348]
258,446,349,464,374,258,0,0,11.2038,43.4534,1.96938,67.6491,0.841691,9.06223,56.9396,12.9152,25.4349,1.96938,162.26,103.729,169.481,33.8605,30.9649,23.918,[448:350:449:363:461:374:464:371:464:360:453:356]
697,470,358,500,435,697,33,0,48.6439,346.678,2.66962,200.591,0.466562,14.895,93.5882,18.2325,48.6739,2.66962,153.275,103.129,165.726,39.7179,42.4862,31.2775,[500:359:496:363:496:379:492:394:488:398:482:398:476:393:471:401:473:409:483:418:484:431:487:435:493:431:493:427:481:407:487:407:500:395]
204,263,361,279,387,204,0,0,5.16065,58.436,3.36502,70.7907,0.715227,8.05824,50.6314,8.78569,29.5641,3.36502,160.127,94.2402,163.456,21.1723,20.6717,18.3437,[266:362:264:368:271:378:268:380:278:387:279:382:274:369]
1278,109,363,160,413,1278,0,0,51.0886,257.907,2.24683,182.09,0.69596,20.1693,126.727,26.9114,60.4652,2.24683,160.241,94.6017,161.451,27.1672,23.0662,18.1216,[117:365:110:375:111:384:124:403:128:405:146:400:149:403:149:411:158:412:160:404:156:389:150:384:140:382:123:365]
1669,45,383,91,465,1669,0,0,54.2855,506.924,3.05583,226.716,0.638779,23.0491,144.822,26.3705,80.5838,3.05583,139.569,75.2912,145.318,39.4824,27.8232,25.4846,[61:384:49:393:46:399:50:405:52:421:59:434:63:459:66:464:73:465:81:457:89:456:91:447:72:416:67:415:62:422:60:421:61:408:68:391:67:387]
