NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
83,48,0,68,7,83,20,0,2.47197,22.3148,3.00452,43.9755,0.7344,5.14001,32.2956,5.93071,17.8189,3.00452,183.867,124.892,183.084,11.6016,11.579,7.1443,[49:1:62:7:68:1]
167,352,0,361,32,167,2,0,3.48403,60.7307,4.17506,70.9813,0.645386,7.29094,45.8103,7.13644,29.7951,4.17506,159.886,86.8982,158.389,19.6918,12.9345,10.5795,[359:1:355:11:354:32:358:30:361:22]
11,360,0,371,1,11,11,0,0,10,0,21.6427,0.543237,1.87121,11.7571,0,0,0,179.727,126.273,180.818,7.90961,7.1107,4.91414,[361:1:371:1]
125,474,19,486,43,125,0,0,2.73604,46.5159,4.12325,56.5977,0.700263,6.30783,39.6333,6.21284,25.6171,4.12325,144.8,87.504,155.064,28.6781,32.9906,25.9108,[477:20:475:26:486:43:482:23]
682,314,30,335,74,682,0,0,26.8981,123.169,2.13988,110.514,0.837684,14.7339,92.5757,20.1443,43.1064,2.13988,129.521,68.6804,139.927,44.9094,33.2809,28.7848,[329:31:316:42:319:55:315:65:331:74:335:66:334:33]
654,390,52,408,94,654,0,0,22.3989,126.751,2.37883,105.897,0.856073,14.4283,90.6554,18.7095,44.5067,2.37883,146.687,84.0994,153.797,30.6384,22.1896,18.6,[400:53:394:56:391:64:392:93:407:94:407:60]
899,201,53,238,109,899,0,0,28.7593,294.063,3.19765,159.987,0.664354,16.9163,106.288,18.9199,60.4993,3.19765,127.185,73.9344,143.968,35.892,27.8772,23.5178,[232:54:220:58:216:73:203:88:202:96:207:109:212:108:226:93:226:89:216:78:219:74:232:74:237:67:238:59]
118,159,56,173,68,118,0,0,6.54084,14.1104,1.46877,39.858,0.966119,6.12867,38.5076,10.1139,14.855,1.46877,139.517,86.2542,151.288,32.0285,27.3227,25.5701,[170:57:160:64:161:68:172:65]
202,300,68,329,88,202,0,0,13.19,34.3155,1.61296,79.4859,0.633856,8.01864,50.3826,12.6276,20.3677,1.61296,133.797,84.1881,149.465,50.9925,42.1638,34.6508,[301:79:315:84:318:88:329:76:316:69:314:78]
8,497,78,500,82,8,3,0,0.33521,1.25854,1.93765,11.0514,0.907263,1.59577,10.0265,2.29278,4.4426,1.93765,169.125,91.75,162.25,10.948,6.05702,3.34477,[500:79:498:82]
764,295,80,321,122,764,0,0,33.4447,117.618,1.87531,114.076,0.858928,15.5945,97.9832,22.7753,42.7109,1.87531,148.517,87.4188,156.344,30.0858,23.6214,18.7203,[297:81:298:105:310:121:320:120:319:90]
123,488,80,500,101,123,3,0,4.41901,33.9722,2.77268,59.8346,0.65706,6.25717,39.3149,7.5155,20.8381,2.77268,172.561,116.675,175.431,22.4645,28.5382,21.0717,[489:81:494:92:493:100:500:99:497:98:500:95:497:83]
1010,51,95,95,129,1010,0,0,58.0523,116.862,1.41882,125.492,0.897736,17.9302,112.659,30.1059,42.7149,1.41882,166.709,95.5663,165.813,29.3159,22.928,18.3608,[94:101:85:96:76:97:54:108:53:115:61:127:66:124:72:129:79:128:90:119]
263,386,95,401,124,263,0,0,8.14482,62.2279,2.76409,71.7667,0.801051,9.14962,57.4887,11.0067,30.4235,2.76409,162.905,91.7452,158.259,30.3446,23.3518,20.3806,[400:97:392:96:387:111:387:119:391:124:394:123:395:113:401:104]
976,137,96,168,141,976,0,0,52.9423,117.258,1.48823,118.003,0.938505,17.6258,110.746,28.8965,43.0046,1.48823,163.147,102.119,167.113,28.4707,28.8891,20.3437,[154:97:141:104:138:115:139:129:150:141:163:127:168:110:164:101]
103,242,99,251,126,103,0,0,3.35403,58.914,4.19108,60.9453,0.590314,5.7259,35.9769,5.59385,23.4443,4.19108,148.932,85.6408,149.961,19.7338,23.4909,24.6608,[246:100:243:119:251:126:245:117]
810,20,111,58,146,810,0,0,53.9535,81.7327,1.2308,120.264,0.838903,16.0571,100.89,28.947,35.628,1.2308,161.2,89.9889,159.194,29.1491,24.5378,19.8996,[58:127:50:112:44:116:37:114:24:122:21:135:31:142:44:146]
251,435,113,447,140,251,0,0,8.78021,46.6683,2.30547,63.9522,0.878186,8.93844,56.1619,11.7737,27.1438,2.30547,128.837,77.5697,146.669,28.9381,27.423,22.6177,[439:114:436:133:438:139:442:140:447:129:447:121]
300,311,121,326,151,300,0,0,11.6092,52.0107,2.11663,73.3375,0.83722,9.77205,61.3996,13.4336,28.434,2.11663,105.32,54.29,126.263,47.572,26.6293,26.6348,[322:122:313:125:312:134:319:151:326:138]
1,59,127,60,128,1,0,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,204,110,196,0,0,0,[60:128]
317,266,129,284,161,317,0,0,9.41604,72.1778,2.76865,77.0344,0.819313,10.0451,63.1153,12.074,33.4286,2.76865,108.227,60.7476,132.795,33.6169,28.1884,26.3898,[269:130:268:143:278:161:284:155:284:150:276:134]
407,16,136,43,166,407,0,0,33.3572,44.4548,1.15442,95.575,0.748269,11.3821,71.5158,21.187,24.4588,1.15442,147.609,82.5504,152.87,27.7592,20.589,16.8187,[19:137:17:149:23:166:29:165:30:159:38:155:43:148:39:149]
200,442,145,463,165,200,0,0,13.8787,30.3995,1.47999,64.6423,0.775539,7.97885,50.1326,13.1172,19.4133,1.47999,148.01,91.735,158.145,28.9544,28.0593,22.1295,[450:146:443:154:444:159:456:159:463:165:457:156:456:148]
437,49,146,78,173,437,0,0,20.6976,67.7586,1.80935,86.4197,0.857497,11.7941,74.1047,17.5362,31.7291,1.80935,145.437,79.6133,149.414,31.2118,24.7603,20.1205,[78:151:72:147:68:148:50:168:66:172:76:164]
171,330,159,344,180,171,0,0,5.2267,35.7353,2.61478,54.1462,0.85612,7.37774,46.3557,9.12506,23.86,2.61478,144.737,74.0994,148.936,21.7101,16.1928,15.17,[343:160:340:160:332:171:332:180:342:171]
498,15,165,47,194,498,0,0,31.0947,56.2484,1.34497,92.2428,0.857604,12.5904,79.1079,21.7127,29.2029,1.34497,144.932,72.9116,145.663,31.019,23.5886,22.1515,[25:167:16:177:33:194:47:184:34:166]
470,429,174,455,202,470,0,0,38.1283,46.3209,1.10221,98.6771,0.778821,12.2313,76.8518,23.3008,25.6825,1.10221,171.13,109.381,171.672,30.1271,28.7752,21.711,[437:175:439:188:437:190:430:186:433:200:454:200:453:185]
1012,347,179,375,252,1012,0,0,37.731,289.589,2.77039,198.465,0.568213,17.948,112.77,21.5662,59.747,2.77039,157.115,94.3439,159.871,35.3934,33.0281,26.787,[375:180:357:198:353:195:353:185:348:191:351:200:349:216:361:235:361:245:357:252:365:249:370:238:371:208:367:198]
839,32,185,62,239,839,0,0,25.1338,204.153,2.85003,136.409,0.752737,16.342,102.68,19.3603,55.1773,2.85003,109.969,59.4017,130.218,38.994,29.1989,28.7679,[49:186:33:197:38:211:46:221:50:236:58:239:62:235:61:223]
364,86,204,111,251,364,0,0,7.15354,193.632,5.2027,119.344,0.566703,10.7641,67.6325,9.43825,49.1044,5.2027,158.703,84.5165,157.327,30.142,24.5723,19.6785,[89:205:87:209:96:223:92:233:100:238:100:248:110:251:110:243:93:208]
166,75,212,93,262,166,0,0,1.23363,210.181,13.0528,110.054,0.415005,7.26907,45.6729,4.02399,52.5244,13.0528,147.59,75.7651,148.976,25.9604,16.2462,16.2098,[76:213:83:242:93:262:81:220]
469,455,212,474,245,469,0,0,21.2944,67.6837,1.78283,83.0481,0.924404,12.2183,76.77,18.3015,32.6284,1.78283,179.499,125.67,182.264,39.6269,44.1421,27.443,[468:213:460:215:456:220:457:237:463:245:468:242:474:227:473:217]
875,420,215,447,265,875,0,0,38.9009,181.998,2.16298,136.314,0.769254,16.689,104.86,22.6951,49.0891,2.16298,167.664,104.986,169.471,27.7006,25.8884,16.953,[423:216:421:219:431:243:421:258:429:265:434:265:443:257:447:236:438:221]
1273,137,216,183,260,1273,0,0,102.222,127.542,1.11701,160.543,0.787823,20.1298,126.479,38.0927,42.5498,1.11701,157.054,93.2946,161.822,29.8585,25.2008,19.8411,[181:218:149:221:138:233:142:242:151:249:152:260:155:257:175:258:178:244:171:235:183:224]
