NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
165,353,0,361,32,165,2,0,3.39464,58.7942,4.16169,69.6405,0.65386,7.24715,45.5352,7.10497,29.5687,4.16169,159.715,86.6727,158.588,19.7391,12.8342,10.7196,[359:1:355:11:355:32:361:22]
11,360,0,371,1,11,11,0,0,10,0,21.6427,0.543237,1.87121,11.7571,0,0,0,179.727,126.273,180.818,7.90961,7.1107,4.91414,[361:1:371:1]
727,314,30,335,75,727,0,0,27.7481,136.461,2.21762,117.083,0.816354,15.2122,95.5811,20.4305,45.3071,2.21762,127.492,67.9629,139.219,45.0496,33.3593,28.6964,[332:31:324:34:316:42:319:50:315:61:316:75:322:72:331:74:334:69]
933,386,52,408,124,933,0,0,20.9782,346.693,4.06526,162.264,0.667302,17.2332,108.279,17.0943,69.4928,4.06526,151.116,86.0729,154.906,32.1003,23.1647,19.574,[402:53:395:55:391:64:393:89:387:118:392:124:401:104:400:96:408:92:407:60]
899,201,53,238,109,899,0,0,28.2627,290.72,3.20724,156.98,0.677079,16.9163,106.288,18.8916,60.5899,3.20724,127.758,74.3993,144.232,36.8469,28.6978,23.877,[232:54:220:58:214:76:202:91:208:109:226:93:217:77:220:74:230:75:237:67:238:60]
1290,295,74,329,150,1290,0,0,48.5777,401.673,2.87553,196.339,0.648476,20.2638,127.321,23.8996,68.7241,2.87553,137.829,80.0039,149.085,41.6503,30.7292,26.4223,[327:75:296:82:298:105:313:125:312:137:319:150:322:149:326:137:319:115:319:85:329:78]
936,52,95,94,129,936,0,0,60.9941,98.371,1.26996,120.455,0.900367,17.2609,108.453,30.6336,38.9034,1.26996,166.451,95.9744,165.973,29.7091,23.4119,18.7098,[91:98:76:97:53:109:63:117:63:125:76:129:86:124:93:113:94:101]
970,137,96,168,140,970,0,0,52.5743,116.287,1.48723,116.662,0.946368,17.5716,110.406,28.8172,42.8578,1.48723,163.079,101.994,167.009,28.4672,28.8312,20.2938,[154:97:141:104:138:115:139:129:149:140:162:128:168:109:164:101]
1246,16,110,60,157,1246,0,0,57.8984,183.229,1.77895,148.38,0.84331,19.9152,125.131,29.8629,53.1246,1.77895,156.397,87.7271,157.334,29.5495,23.3961,18.8337,[60:118:51:111:47:115:38:114:26:120:17:145:21:157:28:152:38:155:49:136:60:128]
244,435,114,447,140,244,0,0,8.71993,44.3069,2.25413,62.6114,0.884395,8.81292,55.3732,11.7398,26.463,2.25413,127.766,76.8934,146.201,28.5472,27.2297,22.6092,[439:115:436:133:438:139:442:140:447:129:447:121:444:116]
