AreaInPixels,Perimeter,MajorAxis,MinorAxis,Eccentricity,ExtentRatio,Circularity,r_IntensityMean,r_IntensityMax,r_IntensityMin,r_IntensityStd,r_IntensityEntropy,r_IntensityEnergy,r_IntensitySkewness,r_IntensityKurtosis,r_GradientMean,r_GradientStd,r_GradientEntropy,r_GradientEnergy,r_GradientSkewness,r_GradientKurtosis,r_CannyNonZero,r_CannyMean,r_cytoIntensityMean,r_cytoIntensityMax,r_cytoIntensityMin,r_cytoIntensityStd,r_cytoIntensityEntropy,r_cytoIntensityEnergy,r_cytoIntensitySkewness,r_cytoIntensityKurtosis,r_cytoGradientMean,r_cytoGradientStd,r_cytoGradientEntropy,r_cytoGradientEnergy,r_cytoGradientSkewness,r_cytoGradientKurtosis,r_cytoCannyNonZero,r_cytoCannyMean,b_IntensityMean,b_IntensityMax,b_IntensityMin,b_IntensityStd,b_IntensityEntropy,b_IntensityEnergy,b_IntensitySkewness,b_IntensityKurtosis,b_GradientMean,b_GradientStd,b_GradientEntropy,b_GradientEnergy,b_GradientSkewness,b_GradientKurtosis,b_CannyNonZero,b_CannyMean,b_cytoIntensityMean,b_cytoIntensityMax,b_cytoIntensityMin,b_cytoIntensityStd,b_cytoIntensityEntropy,b_cytoIntensityEnergy,b_cytoIntensitySkewness,b_cytoIntensityKurtosis,b_cytoGradientMean,b_cytoGradientStd,b_cytoGradientEntropy,b_cytoGradientEnergy,b_cytoGradientSkewness,b_cytoGradientKurtosis,b_cytoCannyNonZero,b_cytoCannyMean,Polygon
370,76.4264,28.465,16.7267,0.809134,0.685185,0.796021,86.7,192,31,26.2795,6.43196,0.0134405,0.431303,3.65808,23.3973,13.761,5.54432,0.0250402,0.768009,3.03007,126,86.8378,183.412,255,104,37.5286,6.97611,0.00886228,-0.0449735,2.00907,19.6997,12.5988,5.4435,0.0267701,0.858264,3.2116,211,72.1247,116.095,172,87,15.114,5.64549,0.024149,0.883651,4.30389,10.0946,6.07736,4.36247,0.0592111,1.3208,5.10625,103,70.9865,172.942,247,109,32.693,6.8317,0.00972479,0.327519,2.18676,13.2989,8.02796,4.84527,0.0409081,0.911336,3.49833,209,71.441,[325:53:322:56:322:57:320:59:320:60:319:61:319:62:318:63:318:64:317:65:317:66:316:67:316:68:315:69:315:71:316:72:316:74:319:77:320:77:321:78:322:78:323:79:325:79:328:76:328:75:330:73:330:72:331:71:331:70:333:68:333:66:334:65:334:57:333:56:333:55:331:53]
111,47.4558,18.7222,8.50316,0.890912,0.652941,0.619375,88.1802,150,43,21.9069,5.80659,0.0206964,0.61038,3.17625,22.027,13.2396,5.22673,0.0312475,0.724363,3.11702,20,45.9459,170.958,254,62,44.6557,7.12605,0.00837309,-0.222942,2.37498,22.6057,13.8378,5.58139,0.0247917,1.0675,4.38861,168,80.8302,121.297,154,99,14.4057,5.31002,0.0289749,0.42852,2.26483,11.3423,6.20302,4.41994,0.0547845,0.68543,3.90299,16,36.7568,165.947,251,100,32.912,6.71567,0.0112424,0.479365,2.87694,13.1377,8.15012,4.7846,0.0439374,1.20377,4.74043,164,78.9057,[221:55:220:56:220:57:218:59:218:61:217:62:217:68:220:71:222:71:224:69:224:64:222:62:222:61:225:58:225:57:226:56:225:55]
83,38.1421,15.0218,7.25711,0.875562,0.790476,0.716932,107.446,153,76,16.8975,5.33251,0.029177,0.62218,3.05892,18.0602,11.8965,4.84919,0.0416606,0.83282,2.60408,15,46.0843,175.885,255,69,48.454,7.03265,0.00918063,-0.0934909,1.75679,19.5553,13.412,5.4607,0.0256587,0.754216,3.12466,130,70.5319,129.976,170,108,14.0249,5.16415,0.0332414,0.992209,3.62742,12.4096,9.28924,4.51806,0.0521121,1.44825,4.71195,18,55.3012,174.351,243,112,37.4333,6.65803,0.0118153,0.239849,1.79084,11.3489,7.25065,4.6626,0.045043,0.87143,3.56319,116,62.9362,[393:82:392:83:392:92:393:92:397:96:398:95:398:86:397:85:397:84:396:83:396:82]
101,40.0416,15.1284,8.66844,0.819562,0.655844,0.791604,98.8911,184,48,30.6364,5.70634,0.0216645,0.990951,3.65237,21.5842,10.4855,5.07156,0.033232,0.466146,2.50369,26,65.6436,155.029,251,69,38.9223,6.99753,0.00893228,0.103432,2.22295,20.4438,11.2652,5.31389,0.0293576,0.709633,3.02441,144,76.5,128.317,176,96,17.6146,5.58491,0.0236251,0.704801,3.10183,12.5248,4.77534,4.14557,0.0636212,-0.167423,2.4661,27,68.1683,161.492,244,108,24.7059,6.46156,0.0129861,0.221738,2.5267,12.9542,6.95297,4.7325,0.0419878,0.575001,2.93722,141,74.9062,[213:92:206:99:207:100:207:101:208:101:209:102:211:102:212:101:215:101:218:98:218:97:219:96:219:93:218:92]
233,61.4558,21.0284,14.4276,0.727504,0.776667,0.775246,90.5279,241,20,40.5959,6.53247,0.0130966,1.11739,4.15354,30.3605,18.6464,5.80686,0.0202803,0.436331,2.13778,72,78.7983,186.233,255,56,38.222,6.96642,0.00959219,-0.696996,3.32747,20.1651,14.8447,5.56255,0.0257951,1.15657,3.96312,199,79.7877,120.644,200,73,26.0494,6.21873,0.0158227,0.699721,3.06233,15.485,7.86206,4.78375,0.0426422,0.680805,3.61517,66,72.2318,165.233,251,96,30.9213,6.57147,0.0130286,0.585875,2.28477,10.456,7.72053,4.58841,0.0526878,1.38298,4.78118,179,71.7689,[313:124:313:130:312:131:312:132:311:133:311:136:312:137:312:138:313:139:313:140:316:143:321:143:323:141:323:139:325:137:325:135:324:134:324:128:323:127:323:125:322:124:319:124:318:125:316:125:315:124]
195,61.1127,23.0009,11.7318,0.86014,0.580357,0.656117,91.2359,165,28,29.1322,6.14083,0.0162262,-0.191165,2.5884,25.6,16.7789,5.6175,0.0237475,0.845985,3.03264,55,71.9231,195.258,255,86,39.352,6.90967,0.00980434,-0.449578,2.22034,17.5072,13.5381,5.39238,0.0289378,1.2817,4.8972,183,74.1892,122.672,226,83,23.7904,5.94983,0.0193294,1.305,5.79018,14.7692,10.6103,4.91442,0.0404208,1.17917,4.01672,59,77.1538,182.752,255,111,37.469,6.73521,0.0111035,0.339897,1.85659,10.8967,7.81913,4.66665,0.0475759,1.44057,5.60816,158,64.0541,[274:138:273:139:270:139:269:140:268:140:268:144:269:145:270:145:272:147:272:148:273:149:273:153:274:154:274:156:276:158:278:158:283:153:283:149:282:148:282:147:281:146:280:146:278:144:278:141:277:140:277:139:276:139:275:138]
511,92.0833,32.781,20.1747,0.788185,0.709722,0.757302,85.2387,191,16,34.2807,6.85377,0.00973112,0.396285,2.58882,22.5108,11.203,5.38628,0.0274087,0.406167,2.64385,154,76.8493,176.348,255,74,39.6568,7.0473,0.00905355,0.0816072,2.40846,15.336,11.2747,5.19171,0.0328664,1.07406,3.7629,233,69.0872,113.493,196,66,23.0418,6.25759,0.0162338,0.994216,4.18419,9.90998,5.58406,4.31598,0.0594782,1.11655,4.92594,131,65.3718,163.809,252,92,40.131,6.68954,0.0130692,0.710555,2.14101,8.61279,5.11428,4.22824,0.0601758,0.632424,2.66289,204,60.4884,[36:187:33:190:33:199:34:200:34:201:35:202:35:204:36:205:36:207:37:208:37:209:39:211:43:211:48:216:51:216:52:215:53:215:55:213:55:212:56:211:56:205:55:204:55:202:54:201:54:199:53:198:53:197:51:195:51:193:49:191:49:190:46:187:45:187:44:188:43:188:42:189:40:189:38:187]
31,43.6569,22.6412,2.08379,0.995756,0.738095,0.204393,106.29,140,67,19.0707,4.69613,0.0405827,-0.391718,2.24552,37.0968,8.4141,4.28468,0.0551509,0.344179,2.02658,5,41.129,194.762,244,145,20.8443,6.13364,0.0161551,-0.106128,2.46962,15.539,11.4876,5.02762,0.0388745,1.3444,4.30488,93,88.1599,129.419,139,113,6.36915,4.01808,0.0676379,-0.731052,3.0018,10.2581,4.0558,3.61195,0.0926119,0.102833,1.6357,4,32.9032,162.264,215,130,15.2098,5.66635,0.0232307,0.400187,3.03701,8.80669,5.79961,4.27046,0.0607924,1.37017,5.74842,83,78.6803,[0:227:0:247:1:246:1:237:0:236]
329,89.598,37.8275,13.1153,0.937972,0.626667,0.515002,76.1459,157,17,28.0181,6.51019,0.0123151,0.251389,2.51553,24.0091,15.158,5.58014,0.0246579,1.28305,5.19427,90,69.7568,177.75,255,68,44.5491,7.20058,0.00756069,-0.236312,1.95523,22.395,15.1885,5.66826,0.0229832,1.19857,4.86531,238,71.9929,107.717,201,52,23.4795,6.23327,0.0157149,0.857971,4.50972,14.9149,9.94875,4.9028,0.0404375,1.59498,6.69944,79,61.231,175.152,241,92,35.9666,6.8368,0.0098009,-0.221724,1.77611,14.6536,9.23637,5.04018,0.0341814,0.714891,2.96878,214,64.7331,[336:252:335:253:335:254:334:255:334:257:333:258:333:262:334:263:334:264:335:265:335:268:336:269:336:274:335:275:335:276:334:277:334:278:332:280:332:285:333:285:334:286:337:286:339:284:339:283:341:281:341:275:342:274:342:271:346:267:346:259:345:258:345:257:343:255:342:255:341:254:340:254:339:253:338:253:337:252]
246,62.1838,20.4308,15.8257,0.63245,0.657754,0.799449,75.3252,175,18,31.8072,6.48542,0.0129552,0.405423,2.51498,20.0366,12.4591,5.33643,0.0287527,1.08789,4.49924,54,55.9756,199.44,255,60,37.8073,6.81909,0.0103899,-0.860292,3.13891,17.9548,12.7368,5.36659,0.0290084,0.87899,3.05564,192,76.3807,106.923,207,61,28.1273,6.34039,0.0139467,0.871336,3.75448,14.2683,8.68282,4.91489,0.0380065,0.568996,2.57751,48,49.7561,190.864,254,92,30.1663,6.68951,0.0111979,-0.570767,2.57615,12.1373,7.78273,4.76273,0.04255,0.774599,2.96252,180,71.6069,[298:254:297:255:297:256:296:257:296:258:293:261:293:262:292:263:292:266:293:267:293:270:294:271:294:273:296:275:299:275:304:270:305:270:307:268:307:266:308:265:308:261:307:261:301:255:299:255]
