NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
42,388,0,403,4,42,15,0,1.03417,12.7759,3.5148,31.5834,0.727396,3.65637,22.9736,3.90058,13.7098,3.5148,136.905,89.7857,160.524,23.2234,21.4937,17.2644,[389:1:395:4:403:1]
40,460,0,468,9,40,3,0,1.16857,8.58331,2.71019,25.5697,0.876818,3.56825,22.42,4.33496,11.7486,2.71019,141.9,88.05,160.15,16.7478,18.9089,13.7032,[468:1:461:9]
655,315,30,335,79,655,0,0,19.4523,158.168,2.8515,117.083,0.774876,14.4393,90.7247,17.1017,48.7654,2.8515,113.031,57.5588,130.147,38.5193,25.713,23.8228,[333:31:325:35:325:42:320:47:320:60:316:64:316:73:326:79:335:66]
362,217,53,238,75,362,0,0,24.5776,33.9735,1.17571,67.6491,0.997005,10.7344,67.4465,19.7997,23.2787,1.17571,117.506,63.0249,134.591,36.5906,24.4361,21.8758,[225:54:219:60:218:69:224:75:230:75:237:67:238:59:233:54]
648,390,54,407,105,648,0,0,17.5277,173.828,3.14918,121.201,0.74454,14.3619,90.2386,16.1862,50.9732,3.14918,141.432,80.3657,150.187,30.2088,22.7331,19.7094,[400:55:396:55:391:64:394:105:400:103:400:93:407:91:404:83:407:63]
69,161,59,172,68,69,0,0,4.11987,7.51886,1.35093,30.7027,0.959076,4.68651,29.4462,8.06422,10.8942,1.35093,128.623,79.5652,146.377,28.313,24.3653,23.9002,[172:63:167:60:162:67:168:68]
7,317,77,321,79,7,0,0,0.226926,1.0792,2.18076,9.71063,0.965843,1.49271,9.37894,2.02162,4.40867,2.18076,137.286,80.1429,144.429,16.5505,18.8636,13.3615,[318:78:321:79]
102,298,79,319,90,102,0,0,4.32248,26.5819,2.47986,53.3608,0.670938,5.69804,35.8018,7.23672,17.946,2.47986,157.608,98.7843,166.549,18.4689,17.4814,12.4819,[319:90:315:80:299:82]
1,316,79,317,80,1,0,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,164,93,159,0,0,0,[317:80]
2,322,79,324,80,2,0,0,0,0.25,0,4.57764,1.09516,0.797885,5.01326,0,0,0,113.5,60,128.5,6.5,0,0.5,[323:80]
445,201,81,226,108,445,0,0,29.9321,45.7932,1.23689,78.6052,0.951335,11.9016,74.7799,21.4027,26.4729,1.23689,126.178,74.9213,145.953,31.0876,23.2627,20.085,[216:82:210:82:203:88:202:96:207:108:226:93:226:89]
599,295,83,320,120,599,0,0,26.6099,93.4232,1.87372,102.144,0.849386,13.8082,86.7598,20.1751,37.8026,1.87372,148.159,87.3139,156.501,30.9093,24.0569,19.2758,[297:84:296:100:309:120:318:118:318:94]
1,312,88,313,89,1,0,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,141,78,148,0,0,0,[313:89]
892,137,99,168,137,892,0,0,53.1213,97.7228,1.35632,109.173,0.969776,16.8503,105.874,28.9371,39.2482,1.35632,162.151,101.979,166.919,29.1673,29.7046,20.8521,[163:101:148:100:139:108:139:129:147:137:153:136:164:124:168:108]
58,61,112,70,122,58,0,0,2.92697,7.78676,1.63106,29.3619,0.919463,4.29674,26.9972,6.72875,10.975,1.63106,114.638,59.8621,140.103,16.9357,15.7944,17.2773,[69:114:66:113:62:117:63:122:70:118]
220,435,117,447,141,220,0,0,8.56257,36.8207,2.07369,58.2638,0.902438,8.36828,52.5795,11.6224,24.1012,2.07369,124.327,73.8091,143.968,28.1039,26.1153,22.8024,[445:118:440:118:436:125:440:141:447:130]
285,311,118,326,144,285,0,0,12.6447,42.5032,1.8334,68.2045,0.877434,9.52462,59.8449,14.0685,25.7932,1.8334,96.7649,50.0982,122.681,41.0964,24.122,24.5374,[320:119:312:123:312:137:317:144:323:144:326:138]
39,75,120,86,128,39,0,0,0.969843,10.9302,3.3571,28.8066,0.768503,3.52336,22.1379,3.84597,12.9113,3.3571,154.667,97.8462,169.128,14.3247,11.7398,9.63482,[86:121:76:127:83:126]
705,16,122,47,156,705,0,0,43.5713,77.9736,1.33775,102.144,0.921481,14.9803,94.1238,25.9038,34.6526,1.33775,141.641,80.7163,152.224,25.5095,22.0692,17.4134,[25:123:17:148:22:155:30:156:37:153:47:132:32:123]
302,266,129,284,159,302,0,0,8.92067,69.064,2.78245,74.3529,0.828534,9.80457,61.6039,11.7556,32.7094,2.78245,106.566,60,132.129,33.2392,28.2791,26.4613,[268:130:268:143:275:157:279:159:284:150:276:134]
180,443,145,461,162,180,0,0,14.4719,20.4023,1.18734,57.9385,0.82087,7.5694,47.5599,13.8932,16.496,1.18734,145.106,88.8,155.85,28.3718,27.2838,21.5843,[450:146:444:153:444:159:454:158:461:162:456:148]
372,51,148,78,173,372,0,0,19.8634,49.7845,1.58314,78.0498,0.876,10.8817,68.3717,17.2968,27.3834,1.58314,139.618,74.4516,145.567,28.5449,20.716,17.3184,[72:149:52:164:63:173:77:162:78:154]
146,330,160,344,179,146,0,0,4.86895,28.553,2.42163,49.7986,0.86013,6.81713,42.8333,8.76148,21.2171,2.42163,143.226,71.6096,147.329,20.5875,14.0139,14.1359,[342:161:332:171:332:178:339:176:344:165]
496,18,164,48,195,496,0,0,27.6823,60.9942,1.48437,89.5613,0.881506,12.5651,78.9488,20.6264,30.6174,1.48437,136.335,67.7298,140.573,34.2688,24.2216,23.1698,[31:165:19:177:33:195:48:188:39:171]
554,352,181,373,247,554,0,0,15.6346,292.17,4.3229,152.038,0.548792,13.2794,83.4372,12.7739,55.2201,4.3229,136.119,76.5848,146.271,26.077,24.2106,21.5188,[373:182:353:207:362:214:363:247:370:238:371:214:366:209:365:199]
