NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
370,315,53,335,80,370,0,0,17.4032,50.5577,1.70443,72.4568,0.941081,10.8524,68.1877,16.6252,28.3365,1.70443,86.7,42.0973,116.095,26.2795,15.1704,15.114,[332:54:326:54:316:70:317:75:324:80:329:77:335:66]
111,217,55,227,72,111,0,0,4.43565,21.8242,2.21815,44.991,0.830121,5.94411,37.3479,7.98217,17.7057,2.21815,88.1802,45.1982,121.297,21.9069,12.6026,14.4057,[226:56:222:56:218:63:221:72:225:70:223:62]
83,392,82,399,97,83,0,0,3.20827,14.0201,2.09045,36.161,0.893107,5.14001,32.2956,7.11008,14.8632,2.09045,107.446,57.6145,129.976,16.8975,14.9157,14.0249,[394:83:393:93:398:97:399:87]
101,206,92,220,103,101,0,0,4.61304,14.221,1.75579,37.9618,0.938465,5.67004,35.6259,8.55815,15.0263,1.75579,98.8911,55.0099,128.317,30.6365,19.7532,17.6146,[220:94:214:93:208:102:216:102]
233,311,124,326,144,233,0,0,12.9265,27.5537,1.45999,58.2638,0.928719,8.61198,54.1107,14.2547,20.8117,1.45999,90.5279,47.8112,120.644,40.5959,25.2724,26.0494,[314:125:312:137:317:144:322:144:326:138:324:126]
195,268,138,284,159,195,0,0,8.51887,32.9818,1.96764,57.9385,0.854388,7.87848,49.5019,11.2331,22.1027,1.96764,91.2359,49.8564,122.672,29.1322,21.8934,23.7904,[271:140:269:145:273:148:275:157:279:159:284:150:278:140]
511,33,187,57,217,511,0,0,25.3552,67.0786,1.62652,87.3004,0.917908,12.7537,80.1337,20.0003,32.5308,1.62652,85.2387,43.319,113.493,34.2807,22.5839,23.0418,[37:188:34:191:34:200:38:210:49:217:54:216:57:206:52:194:47:188]
31,0,227,2,248,31,21,0,0.188054,31.9555,13.0356,41.3893,0.476868,3.14127,19.7372,1.74008,22.6831,13.0356,106.29,51.129,129.419,19.0707,8.51845,6.36915,[1:228:1:248]
329,332,252,347,287,329,0,0,10.6673,89.3493,2.89413,84.9442,0.756953,10.2335,64.2988,12.0308,34.8187,2.89413,76.1459,38.1398,107.717,28.0181,17.9545,23.4795,[338:253:334:259:337:270:333:281:335:287:342:282:343:272:347:268:346:258]
246,292,254,309,276,246,0,0,15.57,26.0053,1.29237,58.9539,0.943105,8.84897,55.5997,15.5679,20.1194,1.29237,75.3252,39.1748,106.923,31.8072,23.5454,28.1273,[299:255:293:264:297:276:309:266:309:262]
325,439,272,454,300,325,0,0,12.9862,55.8987,2.07472,71.9967,0.887634,10.1711,63.9067,14.1227,29.3006,2.07472,91.2277,49.1138,121.302,31.1578,20.9207,21.603,[446:273:441:277:440:294:444:300:450:300:454:294:450:286:452:276]
100,227,279,236,298,100,0,0,3.99529,26.7621,2.58813,47.9978,0.738556,5.6419,35.4491,7.01394,18.153,2.58813,80.3,38.34,110.28,17.7986,9.0169,11.0237,[233:280:228:288:232:291:231:296:235:298:236:280]
106,339,296,350,310,106,0,0,6.48455,11.9092,1.35519,39.0726,0.934084,5.80869,36.4971,9.97947,13.5241,1.35519,97.283,53.0377,127.094,29.457,16.0512,15.8754,[348:297:340:301:343:310:350:304]
240,73,298,92,325,240,0,0,8.24137,59.6694,2.69077,71.116,0.772224,8.74039,54.9175,10.6567,28.6747,2.69077,85.0542,44.7833,117.979,28.0272,19.134,23.3651,[79:299:74:309:80:321:88:325:92:318:82:310]
82,494,375,500,394,82,13,0,2.14544,26.4429,3.51072,44.5309,0.720859,5.10895,32.1005,5.45335,19.1452,3.51072,108.598,69.3415,139.951,28.4549,31.7483,25.9253,[500:376:496:381:496:394:500:394]
331,236,425,252,453,331,0,0,16.0134,56.3804,1.87639,86.515,0.745465,10.2645,64.4939,14.9868,28.121,1.87639,87.1511,48.4894,121.03,34.1848,23.7136,23.4967,[242:426:238:430:237:444:241:451:249:453:252:445:243:444:252:437:249:428]
444,61,431,87,462,444,0,0,36.242,52.437,1.20285,106.952,0.698407,11.8882,74.6958,21.679,26.0767,1.20285,97.018,46.723,119.536,28.1898,16.5143,18.6258,[80:432:69:436:62:446:64:454:69:453:73:445:76:447:73:462:80:457:87:444:85:436]
64,378,440,386,451,64,0,0,3.45697,7.68658,1.49114,29.9173,0.947922,4.51352,28.3593,7.3924,11.0231,1.49114,86.7656,39.7812,112.234,16.3121,11.1586,11.3849,[382:441:379:446:385:451:386:444]
300,118,460,134,489,300,0,0,10.3653,56.4994,2.3347,70.886,0.866174,9.77205,61.3996,12.7909,29.8628,2.3347,77.51,42.4633,112.79,25.7692,18.5435,22.8223,[123:461:119:465:124:486:129:489:134:478:127:462]
29,374,470,380,476,29,0,0,1.65517,3.10583,1.36983,18.8659,1.01187,3.03825,19.0899,5.19183,7.11193,1.36983,74.6897,39.5517,113.138,14.7253,8.82624,8.72461,[380:472:377:471:375:476]
31,368,490,372,500,31,2,0,0.879889,6.989,2.81834,23.2135,0.850247,3.14127,19.7372,3.7423,10.5471,2.81834,104.452,70.2258,149.065,24.5775,19.4451,14.71,[371:491:369:500]
