AreaInPixels,Perimeter,MajorAxis,MinorAxis,Eccentricity,ExtentRatio,Circularity,r_IntensityMean,r_IntensityMax,r_IntensityMin,r_IntensityStd,r_IntensityEntropy,r_IntensityEnergy,r_IntensitySkewness,r_IntensityKurtosis,r_GradientMean,r_GradientStd,r_GradientEntropy,r_GradientEnergy,r_GradientSkewness,r_GradientKurtosis,r_CannyNonZero,r_CannyMean,r_cytoIntensityMean,r_cytoIntensityMax,r_cytoIntensityMin,r_cytoIntensityStd,r_cytoIntensityEntropy,r_cytoIntensityEnergy,r_cytoIntensitySkewness,r_cytoIntensityKurtosis,r_cytoGradientMean,r_cytoGradientStd,r_cytoGradientEntropy,r_cytoGradientEnergy,r_cytoGradientSkewness,r_cytoGradientKurtosis,r_cytoCannyNonZero,r_cytoCannyMean,b_IntensityMean,b_IntensityMax,b_IntensityMin,b_IntensityStd,b_IntensityEntropy,b_IntensityEnergy,b_IntensitySkewness,b_IntensityKurtosis,b_GradientMean,b_GradientStd,b_GradientEntropy,b_GradientEnergy,b_GradientSkewness,b_GradientKurtosis,b_CannyNonZero,b_CannyMean,b_cytoIntensityMean,b_cytoIntensityMax,b_cytoIntensityMin,b_cytoIntensityStd,b_cytoIntensityEntropy,b_cytoIntensityEnergy,b_cytoIntensitySkewness,b_cytoIntensityKurtosis,b_cytoGradientMean,b_cytoGradientStd,b_cytoGradientEntropy,b_cytoGradientEnergy,b_cytoGradientSkewness,b_cytoGradientKurtosis,b_cytoCannyNonZero,b_cytoCannyMean,Polygon
438,82.0833,30.2007,18.6508,0.786523,0.68652,0.816911,95.6621,197,31,33.475,6.74702,0.0109777,0.63392,3.28277,25.8813,14.7908,5.67392,0.0223515,0.554385,2.47899,160,93.1507,189.64,255,106,36.3157,6.92432,0.00908708,-0.157006,2.00927,17.0985,10.683,5.22875,0.030708,0.802149,3.04249,210,67.6136,119.874,200,87,18.7252,5.88309,0.0209649,1.28273,5.4302,11.2169,7.00039,4.56784,0.0508642,1.18824,4.62582,137,79.7603,178.85,251,115,32.3329,6.82223,0.00969608,0.250047,2.08218,12.5997,7.81785,4.78386,0.0430377,0.983812,3.61987,206,66.3258,[325:52:321:56:321:57:318:60:318:62:317:63:317:64:316:65:316:66:315:67:315:68:314:69:314:72:315:73:315:74:319:78:320:78:321:79:322:79:323:80:325:80:329:76:329:75:331:73:331:72:332:71:332:70:334:68:334:66:335:65:335:57:334:56:334:55:331:52]
209,68.1838,25.2856,12.9525,0.858837,0.649068,0.564929,107.33,195,43,33.5344,6.42258,0.0131636,0.584882,2.6894,28.3732,15.9354,5.66966,0.0229619,0.46844,2.45327,69,84.1866,189.336,255,65,42.8344,7.07304,0.00850467,-0.48467,2.6459,19.4845,12.0742,5.38085,0.0276049,1.24137,6.11367,195,73.2327,129.411,196,99,19.9433,5.81441,0.0207642,0.938887,4.01978,14.0478,8.26114,4.75046,0.0454889,1.02294,3.84892,50,61.0048,180.34,254,100,36.7181,6.863,0.0100447,0.298095,2.18853,12.4507,8.23478,4.76154,0.0456597,1.53161,6.35799,198,74.3594,[223:53:222:54:221:54:219:56:219:57:217:59:217:61:216:62:216:68:217:69:217:70:220:73:221:73:223:75:227:75:228:74:228:72:226:70:226:66:225:65:225:64:223:62:223:61:226:58:227:58:229:56:229:55:227:53]
149,51.4558,19.6051,9.92995,0.862241,0.745,0.707175,118.913,196,73,26.5509,5.99789,0.0190532,0.961946,3.64868,22.0738,14.7157,5.32755,0.0300437,0.818835,2.77556,42,71.8792,181.414,255,69,45.6245,6.96365,0.00993473,-0.212351,1.94005,17.5187,12.6794,5.35714,0.0277283,0.717875,2.89723,153,69.2984,137.322,202,108,20.2267,5.58128,0.0249088,1.37109,4.87998,13.5302,9.32166,4.79249,0.042926,1.03298,3.46829,30,51.3423,177.671,243,112,36.1239,6.72965,0.0111525,0.229865,1.82545,10,6.60642,4.51623,0.0498692,0.961432,3.7605,144,65.222,[394:78:393:79:392:79:391:80:391:92:393:94:394:94:397:97:398:97:400:95:399:94:399:90:400:89:400:86:399:85:399:83:397:81:397:80:396:79:395:79]
275,65.598,23.564,15.3165,0.75994,0.664251,0.803085,116.378,196,48,32.3278,6.52885,0.0123636,0.406408,2.60707,21.7964,10.9183,5.31339,0.0287603,0.534907,2.81415,83,76.9636,188.176,255,79,38.5095,6.98685,0.0088867,-0.272247,2.18353,18.8237,11.6282,5.31799,0.0294123,0.851286,3.15024,200,75.5556,137.462,185,96,18.8634,6.01591,0.0178909,0.349806,2.47689,12.8,5.72141,4.45054,0.0501289,0.0847389,2.4704,86,79.7455,187.034,250,118,28.562,6.63153,0.0117487,0.147416,2.25864,12.9822,7.69933,4.79341,0.04133,0.735622,2.87741,181,68.3778,[212:86:211:87:210:87:208:89:208:90:203:95:203:98:204:99:204:100:207:103:214:103:221:96:222:96:224:94:224:93:225:92:225:90:223:88:217:88:216:87:215:87:214:86]
138,45.6985,16.5316,10.8015,0.757024,0.663462,0.830396,120.5,179,79,20.5085,5.72303,0.0228943,0.416525,3.19626,17.2826,8.44332,4.84646,0.0391725,0.315427,2.15306,45,83.1522,167.19,248,82,31.3837,6.75077,0.0109911,-0.114893,2.98392,18.5788,10.8568,5.20746,0.0315681,1.11765,4.49889,183,89.7404,139.536,175,108,13.714,5.39877,0.0277253,0.397402,2.91596,9.85507,4.44377,4.03059,0.0687881,0.32959,2.62432,44,81.3043,166.633,238,122,19.4933,6.07197,0.0184689,0.586316,3.97962,10.2308,6.32673,4.5009,0.050932,0.815039,3.04605,152,74.5385,[305:94:301:98:301:99:300:100:300:101:299:102:299:103:298:104:298:105:302:109:304:109:305:108:306:108:308:106:308:105:309:104:309:102:310:101:310:97:307:94]
353,83.0122,29.9023,15.6227,0.852666,0.692157,0.643726,105.64,241,20,44.0105,6.98483,0.0091406,0.501247,2.57534,32.0283,18.3945,5.93692,0.0181127,0.372511,2.13356,119,85.9632,193.115,255,102,29.7975,6.75633,0.010799,-0.252788,2.93133,16.6801,11.212,5.23033,0.0316384,1.12813,4.1098,239,78.9443,125.881,200,73,24.0574,6.33413,0.014373,0.298268,2.87879,14.3399,8.21234,4.87815,0.0389779,0.74328,3.20498,100,72.238,170.654,253,108,28.9354,6.55649,0.0126514,0.585504,2.36333,9.69301,6.98613,4.47133,0.0564646,1.47439,5.55626,223,73.6593,[317:115:316:116:315:116:312:119:312:120:311:121:311:125:312:126:312:129:311:130:311:132:310:133:310:136:311:137:311:138:312:139:312:140:313:141:314:141:315:142:315:143:316:144:321:144:324:141:324:139:326:137:326:135:325:134:325:128:324:127:324:125:322:123:319:123:318:122:320:120:320:117:318:115]
297,74.4264,28.9884,13.7445,0.88045,0.589286,0.673771,109.158,200,28,37.1305,6.66952,0.0115521,-0.0198577,2.61289,26.5724,16.9548,5.71309,0.0225714,0.842072,3.13843,101,86.7172,205.219,255,108,33.8518,6.74878,0.0111966,-0.692195,2.71052,15.357,11.6181,5.2101,0.0322497,1.04487,3.71975,199,69.4186,131.636,226,83,27.9494,6.29626,0.0152252,1.16383,4.82743,13.8889,9.88168,4.92047,0.0406421,1.27387,4.44695,75,64.3939,189.005,255,120,34.2079,6.60219,0.0118515,0.362363,1.81602,10.2627,7.46735,4.59295,0.0499456,1.49262,5.92825,192,66.9767,[272:132:269:135:269:136:268:137:268:138:267:139:267:144:269:146:270:146:271:147:271:148:272:149:272:153:273:154:273:156:276:159:278:159:284:153:284:149:283:148:283:147:281:145:280:145:279:144:279:139:278:138:278:137:277:136:277:135:274:132]
767,123.882,48.0776,21.2063,0.897466,0.549821,0.62804,101.759,214,16,39.3187,7.10661,0.00820515,0.0772168,2.33281,21.9661,11.881,5.48431,0.0250676,0.483063,2.73877,240,79.7914,183.458,255,84,35.5353,6.90508,0.00986697,0.0728842,2.40494,12.1932,9.10632,4.8554,0.0431007,1.26846,4.25692,288,67.2527,123.048,217,66,27.3344,6.5815,0.012601,0.755801,3.38684,9.81747,5.4687,4.34378,0.0566269,0.894279,4.24688,198,65.8279,168.263,252,112,37.8861,6.5899,0.0136088,0.760135,2.11082,8.08791,5.35306,4.1981,0.0650318,1.12533,4.47095,264,61.6483,[39:184:38:185:37:185:36:186:35:186:33:188:33:189:32:190:32:192:31:193:31:194:32:195:32:199:33:200:33:201:34:202:34:204:35:205:35:207:36:208:36:210:40:214:41:214:46:219:49:219:52:222:52:223:53:224:53:225:56:228:59:228:60:227:60:226:61:225:61:223:60:222:60:221:59:220:59:218:58:217:58:216:57:215:57:205:56:204:56:202:55:201:55:199:54:198:54:197:52:195:52:193:50:191:50:190:44:184]
497,112.569,46.3574,15.7026,0.940884,0.552222,0.49287,95.8068,223,17,39.4305,7.02955,0.00863532,0.418929,2.90853,26.169,17.0186,5.76796,0.0217441,1.2531,4.83868,143,73.3702,188.676,255,68,39.5639,7.03062,0.00909063,-0.651911,2.65318,18.5996,13.6341,5.48391,0.0266236,1.1946,4.55847,264,66.7195,118.286,219,52,28.1468,6.57081,0.0123761,0.666669,3.48211,15.6358,10.0051,5.03943,0.0355493,1.23016,5.22774,131,67.2133,184.587,241,92,32.9446,6.70121,0.0113812,-0.468002,2.00634,12.9177,8.71906,4.8961,0.0390784,0.869017,3.07233,248,62.6759,[336:244:335:245:335:246:334:247:334:254:333:255:333:257:332:258:332:262:333:263:333:264:334:265:334:268:335:269:335:274:333:276:333:277:329:281:329:284:331:286:332:286:334:288:336:288:340:284:340:283:342:281:342:275:343:274:343:271:344:270:345:270:347:268:347:266:348:265:348:264:347:263:347:259:346:258:346:257:345:256:345:254:343:252:343:251:341:249:341:248:340:247:340:246:338:244]
306,68.4264,22.5431,17.7513,0.616393,0.671053,0.821266,88.9673,249,18,42.6298,6.85023,0.0100816,0.684088,3.24937,23.6111,14.0996,5.5471,0.0241787,0.650505,2.89117,92,76.6667,205.682,255,73,33.1112,6.6514,0.011828,-1.01862,3.55984,15.4122,10.9052,5.15592,0.0339505,1.01562,3.5453,189,69.9492,116.252,231,61,34.402,6.63729,0.0113845,0.798001,3.27672,15.5556,8.92261,4.98647,0.0350079,0.349466,2.21703,66,55,195.478,254,124,27.6682,6.59966,0.0118069,-0.536378,2.51437,10.8345,7.05186,4.61325,0.0478112,0.921063,3.50038,186,68.8389,[298:253:295:256:295:258:292:261:292:262:291:263:291:266:292:267:292:270:293:271:293:273:296:276:299:276:304:271:305:271:308:268:308:267:309:266:309:261:307:259:306:259:305:258:305:257:303:255:302:255:301:254:300:254:299:253]
