NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
438,314,52,336,81,438,0,0,21.6574,56.9218,1.6212,77.8198,0.953349,11.8076,74.1894,18.547,30.0684,1.6212,95.6621,47.0091,119.874,33.475,20.8521,18.7252,[332:53:326:53:315:70:316:75:324:81:330:77:336:66:336:58]
209,216,53,230,76,209,0,0,10.4022,39.8768,1.95793,64.6423,0.792796,8.15639,51.2481,11.6581,22.8259,1.95793,107.33,56.7321,129.411,33.5344,21.9417,19.9433,[224:54:218:60:217:69:224:76:228:76:224:62:230:56]
149,391,78,401,98,149,0,0,6.07942,23.9392,1.98438,48.7832,0.887009,6.88681,43.2711,9.77769,19.4026,1.98438,118.913,65.7584,137.322,26.5509,22.5066,20.2267,[395:79:392:81:392:93:399:98:401:87]
275,203,86,226,104,275,0,0,14.5788,34.6206,1.54101,62.1908,0.945247,9.35603,58.7856,15.0736,23.2287,1.54101,116.378,65.0364,137.462,32.3278,20.8788,18.8634,[226:91:213:87:204:99:208:104:215:104]
138,298,94,311,110,138,0,0,7.20873,16.9975,1.53555,43.3249,0.961185,6.62773,41.6432,10.697,16.4258,1.53555,120.5,66.1812,139.536,20.5085,13.7652,13.714,[308:95:299:105:303:110:310:105:311:98]
353,310,115,327,145,353,0,0,15.1709,55.801,1.91785,78.7005,0.846281,10.6002,66.6028,15.3086,29.3596,1.91785,105.64,53.5807,125.881,44.0105,24.4973,24.0574,[318:116:312:122:311:137:317:145:322:145:327:136:325:126:319:123:321:118]
297,267,132,285,160,297,0,0,11.7236,52.4371,2.11489,70.5607,0.865806,9.72307,61.0918,13.3718,28.2799,2.11489,109.158,60.2054,131.636,37.1305,30.57,27.9494,[273:133:268:145:272:148:274:157:279:160:285:154:285:150:280:145:278:136]
767,31,184,62,229,767,0,0,28.0233,144.383,2.26986,117.448,0.835907,15.6251,98.1754,20.7421,47.0817,2.26986,101.759,52.4368,123.048,39.3187,28.6334,27.3344,[36:187:32:195:37:211:60:229:62:224:53:194:45:185]
497,329,244,349,289,497,0,0,15.3274,134.23,2.95931,106.722,0.740509,12.5778,79.0284,14.623,43.2742,2.95931,95.8068,48.8149,118.286,39.4305,26.1085,28.1468,[339:245:335:248:333:259:336:275:330:282:335:289:343:282:344:272:349:266:346:255]
306,291,253,310,277,306,0,0,19.6109,31.6786,1.27096,64.8723,0.955887,9.86929,62.0106,17.5085,22.2527,1.27096,88.9673,48.8105,116.252,42.6298,33.3787,34.402,[300:254:292:264:297:277:310:267:310:262]
392,438,271,455,301,392,0,0,16.6883,61.8902,1.92577,77.3597,0.907263,11.1704,70.1856,16.0989,31.0028,1.92577,104.077,56.1454,127.401,41.4823,27.9101,25.9673,[446:272:440:277:439:293:444:301:450:301:455:290:451:286:453:276]
387,223,277,247,302,387,0,0,28.5368,34.8791,1.10555,74.0276,0.942035,11.0989,69.7365,21.1116,23.34,1.10555,104.519,52.9793,126.501,34.5141,19.5917,19.4441,[236:278:224:288:233:302:243:299:247:294:246:287]
499,69,290,93,330,499,0,0,15.338,134.25,2.95851,109.959,0.720155,12.603,79.1872,14.6544,43.3553,2.95851,107.261,57.5711,130.453,40.4096,29.6187,29.087,[72:291:70:297:74:301:73:309:81:325:89:330:93:317:83:310:83:305:88:304:88:301:80:292]
252,336,293,353,314,252,0,0,15.9488,25.8692,1.27358,58.1685,0.967425,8.95623,56.2737,15.8724,20.2148,1.27358,111.123,66.75,138.052,36.5881,24.8022,20.5757,[342:294:338:298:337:307:345:314:353:304:348:295]
140,357,339,368,360,140,0,0,4.22598,31.3263,2.72264,50.124,0.836804,6.67558,41.9439,8.0914,22.03,2.72264,121.729,66.3929,138.3,34.4186,21.1659,22.1388,[366:340:358:353:360:360:366:356]
141,44,358,57,376,141,0,0,6.94724,20.0563,1.6991,47.1171,0.893379,6.69938,42.0934,10.2791,17.4652,1.6991,131.163,80.6525,148.929,35.6117,34.317,27.1305,[50:359:45:367:54:376:57:368]
134,77,413,93,426,134,0,0,6.12833,18.9225,1.75719,43.3249,0.947153,6.53097,41.0353,9.85368,17.3148,1.75719,120.888,72.5522,142.925,33.5249,25.4369,22.9118,[78:416:85:426:93:423:84:414]
415,235,424,253,454,415,0,0,19.9988,62.0127,1.76092,91.878,0.78599,11.4934,72.2153,17.3225,30.5034,1.76092,101.292,57.8554,128.711,43.6074,34.115,29.5333,[241:425:237:430:236:444:241:452:249:454:253:445:244:444:253:437:252:430:246:425]
627,60,430,89,464,627,0,0,39.22,67.2698,1.30965,95.0196,0.934169,14.1273,88.7644,24.6894,32.3346,1.30965,105.396,52.1164,123.927,33.3144,20.7838,21.0711,[80:431:69:435:61:446:62:453:72:464:89:446:86:436]
393,372,437,387,478,393,0,0,9.4965,113.409,3.45575,90.6326,0.775384,11.1846,70.2751,12.0332,41.5837,3.45575,113.025,60.9364,133.379,30.5029,21.9007,20.5119,[384:438:374:451:375:478:382:473:382:460:387:452:387:442]
366,117,459,135,490,366,0,0,13.7765,62.9938,2.13835,76.249,0.889429,10.7936,67.8181,14.7624,31.5671,2.13835,93.9016,53.4672,122.025,43.0968,30.0234,29.3236,[123:460:118:465:123:486:129:490:135:478:128:462]
209,199,469,213,491,209,0,0,9.94218,32.3467,1.80374,57.9385,0.884527,8.15639,51.2481,12.1462,21.9086,1.80374,110.78,60.622,135.311,27.3744,20.1769,20.2953,[209:470:205:471:206:477:200:482:204:491:208:491:213:485:212:473]
150,248,482,260,500,150,4,0,6.86761,22.5836,1.8134,48.5532,0.894197,6.90988,43.4161,10.2625,18.6101,1.8134,120.987,58.2267,129.673,27.0481,18.4652,17.3902,[251:483:250:491:255:500:258:500:259:485]
