NumberOfPixels,BoundingBoxTopLeftX,BoundingBoxTopLeftY,BoundingBoxBottomRightX,BoundingBoxBottomRightY,PhysicalSize,NumberOfPixelsOnBorder,FeretDiameter,PrincipalMoments0,PrincipalMoments1,Elongation,Perimeter,Roundness,EquivalentSphericalRadius,EquivalentSphericalPerimeter,EquivalentEllipsoidDiameter0,EquivalentEllipsoidDiameter1,Flatness,MeanR,MeanG,MeanB,StdR,StdG,StdB,Polygon
1682,0,0,67,60,1682,48,0,150.63,304.034,1.42071,250.81,0.579659,23.1387,145.384,38.8253,55.1596,1.42071,124.493,62.6088,133.795,37.396,25.4484,22.8888,[1:15:1:18:12:17:21:22:24:33:18:46:28:57:52:60:39:48:38:23:42:18:55:19:67:1:55:1:53:5:49:1:19:1:10:13]
445,81,0,105,28,445,10,0,22.7269,62.7252,1.66131,87.3957,0.855648,11.9016,74.7799,18.4676,30.6804,1.66131,90.418,42.9933,115.838,25.6676,17.2069,21.0703,[105:1:86:1:86:10:82:15:82:23:86:28:92:28:97:23]
127,125,0,145,8,127,15,0,4.02755,26.6781,2.5737,46.427,0.860471,6.35809,39.9491,7.92644,20.4002,2.5737,151.181,75.0866,146.433,23.9308,17.852,16.5623,[126:7:142:7:145:3:129:1]
1,145,0,146,1,1,1,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,163,83,156,0,0,0,[146:1]
1,156,0,157,1,1,1,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,157,75,163,0,0,0,[157:1]
1468,159,0,266,45,1468,75,0,90.0116,673.583,2.73556,348.932,0.389249,21.6166,135.821,26.1394,71.5058,2.73556,135.488,74.5204,144.5,34.4641,28.7195,26.2742,[160:1:172:5:181:14:176:27:172:23:172:16:166:20:168:37:176:45:182:45:199:24:228:15:240:3:261:5:266:1:230:1:226:9:222:7:226:1:210:1:206:10:211:16:206:20:199:19:185:10:180:1]
181,287,0,318,8,181,31,0,3.74358,64.5302,4.15181,67.2843,0.708811,7.59039,47.6919,7.45033,30.9324,4.15181,126.967,70.5249,141.464,29.7226,25.482,25.3973,[288:1:292:5:306:8:314:7:318:3]
1620,372,0,429,62,1620,39,0,157.542,288.346,1.35288,266.075,0.53624,22.7082,142.68,39.0466,52.8253,1.35288,123.496,60.0574,132.92,36.1586,23.4545,24.427,[429:1:404:1:403:19:394:27:386:27:383:24:389:1:376:2:373:16:382:21:381:34:393:37:385:44:389:61:395:62:404:42:417:36:419:21:424:16]
246,475,0,500,17,246,19,0,18.4922,47.1086,1.59609,92.9888,0.597919,8.84897,55.5997,14.0086,22.3589,1.59609,134.382,71.5813,142.033,32.4595,25.1931,22.0754,[476:11:484:17:500:7:497:1:491:1:489:9:483:12:481:8:487:1:478:1]
448,108,21,134,54,448,0,0,27.213,62.1836,1.51165,98.5818,0.761109,11.9416,75.0316,19.4254,29.3643,1.51165,90.9196,43.6094,112.225,36.0694,19.913,21.2022,[117:22:109:32:112:44:122:54:125:38:134:38:122:22]
547,457,21,486,57,547,0,0,20.0387,108.769,2.32979,100.478,0.82514,13.1953,82.9084,17.2898,40.2816,2.32979,139.3,71.9068,141.623,32.7114,27.8549,26.4144,[486:23:476:23:463:32:458:43:459:53:463:57:472:53:478:34]
233,226,35,248,51,233,0,0,13.2226,30.0817,1.50832,61.7307,0.87656,8.61198,54.1107,14.0245,21.1534,1.50832,129.7,67.3734,138.137,34.234,24.6448,24.8159,[227:41:232:51:239:47:245:48:248:42:233:36]
316,68,37,89,59,316,0,0,17.5954,37.2651,1.4553,65.983,0.955028,10.0293,63.0157,16.6273,24.1977,1.4553,138.351,79.3323,149.342,33.7274,28.5881,23.8519,[83:38:75:40:69:52:71:57:80:59:86:53:89:44]
2196,319,40,376,107,2196,0,0,111.815,305.391,1.65264,190.69,0.871151,26.4388,166.12,41.1322,67.9768,1.65264,130.546,67.7313,139.504,34.6407,26.7595,24.3661,[346:41:330:49:320:67:343:87:346:104:355:107:369:98:376:82:370:66:360:59:356:44]
592,275,41,301,74,592,0,0,30.6271,73.9415,1.55378,91.3227,0.944468,13.7273,86.2513,22.0252,34.2225,1.55378,135.586,71.7635,143.154,31.6126,22.9449,20.8208,[292:42:283:45:276:58:277:68:283:74:292:70:300:56:300:47]
1285,188,56,237,95,1285,0,0,85.6442,142.921,1.29181,142.653,0.890793,20.2244,127.074,35.5883,45.9734,1.29181,124.538,61.4054,132.069,35.3526,25.2892,24.2252,[195:58:191:63:189:75:192:89:198:95:222:93:237:68:218:68:204:57]
547,110,57,136,83,547,0,0,37.7697,51.1684,1.16394,84.7142,0.978684,13.1953,82.9084,24.4616,28.4717,1.16394,127.148,63.9634,136.442,30.4263,18.8101,18.8386,[112:61:111:69:117:81:128:83:136:78:136:65:133:61:119:58]
920,17,61,53,116,920,0,0,25.4114,237.813,3.05917,138.9,0.7741,17.1127,107.522,19.568,59.8619,3.05917,138.347,78.0587,147.41,34.4595,29.8037,24.347,[24:62:18:69:19:76:39:109:49:116:53:110:46:99:47:83:31:64]
206,0,63,12,89,206,17,0,8.75761,40.8938,2.16091,66.8637,0.760936,8.09764,50.879,11.0172,23.8071,2.16091,140.636,77.3398,149.044,23.5695,19.9463,17.4042,[1:64:2:89:7:87:12:76:9:69]
315,388,73,403,117,315,0,0,11.2035,127.738,3.37662,106.262,0.592085,10.0134,62.9159,10.8986,36.8003,3.37662,111.762,54.0159,126.225,25.1884,14.3132,17.4446,[402:74:394:87:389:111:391:117:399:115:403:110:402:101:395:97]
2603,255,78,321,147,2603,0,0,142.587,391.77,1.65758,245.161,0.737717,28.7847,180.86,44.7151,74.119,1.65758,140.877,76.6143,146.752,30.4937,26.8453,24.2547,[269:82:260:91:261:99:256:106:257:112:274:114:272:122:262:136:276:136:291:147:315:141:321:133:321:119:310:107:297:103:287:105:283:99:288:94:288:89:278:79]
134,306,82,326,91,134,0,0,4.54864,25.3189,2.35929,46.657,0.879509,6.53097,41.0353,8.50387,20.0631,2.35929,162.537,87.1791,157.425,18.7372,16.6468,17.0151,[307:87:311:91:326:89:323:85:314:83]
1839,71,89,139,136,1839,0,0,117.998,273.068,1.52124,230.318,0.660037,24.1945,152.018,39.2326,59.6822,1.52124,129.945,67.4029,138.213,37.5384,26.4388,25.095,[80:104:72:124:77:132:84:135:95:134:106:122:121:136:136:122:135:118:139:115:134:99:133:113:119:118:118:107:107:90:98:91]
1178,122,117,182,155,1178,0,0,66.3302,161.069,1.5583,150.411,0.808904,19.3641,121.668,31.0244,48.3451,1.5583,124.35,61.8447,134.229,33.1971,23.3455,22.2522,[123:138:138:153:147:155:182:129:167:130:155:122:139:118:139:122]
942,321,117,366,167,942,0,0,35.3406,191.109,2.32543,149.166,0.729392,17.3161,108.8,22.7106,52.8119,2.32543,101.107,42.8121,113.793,28.9819,16.6377,20.7569,[361:118:347:124:333:150:322:161:328:159:332:167:339:156:348:156:356:151:363:143:366:133]
984,438,118,500,196,984,9,0,17.9811,632.784,5.93225,218.156,0.509725,17.6979,111.199,14.5326,86.2109,5.93225,134.18,64.3892,138.396,26.8398,17.5314,18.3119,[500:119:490:130:477:136:470:144:457:174:443:176:440:196:447:190:460:189:470:163:490:135:500:127]
219,418,123,434,150,219,0,0,8.23941,57.9165,2.65126,69.5452,0.754327,8.34924,52.4598,10.2554,27.1896,2.65126,149.333,75.968,147.374,22.0192,18.9658,19.1928,[432:125:424:124:425:139:419:150:431:140:434:134]
348,0,131,25,151,348,12,0,18.5338,45.1477,1.56076,72.5521,0.911475,10.5248,66.1294,16.8491,26.2974,1.56076,79.7931,40.0086,105.055,39.8218,23.459,28.7468,[24:136:9:132:1:138:1:149:12:151:18:143:25:140]
142,477,135,500,165,142,4,0,1.57852,97.8919,7.87495,77.1692,0.547401,6.72309,42.2425,4.79154,37.7332,7.87495,113.676,57.9789,125.746,27.6483,28.5239,30.6526,[500:136:482:155:479:165]
96,204,141,219,151,96,0,0,3.61634,16.2803,2.12176,39.0726,0.888932,5.52791,34.7329,7.59002,16.1042,2.12176,162.323,83.5833,155.938,14.6916,12.4362,11.8654,[205:143:211:150:219:149:213:143]
750,31,142,67,194,750,0,0,37.7363,240.084,2.52233,151.253,0.641849,15.451,97.0813,19.4574,49.078,2.52233,130.896,68.02,138.008,33.6359,23.513,22.4821,[32:143:35:152:52:163:51:174:45:186:46:193:67:186:56:151]
756,171,150,215,186,756,0,0,40.2402,135.495,1.83498,142.097,0.68593,15.5126,97.4688,22.9034,42.0273,1.83498,148.899,75.8426,147.62,25.0936,19.6589,19.6952,[215:157:192:151:181:154:172:170:174:184:178:185:177:179:184:171:208:172:210:166:206:161]
1081,0,161,26,224,1081,62,0,36.122,247.31,2.61659,150.658,0.773618,18.5497,116.551,22.9351,60.0116,2.61659,121.523,59.9639,131.74,35.2388,24.619,23.4194,[4:162:1:163:1:224:17:216:18:206:26:198:26:194:17:187:18:171]
272,313,161,344,178,272,0,0,10.7584,76.7227,2.67047,88.3158,0.661989,9.30485,58.4641,11.388,30.4112,2.67047,135.298,68.0515,141.838,32.2486,25.0286,25.7946,[314:170:321:176:328:170:340:178:344:167:331:170:327:162]
1167,93,169,140,202,1167,0,0,60.2893,148.684,1.57041,130.26,0.929667,19.2735,121.099,30.7599,48.3055,1.57041,138.583,71.5313,142.551,29.4706,22.1624,19.9936,[94:176:103:195:110:201:134:201:140:195:139:180:136:176:124:175:114:170:103:171]
1162,302,172,342,220,1162,0,0,72.6787,146.138,1.41801,174.085,0.69414,19.2322,120.839,32.3012,45.8033,1.41801,126.668,61.5473,132.906,38.6734,25.8598,27.1769,[312:173:303:190:307:200:303:211:309:217:321:220:329:205:342:193:337:191:328:198:326:195:338:180:328:173:322:179]
1312,239,178,285,220,1312,0,0,69.124,164.85,1.54429,138.21,0.929037,20.4358,128.402,32.8895,50.791,1.54429,122.291,64.6822,132.338,49.2125,41.6999,35.7004,[284:187:270:179:252:182:243:190:240:198:243:219:254:219:266:212:285:194]
255,351,178,366,203,255,0,0,12.3211,36.0179,1.70976,63.6268,0.889682,9.00939,56.6076,13.7803,23.5609,1.70976,81.8039,40.4627,109.129,32.9204,20.0829,24.4352,[361:179:355:184:352:195:356:203:366:197]
71,192,184,207,192,71,0,0,3.08553,13.2481,2.07211,36.391,0.820804,4.75395,29.8699,6.60508,13.6864,2.07211,129.014,61,132.972,27.9665,15.2019,13.6567,[193:186:198:192:207:189:200:185]
2688,158,186,232,244,2688,0,0,198.753,280.929,1.18889,251.731,0.730102,29.2509,183.789,53.6536,63.7883,1.18889,141.699,78.987,148.281,38.7475,33.0712,28.5125,[159:230:171:244:190:240:201:243:230:228:232:224:223:225:210:209:219:195:218:189:210:188:198:195:191:187:177:189:180:204:177:208:164:207:166:216:159:224]
1,175,187,176,188,1,0,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,153,69,153,0,0,0,[176:188]
398,32,188,68,219,398,0,0,14.7864,103.763,2.64905,107.507,0.657824,11.2555,70.7207,13.8309,36.6389,2.64905,149.613,85.6884,153.96,32.1367,26.8329,24.5851,[67:189:55:191:49:197:48:211:45:215:33:216:47:219:68:199]
2,302,198,304,199,2,0,0,0,0.25,0,4.57764,1.09516,0.797885,5.01326,0,0,0,168.5,102,176,3.5,8,3,[303:199]
622,407,206,445,241,622,0,0,19.7051,150.676,2.76524,111.204,0.795023,14.0708,88.4097,16.9233,46.7968,2.76524,118.627,53.5804,125.326,26.9813,15.8041,17.355,[445:211:431:207:411:225:409:239:416:240:426:227:442:221:445:218]
1608,69,208,128,257,1608,0,0,95.0955,228.467,1.55,185.978,0.764342,22.6239,142.15,36.344,56.3331,1.55,129.41,66.194,137.884,36.2299,25.8594,23.8301,[128:226:109:210:90:210:86:216:85:229:81:232:74:231:70:241:77:257:84:251:83:244:87:239:95:246:111:247:118:239:127:237]
1789,233,212,319,257,1789,0,0,61.5353,558.132,3.01166,260.465,0.575653,23.8633,149.937,27.5015,82.8254,3.01166,126.233,65.6143,135.8,45.987,30.1821,29.8524,[319:223:309:220:301:213:298:223:277:226:255:244:245:234:252:221:245:222:244:229:235:240:234:248:242:254:261:249:273:257:298:243:313:240:317:235]
392,31,217,56,246,392,0,0,23.4647,60.5972,1.60701,92.7587,0.756647,11.1704,70.1856,17.6234,28.3209,1.60701,124.921,61.9464,132.796,38.0718,22.5884,22.7801,[32:218:35:246:56:239:41:227:45:222]
513,329,228,360,269,513,0,0,19.9267,145.946,2.70631,124.937,0.642647,12.7786,80.2904,15.5355,42.0439,2.70631,127.906,66.77,137.758,40.7685,24.6013,21.9432,[359:229:334:243:333:247:340:247:343:251:331:268:340:269:359:237]
1380,37,240,102,287,1380,0,0,74.377,317.349,2.06561,245.161,0.537146,20.9587,131.687,29.1655,60.2447,2.06561,127.22,67.3196,137.351,43.7632,31.2498,29.3603,[38:248:49:263:51:271:67:274:76:287:102:275:98:259:93:252:85:253:77:260:78:264:88:271:88:274:83:276:74:274:67:266:68:259:74:258:68:242:57:241]
32,468,245,473,253,32,0,0,1.49465,4.28172,1.69254,20.762,0.965851,3.19154,20.053,4.90637,8.30424,1.69254,96,46.9688,119.75,17.1537,11.7273,14.7923,[470:246:469:251:472:253:473:249]
1292,0,248,48,303,1292,20,0,111.102,151.597,1.16811,233.555,0.545566,20.2795,127.42,37.527,43.8358,1.16811,123.865,65.9427,135.911,40.4164,30.397,27.8386,[35:249:34:253:41:269:38:272:31:256:10:273:1:267:1:286:6:288:12:283:17:288:19:299:32:294:34:297:28:302:40:301:38:284:48:272:46:263]
214,95,250,111,273,214,0,0,8.65686,39.768,2.14332,64.7375,0.801043,8.25338,51.8575,11.2751,24.166,2.14332,134.818,74.3458,144.168,26.4986,22.7533,21.5053,[96:251:105:273:110:273:110:256]
579,362,250,396,294,579,0,0,15.8553,157.84,3.15515,120.685,0.706793,13.5758,85.2991,15.2857,48.2286,3.15515,135.511,65.5199,140.23,32.623,22.3646,22.306,[394:251:391:252:389:262:377:263:371:270:363:288:365:294:390:274:396:261]
1365,157,257,209,296,1365,0,0,74.2677,190.464,1.60142,155.045,0.844723,20.8445,130.97,32.9434,52.7563,1.60142,132.449,71.0579,142.156,41.5963,31.9584,27.1079,[209:261:197:259:183:262:177:258:171:262:158:261:162:268:160:287:164:294:178:295:202:279:209:269]
773,438,257,468,299,773,0,0,36.2081,136.842,1.94405,131.736,0.748153,15.6861,98.5586,22.5005,43.742,1.94405,88.8383,39.5627,109.349,37.818,19.4089,23.5873,[456:258:447:260:443:265:446:274:439:289:439:296:442:299:455:298:458:292:448:288:459:283:467:274:467:267]
1110,116,258,159,304,1110,0,0,47.6337,187.454,1.98376,152.823,0.772817,18.7969,118.104,26.6914,52.9495,1.98376,124.247,62.6703,134.608,37.1233,27.6021,25.4124,[154:259:144:262:131:275:129:290:122:299:119:297:119:291:117:299:121:304:140:303:155:291:158:286:159:268]
1087,218,260,259,305,1087,0,0,52.3212,161.268,1.75564,136.964,0.853321,18.6012,116.874,28.0771,49.2932,1.75564,125.478,66.9917,137.69,44.4926,34.5001,30.8085,[258:264:248:261:236:268:219:300:237:301:247:305:253:290:253:280:259:273]
167,258,261,282,298,167,0,0,1.75025,157.387,9.48276,91.2274,0.502155,7.29094,45.8103,4.73528,44.9035,9.48276,134.623,70.4192,140.413,23.314,24.6011,24.287,[282:262:260:292:260:298:278:274]
1696,294,269,362,337,1696,0,0,135.291,287.452,1.45763,291.858,0.500203,23.2347,145.988,38.4897,56.1037,1.45763,125.634,60.52,132.99,36.5273,22.6844,21.147,[341:272:328:270:323:273:317:283:324:290:307:299:295:316:296:322:306:321:309:324:302:337:314:327:319:312:323:323:331:325:362:295:360:292:355:296:345:297:335:306:331:304:333:298:330:292:342:275]
271,287,272,305,292,271,0,0,16.5235,28.7333,1.31869,60.39,0.966329,9.28773,58.3565,16.1759,21.331,1.31869,97.5756,51.5461,122.022,29.6458,20.0561,21.7371,[302:273:297:273:288:280:292:292:298:292:304:287:305:277]
304,98,275,117,297,304,0,0,19.2317,33.408,1.318,67.6491,0.91365,9.83698,61.8076,17.137,22.5866,1.318,111.378,58.0559,128.836,41.1584,31.2668,31.6624,[104:276:100:280:99:292:101:295:105:293:109:297:114:297:117:289:111:277]
195,372,276,408,304,195,0,0,2.07179,140.154,8.2249,92.4729,0.535313,7.87848,49.5019,5.49423,45.1895,8.2249,129.133,64.0769,134.518,22.7062,24.9605,26.8138,[408:278:401:278:373:303:391:294]
1384,55,280,100,346,1384,0,0,49.0987,297.43,2.46126,178.163,0.740211,20.9891,131.878,26.7574,65.857,2.46126,116.516,55.8512,128.056,37.6384,22.5277,21.8857,[97:281:76:290:72:303:56:325:59:336:67:341:68:346:81:321:98:317:97:305:100:298:96:292]
2811,151,298,245,359,2811,0,0,165.202,439.522,1.63111,297.737,0.631252,29.9127,187.947,46.843,76.4059,1.63111,125.521,63.2579,134.931,39.1655,26.4573,24.5983,[245:307:216:303:212:307:201:308:192:299:182:300:167:315:161:332:152:340:172:345:175:334:181:332:183:342:180:350:184:357:192:359:213:342:218:330:215:315:217:311:224:320:232:321:243:313]
1234,70,299,120,360,1234,0,0,55.1578,305.909,2.35501,260.79,0.477497,19.819,124.527,25.8295,60.8287,2.35501,136.387,69.1645,140.903,35.7533,25.2171,23.845,[115:300:110:300:113:303:111:309:108:306:107:309:102:308:100:305:102:320:92:338:90:335:97:320:89:322:86:331:83:329:84:324:81:324:71:347:80:360:88:354:86:342:89:339:104:345:117:332:120:317:116:312:118:304]
977,7,303,46,338,977,0,0,61.1636,102.739,1.29605,121.335,0.913198,17.6349,110.803,30.9807,40.1526,1.29605,82.0901,34.7595,101.671,38.0924,18.1059,23.1108,[42:304:27:305:14:311:13:320:8:326:18:338:24:334:37:334:45:327:46:314]
2670,368,318,446,394,2670,0,0,281.788,329.626,1.08156,338.61,0.540954,29.1528,183.173,56.0642,60.6367,1.08156,129.348,64.0026,136.719,32.4246,22.8084,22.8623,[411:319:401:320:392:331:392:340:381:352:369:357:374:362:382:357:387:359:375:367:375:388:381:394:395:388:406:378:422:382:429:376:436:376:446:366:445:357:436:356:432:352:421:354:414:361:399:357:412:348:411:331:414:323]
1,84,322,85,323,1,0,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,196,150,209,0,0,0,[85:323]
121,495,322,500,351,121,29,0,1.89233,53.2523,5.30483,59.4698,0.655694,6.20609,38.994,5.38905,28.588,5.30483,135.826,69.3967,143.901,21.8578,15.9754,16.4791,[499:323:496:327:496:344:500:351]
880,228,330,265,369,880,0,0,39.1184,132.78,1.84236,118.558,0.88698,16.7366,105.159,24.6609,45.4343,1.84236,128.541,61.6943,135.175,34.2859,19.1619,18.4085,[260:331:245:334:235:343:235:350:229:359:231:365:240:369:245:368:249:364:249:359:260:353:265:345:264:335]
228,303,337,331,371,228,0,0,3.54374,144.272,6.38057,93.9089,0.569988,8.51908,53.5269,6.74517,43.038,6.38057,125.408,57.6184,126.342,21.3382,21.1448,24.4432,[331:338:311:357:304:370:309:371:322:348:326:344:331:344]
2319,137,341,208,409,2319,0,0,146.458,363.764,1.57599,291.723,0.585173,27.1691,170.709,43.2841,68.2154,1.57599,125.21,63.0384,134.272,41.7529,29.2355,29.0637,[138:353:144:368:144:381:151:373:154:375:151:387:152:396:157:400:155:405:165:409:173:401:182:403:195:397:202:397:208:392:205:385:191:389:179:387:179:382:190:369:191:361:184:360:178:352:167:362:159:354:164:346:150:342]
190,0,350,19,363,190,12,0,10.1952,24.385,1.54654,54.2415,0.900845,7.77682,48.8632,12.5069,19.3425,1.54654,146.037,71.3053,140.647,23.8255,20.1839,17.6458,[19:357:11:351:1:352:1:363:12:363]
1,69,350,70,351,1,0,0,0,0,0,2.68152,1.32198,0.56419,3.54491,0,0,0,177,96,171,0,0,0,[70:351]
934,26,351,78,392,934,0,0,61.484,163.194,1.62919,175.712,0.616564,17.2424,108.337,27.0174,44.0164,1.62919,123.472,64.7976,134.82,42.5198,30.7135,27.348,[78:361:71:352:70:365:64:370:54:371:51:353:38:360:32:360:27:365:29:390:37:392]
1114,85,356,144,397,1114,0,0,53.4311,262.496,2.21648,182.55,0.648135,18.8308,118.317,25.2968,56.0699,2.21648,131.265,64.3654,136.093,33.2407,22.567,21.6828,[136:357:130:359:120:370:114:367:105:369:86:389:86:394:90:397:99:392:104:386:105:376:111:380:115:388:135:390:143:386:139:378:141:368]
58,364,359,372,371,58,0,0,2.30447,10.2761,2.11168,31.2581,0.863688,4.29674,26.9972,5.91364,12.4877,2.11168,145.483,68.5172,143.466,17.5335,10.7145,13.6763,[369:360:365:367:366:371:372:364]
101,196,366,210,377,101,0,0,5.27177,13.568,1.60428,39.0726,0.911788,5.67004,35.6259,8.95316,14.3633,1.60428,149.079,69.8218,141.208,23.1883,10.5205,10.4799,[197:375:201:377:210:368:200:367]
1532,321,370,379,425,1532,0,0,94.9878,199.199,1.44814,199.02,0.697167,22.0828,138.75,36.7011,53.1483,1.44814,129.531,63.3969,135.711,30.9939,20.4282,20.2905,[373:371:369:383:364:388:339:385:331:389:323:404:322:416:327:414:331:418:344:418:348:425:361:422:367:397:379:395:372:388]
2289,404,384,481,438,2289,0,0,115.696,434.943,1.93891,302.735,0.560228,26.9928,169.601,38.7703,75.172,1.93891,150.285,81.7637,153.04,27.18,22.1361,20.0451,[481:402:477:398:465:401:454:398:454:393:463:391:459:385:450:386:438:397:417:399:405:416:406:436:419:438:425:427:436:429:441:423:452:429:458:423:476:431:477:429:463:420:460:414:471:404:474:407:474:416:478:417]
750,221,389,259,425,750,0,0,33.5288,121.995,1.90749,115.322,0.841831,15.451,97.0813,22.3746,42.6792,1.90749,129.687,61.1107,134.556,27.4832,17.2901,17.7848,[259:396:240:390:222:424:246:420:258:403]
